"id","startTime","endTime","text","title"
"1",70111,73238,"[♪♪♪]","The Da Vinci Code"
"2",90715,93967,"[FOOTSTEPS RUNNING]","The Da Vinci Code"
"3",97263,98889,"[PANTING]","The Da Vinci Code"
"4",130046,131505,"[GRUNTS]","The Da Vinci Code"
"5",131673,134049,"[ALARM BEEPING]","The Da Vinci Code"
"6",135260,136385,"Stop now.","The Da Vinci Code"
"7",137262,138804,"Tell me where it is.","The Da Vinci Code"
"8",144352,148480,"You and your brethren possesswhat is not rightfully yours.","The Da Vinci Code"
"9",149023,153026,"I-- I don't know whatyou are talking about.","The Da Vinci Code"
"10",153361,156071,"Is it a secret you will die for?","The Da Vinci Code"
"11",157198,159533,"Please.As you wish.","The Da Vinci Code"
"12",159909,161326,"Wait!","The Da Vinci Code"
"13",162162,163495,"[GASPS]","The Da Vinci Code"
"14",165415,167624,"[IN FRENCH]My God, forgive me.","The Da Vinci Code"
"15",169085,171086,"In the sacristy...","The Da Vinci Code"
"16",171379,174756,"the church of Saint-Sulpice,is the Rose Line.","The Da Vinci Code"
"17",174924,177092,"Beneath the Rose.","The Da Vinci Code"
"18",179804,181263,"SlLAS:Thank you.","The Da Vinci Code"
"19",183433,184725,"[GRUNTING]","The Da Vinci Code"
"20",184893,187186,"[♪♪♪]","The Da Vinci Code"
"21",200700,202784,"[GRUNTING]","The Da Vinci Code"
"22",214756,216131,"LANGDON:Thank you.","The Da Vinci Code"
"23",217050,218091,"Thank you.","The Da Vinci Code"
"24",229312,234274,"Symbols are a language thatcan help us understand our past.","The Da Vinci Code"
"25",234817,239154,"As the saying goes, a picturesays a thousand words,","The Da Vinci Code"
"26",239322,242366,"but which words?","The Da Vinci Code"
"27",243159,246703,"Interpret for me, please,this symbol. First thing that
comes to mind. Anybody.","The Da Vinci Code"
"28",246871,249206,"WOMAN 1 : Hatred, racism.MAN 1 : Ku Klux Klan.","The Da Vinci Code"
"29",249374,254670,"Yes, yes, interesting. But theywould disagree with you in Spain.","The Da Vinci Code"
"30",254963,257047,"There, they are robesworn by priests.","The Da Vinci Code"
"31",257215,258382,"[CROWD MURMURING]","The Da Vinci Code"
"32",258591,260676,"Now this symbol.Anyone?","The Da Vinci Code"
"33",260843,261969,"MAN 2:Evil.","The Da Vinci Code"
"34",262136,263178,"[SPEAKS IN FRENCH]","The Da Vinci Code"
"35",263346,264429,"In English, please.","The Da Vinci Code"
"36",264597,265722,"Devil's pitchfork.","The Da Vinci Code"
"37",265890,268100,"Poor, poor Poseidon.","The Da Vinci Code"
"38",268518,273814,"That is his trident.A symbol of power to
millions of the ancients.","The Da Vinci Code"
"39",273982,275148,"Now this symbol.","The Da Vinci Code"
"40",276192,278694,"WOMAN 2: Madonna and child.Faith. Christianity.","The Da Vinci Code"
"41",278861,282656,"No. No, it's the pagan godHorus and his mother, Isis,","The Da Vinci Code"
"42",282824,285409,"centuries beforethe birth of Christ.","The Da Vinci Code"
"43",285576,289329,"Understanding our pastdetermines actively","The Da Vinci Code"
"44",289497,292582,"our ability to understandthe present.","The Da Vinci Code"
"45",292875,297421,"So how do we sifttruth from belief?","The Da Vinci Code"
"46",297672,301216,"How do we write our own histories,personally or culturally,","The Da Vinci Code"
"47",301384,303510,"and thereby defineourselves?","The Da Vinci Code"
"48",303678,308056,"How do we penetrate years,centuries, of historical distortion","The Da Vinci Code"
"49",308474,311310,"to find original truth?","The Da Vinci Code"
"50",311477,314730,"Tonight, this will be our quest.","The Da Vinci Code"
"51",314897,318233,"MAN 1 :I still think that his whole take
on phi was a little far-fetched.","The Da Vinci Code"
"52",318401,324614,"MAN 2:I don't think so. I think that the
golden ratio is everywhere in nature.","The Da Vinci Code"
"53",325533,327075,"LANGDON:Sure, I can do that.","The Da Vinci Code"
"54",327285,330245,"WOMAN:My son is a student
of yours at Harvard.","The Da Vinci Code"
"55",330413,332706,"Michael Culp? He adores you.LANGDON: Oh, yeah.","The Da Vinci Code"
"56",332874,334916,"WOMAN:He says you're the best
teacher he's ever had.","The Da Vinci Code"
"57",335084,339087,"LANGDON:Ms. Culp, I think I already
gave Michael an A-minus.","The Da Vinci Code"
"58",339255,340672,"WOMAN:He told me. Thank you.","The Da Vinci Code"
"59",340840,342174,"Mr. Langdon?","The Da Vinci Code"
"60",342842,344217,"Hi.","The Da Vinci Code"
"61",344510,345761,"Bonjour, professor.","The Da Vinci Code"
"62",346637,351975,"I'm Lieutenant Collet from DCPJ.A kind of French FBI.","The Da Vinci Code"
"63",352435,355062,"Will you take a lookat this photo, please?","The Da Vinci Code"
"64",355229,358106,"My police chief,Capitaine Fache, had hoped,","The Da Vinci Code"
"65",358274,361902,"considering your expertiseand the markings on the body,","The Da Vinci Code"
"66",362070,363528,"you might assist us.","The Da Vinci Code"
"67",363696,365364,"[♪♪♪]","The Da Vinci Code"
"68",372246,374373,"Will you excuse me a moment?","The Da Vinci Code"
"69",377627,379461,"I was supposed to have drinkswith him earlier this evening.","The Da Vinci Code"
"70",379629,380879,"Yes, we know.","The Da Vinci Code"
"71",382173,384341,"We found your namein his daily planner.","The Da Vinci Code"
"72",385468,388261,"He never showed.I waited for over an hour.","The Da Vinci Code"
"73",391474,394184,"Why would someonedo this to him?","The Da Vinci Code"
"74",394352,397479,"Oh, you misunderstand,professor.","The Da Vinci Code"
"75",397814,399940,"He was shot, yes.","The Da Vinci Code"
"76",400191,402818,"But what you seein the photograph,","The Da Vinci Code"
"77",402985,405612,"Monsieur Saunièredid to himself.","The Da Vinci Code"
"78",408699,412953,"SlLAS [IN LATIN]:Teacher, all four are dead.","The Da Vinci Code"
"79",413871,416957,"The sénéchaux and theGrand Master himself.","The Da Vinci Code"
"80",417125,420210,"TEACHER [IN LATIN OVER PHONE]:Then I assume you have the location.","The Da Vinci Code"
"81",420378,423505,"Confirmed by all.","The Da Vinci Code"
"82",423673,426091,"Independently.","The Da Vinci Code"
"83",426926,431179,"I had feared the Priory's penchantfor secrecy might prevail.","The Da Vinci Code"
"84",434725,438854,"The prospect of deathis strong motivation.","The Da Vinci Code"
