"id","startTime","endTime","text","title"
"1",83892,85070,"My friends on the mainland...","The Descendants"
"2",85105,86747,"think just because I live in Hawaii...","The Descendants"
"3",86782,88026,"I live in paradise.","The Descendants"
"4",89185,90701,"Like a permanent vacation.","The Descendants"
"5",91119,93605,"We're all just out heresiping Mai Tais...","The Descendants"
"6",93640,95641,"shaking our hips, catching waves.","The Descendants"
"7",96685,97820,"Are they insane?","The Descendants"
"8",98460,100645,"Do they think we areimmune to life?","The Descendants"
"9",101580,104528,"How can they possibly thinkour families are less screwed up...","The Descendants"
"10",105043,106762,"Our cancers less fatal...","The Descendants"
"11",107121,109573,"Our heartache less painful.","The Descendants"
"12",110462,113487,"Hell, I haven't been ona surfboard in 15 years.","The Descendants"
"13",117438,118856,"For the last 23 days...","The Descendants"
"14",118891,121420,"I've been living in a paradise of IVs...","The Descendants"
"15",121421,124082,"and urine bags andendotracheal tubes.","The Descendants"
"16",125113,126289,"Paradise.","The Descendants"
"17",127384,129258,"Paradise can go fuck itself.","The Descendants"
"18",137464,139734,"This is Elizabeth Thorson King.","The Descendants"
"19",140121,141054,"My wife.","The Descendants"
"20",141952,146198,"23 days ago she was launched froma powerboat during a race and hit her head.","The Descendants"
"21",146774,147851,"Almost drowned.","The Descendants"
"22",149095,152210,"When I heard about the accidentand about the coma...","The Descendants"
"23",152822,153902,"I wasn't even in town.","The Descendants"
"24",154523,159239,"I was on Maui on business.We hadn't spoken in 3 days.","The Descendants"
"25",160861,162936,"In a way, we hadn'treally spoken in months.","The Descendants"
"26",167471,170249,"If you're doing this to getmy attention, Liz, It's working.","The Descendants"
"27",171036,172233,"I'm ready now...","The Descendants"
"28",172781,176179,"I am ready to talk,I am ready to change...","The Descendants"
"29",176669,179480,"I'm ready to be yourreal husband and a real father.","The Descendants"
"30",180397,184764,"Just wake up...Please, Liz, just wake up.","The Descendants"
"31",190129,191343,"Hi, Noe, what's up?","The Descendants"
"32",191378,193501,"Matt, Scottie's teacher'son the phone.","The Descendants"
"33",193536,194861,"She says it's urgent.","The Descendants"
"34",194896,196338,"Okay, Put her on.","The Descendants"
"35",199846,201888,"We don't think these photographsare appropriate...","The Descendants"
"36",201889,204150,"for Scottie to be sharingwith her classmates.","The Descendants"
"37",204581,206497,"Some of themwent home quite disturbed...","The Descendants"
"38",206498,208222,"and we've got someangry calls from parents.","The Descendants"
"39",208451,210887,"Yeah, she's kind ofbeen going to town...","The Descendants"
"40",210922,213313,"on this whole picture-taking thing,I had no idea-","The Descendants"
"41",213348,214510,"Mr. King.","The Descendants"
"42",214545,216425,"We see this every day.","The Descendants"
"43",216460,220300,"Children acting out at schoolwhen something's wrong at home.","The Descendants"
"44",220301,224233,"And your family is facinga devastating crisis.","The Descendants"
"45",224661,228429,"Have you been engaging Scottie in reallytalking about what's going on?","The Descendants"
"46",228464,229560,"Yes. Yes. Absolutely.","The Descendants"
"47",229595,232398,"Encouraging herto express her feelings?","The Descendants"
"48",232433,234482,"- That's crucial.- I understand.","The Descendants"
"49",234517,236180,"What's the matter with you?","The Descendants"
"50",236215,238304,"Showing those pictures of Momfor your art project?","The Descendants"
"51",238339,240970,"I'm a photographer, Dad,a real photographer.","The Descendants"
"52",241005,242936,"No, you're not. You're overdoing itis what you're doing.","The Descendants"
"53",242971,244605,"I saw it in a book.","The Descendants"
"54",244640,248460,"Some famous photographer ladytook pictures of her mom in the hospital...","The Descendants"
"55",248495,251103,"While she was dying,and they're considered art.","The Descendants"
"56",251104,252306,"That's what I'm doing.","The Descendants"
"57",252341,255020,"First of all, your mother's very sick,but she's not dying.","The Descendants"
"58",255055,258277,"And second of all, we don't sharepersonal stuff with strangers.","The Descendants"
"59",258312,260854,"What's going onwith Mom is private.","The Descendants"
"60",261690,264195,"- I'm hungry. Can we get burgers?- No.","The Descendants"
"61",264230,267693,"The last time I took care of Scottieby myself was when she was one 30.","The Descendants"
"62",267982,269091,"Now she's 10.","The Descendants"
"63",269126,271173,"And I have no ideawhat to do with her.","The Descendants"
"64",271208,273446,"I want to eat now,not in an hour.","The Descendants"
"65",273481,276473,"And with Elizabeth in the hospital,she's testing me.","The Descendants"
"66",277145,278545,"I'm the backup parent.","The Descendants"
"67",279128,280315,"The understudy.","The Descendants"
"68",280767,283892,"This's Matt King, I'm returningyour call. How can I help you?","The Descendants"
"69",284548,286156,"It's your daughter, Scottie.","The Descendants"
"70",286157,288765,"She's been texting someawful things to My daughter, Lani...","The Descendants"
"71",288766,290069,"and I'd like her to stop.","The Descendants"
"72",290104,290833,"Huh.","The Descendants"
"73",291395,295555,"Here's the latest one. ""We all knowyou grew pubes over the summer. ""","The Descendants"
"74",295590,299283,"I mean, my daughter can't help that she'sdeveloping a little early for her age.","The Descendants"
"75",299318,300974,"Do you think that's nice?","The Descendants"
"76",301009,302662,"Oh, That's not like her at all.","The Descendants"
"77",302945,304768,"She's usually very sweet.","The Descendants"
"78",304803,308667,"As you may know, her mother isn't well,maybe this is how she's dealing with it.","The Descendants"
"79",308702,312120,"I'm very sorry aboutyour family situation, Mr. King...","The Descendants"
"80",312155,314603,"But my daughter comes homefrom school in tears.","The Descendants"
"81",314989,317085,"Yeah, no, I get it. I'm sorry.","The Descendants"
"82",317169,318972,"Scottie's the one who should be sorry.","The Descendants"
"83",319366,321458,"I want her to come overand apologize...","The Descendants"
"84",321493,323752,"and I don't ever want herto text my daughter again.","The Descendants"
"85",324307,327758,"If she doesn't apologize,I'll take it up with the dean.","The Descendants"
"86",327793,330178,"You can't buyyour way out of this.","The Descendants"
"87",333366,334780,"Can you give me an address?","The Descendants"
"88",348676,350184,"Thank you for coming by.","The Descendants"
"89",351890,352761,"Hi.","The Descendants"
"90",354887,357123,"I forgot to mentionthe time Scottie said...","The Descendants"
"91",357124,359313,"she didn't want to beLani's partner at the rock wall...","The Descendants"
"92",359348,361806,"because she didn't want tofall into my daughter's butt crack.","The Descendants"
"93",361841,363488,"That doesn't even make sense.","The Descendants"
"94",381368,382104,"Scottie...","The Descendants"
"95",382910,384589,"Do you have somethingyou want to say to Lani?","The Descendants"
"96",385210,386287,"Sorry.","The Descendants"
"97",387402,388610,"It's okay.","The Descendants"
"98",392299,393932,"Great.Well, nice meeting you both.","The Descendants"
"99",393967,396271,"Lani, you should come overto our house sometime.","The Descendants"
"100",396306,397201,"For a swim or a hike or something.","The Descendants"
"101",397236,399031,"I don't think she's sorry at all.","The Descendants"
"102",399032,401546,"She's going to keep ondoing it. I can tell.","The Descendants"
"103",401581,402727,"No, she won't.","The Descendants"
"104",402762,406203,"Look... Scottie,you're gonna stop, right?","The Descendants"
"105",407843,409340,"And you're really really sorry, right?","The Descendants"
"106",420279,421824,"- Oh, and Mr. King?- Yes?","The Descendants"
"107",422095,423194,"Good luck with the sale.","The Descendants"
"108",424381,426560,"They say your decisionwill have a major impact...","The Descendants"
"109",426561,428012,"on Hawai'i's real estate world.","The Descendants"
"110",428047,430511,"Not to mention the wholelandscape of Kaua'i.","The Descendants"
"111",430546,433155,"Hundreds of millionsof dollars, yeah?","The Descendants"
"112",434503,436185,"Yeah, it's a big decision.","The Descendants"
"113",436487,438089,"My husband's family is from Kaua'i.","The Descendants"
"114",438562,442123,"Hanapepe, born and bred.They hope you don't sell.","The Descendants"
"115",442618,443536,"You don't say.","The Descendants"
"116",443979,445963,"All the traffic it's gonna make.","The Descendants"
"117",451126,453722,"As if Liz's comaweren't enough already...","The Descendants"
"118",453757,456511,"The whole goddamned stateis following my decision...","The Descendants"
"119",456512,459778,"on who's gonna buy25,000 acres on Kaua'i...","The Descendants"
"120",459813,462511,"that my family hasowned since the 1860s.","The Descendants"
"121",462998,467615,"A lot of my cousins are brokeand the sale will make us all very very rich.","The Descendants"
"122",469777,472377,"My family meets in 6 daysto approve a buyer.","The Descendants"
"123",472711,475865,"But ever since my father died,I'm the sole trustee.","The Descendants"
"124",476024,478337,"Which means I alonehold all the cards.","The Descendants"
"125",483999,487619,"My great-great-grandmotherwas Princess Margaret Ke'alohilani,","The Descendants"
"126",487654,490529,"One of the last direct descendantsof King Kamehameha.","The Descendants"
"127",490564,492892,"She was originallysupposed to marry her cousin...","The Descendants"
"128",492893,496078,"but she fell in love withEdward King, her haole banker...","The Descendants"
"129",496113,497619,"whose parents were missionaries.","The Descendants"
"130",498322,501323,"Between his land dealsand her huge inheritance...","The Descendants"
"131",501358,504538,"generations of theirdescendants, all of us...","The Descendants"
"132",504573,509556,"have watched the past unfurl millionsinto our laps through leases and sales.","The Descendants"
"133",511539,514811,"Now something calledthe Rule Against Perpetuities...","The Descendants"
"134",514846,516689,"is forcing us to dissolve the trust.","The Descendants"
"135",516724,520794,"We're selling our last huge parcelof virgin Hawaiian land.","The Descendants"
"136",524246,527863,"Unlike a lot of of my cousins, I haven'tblown my share of the trust money.","The Descendants"
"137",527947,529650,"Just like my father before me...","The Descendants"
"138",529863,532792,"I live only on the incomefrom my law practice.","The Descendants"
"139",532827,536124,"I don't want my daughtersgrowing up spoiled and entitled.","The Descendants"
"140",536159,539422,"Liz always accuses me of being stinginess,but I agree with my father:","The Descendants"
"141",539592,542201,"You give your childrenenough money to do something...","The Descendants"
"142",542236,543571,"but not enough to do nothing.","The Descendants"
"143",543606,546640,"Matt, your cousins are here.","The Descendants"
"144",551906,554109,"Not only am I the sole trustee...","The Descendants"
"145",554144,556231,"but I specialize in realestate transactional low.","The Descendants"
"146",556266,558298,"So a few of the moreinvolved cousins...","The Descendants"
"147",558333,560606,"have been meeting with meregularly to analyze the bids.","The Descendants"
"148",560641,561651,"- Hey.- Hey, guys.","The Descendants"
"149",561686,562730,"Cousin Hal...","The Descendants"
"150",562765,564149,"Cousin Milo...","The Descendants"
"151",564184,565543,"Cousin Stan...","The Descendants"
"152",565578,566868,"Cousin Six...","The Descendants"
"153",566903,567739,"Cousin Wink...","The Descendants"
"154",567774,569262,"Cousin Connie.","The Descendants"
"155",569297,570219,"Okay.","The Descendants"
"156",570254,573206,"And Cousin Dave, both of whomoppose the sale entirely.","The Descendants"
"157",573241,574436,"Good to see you.","The Descendants"
"158",574471,576350,"Don't be fooled by appearances.","The Descendants"
"159",576385,580226,"In Hawai'i some of the most powerfulpeople look like bums and stuntmen.","The Descendants"
"160",580227,581459,"Alright, so, where are we?","The Descendants"
"161",581494,583173,"The proposals are virtually the same.","The Descendants"
"162",583208,586412,"Hotels, shopping centers,condos and golf courses.","The Descendants"
"163",586644,587926,"I have some major concerns...","The Descendants"
"164",587961,590674,"A Chicago group is offeringhalf a billion dollars...","The Descendants"
"165",590709,594526,"But we're leaning toward a lower bidfrom a guy named Don Holitzer.","The Descendants"
"166",594561,596325,"He's actually from Kaua'i...","The Descendants"
"167",596360,598115,"made a fortune in Silicon Valley.","The Descendants"
"168",598150,601697,"Old cousin Hugh is pushing usin that direction, and I say why not?","The Descendants"
"169",601754,604751,"The money will come fromHawaii and stay in Hawaii.","The Descendants"
"170",617916,621159,"Elizabeth's gonna make it out okay.I know it.","The Descendants"
"171",621332,623388,"It's not her time yet.","The Descendants"
"172",626957,631157,"She'll wake up, Scottie and Alexandrawill have their mother back...","The Descendants"
"173",631620,633164,"and we'll talk about our marriage.","The Descendants"
"174",633668,635459,"I know I can make things right.","The Descendants"
"175",637252,641614,"I'll sell the land and quit my practiceand buy her whatever she wants:","The Descendants"
"176",641649,644166,"A big boat,a house in France...","The Descendants"
"177",644671,647314,"We'll take a trip around the world,just the two of us.","The Descendants"
"178",647874,649194,"We'll get close again...","The Descendants"
"179",649229,650514,"like the early days.","The Descendants"
"180",652265,655062,"I wish I had better news, Matthew.","The Descendants"
"181",655097,659406,"But Dr. Chun and Dr. Muellerand I agree that her condition...","The Descendants"
"182",660210,661840,"is deteriorating.","The Descendants"
"183",662425,667117,"She has no eye movements,She has no pupillary responses...","The Descendants"
"184",667777,670941,"She has no brainstem reflexeswhatsoever.","The Descendants"
"185",672585,674346,"The machines can keep her alive.","The Descendants"
"186",674381,677603,"But the quality of her lifewould be so poor...","The Descendants"
"187",678019,680013,"Basically the way it is now.","The Descendants"
"188",682945,686954,"She'll never be the wayshe was, Matt. Never.","The Descendants"
"189",688400,689547,"We know that now.","The Descendants"
"190",694596,695439,"Look...","The Descendants"
"191",696976,700427,"I can't tell you how sorryI am to tell you this.","The Descendants"
"192",701262,703283,"And you do have your daughters.","The Descendants"
"193",704007,706686,"There's just nothingmore that we can do.","The Descendants"
"194",713516,715723,"So if we do go ahead andtake her off the machines -","The Descendants"
