"id","startTime","endTime","text","title"
"1",27109,29193,"GENE: The world we live in.","The Emoji Movie"
"2",30321,33198,"It's so wondrous, mysterious,","The Emoji Movie"
"3",33615,35993,"even magical.","The Emoji Movie"
"4",36286,39079,"No. No, not that world.","The Emoji Movie"
"5",39289,41914,"I meant this one.","The Emoji Movie"
"6",42250,43792,"The smartphone.","The Emoji Movie"
"7",44127,49088,"Each system and program and app is itsown little planet of perfect technology,","The Emoji Movie"
"8",49466,54594,"all providing services so necessary,so crucial, so unbelievably profound.","The Emoji Movie"
"9",55054,57264,"- (GASPS) Look who just sent me a text.- Hmm?","The Emoji Movie"
"10",57347,58347,"Addie McAllister?","The Emoji Movie"
"11",58640,61143,"Must be a mistake. Or a joke.Or a scam.","The Emoji Movie"
"12",61226,62643,"Don't send her yourSocial Security number.","The Emoji Movie"
"13",62771,63853,"- Dude. Shh!- (GRUNTS)","The Emoji Movie"
"14",64563,65730,"She's right there.","The Emoji Movie"
"15",65814,67983,"GENE: That's our user, Alex.","The Emoji Movie"
"16",68358,70109,"And, like every freshmanin high school,","The Emoji Movie"
"17",70194,73906,"his whole life, everything,revolves around his phone.","The Emoji Movie"
"18",73989,75239,"(BOYS GRUNT)","The Emoji Movie"
"19",75325,76825,"(BOYS LAUGHING)(CAMERA CLICKS)","The Emoji Movie"
"20",77326,79411,"(BUS BRAKES HISS)(TEXT MESSAGES BEEPING)","The Emoji Movie"
"21",79495,82914,"And, as the pace of lifegets faster and faster...","The Emoji Movie"
"22",82998,84625,"- TEACHER: Phones down in five.- (GIRL LAUGHS)","The Emoji Movie"
"23",84709,87085,"GENE: And attention spansget shorter and shorter and...","The Emoji Movie"
"24",87170,89170,"You're probably not evenlistening to me right now.","The Emoji Movie"
"25",89254,92674,"Who has the time totype out actual words?","The Emoji Movie"
"26",92926,94718,"And that's where we come in,","The Emoji Movie"
"27",94802,97679,"the most important inventionin the history of communication...","The Emoji Movie"
"28",101058,102558,"Emojis.","The Emoji Movie"
"29",103520,105145,"That's my home.(WHOOPING)","The Emoji Movie"
"30",105354,106729,"Textopolis.","The Emoji Movie"
"31",109359,111401,"Here, each of usdoes one thing,","The Emoji Movie"
"32",111527,113861,"and we have tonail it every time.","The Emoji Movie"
"33",114531,116240,"(LAUGHING AND WHOOPING)The Christmas Tree just has to","The Emoji Movie"
"34",116323,117865,"stand there all festive.","The Emoji Movie"
"35",118033,119283,"Merry Christmas.","The Emoji Movie"
"36",119368,121120,"It's still September, Tim.","The Emoji Movie"
"37",121203,123037,"- GENE: The Princesses...- Ah, I am so pretty.","The Emoji Movie"
"38",123123,125623,"GENE: They just got to wear theircrowns and keep their hair combed.","The Emoji Movie"
"39",125707,127167,"- You guys, we are so pretty.- Oh!","The Emoji Movie"
"40",127251,128252,"Ooh! (LAUGHING)","The Emoji Movie"
"41",129586,131379,"GENE: Devil, Poop, Thumbs Up.","The Emoji Movie"
"42",131463,133715,"- They just show up, and they're good to go.- Oh!","The Emoji Movie"
"43",133800,136801,"GENE: But for the faces,the pressure is on.","The Emoji Movie"
"44",136885,139721,"Crier always has to cry,even if he's just won the lottery.","The Emoji Movie"
"45",139806,142473,"Hooray! I'm a billionaire!","The Emoji Movie"
"46",142558,144268,"GENE: The Laugher is always laughing,(LAUGHING)","The Emoji Movie"
"47",144352,146103,"even if he's justbroken his arm.","The Emoji Movie"
"48",146603,149230,"I can see the bone!(LAUGHING HYSTERICALLY)","The Emoji Movie"
"49",150400,152651,"GENE: Now, me, I'm a Meh.","The Emoji Movie"
"50",152735,156697,"So I got to be totally over it all thetime, you know, like, ""Meh, who cares?""","The Emoji Movie"
"51",156781,158656,"Which is not as easy as it sounds.","The Emoji Movie"
"52",158740,160033,"(SINGING)  ? I gotta be ?","The Emoji Movie"
"53",160117,161492,"? Meh ?","The Emoji Movie"
"54",161578,163078,"? I gotta be ?","The Emoji Movie"
"55",163329,164579,"? Meh ?","The Emoji Movie"
"56",172212,175257,"Morning, Mrs. D.I see you have the little minis with you.","The Emoji Movie"
"57",175966,177968,"Oh, they're so cute.","The Emoji Movie"
"58",178260,180094,"(SQUEAKING AND COOING)","The Emoji Movie"
"59",180180,181180,"(MUFFLED GRUNTING)","The Emoji Movie"
"60",181514,182973,"(YAWNS)","The Emoji Movie"
"61",183432,184432,"(STRAINING)","The Emoji Movie"
"62",184683,186058,"(GIGGLES)","The Emoji Movie"
"63",186644,187686,"(STRAINING)","The Emoji Movie"
"64",187770,189687,"That is so adorable, I can't take it!","The Emoji Movie"
"65",191149,192608,"(ALL CRYING LOUDLY)","The Emoji Movie"
"66",192984,194901,"Now I'll never get them to sleep.","The Emoji Movie"
"67",195152,196777,"Stick to your one face, weirdo.","The Emoji Movie"
