"id","startTime","endTime","text","title"
"1",44523,46754,"Are you gonna...You bringing Micky in?","The Fighter"
"2",46765,47693,"Yeah, he's here.","The Fighter"
"3",47716,49771,"He should come.He should be here as well.","The Fighter"
"4",49795,51920,"We thought that Micky iscoming to answer the questions.","The Fighter"
"5",51943,54142,"No, they said it wasgoing to be both of us.","The Fighter"
"6",55183,59034,"- Am I looking right into the camera here?- Just look at me right now.","The Fighter"
"7",59046,60539,"All right.","The Fighter"
"8",60562,63718,"You're not going to lookat the camera with the interviews?","The Fighter"
"9",66579,69567,"I started boxing when I wastwelve years old","The Fighter"
"10",69591,72185,"and I lied and said I was eighteenor whatever it was.","The Fighter"
"11",72196,74110,"I had a different name and everything.","The Fighter"
"12",74122,76373,"I mean, I don't have any fights,I've done a hundred more than that","The Fighter"
"13",76396,78936,"before I turned professional.","The Fighter"
"14",79533,80790,"This morning you said that...","The Fighter"
"15",80801,82469,"- Why are we doing this?- One more time.","The Fighter"
"16",82493,84442,"You want to go over it all?You want to start again?","The Fighter"
"17",84453,87917,"He's my younger brother.I taught him everything he knows.","The Fighter"
"18",87933,90140,"I'm still his trainer.I know we've got different styles,","The Fighter"
"19",90163,94297,"I'm fucking squirelly as fuck.You know, like, I'm not even there.","The Fighter"
"20",94303,98925,"That's what Sugar Ray said. I was themost tricky fighter he'd ever come across.","The Fighter"
"21",99726,104340,"'78, before Sugar Ray Leonard...I told him he couldn't get to me.","The Fighter"
"22",104364,106066,"He couldn't get to me.","The Fighter"
"23",106085,109009,"They called me ""The Pride of Lowell.""","The Fighter"
"24",109026,111809,"Everybody still talks about it,you know, especially my brother.","The Fighter"
"25",111823,114207,"His whole life he wanted to dowhat I did, you know?","The Fighter"
"26",114230,116555,"But we're very different fighters.","The Fighter"
"27",116561,122326,"Micky's a heavy hitter.He's thunderous, I'm telling you.","The Fighter"
"28",122349,124156,"Thunderous left punch.","The Fighter"
"29",124179,127666,"Micky, he takes a punishment.I don't know why he does it.","The Fighter"
"30",127681,129865,"I'd say ""You all right?""He likes getting on the inside.","The Fighter"
"31",129877,131392,"I stay on the outside.","The Fighter"
"32",160884,161919,"Come on!","The Fighter"
"33",163667,164653,"Dicky...","The Fighter"
"34",169773,171528,"Would you come on?","The Fighter"
"35",172469,174429,"Stop.You've got to help me finish this.","The Fighter"
"36",177803,178919,"Come on!","The Fighter"
"37",178922,181129,"Unpredictable as ever!","The Fighter"
"38",181153,184108,"You don't have to be Columboto see where this fight is headed!","The Fighter"
"39",184699,186660,"Yeah, bam!","The Fighter"
"40",186671,189547,"All right, he punched Micky Ward down!","The Fighter"
"41",189572,193717,"HBO's making a movie on me andmy comeback and my brother","The Fighter"
"42",193740,198378,"is going to beat Saoul Mambyin Atlanta next week!","The Fighter"
"43",198398,202231,"The Pride of Lowell is back!","The Fighter"
"44",202238,204432,"Quacker!","The Fighter"
"45",204450,207034,"Who wants some?Who wants some?","The Fighter"
"46",207154,212370,"Sync, corrected by icephoenixwww.addic7ed.com","The Fighter"
"47",229765,231321,"I want a cut.","The Fighter"
"48",234149,235494,"Doing good?","The Fighter"
"49",235519,237561,"You guys having a good day?","The Fighter"
"50",237973,239365,"How are you?","The Fighter"
"51",240223,245119,"Come on. Come on. What you got?What you got going on?","The Fighter"
"52",245638,248241,"Lou! Hey, Lou DiBella!","The Fighter"
"53",248245,251075,"How are you guys, huh?","The Fighter"
"54",255170,257182,"I'm making my comeback.","The Fighter"
"55",258031,260421,"Hey, Marty, Marty.Come out here, huh?","The Fighter"
"56",276787,278302,"Hey!","The Fighter"
"57",278308,281537,"HBO is making a movie on me!","The Fighter"
"58",282036,283245,"Hey, beautiful.","The Fighter"
"59",289743,291354,"You got that?","The Fighter"
"60",291362,294857,"Can't remember who she is.I can't remember shit!","The Fighter"
"61",294877,297495,"Hey!Hey, Garcia!","The Fighter"
"62",298540,300389,"How are you, nice?","The Fighter"
"63",301088,303468,"How'd you get here?Drive around?","The Fighter"
"64",303484,306564,"Hey, Ray. Hey.I love you, Ray.","The Fighter"
"65",307169,308804,"This is what it's all about.","The Fighter"
"66",334376,335456,"He make mistake?","The Fighter"
"67",335460,337659,"No, he'll be here.Like I said,","The Fighter"
"68",337669,340289,"sometimes he goes on his own schedule,but when he gets here we work hard.","The Fighter"
"69",340301,342227,"Nobody pushes me harder than him.","The Fighter"
"70",342238,344934,"He's supposed to betraining you right now, right?","The Fighter"
"71",344948,346766,"Why don't you just go talk to them,my sisters?","The Fighter"
"72",346778,348985,"They'll talk your ear off.You gotta pay them to shut up.","The Fighter"
"73",348997,351483,"He can tell you howDicky was helping him.","The Fighter"
"74",351485,354167,"Come on, Micky.","The Fighter"
"75",354287,355145,"Okay.","The Fighter"
"76",356897,358450,"Hey, we don't know where Dicky is.","The Fighter"
"77",358461,360282,"You know where he is.","The Fighter"
"78",377121,379435,"What's that dumb cop doing in there?","The Fighter"
"79",379446,381243,"Where's Dicky?Girls?","The Fighter"
"80",381259,383032,"- I don't know.- You see him this morning?","The Fighter"
"81",383043,385098,"Your brother?Not this morning.","The Fighter"
"82",385117,387347,"Look at Mom!All dressed up for the movie, huh?","The Fighter"
"83",388383,390012,"You are smoking hot!","The Fighter"
"84",390132,393143,"Get out of the ring, O'Keefe.My Dicky should be doing that.","The Fighter"
"85",393166,395059,"Dicky ain't here, Alice.","The Fighter"
"86",395883,399194,"Micky's got an important fightcoming up and he's not training.","The Fighter"
"87",399206,401014,"- Forget about him. Never mind about him.- He's not doing what he's supposed to do with him.","The Fighter"
"88",401031,403908,"- Start saying to Micky...- He's not part of this, all right?","The Fighter"
"89",403919,406315,"- Alice, he's not being handled right.- Did you get me coming in all right?","The Fighter"
"90",406326,408640,"You want me to do it again?Get out of the ring, O'Keefe.","The Fighter"
"91",408657,411017,"- Dicky's the trainer.- I'm doing him favor, Alice.","The Fighter"
"92",411023,413121,"I will show you over here","The Fighter"
"93",413144,416479,"these scrapbooks I have beencollecting for years.","The Fighter"
"94",416500,419301,"Micky used to followhis big brother everywhere.","The Fighter"
"95",419313,421380,"Taught you everything, didn't he, honey?","The Fighter"
"96",421392,425779,"In '78 we got the offerto fight Sugar Ray Leonard.","The Fighter"
"97",425798,428464,"Oh, my God. Have you seen that video?Well, you're from HBO,","The Fighter"
"98",428475,431727,"you've got to see it again!Come on. Where's the video at?","The Fighter"
"99",437703,441652,"Tonight my son is going to surpriseeverybody and beat Sugar Ray Leonard.","The Fighter"
"100",441664,443697,"Believe me. I know it.","The Fighter"
"101",445579,447821,"Sugar Ray might have some trouble tonight.","The Fighter"
"102",447833,451354,"That's a good possibility.He comes in here against a good boxer,","The Fighter"
"103",451365,453350,"a young man who can punch,","The Fighter"
"104",453373,457280,"and I would like to say at this timethat physically they're just about equal.","The Fighter"
"105",475441,479276,"Leonard is down.Let's see if that's a knockout.","The Fighter"
"106",480141,483141,"This is unbelievable.","The Fighter"
"107",484189,489584,"Eklund just walked over there.Nobody seems to know what's happening.","The Fighter"
"108",495727,497058,"Dicky did it.","The Fighter"
"109",497763,498695,"Dicky did it.","The Fighter"
"110",500884,501917,"Dicky did it!","The Fighter"
"111",501929,504171,"Aren't you supposed to betraining Micky right now?","The Fighter"
"112",504190,505716,"No, it ain't until 9:00.","The Fighter"
"113",505726,508204,"Dicky, it's fucking 11:45.","The Fighter"
"114",508227,511166,"- It's 11:45, Dick.- What?","The Fighter"
"115",511176,513396,"Where'd you fuckingpark the car, Boo Boo?","The Fighter"
"116",513413,515551,"- I didn't park it. You did.- Huh?","The Fighter"
