"id","startTime","endTime","text","title"
"1",23106,26643,"Stroke! Stroke!","The Firm"
"2",28320,31733,"Stroke! Stroke!","The Firm"
"3",32950,36192,"Stroke! Stroke!","The Firm"
"4",55472,56712,"Come on, come on.","The Firm"
"5",61143,63304,"Pick him up, pick him up.","The Firm"
"6",63396,65012,"Son of a bitch!","The Firm"
"7",65106,67472,"I mean, Your Honor, that was a hell of a shot.","The Firm"
"8",69403,72269,"Well, I'm currently doing anexternship for two extra credits","The Firm"
"9",72364,74445,"as a clerk for Judge Hookstratten.","The Firm"
"10",74533,76864,"BJ Hookstratten?","The Firm"
"11",76951,80569,"That's more impressive than being in the top 5%.","The Firm"
"12",80664,83280,"Look, I don't know what kind ofoffers you've had from Wall Street...","The Firm"
"13",83375,86287,"The top five, sir. In my class.","The Firm"
"14",86378,87992,"Not the top 5%. I'm sorry, I just...","The Firm"
"15",88087,91295,"Mr. McDeere, we've just offered you $68,000 a year","The Firm"
"16",91382,93748,"from arguably the leading law firm in Chicago.","The Firm"
"17",93843,95629,"Is there somewhere else you have to be?","The Firm"
"18",95721,97460,"Yes, sir. I have a job. I'm just on lunch break.","The Firm"
"19",98557,100343,"I know you've had a lot of offers.","The Firm"
"20",100433,103391,"Did you know, for example, that we have 127 clients","The Firm"
"21",103478,106344,"that are Fortune 500 companies?Now, look, we'll offer you $74,000...","The Firm"
"22",106439,109272,"our billing requirement for afirst-year associate is only 2,000 hours,","The Firm"
"23",109359,112521,"not the usual 25 or 26 or 2,700.","The Firm"
"24",112612,115445,"We want you to have a life outside the office, Mitch.","The Firm"
"25",115531,118274,"And if you're a Lakers fan, wehave a fabulous box at the Forum.","The Firm"
"26",124790,126873,"I know there are firms from all over the country","The Firm"
"27",126959,129417,"that have been up here offering you everything.","The Firm"
"28",129503,132621,"But with your ability and ambition,there is only one place for you,","The Firm"
"29",132716,133830,"and that's with our firm in Washington...","The Firm"
"30",133925,135381,"Let's stop talking about the ribbon on the package,","The Firm"
"31",135468,137504,"and start talking about what's in the package.","The Firm"
"32",137596,140052,"One of our partners is anex-governor, two are congressmen","The Firm"
"33",140139,142131,"and one's a former Senator of Agriculture.","The Firm"
"34",143727,145842,"May I take your coat, sir?","The Firm"
"35",160576,161736,"- Mitchell McDeere, right?- Yes.","The Firm"
"36",161828,163909,"Lamar Quinn. Come on in.","The Firm"
"37",164831,166366,"I'd like you to meet","The Firm"
"38",166457,169824,"- Oliver Lambert, our senior partner.- Mitch. Mitch.","The Firm"
"39",169920,171581,"- How do you do, sir?- This is Royce McKnight,","The Firm"
"40",171671,172787,"- our managing partner.- How do you do, sir?","The Firm"
"41",172881,174792,"- Welcome.- Care for a drink?","The Firm"
"42",174883,177498,"- No, I'm fine.- Take a seat, Mitch.","The Firm"
"43",181014,182469,"Tired of interviews?","The Firm"
"44",182556,185264,"No, sir. I just don't quite know what to say.","The Firm"
"45",185352,187182,"Unusual for a lawyer.","The Firm"
"46",187270,190387,"I can get tongue-tied in anynumber of situations, sir,","The Firm"
"47",190481,192894,"but it's usually with my wife.","The Firm"
"48",192984,196475,"Would you mind describing one, with your wife?","The Firm"
"49",198573,201063,"The first time I saw her.","The Firm"
"50",201158,202944,"Any time we argue.","The Firm"
"51",204037,207621,"Whenever she walks into a room, as a matter of fact.","The Firm"
"52",207707,210949,"Might we ask about the rest of your family?","The Firm"
"53",211044,214377,"My father was killed in the coal mines","The Firm"
"54",214463,217170,"and my mother remarried and lives in Florida.","The Firm"
"55",217259,219215,"Brothers and sisters?","The Firm"
"56",220344,221550,"None.","The Firm"
"57",221638,225425,"Mitch, I hope you don't think us intrusive,","The Firm"
"58",225516,229725,"but stability in the familyhas a special importance for us.","The Firm"
"59",229812,233600,"Bendini, Lambert & Locke is just a small Memphis firm,","The Firm"
"60",233692,235603,"41 lawyers.","The Firm"
"61",235694,239812,"But we're a large family. So we're careful.","The Firm"
"62",239906,243318,"Now, sir, do you have any questions for us?","The Firm"
"63",244661,247323,"Do you have an offer in mind?","The Firm"
"64",253211,256247,"It includes a bonus schedule,","The Firm"
"65",256338,259752,"a low-interest mortgage so you can buy a home,","The Firm"
"66",259843,264211,"country club membership, andwe'll lease you a new Mercedes.","The Firm"
"67",264305,265341,"You pick the color, Mitch.","The Firm"
"68",265432,267262,"Lamar, you haven't been paying attention.","The Firm"
"69",267350,269466,"His wife picks the color.","The Firm"
"70",275066,278353,"- Do I... Do I open it here?- Of course.","The Firm"
"71",278444,281151,"Unless you can tell us what's in it.","The Firm"
"72",282949,286942,"A lawyer worth that offershouldn't have to open the envelope.","The Firm"
"73",294961,297543,"Mr. McKnight, you are the managing partner","The Firm"
"74",297630,299667,"at Bendini, Lambert & Locke, is that correct?","The Firm"
"75",299757,300793,"Yes.","The Firm"
"76",300884,302168,"Did Mr. Lambert, as senior partner,","The Firm"
"77",302259,305047,"give you any instructions regarding my employment?","The Firm"
"78",305137,306377,"He did.","The Firm"
"79",307766,311428,"And, Mr. McKnight, do you usuallyfollow Mr. Lambert's instructions?","The Firm"
"80",311519,314637,"Objection. Vague. Ambiguous.","The Firm"
"81",314730,316096,"Sustained.","The Firm"
"82",319069,322435,"What precisely were those instructions?","The Firm"
"83",322531,324987,"That you were in great demand,and I should make certain","The Firm"
"84",325074,329444,"that we obtained your servicesbefore a bidding situation developed.","The Firm"
"85",330704,333321,"How did you go about making certain?","The Firm"
"86",334500,337959,"I bribed a clerk in the Harvard Law placement office","The Firm"
"87",338045,340957,"for the exact amount of the highest offer,","The Firm"
"88",342259,344250,"and then added 20%.","The Firm"
"89",345637,348925,"Mitch, the letter you got from Bendini, Lambert & Locke","The Firm"
"90",349014,352177,"was the only one sent out. We want you.","The Firm"
"91",380838,382079,"Okay.","The Firm"
"92",382966,385752,"You're gonna have to leavenow. I'm expecting my husband.","The Firm"
"93",385843,387584,"The hell with him.","The Firm"
"94",388680,390136,"Come here.","The Firm"
"95",393393,397636,"Moo shu pork, Szechwan beef,mandarin duck from Wong Boys.","The Firm"
"96",400733,402098,"It's even got a cork.","The Firm"
"97",402192,403853,"What's going on?","The Firm"
"98",404487,407353,"You remember the letter Igot from that firm in Memphis?","The Firm"
"99",407449,408814,"Memphis?","The Firm"
"100",408908,410944,"That's what I thought, until their offer.","The Firm"
"101",411036,412572,"What was the offer?","The Firm"
"102",412661,415574,"They didn't say. It's in there.","The Firm"
"103",421170,422786,"It's sealed.","The Firm"
"104",422880,424211,"I guessed.","The Firm"
"105",424841,426047,"What?","The Firm"
"106",426134,428420,"Yeah, but I'm a good guesser.","The Firm"
"107",437269,439932,"Plus a 5% increase the second year.","The Firm"
"108",440689,442350,"Why?","The Firm"
"109",442692,445809,"""Why?"" Whose side are you on anyway?","The Firm"
"110",447447,448653,"Yours.","The Firm"
"111",448740,451481,"Plus bonuses, plus a low interest mortgage...","The Firm"
"112",451576,453191,"As in a home, with grass around it?","The Firm"
"113",453286,456903,"They want to fly us down to Memphis for a little visit.","The Firm"
