"id","startTime","endTime","text","title"
"1",215380,217506,"Merry Christmas!","The French Connection"
"2",217507,220425,"- What's your name, little boy?- Eric.","The French Connection"
"3",220426,223929,"What do you want for Christmas,Eric? Hm?","The French Connection"
"4",223930,226765,"A Johnny Lightning 500.","The French Connection"
"5",226766,229393,"- You been good, little boy?- Yeah.","The French Connection"
"6",229394,233522,"Good. You like Santa Claus? Huh?","The French Connection"
"7",233523,238523,"Now, you like Santa Claus, right?","The French Connection"
"8",241948,246948,"Let's sing a little song. ""Jingle Bells.""","The French Connection"
"9",269016,270350,"Get up.","The French Connection"
"10",270351,275351,"Get up! And hold 'em up.","The French Connection"
"11",285616,287075,"- Hold it!- Freeze!","The French Connection"
"12",287076,292076,"Jimmy, watch it. He's got a knife.","The French Connection"
"13",326407,331407,"- Hold it, you son of a bitch!- No, no!","The French Connection"
"14",334957,339957,"That's enough. Don't kill him.That's enough!","The French Connection"
"15",342632,347632,"- Get up!- Come on, give me a break!","The French Connection"
"16",347887,352307,"- I ain't done nothin', man.- Break, your ass.","The French Connection"
"17",352308,357308,"- Come on.- Get up!","The French Connection"
"18",360483,364903,"Will you stop it? Stop it!","The French Connection"
"19",364904,368907,"- Jimmy.- Let me bust him. I wanna bust him.","The French Connection"
"20",368908,372536,"- I wanna bust him.- Let me talk to him. Let me talk to him!","The French Connection"
"21",372537,376748,"- You got a friend here. You got a friend.- You gonna tell us who your man is?","The French Connection"
"22",376749,381253,"When's the last time you picked your feet?Who's your connection, Willie?","The French Connection"
"23",381254,385090,"- Answer him!- No, no, man!","The French Connection"
"24",385091,388426,"Is it Joe the barber?That's who it is, isn't it?","The French Connection"
"25",388427,390971,"Don't give us any shit.What's Joe's last name?","The French Connection"
"26",390972,392514,"I don't know, man!","The French Connection"
"27",392515,394349,"Give him a chance. Just give him a chance.","The French Connection"
"28",394350,398395,"All I know is he lives on 125th Street, man.Above the barber shop.","The French Connection"
"29",398396,401565,"What side of the street does he live on?North or south?","The French Connection"
"30",401566,405652,"- I don't know what you're talking about.- What side of the street does he live on?","The French Connection"
"31",405653,407904,"When's the last time you picked your feet?","The French Connection"
"32",407905,409447,"What's he talkin' about?","The French Connection"
"33",409448,414448,"I got a man in Poughkeepsie wants to talkto you. You ever been in Poughkeepsie?","The French Connection"
"34",414453,417998,"- Hey, man, give me a break.- Come on, say it. Let me hear you say it.","The French Connection"
"35",417999,419541,"Have you ever been to Poughkeepsie?","The French Connection"
"36",419542,422544,"You've been to Poughkeepsie?I wanna hear it!","The French Connection"
"37",422545,426423,"- Yes, I've been to Poughkeepsie.- You sat on the edge of the bed.","The French Connection"
"38",426424,429926,"You took off your shoesand picked your feet, didn't you?","The French Connection"
"39",429927,431303,"- Now say it!- Yes.","The French Connection"
"40",431304,435724,"All right. You put a shiv in my partner.You know what that means, goddamnit?","The French Connection"
"41",435725,438894,"All winter I gotta listen to himgripe about his bowling scores.","The French Connection"
"42",438895,441104,"I'm gonna bust your assfor those three bags,","The French Connection"
"43",441105,446105,"then I'm gonna nail youfor picking your feet.","The French Connection"
"44",613319,616946,"Need a little help there?","The French Connection"
"45",616947,620033,"- You dumb guinea.- How the hell did I know he had a knife?","The French Connection"
"46",620034,622577,"- Never trust a nigger.- He could've been white.","The French Connection"
"47",622578,625622,"- Never trust anyone. Goin' sick?- No.","The French Connection"
"48",625623,627165,"- Are you goin' sick?- No!","The French Connection"
"49",627166,629751,"What d'you say we go to Chez for a drink?","The French Connection"
"50",629752,631586,"Jimmy, I'm beat. I'm gonna go home.","The French Connection"
"51",631587,633838,"All right, all right. One drink.","The French Connection"
"52",633839,638839,"- Drink this.- Whip it out.","The French Connection"
"53",756921,761921,"I make at least two junk connectionsat that far table over in the corner.","The French Connection"
"54",765179,768556,"The guy in the striped shirt and tie combo,","The French Connection"
"55",768557,770767,"I know him too.","The French Connection"
"56",770768,775768,"I thought we came here to buy me a drink.","The French Connection"
"57",777942,781903,"Who is that clown?","The French Connection"
"58",781904,786904,"It's a policy guy from Queens.","The French Connection"
"59",793207,795500,"Dig the creep that's comin'to the table now.","The French Connection"
"60",795501,798086,"It's Jewish Lucky.","The French Connection"
"61",798087,801965,"He don't look the samewithout numbers across his chest.","The French Connection"
"62",801966,806966,"That table is definitely wrong.","The French Connection"
"63",823821,826155,"More!","The French Connection"
"64",826156,831156,"More!","The French Connection"
