"id","startTime","endTime","text","title"
"1",136211,141211,"www.PODNAPISI.net","The Good Dinosaur"
"2",146211,148712,"(BIRDS CHIRPING)","The Good Dinosaur"
"3",211578,214680,"MOMMA: Henry, it's time.","The Good Dinosaur"
"4",214680,217182,"(GASPS)","The Good Dinosaur"
"5",218951,221453,"Which one didyou say moved?","The Good Dinosaur"
"6",221454,223954,"The one on the left.","The Good Dinosaur"
"7",225258,227759,"(BOTH GASP)","The Good Dinosaur"
"8",227960,229461,"(COOING)","The Good Dinosaur"
"9",229461,231263,"Aw.Aw. (CHUCKLES)","The Good Dinosaur"
"10",231264,232531,"You're a poppa.","The Good Dinosaur"
"11",232531,234233,"You're a momma.","The Good Dinosaur"
"12",234433,236935,"(GRUNTS)","The Good Dinosaur"
"13",240240,242741,"(POPPA CHUCKLING)","The Good Dinosaur"
"14",242942,245210,"Hmm?(LIBBY GIGGLES)","The Good Dinosaur"
"15",245211,247711,"(LAUGHING)","The Good Dinosaur"
"16",247913,250149,"(POPPA CHUCKLING)","The Good Dinosaur"
"17",250150,251216,"(GASPS) Youlittle sneak.","The Good Dinosaur"
"18",251217,252251,"(GIGGLES)","The Good Dinosaur"
"19",252252,253451,"Hello, Libby.","The Good Dinosaur"
"20",253453,255486,"Libby.(COOING)","The Good Dinosaur"
"21",255487,257988,"(EGGS RUSTLING)(BOTH GASP)","The Good Dinosaur"
"22",259492,261992,"(BOTH GASP)","The Good Dinosaur"
"23",262262,264762,"Hmm?","The Good Dinosaur"
"24",265731,268233,"(POPPA LAUGHS)","The Good Dinosaur"
"25",269636,272137,"Hello, Buck.(LAUGHING)","The Good Dinosaur"
"26",274574,277074,"He's got your eyes.","The Good Dinosaur"
"27",284651,287151,"(CHUCKLES) Get out of there,you little prickle bush.","The Good Dinosaur"
"28",292792,295665,"All right, this isgonna be a big one.","The Good Dinosaur"
"29",296528,299029,"POPPA: Hmm?","The Good Dinosaur"
"30",309976,312478,"Hello, Arlo.","The Good Dinosaur"
"31",312478,314980,"(WHIMPERS)","The Good Dinosaur"
"32",315281,317781,"(CHUCKLING)","The Good Dinosaur"
"33",320286,322786,"Come on out.","The Good Dinosaur"
"34",329228,331730,"(GASPS)","The Good Dinosaur"
"35",331730,334231,"Look at you.","The Good Dinosaur"
"36",337137,339637,"(LAUGHING)","The Good Dinosaur"
"37",339639,342139,"Buck!","The Good Dinosaur"
"38",342542,345043,"(LAUGHING)","The Good Dinosaur"
"39",355855,358356,"Whoa!","The Good Dinosaur"
"40",358557,360692,"(GASPS)","The Good Dinosaur"
"41",360692,364802,"That's Clawtooth Mountain.And this is our farm.","The Good Dinosaur"
"42",366432,368932,"And we're all gonnatake care of it together.","The Good Dinosaur"
"43",378810,381312,"(BUCK GRUNTING)","The Good Dinosaur"
"44",383815,386617,"What?(GIGGLING) Gotcha!","The Good Dinosaur"
"45",386619,388454,"Libby! (GRUNTS)","The Good Dinosaur"
"46",388654,390422,"(SLURPS)","The Good Dinosaur"
"47",390423,392591,"(BLOWS RASPBERRY)","The Good Dinosaur"
"48",392792,394425,"LIBBY: Ha-ha!","The Good Dinosaur"
"49",394627,396261,"(LIBBY LAUGHING)","The Good Dinosaur"
"50",396461,398363,"LIBBY: Ooh!","The Good Dinosaur"
"51",398564,400331,"(LAUGHS)","The Good Dinosaur"
"52",400332,402367,"Ha-ha. Gotcha back!","The Good Dinosaur"
"53",402367,404336,"Momma, I'mdone watering.","The Good Dinosaur"
"54",404336,407305,"Good job, Libby.Buck, get back
to your chores.","The Good Dinosaur"
"55",407307,409374,"What?Thanks, Buck.","The Good Dinosaur"
"56",409375,410776,"But I... I...","The Good Dinosaur"
"57",410776,413278,"(GROANS)","The Good Dinosaur"
"58",414646,417148,"You're all set.","The Good Dinosaur"
"59",417348,419384,"Can't I dosomething else, Momma?","The Good Dinosaur"
"60",419384,421887,"(CHUCKLES) Get going.","The Good Dinosaur"
"61",421887,424389,"Okay.","The Good Dinosaur"
"62",432132,434632,"(PANTING)","The Good Dinosaur"
"63",434634,437134,"(GULPS)","The Good Dinosaur"
"64",437336,439838,"(SQUEAKING)","The Good Dinosaur"
"65",452485,454985,"(RUSTLING)","The Good Dinosaur"
"66",455187,456793,"(GASPS)","The Good Dinosaur"
"67",456889,459389,"Who is that?","The Good Dinosaur"
"68",462663,465163,"(CHIRPING)","The Good Dinosaur"
"69",465365,466665,"Oh!","The Good Dinosaur"
"70",466665,469167,"Hey, Eustice.","The Good Dinosaur"
"71",469769,472571,"Aw, you stuck,little guy?","The Good Dinosaur"
"72",472572,476441,"Let me get that for you.You're free.","The Good Dinosaur"
"73",476442,480651,"Hello, move. Go findyour poppa and your...","The Good Dinosaur"
"74",483483,485983,"(CLUCKING)","The Good Dinosaur"
