"id","startTime","endTime","text","title"
"1",10917,14122,"♪ Whoa ♪","The Greatest Showman"
"2",17126,20196,"♪ Whoa ♪","The Greatest Showman"
"3",23533,26568,"♪ Whoa ♪","The Greatest Showman"
"4",29739,32774,"♪ Whoa ♪","The Greatest Showman"
"5",32777,35844,"Subtitles by explosiveskullResync by Ahmed74","The Greatest Showman"
"6",35847,38149,"♪ Whoa ♪","The Greatest Showman"
"7",42152,44222,"♪ Whoa ♪","The Greatest Showman"
"8",48259,51026,"♪ Whoa ♪","The Greatest Showman"
"9",51027,54697,"♪ Ladies and gents This is themoment you've waited for ♪","The Greatest Showman"
"10",54698,57133,"♪ Whoa ♪","The Greatest Showman"
"11",57134,58768,"♪ You been searchin'in the dark ♪","The Greatest Showman"
"12",58771,60905,"♪ Your sweat soakin'through the floor ♪","The Greatest Showman"
"13",60908,63441,"♪ Whoa ♪","The Greatest Showman"
"14",63442,64841,"♪ And buried in your bones ♪","The Greatest Showman"
"15",64843,67012,"♪ There's an achethat you can't ignore ♪","The Greatest Showman"
"16",67013,68346,"♪ Takin' your breath ♪","The Greatest Showman"
"17",68347,69746,"♪ Stealin' your mind ♪","The Greatest Showman"
"18",69748,73518,"♪ And all that was realis left behind ♪","The Greatest Showman"
"19",73519,74819,"♪ Don't fight it ♪","The Greatest Showman"
"20",74820,76623,"♪ It's comin' for you,runnin' atcha ♪","The Greatest Showman"
"21",76625,78322,"♪ It's only this moment ♪","The Greatest Showman"
"22",78323,79757,"♪ Don't carewhat comes after ♪","The Greatest Showman"
"23",79759,81894,"♪ Your fever dream,can't you see ♪","The Greatest Showman"
"24",81896,83629,"♪ Gettin' closer ♪","The Greatest Showman"
"25",83631,85965,"♪ Just surrender cause youfeel the feelin' takin' over ♪","The Greatest Showman"
"26",85966,89268,"♪ It's fire, it's freedomit's floodin' open ♪","The Greatest Showman"
"27",89269,90936,"♪ It's the preacherin the pulpit ♪","The Greatest Showman"
"28",90938,92305,"♪ And your blind devotion ♪","The Greatest Showman"
"29",92307,93772,"♪ There's somethin'breakin' at the brick ♪","The Greatest Showman"
"30",93775,94974,"♪ Of ev'ry wallthat's holdin' ♪","The Greatest Showman"
"31",94977,96576,"♪ All that you know ♪","The Greatest Showman"
"32",96579,99079,"♪ So tell medo you wanna go ♪","The Greatest Showman"
"33",99081,102415,"♪ Where it's coveredin all the colored lights? ♪","The Greatest Showman"
"34",102418,104786,"♪ Where the runawaysare runnin' the night ♪","The Greatest Showman"
"35",104787,108254,"♪ Impossible comes trueIt's takin' over you ♪","The Greatest Showman"
"36",108257,111227,"♪ Oh! This isthe greatest show! ♪","The Greatest Showman"
