"id","startTime","endTime","text","title"
"1",281139,283302,"Hyah! Huh!","The Hateful Eight"
"2",283420,284865,"Get in there now!","The Hateful Eight"
"3",284980,286822,"Get in! Get in!","The Hateful Eight"
"4",286939,288942,"Get in there, Dude!","The Hateful Eight"
"5",289060,290106,"Get in now!","The Hateful Eight"
"6",290220,294191,"Hyah! Come on! Huh!","The Hateful Eight"
"7",294300,297064,"All right! Huh!","The Hateful Eight"
"8",297180,300103,"Huh!","The Hateful Eight"
"9",300220,303189,"Whoa. Whoa.","The Hateful Eight"
"10",303300,304949,"Whoa.","The Hateful Eight"
"11",311220,313507,"Got room for one more?","The Hateful Eight"
"12",313620,315987,"Who the hell are you?","The Hateful Eight"
"13",316139,317824,"And what happened to them?","The Hateful Eight"
"14",320220,323310,"Name's Major Marquis Warren,former U.S. Cavalry.","The Hateful Eight"
"15",323420,324910,"Currently a servant of the court.","The Hateful Eight"
"16",325019,327704,"Trying to bring a coupleno-goods into market.","The Hateful Eight"
"17",327860,329862,"Got the paperwork on 'em in my pocket.","The Hateful Eight"
"18",329980,332108,"You takin' 'em into Red Rock?","The Hateful Eight"
"19",332220,334062,"Figure that's where you headed, right?","The Hateful Eight"
"20",334180,335420,"I am.","The Hateful Eight"
"21",335579,339067,"That damn blasted blizzard has beenon our ass for the last three hours.","The Hateful Eight"
"22",341060,343461,"There ain't no way we gonnamake it all the way to Red Rock","The Hateful Eight"
"23",343579,345947,"- 'fore it catches us.- So you hightailin' it halfway,","The Hateful Eight"
"24",346060,347185,"to Minnie's Haberdashery?","The Hateful Eight"
"25",347340,349341,"You know I am.","The Hateful Eight"
"26",349459,350699,"May I come aboard?","The Hateful Eight"
"27",350819,352822,"Well, smoke,","The Hateful Eight"
"28",352939,355988,"if it up to me, yes.","The Hateful Eight"
"29",356139,358108,"But it ain't up to me.","The Hateful Eight"
"30",358220,359824,"Who's it up to?","The Hateful Eight"
"31",359939,361668,"Fella in the wagon.","The Hateful Eight"
"32",361779,364225,"Fella in the wagon ain't partial to company?","The Hateful Eight"
"33",364339,366547,"Fella in the wagon,he paid for a private trip,","The Hateful Eight"
"34",366660,370182,"and I'm here to tell you,he paid a pretty penny for privacy.","The Hateful Eight"
"35",370300,373110,"So if you want to go to Minnie's with us,","The Hateful Eight"
"36",373220,375427,"you gonna have to talk to him.","The Hateful Eight"
"37",375540,378019,"Well...","The Hateful Eight"
"38",378139,380427,"that's what I'll do.","The Hateful Eight"
"39",381980,385028,"Hold it, black fella.","The Hateful Eight"
"40",385139,388507,"'Fore you approach,you take them two guns of yours","The Hateful Eight"
"41",388620,391862,"and you lay 'em on that rock over yonder.","The Hateful Eight"
"42",391980,396463,"Then you raise both your handsway above your hat.","The Hateful Eight"
"43",396579,398742,"Then you approach.","The Hateful Eight"
"44",398860,400305,"Molasses-like.","The Hateful Eight"
"45",401420,403502,"Real trustin' fella, huh?","The Hateful Eight"
"46",403620,405463,"Not so much.","The Hateful Eight"
"47",417939,419987,"Put 'em down.","The Hateful Eight"
"48",428620,430509,"Come on ahead.","The Hateful Eight"
"49",430620,433987,"I said way above your hat, goddamn it!","The Hateful Eight"
"50",435379,438031,"Now come forward.","The Hateful Eight"
"51",438180,439944,"That's far enough.","The Hateful Eight"
"52",445939,447829,"Well, I'll be dogged.","The Hateful Eight"
"53",447980,449744,"You a black fella I know.","The Hateful Eight"
"54",449899,452187,"Colonel somethin'-or-other Warren, right?","The Hateful Eight"
"55",452300,455223,"Major Marquis Warren.","The Hateful Eight"
"56",455340,457103,"I know you, too.","The Hateful Eight"
"57",457220,461268,"We, uh, shared a steak dinneronce upon a time in Chattanooga.","The Hateful Eight"
"58",461379,463189,"You John Ruth The Hangman.","The Hateful Eight"
"59",463300,464790,"That'd be me.","The Hateful Eight"
"60",464899,466105,"How long's that been?","The Hateful Eight"
"61",466220,467630,"Since that steak?","The Hateful Eight"
"62",467740,470869,"Oh... eight months.","The Hateful Eight"
"63",470980,473459,"So why don't you explain to me","The Hateful Eight"
"64",473579,475661,"what a African bounty hunter's doin'","The Hateful Eight"
"65",475779,478942,"wanderin' around in the snowin the middle of Wyoming?","The Hateful Eight"
"66",479060,480983,"Trying to get a coupleof bounties in to Red Rock.","The Hateful Eight"
"67",481139,482300,"So you still in business?","The Hateful Eight"
"68",482420,483865,"You know I am.","The Hateful Eight"
"69",484019,485783,"Happened to your horse?","The Hateful Eight"
