"id","startTime","endTime","text","title"
"1",34015,35414,"Start simple.","The Hunger Games: Mockingjay - Part 1"
"2",35439,36965,"Start with what you know is true.","The Hunger Games: Mockingjay - Part 1"
"3",38520,42046,"My name is Katniss Everdeen.My home is District 12.","The Hunger Games: Mockingjay - Part 1"
"4",42719,45371,"I was in the Hunger Games. I escaped.","The Hunger Games: Mockingjay - Part 1"
"5",46039,49567,"Peeta... Peeta was left behind.","The Hunger Games: Mockingjay - Part 1"
"6",53679,55045,"Miss Everdeen?","The Hunger Games: Mockingjay - Part 1"
"7",56240,57526,"You can't be in here.","The Hunger Games: Mockingjay - Part 1"
"8",59359,61442,"I had a nightmare. Just five more minutes.","The Hunger Games: Mockingjay - Part 1"
"9",62640,66361,"You need to sleep.We can help you sleep.","The Hunger Games: Mockingjay - Part 1"
"10",67799,69289,"Just five more minutes.","The Hunger Games: Mockingjay - Part 1"
"11",70159,71161,"No.","The Hunger Games: Mockingjay - Part 1"
"12",74560,76243,"No, please, don't. It's just five more...","The Hunger Games: Mockingjay - Part 1"
"13",76319,80688,"Don't touch me! Don't! No!No! Get off of me!","The Hunger Games: Mockingjay - Part 1"
"14",137840,139251,"Finnick.","The Hunger Games: Mockingjay - Part 1"
"15",143520,146728,"I wanted to go back for Peeta and Johanna,","The Hunger Games: Mockingjay - Part 1"
"16",147439,149362,"but I, uh...","The Hunger Games: Mockingjay - Part 1"
"17",149439,151442,"I couldn't move.","The Hunger Games: Mockingjay - Part 1"
"18",156039,159122,"They have Annie, too. They took her.","The Hunger Games: Mockingjay - Part 1"
"19",162840,165445,"She's, uh...","The Hunger Games: Mockingjay - Part 1"
"20",165560,166800,"She's in the Capitol.","The Hunger Games: Mockingjay - Part 1"
"21",171079,172764,"I wish she was dead.","The Hunger Games: Mockingjay - Part 1"
"22",175159,178084,"I wish they were all dead and we were, too.","The Hunger Games: Mockingjay - Part 1"
"23",207960,209324,"Miss Everdeen.","The Hunger Games: Mockingjay - Part 1"
"24",209639,212484,"Colonel Boggs, District13's head of security.","The Hunger Games: Mockingjay - Part 1"
"25",213039,214450,"I know you've been discharged,","The Hunger Games: Mockingjay - Part 1"
"26",214520,216841,"but President Cain'srequested to meet with you first.","The Hunger Games: Mockingjay - Part 1"
"27",217039,218883,"Is there any news?","The Hunger Games: Mockingjay - Part 1"
"28",218960,220927,"I'm just here to escort you.","The Hunger Games: Mockingjay - Part 1"
"29",252919,255889,"We were always toldthere was nothing left of 13.","The Hunger Games: Mockingjay - Part 1"
"30",256160,258560,"Capitol bombedthe surface to rubble.","The Hunger Games: Mockingjay - Part 1"
"31",259920,263002,"But we're military,so we learned to survive down here.","The Hunger Games: Mockingjay - Part 1"
"32",263839,265603,"Preparing, training.","The Hunger Games: Mockingjay - Part 1"
"33",266879,268483,"The war never stopped for us.","The Hunger Games: Mockingjay - Part 1"
"34",300480,301810,"There she is.","The Hunger Games: Mockingjay - Part 1"
"35",302519,304170,"Our Girl on Fire.","The Hunger Games: Mockingjay - Part 1"
"36",304279,308045,"Madam President,may I present you with The Mockingjay.","The Hunger Games: Mockingjay - Part 1"
"37",308240,310526,"What an honor it is to meet you.","The Hunger Games: Mockingjay - Part 1"
"38",311240,312685,"You're a courageous young woman.","The Hunger Games: Mockingjay - Part 1"
"39",312920,315399,"I know how disorienting this must be.","The Hunger Games: Mockingjay - Part 1"
"40",315879,319326,"And I can't imagine what it's like tolive through the atrocities of those Games.","The Hunger Games: Mockingjay - Part 1"
"41",319399,320605,"Katniss,","The Hunger Games: Mockingjay - Part 1"
"42",320680,322444,"President Alma Coin.","The Hunger Games: Mockingjay - Part 1"
"43",323319,326290,"Please know how welcome you are.","The Hunger Games: Mockingjay - Part 1"
"44",326720,329007,"I hope you'll find some comfort with us.","The Hunger Games: Mockingjay - Part 1"
"45",329279,331487,"We've known loss in 13, too.","The Hunger Games: Mockingjay - Part 1"
"46",332079,336528,"This is history.Right here at this table.","The Hunger Games: Mockingjay - Part 1"
"47",336600,337721,"I apologize.","The Hunger Games: Mockingjay - Part 1"
"48",337759,341000,"I wish you had more time to recover, butunfortunately, we don't have that luxury.","The Hunger Games: Mockingjay - Part 1"
"49",341120,342485,"Please, have a seat.","The Hunger Games: Mockingjay - Part 1"
"50",343600,346250,"Are you aware of what's happened?","The Hunger Games: Mockingjay - Part 1"
"51",348519,351284,"When you fired your arrowat the force field","The Hunger Games: Mockingjay - Part 1"
"52",352199,354327,"you electrified the nation.","The Hunger Games: Mockingjay - Part 1"
"53",354680,359242,"There have been riots and uprisingsand strikes in seven districts.","The Hunger Games: Mockingjay - Part 1"
"54",359759,362507,"We believe that if wekeep this energy going we","The Hunger Games: Mockingjay - Part 1"
"55",362533,365110,"can unify the districtsagainst the Capitol.","The Hunger Games: Mockingjay - Part 1"
"56",365160,368050,"But if we don't, if we let it dissipate,","The Hunger Games: Mockingjay - Part 1"
"57",368120,371124,"we could be waitinganother 75 years for this opportunity.","The Hunger Games: Mockingjay - Part 1"
"58",371199,373201,"Everyone in 13 is ready for this.","The Hunger Games: Mockingjay - Part 1"
"59",373279,375088,"What about Peeta? Is he alive?","The Hunger Games: Mockingjay - Part 1"
"60",375160,378129,"I don't know. And I wish that I did.","The Hunger Games: Mockingjay - Part 1"
"61",378879,382247,"But there's no way for me to contactmy operatives inside the Capitol.","The Hunger Games: Mockingjay - Part 1"
"62",382360,386125,"The Capitol has always suppressedcommunication between the districts.","The Hunger Games: Mockingjay - Part 1"
"63",386199,389487,"But I know their system very well.","The Hunger Games: Mockingjay - Part 1"
"64",389560,390846,"I managed to break through.","The Hunger Games: Mockingjay - Part 1"
"65",391160,393401,"All we need now is the perfect message.","The Hunger Games: Mockingjay - Part 1"
"66",393480,395721,"Katniss,here's what we need to do.","The Hunger Games: Mockingjay - Part 1"
"67",395800,398485,"We need to show themthat The Mockingjay's alive and well","The Hunger Games: Mockingjay - Part 1"
"68",398560,401324,"and willing to stand upand join this fight.","The Hunger Games: Mockingjay - Part 1"
"69",402000,406483,"'Cause we need every districtto stand up to this Capitol.","The Hunger Games: Mockingjay - Part 1"
"70",406560,408163,"The way you did.","The Hunger Games: Mockingjay - Part 1"
"71",409079,413927,"So we're gonnashoot a series of propaganda clips,","The Hunger Games: Mockingjay - Part 1"
"72",414199,415884,"propos, I like to call them,","The Hunger Games: Mockingjay - Part 1"
"73",415959,417370,"on The Mockingjay.","The Hunger Games: Mockingjay - Part 1"
"74",417439,419283,"Spreads the word","The Hunger Games: Mockingjay - Part 1"
"75",419360,422091,"that we're gonnastoke the fire of this rebellion.","The Hunger Games: Mockingjay - Part 1"
"76",422160,424970,"The fire that The Mockingjay started.","The Hunger Games: Mockingjay - Part 1"
"77",425040,427201,"You left him there.","The Hunger Games: Mockingjay - Part 1"
"78",427519,431411,"- You left Peeta in that arena to die.- Katniss, there are so many...","The Hunger Games: Mockingjay - Part 1"
"79",431480,433288,"Peeta was the one who was supposed to live.","The Hunger Games: Mockingjay - Part 1"
"80",433360,434406,"Miss Everdeen.","The Hunger Games: Mockingjay - Part 1"
"81",436519,439329,"This revolution is about everyone.","The Hunger Games: Mockingjay - Part 1"
"82",439399,441242,"It's about all of us.","The Hunger Games: Mockingjay - Part 1"
"83",441639,443129,"And we need a voice.","The Hunger Games: Mockingjay - Part 1"
"84",444199,446521,"Then you should've saved Peeta.","The Hunger Games: Mockingjay - Part 1"
"85",455040,456882,"Maybe you should haverescued the boy instead.","The Hunger Games: Mockingjay - Part 1"
"86",457439,458680,"Oh, no.","The Hunger Games: Mockingjay - Part 1"
"87",460319,464529,"No, listen to me.No one else can do this but her.","The Hunger Games: Mockingjay - Part 1"
"88",464600,466728,"This is not the girl you described.","The Hunger Games: Mockingjay - Part 1"
"89",468000,470843,"Obviously, we need to make it personal.","The Hunger Games: Mockingjay - Part 1"
"90",470920,472490,"Remind her who the real enemy is.","The Hunger Games: Mockingjay - Part 1"
"91",472560,474403,"She knows who the enemy is.That's not the issue.","The Hunger Games: Mockingjay - Part 1"
"92",474480,476403,"Unless she's forgotten.","The Hunger Games: Mockingjay - Part 1"
"93",477399,480130,"There's explaining and there's showing.","The Hunger Games: Mockingjay - Part 1"
"94",481079,483526,"Let her see what the Capitol did to 12.","The Hunger Games: Mockingjay - Part 1"
"95",483759,487685,"She can't handle it.The Games destroyed her.","The Hunger Games: Mockingjay - Part 1"
"96",489000,491401,"This is the only choice you have.","The Hunger Games: Mockingjay - Part 1"
"97",491839,495127,"People don't always show upthe way you want them to, Madam President.","The Hunger Games: Mockingjay - Part 1"
"98",495199,497737,"But that anger, thatanger-driven defiance,","The Hunger Games: Mockingjay - Part 1"
"99",497762,500355,"that's what we want. Andwe can redirect it.","The Hunger Games: Mockingjay - Part 1"
"100",500560,502369,"We need to unite these people out there","The Hunger Games: Mockingjay - Part 1"
"101",502480,504050,"that have been doing nothingbut killing each other","The Hunger Games: Mockingjay - Part 1"
"102",504120,505564,"in an arena for years.","The Hunger Games: Mockingjay - Part 1"
"103",505959,508360,"We have to have a lightning rod.","The Hunger Games: Mockingjay - Part 1"
"104",509439,512727,"They'll follow her.She's the face of the revolution.","The Hunger Games: Mockingjay - Part 1"
"105",512799,514722,"Let her see it. Let her go home.","The Hunger Games: Mockingjay - Part 1"
"106",517639,518846,"Send her.","The Hunger Games: Mockingjay - Part 1"
"107",545840,547919,"I can't believeyou're going through with this.","The Hunger Games: Mockingjay - Part 1"
"108",549200,550725,"You can say ""no.""","The Hunger Games: Mockingjay - Part 1"
"109",550799,552961,"I need to see it for myself.","The Hunger Games: Mockingjay - Part 1"
"110",554159,555490,"This way.","The Hunger Games: Mockingjay - Part 1"
"111",612279,614282,"13 swept everything,top to bottom","The Hunger Games: Mockingjay - Part 1"
"112",614360,616043,"so you'd be safe.","The Hunger Games: Mockingjay - Part 1"
"113",618080,620207,"You sure you don'twant me to go with you?","The Hunger Games: Mockingjay - Part 1"
"114",620879,623120,"Yeah. I'm sure.","The Hunger Games: Mockingjay - Part 1"
"115",626720,629370,"We'll have our eyes on you from above.","The Hunger Games: Mockingjay - Part 1"
"116",838960,840006,"Figures.","The Hunger Games: Mockingjay - Part 1"
"117",844200,845610,"Hey!","The Hunger Games: Mockingjay - Part 1"
"118",846440,848090,"Come on.","The Hunger Games: Mockingjay - Part 1"
"119",849919,851125,"Don't you wanna see Prim?","The Hunger Games: Mockingjay - Part 1"
"120",852840,855047,"There you go. You're breakin' my heart.","The Hunger Games: Mockingjay - Part 1"
"121",873240,874287,"Shh.","The Hunger Games: Mockingjay - Part 1"
"122",925159,926684,"Egeria!","The Hunger Games: Mockingjay - Part 1"
"123",930519,932328,"We need to fix these lines.","The Hunger Games: Mockingjay - Part 1"
"124",933519,935408,"I won't say ""rebels.""","The Hunger Games: Mockingjay - Part 1"
"125",936000,938844,"These are senseless acts of defiance.","The Hunger Games: Mockingjay - Part 1"
"126",939320,941048,"And I won't legitimize them.","The Hunger Games: Mockingjay - Part 1"
"127",942519,945330,"We'll call them ""criminals.""","The Hunger Games: Mockingjay - Part 1"
"128",946519,947645,"Mmm.","The Hunger Games: Mockingjay - Part 1"
"129",948480,949480,"""Radicals.""","The Hunger Games: Mockingjay - Part 1"
"130",950200,951360,"Hmm.","The Hunger Games: Mockingjay - Part 1"
"131",952360,956081,"Otherwise we're breaking my oldest rule.","The Hunger Games: Mockingjay - Part 1"
"132",957240,959890,"Never let them see you bleed.","The Hunger Games: Mockingjay - Part 1"
"133",962720,964403,"Citizens,","The Hunger Games: Mockingjay - Part 1"
"134",965320,970201,"tonight I address all of Panem as one.","The Hunger Games: Mockingjay - Part 1"
"135",971519,973488,"Since the Dark Days,","The Hunger Games: Mockingjay - Part 1"
"136",973840,977480,"Panem has hadan unprecedented era of peace.","The Hunger Games: Mockingjay - Part 1"
"137",978080,981243,"It is a peace built upon cooperation.","The Hunger Games: Mockingjay - Part 1"
"138",981559,984403,"And a respect for law and order.","The Hunger Games: Mockingjay - Part 1"
"139",985799,988326,"In the past weeks,you have heard of sporadic violence","The Hunger Games: Mockingjay - Part 1"
"140",988399,993326,"following the actionsof a few radicals in the Quarter Quell.","The Hunger Games: Mockingjay - Part 1"
"141",994080,996923,"Those who choose this destructive path,","The Hunger Games: Mockingjay - Part 1"
"142",997519,999966,"your actions are basedon a misunderstanding","The Hunger Games: Mockingjay - Part 1"
"143",1000039,1003600,"of how we have survived. Together.","The Hunger Games: Mockingjay - Part 1"
"144",1004240,1006207,"It is a contract.","The Hunger Games: Mockingjay - Part 1"
"145",1006960,1012000,"Each district supplies the Capitol.Like blood to a heart.","The Hunger Games: Mockingjay - Part 1"
"146",1012639,1017441,"In return,the Capitol provides order and security.","The Hunger Games: Mockingjay - Part 1"
"147",1018279,1020965,"To refuse work","The Hunger Games: Mockingjay - Part 1"
"148",1021080,1024367,"is to put the entire system in danger.","The Hunger Games: Mockingjay - Part 1"
"149",1025000,1028321,"The Capitol is the beating heart of Panem.","The Hunger Games: Mockingjay - Part 1"
"150",1028680,1031125,"Nothing can survive without a heart.","The Hunger Games: Mockingjay - Part 1"
"151",1032880,1039047,"The criminals that kneel before youuse symbols for the purpose of sedition.","The Hunger Games: Mockingjay - Part 1"
"152",1039640,1044406,"Which is why all images of The Mockingjayare now forbidden.","The Hunger Games: Mockingjay - Part 1"
"153",1046000,1049003,"Possessing them will be considered treason.","The Hunger Games: Mockingjay - Part 1"
"154",1049079,1050969,"Punishable by death.","The Hunger Games: Mockingjay - Part 1"
"155",1052400,1054846,"Justice shall be served swiftly.","The Hunger Games: Mockingjay - Part 1"
"156",1055559,1058039,"Order shall be restored.","The Hunger Games: Mockingjay - Part 1"
"157",1059000,1061970,"To those who ignorethe warnings of history...","The Hunger Games: Mockingjay - Part 1"
"158",1068720,1072611,"prepare to pay the ultimate price.","The Hunger Games: Mockingjay - Part 1"
"159",1117720,1119528,"It's okay.","The Hunger Games: Mockingjay - Part 1"
"160",1119599,1120885,"We're okay.","The Hunger Games: Mockingjay - Part 1"
"161",1121400,1122890,"We're all here now.","The Hunger Games: Mockingjay - Part 1"
"162",1123440,1125044,"Buttercup!","The Hunger Games: Mockingjay - Part 1"
"163",1126400,1127970,"I smuggled him in.","The Hunger Games: Mockingjay - Part 1"
"164",1132160,1133445,"I got Dad.","The Hunger Games: Mockingjay - Part 1"
"165",1137039,1140044,"And I got someof your herbs from the kitchen.","The Hunger Games: Mockingjay - Part 1"
"166",1141400,1143402,"They have strict rules.","The Hunger Games: Mockingjay - Part 1"
"167",1143720,1146200,"I don't knowwhat they'll do if they find him here.","The Hunger Games: Mockingjay - Part 1"
"168",1161240,1162519,"You should try to eat something.","The Hunger Games: Mockingjay - Part 1"
"169",1176559,1178642,"Hello. Good evening.","The Hunger Games: Mockingjay - Part 1"
"170",1178720,1181609,"And a big welcome to all in Panem.","The Hunger Games: Mockingjay - Part 1"
"171",1182000,1183444,"I'm Caesar Flickerman.","The Hunger Games: Mockingjay - Part 1"
"172",1183640,1186165,"And whoever you are,whatever it is you're doing,","The Hunger Games: Mockingjay - Part 1"
"173",1186279,1187884,"if you're working, put down your work.","The Hunger Games: Mockingjay - Part 1"
"174",1187960,1189883,"If you're having dinner,stop having dinner.","The Hunger Games: Mockingjay - Part 1"
"175",1190000,1193606,"Because you are going to wantto witness this tonight.","The Hunger Games: Mockingjay - Part 1"
"176",1194480,1196403,"There has been rampant speculation","The Hunger Games: Mockingjay - Part 1"
"177",1196480,1199689,"about what really happenedin the Quarter Quell.","The Hunger Games: Mockingjay - Part 1"
"178",1200079,1204563,"And here to shed a little light on thesubject for us is a very special guest.","The Hunger Games: Mockingjay - Part 1"
"179",1204680,1208365,"Please welcome Mr. Peeta Mellark.","The Hunger Games: Mockingjay - Part 1"
"180",1209440,1214651,"Peeta, a lot of peoplefeel as though they are in the dark.","The Hunger Games: Mockingjay - Part 1"
"181",1214720,1216801," Yeah, I know how they feel.","The Hunger Games: Mockingjay - Part 1"
"182",1216960,1219008,"Now, so set the stage for us.","The Hunger Games: Mockingjay - Part 1"
"183",1219119,1224888,"Talk us through what really happenedon that final and controversial night.","The Hunger Games: Mockingjay - Part 1"
"184",1224960,1229170,"Well, first off, you have to understandthat when you're in the Games","The Hunger Games: Mockingjay - Part 1"
"185",1230319,1233005,"you only get one wish. It's very costly.","The Hunger Games: Mockingjay - Part 1"
"186",1233160,1234200,"You're alive.","The Hunger Games: Mockingjay - Part 1"
"187",1234279,1235280," It costs your life.","The Hunger Games: Mockingjay - Part 1"
"188",1235359,1236566,"I think it costs more than your life.","The Hunger Games: Mockingjay - Part 1"
"189",1236640,1238243,"How do you mean?What's more than your life?","The Hunger Games: Mockingjay - Part 1"
"190",1238319,1242644,"I mean to murder innocent people,that costs everything that you are.","The Hunger Games: Mockingjay - Part 1"
"191",1242799,1243881,"Yes.","The Hunger Games: Mockingjay - Part 1"
"192",1244000,1247128,"So you hold on to that one wish.","The Hunger Games: Mockingjay - Part 1"
"193",1247920,1250365,"And that night my wish was to save Katniss.","The Hunger Games: Mockingjay - Part 1"
