"id","startTime","endTime","text","title"
"1",60843,62262,"I think its our tradition...","The Hunger Games"
"2",62643,64088,"It comes out of a...","The Hunger Games"
"3",64126,66430,"...particularly painfulpart of our history.","The Hunger Games"
"4",66466,67593,"Yes. Yes.","The Hunger Games"
"5",67594,69652,"But it's been a waywe've been able to heal.","The Hunger Games"
"6",70445,72932,"At first it was areminder of the rebellion","The Hunger Games"
"7",72968,75415,"It was the price theDistricts had to pay.","The Hunger Games"
"8",75685,77474,"But I think it has grown from that.","The Hunger Games"
"9",77513,79533,"I think its a...","The Hunger Games"
"10",79843,81593,"Its something thatnets us all together.","The Hunger Games"
"11",83415,85740,"This is your third year's game?","The Hunger Games"
"12",87347,90043,"What defines your personal signature?","The Hunger Games"
"13",96518,97709,"Shhhh. It's okay.","The Hunger Games"
"14",98054,100456,"It's okay.You're just dreaming.","The Hunger Games"
"15",100492,101740,"You're dreaming.","The Hunger Games"
"16",105325,106739,"I know.","The Hunger Games"
"17",107520,109007,"I know what its like.","The Hunger Games"
"18",109860,111591,"It's your first...Prim, your name's gonna","The Hunger Games"
"19",111593,113323,"be there once, they'renot gonna pick you!","The Hunger Games"
"20",114271,116382,"Try to go to sleep.","The Hunger Games"
"21",116418,117953,"I can't.","The Hunger Games"
"22",118620,119866,"Just try.","The Hunger Games"
"23",120274,121522,"Just try.","The Hunger Games"
"24",132330,136802,"Deep in the meadow.","The Hunger Games"
"25",136939,141360,"Under the willow.","The Hunger Games"
"26",141871,145219,"Hop in the grass.","The Hunger Games"
"27",145635,149451,"A soft green and pillow.","The Hunger Games"
"28",150889,152792,"You remember that song?","The Hunger Games"
"29",153126,154372,"Ok.","The Hunger Games"
"30",154520,155474,"You finish it.","The Hunger Games"
"31",155477,156396,"I gotta go.","The Hunger Games"
"32",156397,157646,"Where?","The Hunger Games"
"33",158180,159692,"I just gotta go.","The Hunger Games"
"34",159731,161207,"But I'll be back.","The Hunger Games"
"35",161245,162519,"I love you.","The Hunger Games"
"36",171091,172360,"I'll still cook you.","The Hunger Games"
"37",302982,305004,"What're you gonna do withthat when you kill it?","The Hunger Games"
"38",307822,309141,"Damn you, Gale!","The Hunger Games"
"39",309514,310819,"It's not funny.","The Hunger Games"
"40",310856,313487,"What're you gonna do witha 100 pound deer, Katnip?","The Hunger Games"
"41",313932,316231,"It's Reaping Day, the place iscrawling with Peacekeepers.","The Hunger Games"
"42",316345,317582,"I was gonna sell it.","The Hunger Games"
"43",318059,319420,"From kisskeepers..","The Hunger Games"
"44",319596,320627,"Of course you were.","The Hunger Games"
"45",320629,322144,"Like you don't sell the Peacekeepers.","The Hunger Games"
"46",322180,323584,"No! Not today.","The Hunger Games"
"47",323620,325685,"It's the first deerI've seen in a year.","The Hunger Games"
"48",325721,326576,"Now, I have nothing.","The Hunger Games"
"49",326577,327815,"Okay.","The Hunger Games"
"50",378706,381625,"What if they did? Just one you.Why if everyone just stop watching?","The Hunger Games"
"51",381663,382456,"They won't, Gale.","The Hunger Games"
"52",382459,383725,"What if they did? What if we did?","The Hunger Games"
"53",383762,385011,"Won't happen.","The Hunger Games"
"54",385100,387999,"You root for your favorite, you crywhen they get killed. It's sick.","The Hunger Games"
"55",388036,388829,"Gale.","The Hunger Games"
"56",388831,389975,"If no one watches...","The Hunger Games"
"57",390173,392408,"Then they don't have a game.It's as simple as that.","The Hunger Games"
"58",392564,393353,"What?","The Hunger Games"
"59",393355,394601,"Nothing.","The Hunger Games"
"60",395622,396409,"Fine, laught at...","The Hunger Games"
"61",396411,397658,"I'm not laughing at you.","The Hunger Games"
"62",404185,405600,"We could do it, you know?","The Hunger Games"
"63",408305,410808,"Take off. Live in the woods.What we do anyway?","The Hunger Games"
"64",410846,411692,"They'd catch us.","The Hunger Games"
"65",411694,412941,"Maybe not.","The Hunger Games"
"66",413908,415654,"Cut out our tongues or worse.","The Hunger Games"
"67",416269,417514,"We wouldn't make it five miles.","The Hunger Games"
"68",417531,418778,"No, I get five miles.","The Hunger Games"
"69",419689,420935,"We'll go that way.","The Hunger Games"
"70",421144,423108,"I have Prim. You have your brothers.","The Hunger Games"
"71",423146,424216,"They can come too.","The Hunger Games"
"72",424220,425464,"Prim in the woods?","The Hunger Games"
"73",427279,428555,"Maybe not.","The Hunger Games"
"74",430471,431863,"I'm never having kids.","The Hunger Games"
"75",433716,434711,"Not might.","The Hunger Games"
"76",434713,435766,"If I don't live here.","The Hunger Games"
"77",435768,436802,"But you do live here.","The Hunger Games"
"78",436805,438050,"I know, but if I didn't.","The Hunger Games"
"79",441377,442624,"Oh, I forgot.","The Hunger Games"
