"id","startTime","endTime","text","title"
"1",74000,75627,"Mayday! Mayday!","The Iron Giant"
"2",75668,79506,"This is the Annabelle.I'm lost and I'm taking on water.","The Iron Giant"
"3",80048,84387,"My last good reading is44 degrees north, 68 degrees. . . .","The Iron Giant"
"4",88391,91852,"Portland Station to Annabelle.What is your position?","The Iron Giant"
"5",91936,95773,"I don't know exactly. Off the coastsomewhere near Rockwell! Wait.","The Iron Giant"
"6",96691,98276,"The lighthouse! I see it!","The Iron Giant"
"7",179488,180113,"Over here, honey!","The Iron Giant"
"8",183700,187537,"Hey, Mom! You won't believeour good luck. Guess what I found?","The Iron Giant"
"9",187871,191501,"Hogarth, we've beenthrough this before. No pets.","The Iron Giant"
"10",192210,194128,"But he's not a pet, Mom.He's a friend.","The Iron Giant"
"11",194962,197256,"We've got to rent a roomif we're gonna make ends meet. . .","The Iron Giant"
"12",197298,199967,". . .and no one wantsshredded upholstery.","The Iron Giant"
"13",200134,202095,"You won't know he's there.I'll cage him.","The Iron Giant"
"14",202261,205641,"Until you feel sorry for himand set him free in the house!","The Iron Giant"
"15",206058,207768,"Do you remember the raccoon, Hogarth?","The Iron Giant"
"16",209478,210646,"I remember the raccoon.","The Iron Giant"
"17",211230,213148,"Please, Mom, at least look at him.","The Iron Giant"
"18",214233,217736,"All right. Where is this guy?","The Iron Giant"
"19",218278,220323,"I can't read this handwriting.","The Iron Giant"
"20",220407,222909,"That one should have lettuce,tomato, extra mayo.","The Iron Giant"
"21",223326,226579,"I will go get him, okay?","The Iron Giant"
"22",228123,230834,"So he wants us to hold the mayoand the mustard.","The Iron Giant"
"23",231835,233586,"How about just holdthe flavor altogether?","The Iron Giant"
"24",239927,240720,"Excuse me.","The Iron Giant"
"25",241429,244598,"Excuse me. Sir?","The Iron Giant"
"26",248102,249020,"Excuse me--!","The Iron Giant"
"27",253150,255027,"-What's that?-Please don't move.","The Iron Giant"
"28",255444,257946,"My pet's under your table.Don't look!","The Iron Giant"
"29",258447,260949,"If you make a scene,my mom won't let me keep him.","The Iron Giant"
"30",261283,263368,"-What kind of pet, kid?-A squirrel.","The Iron Giant"
"31",263994,264703,"He's friendly.","The Iron Giant"
"32",264953,269167,"I'm telling the truth, dang it!It came from outer space. I saw it.","The Iron Giant"
"33",270168,272211,"And it was headed toward land.","The Iron Giant"
"34",272503,274839,"I called the governmentin Washington about it.","The Iron Giant"
