"id","startTime","endTime","text","title"
"1",49381,51090,"Tony, don't forget to tell Uncle Louie","The Karate Kid"
"2",51091,54468,"that I left the red wine and the Parmesanin the refrigerator, all right.","The Karate Kid"
"3",54469,56637,"'Bye-bye.'Okay-Bye, Judy.","The Karate Kid"
"4",56638,60016,"- Send me a picture.- I'll be back soon. Don't worry about it.","The Karate Kid"
"5",60017,62852,"Be careful. Be careful, now.","The Karate Kid"
"6",62853,64270,"Bye.","The Karate Kid"
"7",64271,69271,"- Take it easy now.- Bye!","The Karate Kid"
"8",79661,80161,"Bye!","The Karate Kid"
"9",93675,97178,"California, here we come","The Karate Kid"
"10",97179,99639,"Come on, Daniel. What's the matter?You don't like my singing?","The Karate Kid"
"11",99640,102850,"- I don't like the song, Ma.- You're gonna love California.","The Karate Kid"
"12",102851,104810,"You get up in the morning,you roll out of bed.","The Karate Kid"
"13",104811,107271,"- Plop. You're in your swimming pool.- Yeah, sure.","The Karate Kid"
"14",107272,108814,"All right. You'll see.","The Karate Kid"
"15",108815,113815,"You know, this isn't exactlya dump we're moving to, you know.","The Karate Kid"
"16",180595,185595,"Push, Daniel. Push! Give it all you got, kid.Come on, push it! Push!","The Karate Kid"
"17",185976,190976,"Okay, okay, we got it! Got it! Come on,come on, come on, get in, get in. Hurry up!","The Karate Kid"
"18",192274,197274,"We did it again. Way to go!","The Karate Kid"
"19",220761,222595,"Daniel.","The Karate Kid"
"20",222596,225097,"Daniel! Come on, wake up.","The Karate Kid"
"21",225098,227767,"Look off the starboard bow.","The Karate Kid"
"22",227768,230478,"Paradise at last!","The Karate Kid"
"23",230479,232730,"We made it.","The Karate Kid"
"24",232731,236776,"Come on. This is it.","The Karate Kid"
"25",236777,239945,"This is the end of the line.","The Karate Kid"
"26",239946,242615,"You're telling me.","The Karate Kid"
"27",242616,246786,"Come on. All hands on deck.","The Karate Kid"
"28",246787,251787,"We got to get this thing unloadedbefore it sinks.","The Karate Kid"
"29",252334,256253,"Look at those palm trees! Damn!Do you know what that means?","The Karate Kid"
"30",256254,258923,"Yeah. Watch out for falling coconuts.","The Karate Kid"
"31",258924,262968,"- Wise guy. No more Newark winters!- I like winters, Ma.","The Karate Kid"
"32",262969,266263,"You like sore throats?You like frozen toes?","The Karate Kid"
"33",266264,270017,"- I don't like smog.- Did I tell you about the pool here?","The Karate Kid"
"34",270018,273687,"- About 100 times, Ma.- Okay, so make it 101.","The Karate Kid"
"35",273688,278401,"Open your eyes, my darling son.This is the Garden of Eden.","The Karate Kid"
"36",278402,282238,"Come on. Listen,we're in Apartment 20, okay?","The Karate Kid"
"37",282239,287239,"One flight up.","The Karate Kid"
"38",303009,305511,"- Are you okay?- No, I'm okay. No, don't worry about it.","The Karate Kid"
"39",305512,306971,"- Have a hand up, man.- Thanks.","The Karate Kid"
"40",306972,308806,"- You all right? I shouldn't have done that.- Yeah, sure. Don't worry about it.","The Karate Kid"
"41",308807,310015,"That was stupid. You all right?","The Karate Kid"
"42",310016,311892,"So, you got to be the new peoplein Apartment 20, right?","The Karate Kid"
"43",311893,314770,"- Yeah. I guess so.- Hey, Freddy Fernandez. Apartment 17.","The Karate Kid"
"44",314771,317022,"- Daniel LaRusso.- Hey, how you doing? Hey, let me help you.","The Karate Kid"
"45",317023,318691,"- No, no. It's okay.- I got it. Don't worry about it.","The Karate Kid"
"46",318692,321193,"- It's fine. It's heavy. It's heavy, man.- Yeah.","The Karate Kid"
"47",321194,323195,"- Hey, where are you from?- New Jersey.","The Karate Kid"
"48",323196,324780,"What you doing out here?","The Karate Kid"
"49",324781,326991,"My mom got a jobwith some company out here.","The Karate Kid"
