"id","startTime","endTime","text","title"
"1",57409,61609,"A hundred years ago,All was right with our world","The Last Airbender"
"2",61610,64609,"Prosperity and peace filled our days.","The Last Airbender"
"3",64610,69511,"The four nations: Water, Earth,Fire and Air nomads","The Last Airbender"
"4",69512,72310," lived among each other in harmony.","The Last Airbender"
"5",72311,74710,"Great respect is afforded to all ","The Last Airbender"
"6",74711,77111,"those who could bendtheir natural element.","The Last Airbender"
"7",77112,80711,"Avatar is the only personborn amongst all nations,","The Last Airbender"
"8",80712,84312,"who can master all four elements.","The Last Airbender"
"9",84313,88113,"He was the only one who couldcommunicate with the spirit world.","The Last Airbender"
"10",88114,93112,"With the Spirit's guidance the Avatar kept balance in the world.","The Last Airbender"
"11",93413,98214,"And then, a hundred years ago,he just disappeared...","The Last Airbender"
"12",100214,103215,"BOOK ONE: WATER","The Last Airbender"
"13",134118,137818,"Sorry, sorry!I am sorry!","The Last Airbender"
"14",140118,144219,"This is better than last time,I thought about  mum.","The Last Airbender"
"15",144220,147220,"Isn't it strange ?","The Last Airbender"
"16",147221,150419,"Yeah, I guess so.","The Last Airbender"
"17",150420,155320,"Stop doing that stuff around me,I always get wet.","The Last Airbender"
"18",158420,161421,"My brother and I live in a Southern Water tribe.","The Last Airbender"
"19",161422,163721,"Which is once a big city.","The Last Airbender"
"20",163722,166972,"Our father is fighting in the war.","The Last Airbender"
"21",166973,170222,"My mother  was taken prisoner andkilled when I was young.","The Last Airbender"
"22",170223,173722,"At this time of war, food is scarce.","The Last Airbender"
"23",173723,176622,"My brother and I often go hunting for food,","The Last Airbender"
"24",176623,180723,"but unfortunately my brother isn'tthe best hunter in the world.","The Last Airbender"
"25",184923,188124,"- Tiger seal.- Are you sure?","The Last Airbender"
"26",210627,212628,"I did everything dad said to do .","The Last Airbender"
"27",212629,214428,"I watched at that side of tracks","The Last Airbender"
"28",214429,216228,"deeper, that shows youwhich direction to go,","The Last Airbender"
"29",216229,221528,"I saw how long the tracks skid,which shows how fast they are going.","The Last Airbender"
"30",228829,231829,"Something underneath","The Last Airbender"
"31",244931,248931,"Caving!Move out the track!","The Last Airbender"
"32",275634,281535,"Katara,  do not go there .Probably some Fire Nation's trick","The Last Airbender"
"33",281536,286036,"Back away, really slow","The Last Airbender"
"34",290636,294236,"Katara,  do not hit that sphere!","The Last Airbender"
"35",308038,310838,"Uncle, look!","The Last Airbender"
"36",350143,353244,"Is he breathing?","The Last Airbender"
"37",354743,357944,"Did you see that light shoot to the sky?","The Last Airbender"
"38",357945,362044,"What is your name?How did you get here ?","The Last Airbender"
"39",362045,364644,"How did you get in the ice?","The Last Airbender"
"40",364646,368045,"He is exhausted.","The Last Airbender"
"41",368046,371846,"We need to get him to the village.","The Last Airbender"
"42",377146,379846,"What is this thing?","The Last Airbender"
"43",383147,385847,"It tries to eat me!","The Last Airbender"
"44",406550,410450,"- How did you arrived here?- I ran away from home.","The Last Airbender"
"45",410451,415150,"We're caught in the stormWe are forced to go under the water in the ocean.","The Last Airbender"
"46",415151,417951,"- Oh, I see.- It wasn't  very smart","The Last Airbender"
"47",417952,421751,"- I was just upset, thanks for saving me- what?","The Last Airbender"
"48",422351,425152,"I probably should get home","The Last Airbender"
"49",425153,429252,"- You're not so upset?- Not as much as I was.","The Last Airbender"
"50",446554,448554,"- Fire people is here.- What?","The Last Airbender"
"51",448555,451355,"And they brought their machines.","The Last Airbender"
"52",451356,454655,"Don't come out untilI tell you it is safe.","The Last Airbender"
"53",455756,460755,"- Something wrong?- No, please wait here.","The Last Airbender"
"54",475657,478708,"What a coincidence,  we break him out of the ice","The Last Airbender"
"55",478709,481759,"light fly into the sky, and nowthe fire people with the machines.","The Last Airbender"
"56",492560,496460,"Sokka, don't.","The Last Airbender"
"57",503661,506061,"I am Prince Zuko.","The Last Airbender"
"58",506062,510561,"Son of fire lord Ozaiand heir to the throne.","The Last Airbender"
"59",511962,515962,"Bring me all your elderly!","The Last Airbender"
"60",521663,523663,"Grandma...","The Last Airbender"
"61",537665,540365,"Katara,  don't.","The Last Airbender"
