"id","startTime","endTime","text","title"
"1",286286,288411,"Chingachgook.How are you?","The Last of the Mohicans"
"2",290499,293304,"The Master of Life is good, John.","The Last of the Mohicans"
"3",294169,295987,"Another year passed.","The Last of the Mohicans"
"4",296087,297155,"How is it with you?","The Last of the Mohicans"
"5",297255,299474,"Getting along.Yes, I am.","The Last of the Mohicans"
"6",302761,304761,"Nathaniel.","The Last of the Mohicans"
"7",305680,308125,"Hello, John.Cleared another quarter, I see.","The Last of the Mohicans"
"8",308225,310225,"Yes, I did.","The Last of the Mohicans"
"9",311937,313755,"Alexandra.Welcome.","The Last of the Mohicans"
"10",313855,315006,"Jack, how are you?","The Last of the Mohicans"
"11",315106,316258,"Hallo, Nathaniel.","The Last of the Mohicans"
"12",316358,318760,"How've you been?Good. Thank you.","The Last of the Mohicans"
"13",318860,320637,"Where you boysbeen trapping?","The Last of the Mohicans"
"14",320737,322739,"West of the Cuyahoga.","The Last of the Mohicans"
"15",323615,325615,"Why is Uncaswith you?","The Last of the Mohicans"
"16",325826,329604,"He should have settled witha woman, started a family by now.","The Last of the Mohicans"
"17",329704,333083,"Hey. Hey.Hey, Uncas, look.","The Last of the Mohicans"
"18",333834,337696,"Mohawk field we saw was fivemile long on the river.","The Last of the Mohicans"
"19",337796,338822,"Chief JosephBrandt's field.","The Last of the Mohicans"
"20",338922,339865,"You take much fur?","The Last of the Mohicans"
"21",339965,340991,"That we did.Lots.","The Last of the Mohicans"
"22",341091,342701,"The Horicon's near trapped-out now.","The Last of the Mohicans"
"23",342801,344161,"Where are you trading your skins?Castleton?","The Last of the Mohicans"
"24",344261,345245,"No.Schuylerville.","The Last of the Mohicans"
"25",345345,347330,"Schuylerville,with the Dutch, for silver.","The Last of the Mohicans"
"26",347430,351935,"French and English want topay with wampum and brandy.","The Last of the Mohicans"
"27",353770,356590,"So what is it, Jack?What brings you here?","The Last of the Mohicans"
"28",356690,359342,"French and Indian army are headingsouth out of Fort Carillon...","The Last of the Mohicans"
"29",359442,360969,"...to war against the British.","The Last of the Mohicans"
"30",361069,366509,"I'm helping to raise New York'smilitia to fill the Crown's levy.","The Last of the Mohicans"
"31",368159,370896,"And the people hereare gonna join in that fight?","The Last of the Mohicans"
"32",370996,373815,"We'll see in the morning.Where're you boys heading?","The Last of the Mohicans"
"33",373915,377694,"We'll trap over the fall.Winter in Can-tuck-ee.","The Last of the Mohicans"
"34",377794,379654,"Find a Delaware-speaking woman for Uncas.","The Last of the Mohicans"
"35",379754,383366,"She will say, 'You are the one.'Bear him many children.","The Last of the Mohicans"
"36",383466,385702,"Then you can have a boy like me.","The Last of the Mohicans"
"37",385802,388271,"Never.You are too strong.","The Last of the Mohicans"
"38",388346,389831,"Turn me old too fast.","The Last of the Mohicans"
"39",389931,392906,"That's what he's doing to his mama.","The Last of the Mohicans"
"40",408742,412482,"John Cameron, thankyou for your hospitality.","The Last of the Mohicans"
"41",413496,415941,"Mohawk traded furs with les français.","The Last of the Mohicans"
"42",416041,418735,"We got no quarrel with les français.","The Last of the Mohicans"
"43",418835,424190,"Now les français bring Huron,Ottawa, Abenaki onto Mohawk land.","The Last of the Mohicans"
"44",424257,428082,"Now Mohawk will fightles français and Huron.","The Last of the Mohicans"
"45",428094,431331,"I speak for the Twin RiversMohawk of the Six Nations.","The Last of the Mohicans"
"46",431431,435252,"His Majesty, King George II, isvery grateful for your support.","The Last of the Mohicans"
"47",435352,436628,"How far up the valley?","The Last of the Mohicans"
"48",436728,438004,"Up to Fort William Henry.","The Last of the Mohicans"
"49",438104,439881,"That's two nights and a bit from here.","The Last of the Mohicans"
"50",439981,442259,"Should be enough to remind you allthat France is our enemy.","The Last of the Mohicans"
"51",442359,444359,"France is your enemy.","The Last of the Mohicans"
"52",444861,446263,"What did you say?","The Last of the Mohicans"
"53",446363,449099,"While we're at your fort, whatif the French attack our homes?","The Last of the Mohicans"
"54",449199,450392,"What then, Lieutenant?","The Last of the Mohicans"
"55",450492,453722,"For your homes, for King, for country.","The Last of the Mohicans"
"56",453787,456189,"That's why you menought to join this fight.","The Last of the Mohicans"
"57",456289,458275,"You do what you wantwith your own scalp.","The Last of the Mohicans"
"58",458375,460694,"Do not be telling us whatwe ought to do with ours.","The Last of the Mohicans"
"59",460794,464948,"You call yourself a patriot?A loyal subject to the Crown?","The Last of the Mohicans"
"60",465048,468703,"I do not call myselfsubject to much at all.","The Last of the Mohicans"
"61",471221,474749,"I agree with some of whatNathaniel and John say,","The Last of the Mohicans"
"62",474849,477377,"but I believe England'sstill our sovereign.","The Last of the Mohicans"
"63",477477,478545,"I'll go.","The Last of the Mohicans"
"64",478645,479629,"We will go to fight the French.","The Last of the Mohicans"
"65",479729,480964,"My brother and I will volunteer up.","The Last of the Mohicans"
"66",481064,483487,"I'll fight with you, Jack.","The Last of the Mohicans"
"67",483566,485566,"I'm staying on my farm.","The Last of the Mohicans"
"68",486069,487888,"Any man who goes,his family's welcome...","The Last of the Mohicans"
"69",487988,489723,"...to fort up with ustill he comes back.","The Last of the Mohicans"
"70",489823,491600,"Boys, my sense of it is...","The Last of the Mohicans"
"71",491700,494811,"...we have enough hereto fill the county levy,","The Last of the Mohicans"
"72",494911,497063,"and it's a fight we ought to make.","The Last of the Mohicans"
"73",497163,500942,"But first we got to getterms from General Webb.","The Last of the Mohicans"
"74",501042,503252,"Where are you meeting him?","The Last of the Mohicans"
