"id","startTime","endTime","text","title"
"1",40917,42377,"He is coming.","The Lego Movie"
"2",43418,44753,"Cover your butt.","The Lego Movie"
"3",45170,46088,"Cover the what?","The Lego Movie"
"4",51009,52262,"Vitruvius.","The Lego Movie"
"5",52512,53804,"Lord Business.","The Lego Movie"
"6",54054,56098,"You've hidden the Kragle well, old man.","The Lego Movie"
"7",56348,58268,"Robots, destroy him!","The Lego Movie"
"8",58518,60228,"Yes, Lord Business.","The Lego Movie"
"9",60478,62479,"Your robots are no matchfor a MasterBuilder.","The Lego Movie"
"10",62729,65024,"For I see everything!","The Lego Movie"
"11",65900,66984,"Unh! My eyes! Ow!","The Lego Movie"
"12",67734,70655,"The Kragle. The most powerful super weapon...","The Lego Movie"
"13",70905,72489,"...is mine.","The Lego Movie"
"14",73700,75450,"Oh, the Kragle!","The Lego Movie"
"15",77453,80831,"Now my evil power will be unlimited!Can you feel me?","The Lego Movie"
"16",81081,81915,"I can feel you.","The Lego Movie"
"17",82165,84126,"Whoo! Nothing's gonna stop me now.","The Lego Movie"
"18",84376,85896,"Wait. There was a prophecy.","The Lego Movie"
"19",86129,87671,"Oh, now there's a prophecy.","The Lego Movie"
"20",87921,89382,"About the Piece of Resistance.","The Lego Movie"
"21",89632,92551,"Oh, yes! The supposedmissing Piece of Resistance...","The Lego Movie"
"22",92801,95138,"...that can somehow magicallydisarm the Kragle.","The Lego Movie"
"23",95388,96972,"Give me a break!","The Lego Movie"
"24",98557,101352,"One day, a talented less or fellow","The Lego Movie"
"25",101603,103854,"A Special One with face of yellow","The Lego Movie"
"26",104104,106733,"Will make the Piece of Resistance found","The Lego Movie"
"27",106983,109610,"From its hiding refuge underground","The Lego Movie"
"28",109860,111862,"And with a noble army at the helm","The Lego Movie"
"29",112112,116116,"This MasterBuilder will thwartThe Kragle and save the realm","The Lego Movie"
"30",116366,118661,"And be the greatestMost interesting","The Lego Movie"
"31",118911,121831,"Most important person of all times","The Lego Movie"
"32",122081,123832,"All of this is true","The Lego Movie"
"33",124082,125668,"Because it rhymes","The Lego Movie"
"34",125918,127670,"Oh, wow.","The Lego Movie"
"35",127920,130715,"That was a great, inspiring legend...","The Lego Movie"
"36",130965,132050,"...that you made up.","The Lego Movie"
"37",134926,136387,"A ""Special One""?","The Lego Movie"
"38",136638,140307,"What a bunch of hippie-dippie baloney.","The Lego Movie"
"39",159409,161329,"Good morning, apartment!","The Lego Movie"
"40",161579,163372,"Good morning, doorway!Good morning, wall.","The Lego Movie"
"41",163622,165332,"Good morning, ceiling.Good morning, floor!","The Lego Movie"
"42",165582,166584,"Ready to start the day!","The Lego Movie"
"43",168461,169628,"Ah, here it is!","The Lego Movie"
