"id","startTime","endTime","text","title"
"1",4671,6924,"(SLOW TUNE ON VIOLIN PLAYING)","The Lone Ranger"
"2",42042,43710,"(MUSIC CONTINUES)","The Lone Ranger"
"3",68944,71405,"(CARNIVAL CHATTER)","The Lone Ranger"
"4",74408,75450,"CRIER: Step right up.","The Lone Ranger"
"5",75534,77453,"Step right up, ladies and gentlemen,","The Lone Ranger"
"6",77536,79537,"and come with us to yesteryear.","The Lone Ranger"
"7",79662,82415,"Witness the Wild West as it really was.","The Lone Ranger"
"8",82665,84835,"The greatest show on Earth.","The Lone Ranger"
"9",85001,88379,"Fun and educational for you, young sir.","The Lone Ranger"
"10",88506,90341,"(VENDORS CALLING OUT)","The Lone Ranger"
"11",91007,93176,"Step right up to another time","The Lone Ranger"
"12",93259,95679,"of mighty beastsand hard-hearted outlaws.","The Lone Ranger"
"13",95888,97765,"- (CRIER CONTINUES TALKING)- (VENDORS CONTINUE CALLING)","The Lone Ranger"
"14",102561,103853,"(SIGHING)","The Lone Ranger"
"15",164414,165748,"(GUN POPPING)","The Lone Ranger"
"16",176426,178094,"Kemosabe?","The Lone Ranger"
"17",180806,182599,"Who? Me?","The Lone Ranger"
"18",188146,190106,"You bring horses?","The Lone Ranger"
"19",190941,193235,"I think you made a mistake, mister.","The Lone Ranger"
"20",198157,199741,"Mistake?","The Lone Ranger"
"21",202578,203704,"(PEANUTS CRUNCHING)","The Lone Ranger"
"22",211961,213421,"Make trade.","The Lone Ranger"
"23",233984,235319,"Trade.","The Lone Ranger"
"24",245829,247080,"(SOUND OF WINGS FLUTTERING)","The Lone Ranger"
"25",247163,248373,"(BIRD CAWS)","The Lone Ranger"
"26",259468,261762,"Who did you think I was, anyway?","The Lone Ranger"
"27",267100,269060,"Never take off mask.","The Lone Ranger"
"28",273189,274358,"Why not?","The Lone Ranger"
"29",289206,290624,"You sure about this?","The Lone Ranger"
"30",290874,292042,"Mmm.","The Lone Ranger"
"31",292793,295629,"Dead man strike fearinto heart of his enemy.","The Lone Ranger"
"32",300216,301552,"All right.","The Lone Ranger"
"33",302468,303678,"Let's do this.","The Lone Ranger"
"34",305889,307098,"(GUNSHOTS)","The Lone Ranger"
"35",307182,308559,"(PEOPLE SCREAMING)","The Lone Ranger"
"36",313605,314814,"Easy!","The Lone Ranger"
"37",320069,321029,"(ALL GASP)","The Lone Ranger"
"38",321112,322488,"Ladies and gentlemen,","The Lone Ranger"
"39",322572,325074,"my colleague and Iwill be making a withdrawal.","The Lone Ranger"
"40",325158,327036,"I understand this bank is insured, so...","The Lone Ranger"
"41",329913,331247,"...nobody move.","The Lone Ranger"
"42",334084,335377,"What's with the mask?","The Lone Ranger"
"43",337211,338797,"See? I told you. I feel ridiculous.","The Lone Ranger"
"44",341382,342759,"(PEOPLE EXCLAIMING)","The Lone Ranger"
"45",344345,345678,"(ALL SCREAMING)","The Lone Ranger"
"46",346637,348932,"I guess I didn't make myself clear!","The Lone Ranger"
"47",349016,350433,"This is a damn bank robbery!","The Lone Ranger"
"48",351060,352310,"(YELLING)","The Lone Ranger"
"49",352853,354228,"WILL: Wait a minute.","The Lone Ranger"
"50",354937,356356,"You're saying you're Tonto?","The Lone Ranger"
"51",356439,357441,"The Tonto?","The Lone Ranger"
"52",358942,360778,"There is another?","The Lone Ranger"
"53",361153,363947,"But the Lone Rangerand Tonto were good guys.","The Lone Ranger"
"54",364072,366074,"I mean, they didn't rob banks.","The Lone Ranger"
"55",369661,370954,"Did they?","The Lone Ranger"
"56",372288,375125,"Come a time, kemosabe...","The Lone Ranger"
"57",380838,383925,"...when good man must wear mask.","The Lone Ranger"
"58",385718,387887,"(PEOPLE TALKING INDISTINCTLY)","The Lone Ranger"
"59",395478,397439,"FOREMAN: Run that next rail!","The Lone Ranger"
"60",400024,402151,"More rocks! They needmore rocks right there!","The Lone Ranger"
"61",403987,405656,"(INDISTINCT CHATTER)","The Lone Ranger"
