"id","startTime","endTime","text","title"
"1",97289,102647,"I think your bookkeeperpaid for the flatware twice.","The Lorax"
"2",102809,106802,"Albert, stop.I can't do this any more.","The Lorax"
"3",106969,109767,"Mollie, I love you and you love me.","The Lorax"
"4",109929,114445,"Albert, you're great in bedand you're my biggest account . . .","The Lorax"
"5",114609,116918,". . . but you're married!","The Lorax"
"6",117089,123244,"And I'll never fall in love withanyone else while I'm seeing you.","The Lorax"
"7",123409,127368,"You know I'm leaving Beth.It just takes time.","The Lorax"
"8",127529,133798,"Every time I say the word divorce,she loses five pounds.","The Lorax"
"9",133969,137166,"I'm sorry she's bulimic.","The Lorax"
"10",137329,141641,"- I can't wait for you forever.- It's going to work out soon.","The Lorax"
"11",141809,147918,"The doctor prescribed new pillsand she's starting ballet classes.","The Lorax"
"12",148089,154324,"- It'll be like the playwriting.- She knows this can't make her fat.","The Lorax"
"13",154489,157845,"She saidwriting made her ass spread.","The Lorax"
"14",158009,162639,"Which is insane, she's gota great ass for a 40-year-old.","The Lorax"
"15",162809,166882,"I'll tell Mr. Ross to giveyour account to someone else.","The Lorax"
"16",167049,173648,"I won't let him. I'll never letanyone else touch my books.","The Lorax"
"17",177569,184281,"God, Mollie, I'm going to burstif you don't kiss me soon.","The Lorax"
"18",222409,228120,"Follow me. I know where I'm going.I've got the map. Come on.","The Lorax"
"19",228289,234125,"Come on, keep up, you kids.Here we go.","The Lorax"
"20",235049,238724,"Wait a minute, I see something.","The Lorax"
"21",238889,242245,"I think this is it,right over here.","The Lorax"
"22",242409,246766,"This is definitely it.This is the place.","The Lorax"
"23",246929,249397,"Jackpot!","The Lorax"
"24",249569,254723,"Right down here, kids.Here we go.","The Lorax"
"25",257449,262523,"Dig in, you kids. Here we go.","The Lorax"
"26",262689,265965,"It's kind of tough here.","The Lorax"
"27",266809,271121,"Oh, oh . . .","The Lorax"
"28",271289,274167,"I'm in!","The Lorax"
"29",300809,304802,"Are you okay?","The Lorax"
"30",304969,308166,"- I broke up with George.- Who?","The Lorax"
"31",308329,315804,"George. I met him in Joe Allen's.He turned out to be stupid.","The Lorax"
"32",320409,324800,"You look lousy, doll.","The Lorax"
"33",324969,330805,"- Stomach flu. It's going around.- Nobody has the stomach flu.","The Lorax"
"34",330969,334678,"They don't?You want to hear about Albert?","The Lorax"
"35",334849,338444,"- Listen to me.- I am.","The Lorax"
"36",338609,343558,"Albert's shrink said his wife wouldnever recover if he kept seeing me.","The Lorax"
"37",343729,348007,"- He's decided to leave her.- Albert's leaving his wife?","The Lorax"
"38",348169,354404,"No, he's leaving his shrink. She wasreally an obstacle between us.","The Lorax"
"39",354569,358562,"Leaving his shrink?He's supposed to leave his wife.","The Lorax"
"40",358729,365043,"He's going to. He can't leave herwhile she's sick. She's bulimic.","The Lorax"
"41",365969,370599,"Don't give me that look.It's a very serious disease.","The Lorax"
"42",401209,404565,"What in the . . . Wait a minute.","The Lorax"
"43",404729,408483,"I've got two of these things.Look at that, they match.","The Lorax"
"44",408649,414121,"- You ate all that already?- How weird, I don't like ice cream.","The Lorax"
"45",414289,418521,"- There he is.- This is sick.","The Lorax"
"46",418689,423638,"He looks so sweet with the kids.If only Beth would stop throwing up.","The Lorax"
"47",423809,429566,"Miss Popularity, you can't expect tofind a husband if you never go out.","The Lorax"
"48",429729,434359,"- You're in every night of the week.- Ma, it's tax season.","The Lorax"
"49",434529,437601,"I was studying to pass a CPA exam, -","The Lorax"
"50",437769,442399,"- and I still managedto catch your father.","The Lorax"
"51",444569,448323,"What if Daddy was marriedwhen you first met him?","The Lorax"
"52",448489,451799,"- I wouldn't have fallen for him.- You can't control that.","The Lorax"
"53",451969,456599,"Why not?Listen, take your father here . . .","The Lorax"
"54",456769,461638,"His favourite food was cheesecake,and what did the doctor tell him?","The Lorax"
"55",461809,467008,"- ""Cut back on cholesterol.""- Now he doesn't eat cheesecake.","The Lorax"
"56",467169,470684,"Ma, that doesn't make any sense.","The Lorax"
"57",470849,474888,"You never used to like my food.Something's wrong.","The Lorax"
"58",475049,478246,"- Nothing's wrong.- Louie, something's wrong.","The Lorax"
"59",478409,482197,"- I didn't eat breakfast.- Something's wrong.","The Lorax"
"60",487849,490204,"No.","The Lorax"
"61",492809,494800,"Oh, no!","The Lorax"
"62",494969,498678,"- Yes!- Oh, no!","The Lorax"
"63",498849,504287,"- This wasn't a planned pregnancy?- This wasn't even a planned affair.","The Lorax"
"64",504449,508761,"Well . . .Iet's see how far along we are.","The Lorax"
"65",513409,519120,"Time out! Holy cow,what was that? Who's that?","The Lorax"
"66",519289,522406,"How could this have happened?","The Lorax"
"67",522569,527040,"- How old are you now, Mollie?- 33.","The Lorax"
"68",527209,531327,"Remember,your biological clock is ticking.","The Lorax"
"69",541089,546322,"Beth finally agreed to a divorce.Mollie, I'm so glad you waited.","The Lorax"
"70",546489,551438,"I knew if I was patient,this day would come.","The Lorax"
"71",555449,558566,"Remember your biological clock.","The Lorax"
"72",575249,578400,"My biological clock is ticking . . .","The Lorax"
"73",578569,582164,"I know, I've already said that.I didn't plan on this.","The Lorax"
"74",582329,586083,"I'm not asking for anything.I don't want to trap you.","The Lorax"
"75",586249,591767,"But this baby . . . it's you andme, and I'm not getting an abortion.","The Lorax"
"76",591929,597959,"I wasn't going to ask you to.This will be an incredible baby.","The Lorax"
"77",598129,603522,"He'll have your sweet faceand my business sense.","The Lorax"
"78",603689,608126,"- We'll get little Armani diapers.- It will be a great kid.","The Lorax"
"79",608289,612202,"Having my babywhat a way to say you love me","The Lorax"
"80",612369,616806,"Albert, you're making me sick.I hate that song.","The Lorax"
"81",617569,621357,"Stop singing.She gets sick, I get sick.","The Lorax"
"82",621529,624965,"What are you going to tell people?","The Lorax"
"83",625129,628007,"That I got artificially inseminated.","The Lorax"
"84",628169,633641,"What?How could you do such a thing?","The Lorax"
"85",633809,637848,"I went to the clinicand bought some frozen sperm.","The Lorax"
"86",638009,643800,"- I inserted it, now I'm pregnant.- Where's the frozen pop?","The Lorax"
"87",643969,649566,"- There's no frozen pop.- There's no husband.","The Lorax"
"88",649729,653358,"I control my lifeand I want to have a baby.","The Lorax"
"89",653529,657920,"This kind of thing a girl doesif she's very ugly or a lesbian.","The Lorax"
"90",658089,662526,"This is not the actof a beautiful intelligent girl.","The Lorax"
"91",662689,666967,"You never likedany of my boyfriends, anyway.","The Lorax"
"92",667129,671884,"- Where did this sperm come from?- A medical student.","The Lorax"
"93",672049,676327,"He goes to Columbia.His parents live on the lsland.","The Lorax"
"94",676489,680767,"His father's in piece goods.His mother works in cosmetics.","The Lorax"
"95",680929,684558,"So you're making fun of me.Wait, you'll see.","The Lorax"
"96",684729,688278,"Someday you'll have children.","The Lorax"
"97",700209,705044,"Look . . . an arm. It's an arm.","The Lorax"
"98",705209,711045,"Look . . . isn't it cute?","The Lorax"
"99",728769,733126,"Here's the head . . . isn't it?","The Lorax"
"100",746289,749281,"Get some apple juice down here!","The Lorax"
"101",756649,759117,"- Thirsty?- Go ahead.","The Lorax"
"102",760609,764682,"""The sex organs are mouldedout of similar tissue folds.""","The Lorax"
"103",764849,768808,"""By the second trimesterthey are identifiable.""","The Lorax"
"104",768969,772484,"Look, another armcoming in down there . . .","The Lorax"
"105",772649,776927,"How am I going to get thatin my mouth?","The Lorax"
"106",779129,782963,"Miss, excuse me . . .","The Lorax"
"107",784009,787445,"- What can I do for you?- Albert is expecting me.","The Lorax"
"108",787609,793320,"He's in with his decorator.You can wait over there.","The Lorax"
"109",798249,801639,"- I think you're going to enjoy it.- I'm sure I will.","The Lorax"
"110",801809,805927,"- Remember to dust it every day.- See you later.","The Lorax"
"111",806089,809479,"Hi, come on in.","The Lorax"
"112",818969,822006,"Albert, was that woman pretty?","The Lorax"
"113",822169,826959,"- No, you're pretty.- I look like a big, fat pilgrim.","The Lorax"
"114",827129,830519,"How do you like the desk?","The Lorax"
"115",830689,834602,"- It's made of stone.- It's all right.","The Lorax"
"116",834769,839160,"It's going to be great in here.This is all going.","The Lorax"
"117",839329,843720,"I'm having a custom-made muralof an ancient Navajo design.","The Lorax"
