"id","startTime","endTime","text","title"
"1",77500,79123,"Smeagol!","The Lord of the Rings: The Return of the King"
"2",79293,81534,"I've got one!","The Lord of the Rings: The Return of the King"
"3",82170,84164,"I've got a fish, Smeag. Smeagol!","The Lord of the Rings: The Return of the King"
"4",84340,87459,"Pull it in. Go on. Go on.Go on. Pull it in.","The Lord of the Rings: The Return of the King"
"5",95683,97510,"Deagol!","The Lord of the Rings: The Return of the King"
"6",154908,156735,"Deagol?","The Lord of the Rings: The Return of the King"
"7",159288,161528,"Deagol.","The Lord of the Rings: The Return of the King"
"8",177347,179423,"Give us that, Deagol, my love.","The Lord of the Rings: The Return of the King"
"9",184395,185675,"Why?","The Lord of the Rings: The Return of the King"
"10",186771,189014,"Because...","The Lord of the Rings: The Return of the King"
"11",189191,192939,"it's my birthday and I wants it.","The Lord of the Rings: The Return of the King"
"12",286995,292237,"My precious.","The Lord of the Rings: The Return of the King"
"13",299798,302716,"They cursed us.","The Lord of the Rings: The Return of the King"
"14",302884,304259,"Murderer.","The Lord of the Rings: The Return of the King"
"15",304428,306884,"""Murderer"" they called us.","The Lord of the Rings: The Return of the King"
"16",307055,311846,"They cursed us and drove us away.","The Lord of the Rings: The Return of the King"
"17",312978,314685,"Gollum.","The Lord of the Rings: The Return of the King"
"18",314853,316562,"Gollum.","The Lord of the Rings: The Return of the King"
"19",316731,318687,"Gollum.","The Lord of the Rings: The Return of the King"
"20",322237,325237,"And we wept, precious.","The Lord of the Rings: The Return of the King"
"21",325406,328988,"We wept to be so alone.","The Lord of the Rings: The Return of the King"
"22",331579,335362,"- and cool- So nice for feet","The Lord of the Rings: The Return of the King"
"23",336375,340752,"And we only wish To catch a fish","The Lord of the Rings: The Return of the King"
"24",340922,344172,"So juicy sweet","The Lord of the Rings: The Return of the King"
"25",349930,354057,"And we forgot the taste of bread...","The Lord of the Rings: The Return of the King"
"26",354225,357843,"the sound of trees...","The Lord of the Rings: The Return of the King"
"27",358730,361934,"the softness of the wind.","The Lord of the Rings: The Return of the King"
"28",362567,368237,"We even forgot our own name.","The Lord of the Rings: The Return of the King"
"29",376372,382790,"My precious.","The Lord of the Rings: The Return of the King"
"30",427047,429288,"Wake up!","The Lord of the Rings: The Return of the King"
"31",430341,432002,"Wake up!","The Lord of the Rings: The Return of the King"
"32",432177,433968,"Wake up, sleepies.","The Lord of the Rings: The Return of the King"
"33",434137,436009,"We must go, yes.","The Lord of the Rings: The Return of the King"
"34",436180,438850,"We must go at once.","The Lord of the Rings: The Return of the King"
"35",442394,445478,"Haven't you had any sleep, Mr. Frodo?","The Lord of the Rings: The Return of the King"
"36",447692,450230,"I've gone and had too much.","The Lord of the Rings: The Return of the King"
"37",451612,453355,"Must be getting late.","The Lord of the Rings: The Return of the King"
"38",453529,455024,"No.","The Lord of the Rings: The Return of the King"
"39",455199,457108,"It isn't.","The Lord of the Rings: The Return of the King"
"40",457283,460319,"It isn't midday yet.","The Lord of the Rings: The Return of the King"
"41",460495,463069,"The days are growing darker.","The Lord of the Rings: The Return of the King"
"42",467336,469543,"Come on!","The Lord of the Rings: The Return of the King"
"43",471966,474206,"Must go! No time!","The Lord of the Rings: The Return of the King"
"44",474384,476755,"Not before Mr. Frodo'shad something to eat.","The Lord of the Rings: The Return of the King"
"45",476927,479798,"No time to lose, silly.","The Lord of the Rings: The Return of the King"
"46",488564,489845,"Here.","The Lord of the Rings: The Return of the King"
"47",493069,494896,"What about you?","The Lord of the Rings: The Return of the King"
"48",495071,498439,"Oh, no, I'm not hungry.Leastways, not for lembas bread.","The Lord of the Rings: The Return of the King"
"49",499033,500408,"Sam.","The Lord of the Rings: The Return of the King"
"50",502995,504538,"All right.","The Lord of the Rings: The Return of the King"
"51",504704,507196,"We don't have that much left.","The Lord of the Rings: The Return of the King"
"52",507375,510245,"We have to be careful orwe're going to run out.","The Lord of the Rings: The Return of the King"
"53",512421,515338,"You go ahead and eat that, Mr. Frodo.","The Lord of the Rings: The Return of the King"
"54",515506,516918,"I've rationed it.","The Lord of the Rings: The Return of the King"
"55",517426,519086,"There should be enough.","The Lord of the Rings: The Return of the King"
"56",521263,522461,"For what?","The Lord of the Rings: The Return of the King"
"57",524140,525884,"The journey home.","The Lord of the Rings: The Return of the King"
"58",533732,536057,"Come, Hobbitses.","The Lord of the Rings: The Return of the King"
"59",537445,539318,"Very close now.","The Lord of the Rings: The Return of the King"
"60",539489,542739,"Very close to Mordor.","The Lord of the Rings: The Return of the King"
"61",542908,545577,"No safe places here.","The Lord of the Rings: The Return of the King"
"62",545745,547903,"Hurry.","The Lord of the Rings: The Return of the King"
"63",600298,602005,"It's good.","The Lord of the Rings: The Return of the King"
"64",602926,604668,"Definitely from the Shire.","The Lord of the Rings: The Return of the King"
"65",606888,609010,"Longbottom Leaf.","The Lord of the Rings: The Return of the King"
"66",614354,618682,"I feel like I'm back at The Green Dragon.","The Lord of the Rings: The Return of the King"
"67",619774,623024,"- Green Dragon.- A mug of ale in my hand.","The Lord of the Rings: The Return of the King"
"68",623195,627774,"Putting my feet up on a settleafter a hard day's work.","The Lord of the Rings: The Return of the King"
"69",628366,631817,"Only, you've never done a hard day's work.","The Lord of the Rings: The Return of the King"
"70",644633,647668,"Welcome, my lords...","The Lord of the Rings: The Return of the King"
"71",647844,650086,"to Isengard!","The Lord of the Rings: The Return of the King"
"72",650471,654220,"You young rascals! A merryhunt you've led us on...","The Lord of the Rings: The Return of the King"
"73",654392,659385,"and now we find you feasting and...and smoking!","The Lord of the Rings: The Return of the King"
"74",659563,662730,"We are sitting on a field of victory...","The Lord of the Rings: The Return of the King"
"75",662899,666399,"enjoying a few well-earned comforts.","The Lord of the Rings: The Return of the King"
"76",667488,671320,"The salted pork is particularly good.","The Lord of the Rings: The Return of the King"
"77",671868,674240,"Salted pork?","The Lord of the Rings: The Return of the King"
"78",675453,678870,"- Hobbits.- We're under orders from Treebeard...","The Lord of the Rings: The Return of the King"
"79",679041,681875,"who's taken over management of Isengard.","The Lord of the Rings: The Return of the King"
