"id","startTime","endTime","text","title"
"1",76856,80587,"- You cannot pass!- Gandalf!","The Lord of the Rings: The Two Towers"
"2",85466,90801,"I am a servant of the SecretFire, wielder of the flame of Anor.","The Lord of the Rings: The Two Towers"
"3",98746,101509,"Go back to the Shadow.","The Lord of the Rings: The Two Towers"
"4",102415,106216,"The dark fire will not avail you, flame of Udun!","The Lord of the Rings: The Two Towers"
"5",110088,114582,"You shall not pass!","The Lord of the Rings: The Two Towers"
"6",141753,143414,"No! No!","The Lord of the Rings: The Two Towers"
"7",143622,145591,"Gandalf!","The Lord of the Rings: The Two Towers"
"8",153199,154927,"Fly, you fools.","The Lord of the Rings: The Two Towers"
"9",155567,157432,"No!","The Lord of the Rings: The Two Towers"
"10",159405,161463,"Gandalf!","The Lord of the Rings: The Two Towers"
"11",230141,231973,"Gandalf!","The Lord of the Rings: The Two Towers"
"12",232978,235206,"What is it, Mr. Frodo?","The Lord of the Rings: The Two Towers"
"13",237147,238877,"Nothing.","The Lord of the Rings: The Two Towers"
"14",246157,248216,"Just a dream.","The Lord of the Rings: The Two Towers"
"15",261404,262598,"Can you see the bottom?","The Lord of the Rings: The Two Towers"
"16",263874,267002,"No! Don't look down, Sam! Just keep going!","The Lord of the Rings: The Two Towers"
"17",277855,279981,"Catch it! Grab it, Mr. Frodo!","The Lord of the Rings: The Two Towers"
"18",283093,285062,"Mr. Frodo!","The Lord of the Rings: The Two Towers"
"19",287665,289394,"I think I've found the bottom.","The Lord of the Rings: The Two Towers"
"20",294805,297797,"Bogs and rope, and goodness knows what.","The Lord of the Rings: The Two Towers"
"21",297973,301204,"It's not natural. None of it.","The Lord of the Rings: The Two Towers"
"22",304314,306372,"- What's in this?- Nothing.","The Lord of the Rings: The Two Towers"
"23",307750,308809,"Just a bit of seasoning.","The Lord of the Rings: The Two Towers"
"24",309418,312216,"I thought maybe if we was having aroast chicken one night or something.","The Lord of the Rings: The Two Towers"
"25",312755,314985,"Roast chicken?!","The Lord of the Rings: The Two Towers"
"26",315591,316853,"You never know.","The Lord of the Rings: The Two Towers"
"27",317326,320262,"Sam. My dear Sam.","The Lord of the Rings: The Two Towers"
"28",321964,325901,"It's very special, that. It'sthe best salt in all the Shire.","The Lord of the Rings: The Two Towers"
"29",327170,329161,"It is special.","The Lord of the Rings: The Two Towers"
