"id","startTime","endTime","text","title"
"1",1050,20050,"Improved & Synced by BanglarBagh","The Lost City of Z"
"2",48280,53320,"(INSECTS TRILLING, LEAVES RUSTLING)","The Lost City of Z"
"3",78079,83405,"- (INSECTS TRILLING, BIRDS CHIRPING)- (SOFT STRINGS PLAYING)","The Lost City of Z"
"4",91400,94609,"(RHYTHMIC DRUM BEATS IN DISTANCE)","The Lost City of Z"
"5",96759,100162,"- (INSECTS, BIRDS, STRINGS FADE)- (DRUM CONTINUES)","The Lost City of Z"
"6",100840,104162,"- (MAN SHOUTS ORDERS IN DISTANCE)- (MILITARY DRUM JOINS)","The Lost City of Z"
"7",111439,113043,"- (HORSE WHINNIES)- (INDISTINCT SHOUTING IN DISTANCE)","The Lost City of Z"
"8",114479,115480,"NINA: Percy!","The Lost City of Z"
"9",116439,117884,"Look at him with his horse.","The Lost City of Z"
"10",119840,121079,"Wave to your father.","The Lost City of Z"
"11",123400,124605,"SOLDIER: Gentlemen!","The Lost City of Z"
"12",124680,127683,"Today, I will be deliveredto the Archduke Ferdinand at the gala.","The Lost City of Z"
"13",128680,131763,"I expect you to behavewith distinction on this hunt.","The Lost City of Z"
"14",131840,132841,"Good luck...","The Lost City of Z"
"15",133800,135006,"and Godspeed.","The Lost City of Z"
"16",135080,137401,"Could they not fit you a rocking chairon that horse, grandad?","The Lost City of Z"
"17",138039,140087,"You'll all be my gun bearers by evening.","The Lost City of Z"
"18",140199,141281,"I've no doubt of that.","The Lost City of Z"
"19",141360,144728,"(HORN BLOWS, HORSES WHINNY)","The Lost City of Z"
"20",149039,151485,"(FAST TEMPO, MILITARY PERCUSSION)","The Lost City of Z"
"21",152719,157486,"(LIVELY BAGPIPES PLAYING)","The Lost City of Z"
"22",160560,162210,"(INDISTINCT SHOUTING)","The Lost City of Z"
"23",163520,166251,"(HORSES WHINNY)","The Lost City of Z"
"24",182159,184207,"Keep up there! Keep up there!","The Lost City of Z"
"25",188599,189806,"(PAINFUL SHOUT)","The Lost City of Z"
"26",193240,195686,"(MUSIC)","The Lost City of Z"
"27",195759,197409,"(INDISTINCT SHOUTING)","The Lost City of Z"
"28",200199,202361,"Major, there's no path there!","The Lost City of Z"
"29",203240,205526,"Major! Major!","The Lost City of Z"
"30",209319,213563,"(HORSE WHINNIES, DRUMS RISE)","The Lost City of Z"
"31",215360,217168,"(MUSIC FADES)","The Lost City of Z"
"32",218840,219841,"Good boy.","The Lost City of Z"
"33",221639,224324,"(INSECTS TRILLING, BIRDS CHIRPING)","The Lost City of Z"
"34",232079,233240,"SOLDIER: You caught him?","The Lost City of Z"
"35",234960,236371,"Superb horsemanship, Major.","The Lost City of Z"
