"id","startTime","endTime","text","title"
"1",105289,106373,"Yes, sweetheart?","The Maltese Falcon"
"2",106456,109209,"A girl wants to see you.Her name's Wonderly.","The Maltese Falcon"
"3",109293,110168,"A customer?","The Maltese Falcon"
"4",110252,113420,"I guess so. You'll want to see her, anyway.She's a knockout.","The Maltese Falcon"
"5",113503,116007,"Shoo her in, Effie, darling. Shoo her in!","The Maltese Falcon"
"6",119759,122094,"Will you come in, Miss Wonderly?","The Maltese Falcon"
"7",122429,123679,"Thank you.","The Maltese Falcon"
"8",127974,130768,"- Won't you sit down, Miss Wonderly?- Thank you.","The Maltese Falcon"
"9",130852,133562,"I inquired at the hotelfor a reliable private detective.","The Maltese Falcon"
"10",133645,134854,"They mentioned you.","The Maltese Falcon"
"11",134937,137897,"Suppose you tell me about itfrom the very beginning.","The Maltese Falcon"
"12",137981,139650,"I'm from New York.","The Maltese Falcon"
"13",140526,142401,"I'm trying to find my sister.","The Maltese Falcon"
"14",142610,144653,"I believe she's here in San Francisco...","The Maltese Falcon"
"15",144737,147656,"with a man by the name of Thursby,Floyd Thursby.","The Maltese Falcon"
"16",148907,150867,"I don't know where she met him.","The Maltese Falcon"
"17",150992,153828,"We've never been as closeas sisters ought to be.","The Maltese Falcon"
"18",153953,157456,"If we had, Corinne would have told meshe was running away with him.","The Maltese Falcon"
"19",157538,160876,"Our parents are in Honolulu.I must find her before they return.","The Maltese Falcon"
"20",160959,164045,"- They'll be back on the first.- You've had word of your sister?","The Maltese Falcon"
"21",164127,166379,"A letter from her about two weeks ago.","The Maltese Falcon"
"22",166463,168882,"It said nothing exceptthat she was all right.","The Maltese Falcon"
"23",168965,171134,"I sent a telegram begging herto come home.","The Maltese Falcon"
"24",171216,174135,"I sent it to a general delivery address,the one she gave.","The Maltese Falcon"
"25",174218,177764,"I waited a week and no answer cameso I decided to come out here myself.","The Maltese Falcon"
"26",177847,180766,"I wrote her that I was coming.I shouldn't have, should I?","The Maltese Falcon"
"27",180849,183225,"It's not always easy to know what to do.","The Maltese Falcon"
"28",183350,184686,"You haven't found her?","The Maltese Falcon"
"29",184770,188855,"No. I wrote in my letter that I'd be atthe St. Mark and for her to meet me there.","The Maltese Falcon"
"30",188938,192734,"I waited three days. She didn't come.She didn't even send a message.","The Maltese Falcon"
"31",193234,195110,"It was horrible. Waiting.","The Maltese Falcon"
"32",195778,197487,"I sent her another letter.","The Maltese Falcon"
"33",197570,199907,"Yesterday afternoonI went to the post office.","The Maltese Falcon"
"34",199990,203200,"Corinne didn't call for her mail,but Floyd Thursby did.","The Maltese Falcon"
"35",203325,205661,"He wouldn't tell me where Corinne was.","The Maltese Falcon"
"36",205828,207829,"He said she didn't want to see me.","The Maltese Falcon"
"37",207913,209413,"I can't believe that.","The Maltese Falcon"
"38",209497,212123,"He promised to bring her to the hotelif she'd come.","The Maltese Falcon"
"39",212207,215752,"He said he knew she wouldn't.He promised to come if she didn't.","The Maltese Falcon"
"40",217002,218128,"Excuse me.","The Maltese Falcon"
"41",218337,220673,"It's all right, Miles. Come in.","The Maltese Falcon"
"42",220799,223175,"Miss Wonderly, my partner, Miles Archer.","The Maltese Falcon"
"43",223925,227219,"Miss Wonderly's sister ran awaywith a fellow named Thursby.","The Maltese Falcon"
"44",227302,229055,"They're here in San Francisco.","The Maltese Falcon"
"45",229138,231432,"Miss Wonderly has a datewith Thursby tonight.","The Maltese Falcon"
"46",231514,234266,"Maybe he'll bring the sister.The chances are he won't.","The Maltese Falcon"
