"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","The Man Who Shot Liberty Valance"
"2",141058,143727,"- Thank you, Jason. On time.- You bet!","The Man Who Shot Liberty Valance"
"3",146105,147355,"Link.","The Man Who Shot Liberty Valance"
"4",147857,149566,"Link Appleyard!","The Man Who Shot Liberty Valance"
"5",150359,153153,"- Oh, Miss Hallie.- Hello, Marshal.","The Man Who Shot Liberty Valance"
"6",153237,156406,"- Howdy, Mr Senator.- No, no. Rance. Rance.","The Man Who Shot Liberty Valance"
"7",156907,160201,"Rance... Sure glad you could come.","The Man Who Shot Liberty Valance"
"8",160411,163121,"Your wire caught us in Saint Louis.Thank you.","The Man Who Shot Liberty Valance"
"9",163456,168001,"My buckboard's right over there.Now, Jason, give me that box.","The Man Who Shot Liberty Valance"
"10",168085,169794,"You knew they were coming!","The Man Who Shot Liberty Valance"
"11",169879,174049,"That's the first time you everkept a secret! Blabbermouth!","The Man Who Shot Liberty Valance"
"12",174300,176718,"Who was that, Jason?Anybody worth a line in the paper?","The Man Who Shot Liberty Valance"
"13",176802,178094,"A line?","The Man Who Shot Liberty Valance"
"14",178262,181473,"You blasted fool,that's Senator Stoddard and his wife.","The Man Who Shot Liberty Valance"
"15",181557,184225,"You can fill your newspaper with them!","The Man Who Shot Liberty Valance"
"16",188314,191024,"Hi, Lydia. Charlie Hasbrouck.Emergency!","The Man Who Shot Liberty Valance"
"17",191108,195278,"Tell the editor Senator Stoddardand his wife just got here!","The Man Who Shot Liberty Valance"
"18",195363,197155,"That's right! Thanks!","The Man Who Shot Liberty Valance"
"19",197698,199532,"Hey, that's a nickel!","The Man Who Shot Liberty Valance"
"20",199617,201826,"Charge the Shinbone Star!","The Man Who Shot Liberty Valance"
"21",214924,217467,"Hey, Senator! Senator Stoddard, ma'am.","The Man Who Shot Liberty Valance"
"22",218010,221596,"Could you give me an interview?Exclusive, like. A scoop!","The Man Who Shot Liberty Valance"
"23",222807,224641,"Shinbone Star...","The Man Who Shot Liberty Valance"
"24",225226,228645,"Well, now, son, I... All right.","The Man Who Shot Liberty Valance"
"25",228729,230980,"I'll give the interview,but only for one reason.","The Man Who Shot Liberty Valance"
"26",231690,234109,"One reason... Dutton Peabody,","The Man Who Shot Liberty Valance"
"27",234735,240156,"founder, publisher, editor-in-chiefof the Shinbone Star once fired me.","The Man Who Shot Liberty Valance"
"28",240533,243034,"I'll be firedif I don't get this interview.","The Man Who Shot Liberty Valance"
"29",243119,245161,"Is it true you're going to...","The Man Who Shot Liberty Valance"
"30",245538,246830,"Here he comes now.","The Man Who Shot Liberty Valance"
"31",251210,254712,"Senator Stoddard, this is a surpriseand an honour, sir!","The Man Who Shot Liberty Valance"
"32",254797,258133,"- Maxwell Scott, editor of the Star.- How do you do, Mr Scott?","The Man Who Shot Liberty Valance"
"33",258217,260969,"- This is Mrs Stoddard.- A pleasure, ma'am.","The Man Who Shot Liberty Valance"
"34",261053,264264,"What brings you back, sir?Is it true you're going to run...","The Man Who Shot Liberty Valance"
"35",264348,266558,"Oh, no. Hold on, Mr Scott.","The Man Who Shot Liberty Valance"
"36",266642,270895,"Who am I giving this interview to?You or this young fellow here?","The Man Who Shot Liberty Valance"
"37",270980,274190,"- Who asked first, by the way.- I sure did.","The Man Who Shot Liberty Valance"
"38",274275,277485,"If you're a good reporteryou'll invite them into our office,","The Man Who Shot Liberty Valance"
"39",277570,278778,"out of the sun and dust.","The Man Who Shot Liberty Valance"
"40",278863,283032,"He's right. Best way to make a mantalk is to make him comfortable.","The Man Who Shot Liberty Valance"
"41",283325,287287,"Well, it's backin business again, politics.","The Man Who Shot Liberty Valance"
"42",287371,291166,"Link, why don't you take Halliefor a little ride around town?","The Man Who Shot Liberty Valance"
"43",292001,293877,"Lot of changes, huh?","The Man Who Shot Liberty Valance"
"44",294044,297797,"I'll go with these fellowsand mend a few political fences.","The Man Who Shot Liberty Valance"
"45",306557,309142,"I notice you're not wearing the star.","The Man Who Shot Liberty Valance"
"46",309685,311144,"Oh, shucks, Miss Hallie.","The Man Who Shot Liberty Valance"
"47",311228,314647,"They haven't elected meTown Marshal for a dog's age.","The Man Who Shot Liberty Valance"
"48",315399,318151,"I reckon the only one of usfrom the old days","The Man Who Shot Liberty Valance"
"49",318235,320528,"still working is the senator!","The Man Who Shot Liberty Valance"
"50",323908,325909,"Place has sure changed.","The Man Who Shot Liberty Valance"
"51",326744,330914,"Churches, high school, shops.","The Man Who Shot Liberty Valance"
"52",332082,334334,"Well, the railroad done that.","The Man Who Shot Liberty Valance"
"53",336587,338546,"Desert's still the same.","The Man Who Shot Liberty Valance"
"54",342301,344511,"The cactus rose is in blossom.","The Man Who Shot Liberty Valance"
"55",346388,347764,"Maybe...","The Man Who Shot Liberty Valance"
"56",351435,355271,"Maybe you'd like to takea ride out desert way","The Man Who Shot Liberty Valance"
"57",355397,357232,"and maybe look around.","The Man Who Shot Liberty Valance"
"58",359902,361194,"Maybe.","The Man Who Shot Liberty Valance"
"59",400693,403695,"You knew where I wanted to go,didn't you?","The Man Who Shot Liberty Valance"
"60",403821,407156,"Well, you said you wantedto see the cactus blossoms.","The Man Who Shot Liberty Valance"
"61",408450,411536,"There's his house down there,what's left of it.","The Man Who Shot Liberty Valance"
"62",411620,413454,"Blossoms all around it.","The Man Who Shot Liberty Valance"
"63",417334,421170,"He never did finish that roomhe started to build on, did he?","The Man Who Shot Liberty Valance"
"64",422715,424340,"No.","The Man Who Shot Liberty Valance"
"65",424466,426968,"Oh, well, you know all about that.","The Man Who Shot Liberty Valance"
"66",433475,435351,"There's a lovely one there.","The Man Who Shot Liberty Valance"
"67",450200,451659,"Whoa!","The Man Who Shot Liberty Valance"
"68",476477,482106,"Well, gentlemen, I promised myselfthis trip I would not talk politics,","The Man Who Shot Liberty Valance"
"69",482191,485276,"and look here,that's just about all I've been doing.","The Man Who Shot Liberty Valance"
"70",485361,489155,"Surely you're going to Capitol Cityand talk to the assembly?","The Man Who Shot Liberty Valance"
"71",489239,492158,"Not this trip. This is purely personal.","The Man Who Shot Liberty Valance"
"72",492660,496496,"Purely personal?That isn't good enough for my readers.","The Man Who Shot Liberty Valance"
"73",496580,499666,"Why did you come to Shinbone?No mystery, is there?","The Man Who Shot Liberty Valance"
"74",499750,500792,"No.","The Man Who Shot Liberty Valance"
"75",501877,504045,"No, there's no mystery.","The Man Who Shot Liberty Valance"
"76",504588,506589,"I'm here to go to a funeral.","The Man Who Shot Liberty Valance"
"77",506965,508549,"Funeral?","The Man Who Shot Liberty Valance"
"78",509093,510718,"Who's dead, sir?","The Man Who Shot Liberty Valance"
"79",511345,513054,"No, sir. I...","The Man Who Shot Liberty Valance"
"80",514223,516766,"A man by the name of Tom Doniphon.","The Man Who Shot Liberty Valance"
"81",517935,520561,"Oh, there's my good wife. I'll...","The Man Who Shot Liberty Valance"
"82",521105,523564,"I've enjoyed the visit, gentlemen.","The Man Who Shot Liberty Valance"
"83",532783,534450,"Tom Doniphon?","The Man Who Shot Liberty Valance"
"84",561145,563855,"- Hello, Clute.- Why, Rance!","The Man Who Shot Liberty Valance"
"85",564273,567150,"Ransom Stoddard! And Miss Hallie!","The Man Who Shot Liberty Valance"
"86",567234,569694,"Gosh, Senator, I didn't think...","The Man Who Shot Liberty Valance"
"87",569778,572613,"Why didn't you let me knowthey was coming?","The Man Who Shot Liberty Valance"
"88",572698,575032,"Gosh, I'd have hada real bang-up funeral.","The Man Who Shot Liberty Valance"
"89",575451,578619,"Folks from all over, everywhere,would have come.","The Man Who Shot Liberty Valance"
"90",597973,602351,"The county's gonna bury him, you know.I won't make a nickel out of it.","The Man Who Shot Liberty Valance"
"91",627211,628377,"Pompey?","The Man Who Shot Liberty Valance"
"92",643018,644477,"Miss Hallie.","The Man Who Shot Liberty Valance"
"93",645729,647605,"Pompey, I'm sorry.","The Man Who Shot Liberty Valance"
"94",662538,664580,"Maybe you'd like to...","The Man Who Shot Liberty Valance"
"95",674091,675633,"Where are his boots?","The Man Who Shot Liberty Valance"
"96",675759,677009,"Well, I thought...","The Man Who Shot Liberty Valance"
"97",677094,681138,"They was an awful nice pair of boots,almost brand-new, and I thought...","The Man Who Shot Liberty Valance"
"98",681223,686102,"Put his boots on, Clute,and his gun belt and his spurs.","The Man Who Shot Liberty Valance"
"99",686436,690189,"He didn't carry no handgun, Rance.He didn't for years.","The Man Who Shot Liberty Valance"
"100",690566,692066,"Yeah, sure.","The Man Who Shot Liberty Valance"
"101",722472,725224,"Sir, I don't wish to intrude,","The Man Who Shot Liberty Valance"
"102",725726,728227,"but a United States senator is news.","The Man Who Shot Liberty Valance"
"103",729104,732815,"I'm the editor of a newspaperwith a state-wide circulation.","The Man Who Shot Liberty Valance"
"104",733984,736402,"I've got a responsibility to know why","The Man Who Shot Liberty Valance"
"105",736486,739697,"you came all the way down hereto bury a man.","The Man Who Shot Liberty Valance"
"106",739781,743659,"You can't say his namewas Tom Doniphon and leave it at that.","The Man Who Shot Liberty Valance"
"107",744494,746370,"Who was Tom Doniphon?","The Man Who Shot Liberty Valance"
"108",747331,751834,"He was a friend, Mr Scott,and we'd like to be left alone.","The Man Who Shot Liberty Valance"
"109",751919,753085,"Scott, let's go.","The Man Who Shot Liberty Valance"
"110",753170,756255,"I'm sorry, Senator. That's not enough.","The Man Who Shot Liberty Valance"
"111",756924,758966,"I have a right to have the story.","The Man Who Shot Liberty Valance"
"112",771605,773731,"Yes, I guess maybe you have.","The Man Who Shot Liberty Valance"
"113",794044,796879,"Of course, this storynot only concerns me.","The Man Who Shot Liberty Valance"
"114",797547,800675,"Old Pompey in there, Link,they were part of it.","The Man Who Shot Liberty Valance"
"115",801385,804845,"But I suppose I'm the only onewho can tell it through.","The Man Who Shot Liberty Valance"
"116",805305,808140,"I read about the old daysin the paper's files.","The Man Who Shot Liberty Valance"
"117",808225,811185,"- There was no mention...- You're a young man!","The Man Who Shot Liberty Valance"
"118",811603,813104,"A young man.","The Man Who Shot Liberty Valance"
"119",813188,815856,"You only know itsince the railroad came.","The Man Who Shot Liberty Valance"
"120",815941,819402,"A lot different then.A lot different before, Mr Scott.","The Man Who Shot Liberty Valance"
"121",819528,821112,"A lot different.","The Man Who Shot Liberty Valance"
"122",821571,824907,"First time I came to Shinbone,I came by stagecoach.","The Man Who Shot Liberty Valance"
"123",825575,827868,"A lot like that one right there.","The Man Who Shot Liberty Valance"
"124",828829,830371,"Well...","The Man Who Shot Liberty Valance"
"125",833417,835543,"Could be the same one.","The Man Who Shot Liberty Valance"
"126",838463,840381,"Could be the same one.","The Man Who Shot Liberty Valance"
"127",841425,843801,"Overland...Say, I think it is the same one!","The Man Who Shot Liberty Valance"
"128",845303,846929,"Well, I declare.","The Man Who Shot Liberty Valance"
"129",849433,851183,"Well, I declare.","The Man Who Shot Liberty Valance"
"130",851893,855438,"I was just a youngster,fresh out of law school,","The Man Who Shot Liberty Valance"
"131",856273,859859,"bag full of law booksand my father's gold watch,","The Man Who Shot Liberty Valance"
"132",860402,862611,"$14.80 in cash.","The Man Who Shot Liberty Valance"
"133",863780,868242,"I had takenHorace Greeley's advice literally,","The Man Who Shot Liberty Valance"
"134",869453,872163,"""Go west, young man, go west,","The Man Who Shot Liberty Valance"
"135",872664,876792,"""and seek fame, fortune, adventure.""","The Man Who Shot Liberty Valance"
"136",882758,884675,"Stand and deliver!","The Man Who Shot Liberty Valance"
"137",901985,904028,"Shotgun, shuck your shells.","The Man Who Shot Liberty Valance"
"138",909618,911202,"Throw down the cash box.","The Man Who Shot Liberty Valance"
"139",912037,913496,"Now!","The Man Who Shot Liberty Valance"
"140",914581,917666,"All right.Get the passengers out of the coach.","The Man Who Shot Liberty Valance"
"141",945028,948030,"Looks like slim passenger pickings,but lift their wallets anyway.","The Man Who Shot Liberty Valance"
"142",956414,958916,"- I'll take that pin, too.- No. Please.","The Man Who Shot Liberty Valance"
