"id","startTime","endTime","text","title"
"1",42400,45403,"""Edge City""","The Mask"
"2",48948,50867,"Another one coming down.","The Mask"
"3",50908,52118,"Hang on.","The Mask"
"4",98122,101959,"THE MASK","The Mask"
"5",113638,116015,"I got those...","The Mask"
"6",116099,117308,"concert tickets you wanted.","The Mask"
"7",117391,118811,"You're kidding!","The Mask"
"8",118894,120687,"For Friday night?","The Mask"
"9",120771,123649,"Stanley, this is great.","The Mask"
"10",124525,126317,"What time do I pick you up?","The Mask"
"11",126401,128319,"Here's the thing.","The Mask"
"12",128403,132115,"My best girlfriend is hereand she'd die to go to this...","The Mask"
"13",132198,134952,"so could we get an extra ticketfor her?","The Mask"
"14",136578,140332,"They're sold out. That meansthere's no more.","The Mask"
"15",142209,144585,"I can't let her sit home all alone.","The Mask"
"16",146129,148632,"I'll tell you what.","The Mask"
"17",148715,150175,"Go with your friend.","The Mask"
"18",151009,153762,"I couldn't do that.","The Mask"
"19",153846,155222,"No, come on.","The Mask"
"20",156640,158850,"Stanley, you are the nicest guy.","The Mask"
"21",158933,161018,"Really, you are.","The Mask"
"22",161102,164940,"- Isn't he the nicest guy?- The best.","The Mask"
"23",168861,171697,"That was the most sickening display","The Mask"
"24",171739,175284,"- I've ever seen.- I disagree.","The Mask"
"25",175367,176952,"I'm wearing her down.","The Mask"
"26",177035,180331,"Buddy, you need a littlechange of pace.","The Mask"
"27",180415,183375,"Tonight, I'll take youon a love safari.","The Mask"
"28",183417,186879,"Deep into the darkest heartof the urban jungle.","The Mask"
"29",186962,188964,"Tell me more, bwana.","The Mask"
"30",189047,192885,"The Coco Bongo Club.Hottest new joint in town.","The Mask"
"31",192926,195429,"Only the cr�me de la cr�meneed apply.","The Mask"
"32",196722,198766,"- How do we get in?- Are you kidding?","The Mask"
"33",198849,201185,"Leave it to me.Trust me, buddy.","The Mask"
"34",201226,203479,"This will be the perfect...","The Mask"
"35",203562,205898,"night on the town.","The Mask"
"36",218411,220580,"Hold the phone.","The Mask"
"37",220622,223792,"Killer at three o'clock.","The Mask"
"38",252112,254907,"Stand back and observe.","The Mask"
"39",258910,260412,"Where do I open an account?","The Mask"
"40",260453,262247,"New accounts,right here.","The Mask"
"41",262330,264790,"You're lucky, I was on my way out--","The Mask"
"42",264873,266500,"Hold this for me, please?","The Mask"
"43",266583,268795,"I'll hold anything you want.","The Mask"
"44",271297,273258,"Can you help me?","The Mask"
"45",298659,300077,"So...","The Mask"
"46",300995,303329,"what kind of account do you want?","The Mask"
"47",303413,307709,"Well, I'm not sure exactly. I'mjust terrible with things like that.","The Mask"
"48",308710,311087,"That's an interesting tie, Mister...","The Mask"
"49",311171,313549,"Ipkiss, Stanley Ipkiss.","The Mask"
"50",313632,315217,"Tina Carlyle, it's a pleasure.","The Mask"
"51",315301,317011,"Pleasure's all mine.","The Mask"
"52",317678,319013,"May l?","The Mask"
"53",319597,320431,"What?","The Mask"
"54",320514,322349,"I'm such a mess.","The Mask"
"55",323184,325018,"Oh, of course.","The Mask"
"56",326436,328355,"That's what they're there for.","The Mask"
"57",330983,333652,"As I was saying, that tie...","The Mask"
"58",333736,337740,"reminds me of those,what do you call it, ink blot tests.","The Mask"
"59",337823,340743,"- A Rorschach test.- Right.","The Mask"
"60",340826,342995,"It sort of looks like...","The Mask"
"61",344205,345915,"a young woman riding bareback.","The Mask"
"62",345998,348000,"Sort of...","The Mask"
"63",348084,349627,"Lady Godiva or something.","The Mask"
"64",351045,352546,"Of course.","The Mask"
"65",352630,356092,"What do you see, Mr. Ipkiss?","The Mask"
"66",358302,360096,"I don't know.","The Mask"
"67",372358,374111,"Bright colors...","The Mask"
"68",374194,375695,"It's a power tie.","The Mask"
"69",375779,377614,"Supposed to make you feel...","The Mask"
"70",377697,379741,"powerful.","The Mask"
"71",379825,381243,"Does it work?","The Mask"
"72",385871,389542,"Now, how about that account?","The Mask"
"73",389583,390751,"We have...","The Mask"
"74",390835,392920,"several different plans.","The Mask"
"75",393003,394296,"Savings.","The Mask"
"76",398926,399927,"Checking.","The Mask"
"77",400010,401554,"Savings and checking.","The Mask"
"78",401637,403890,"Savings and CD's.","The Mask"
"79",403974,405267,"Checking and CD's.","The Mask"
"80",405350,408270,"Savings, checking and CD's.T-Bills.","The Mask"
"81",408311,411189,"Or we can throw your moneyin a big mattress.","The Mask"
"82",416695,419365,"Now, I have some formsfor you to fill out.","The Mask"
"83",425786,431208,"That's it, sweetheart.Now just a little bit to the right.","The Mask"
"84",431292,433210,"Keep it down back there.","The Mask"
"85",434755,435964,"We'll try.","The Mask"
"86",436047,439217,"- What do you think?- Layout's not bad. But...","The Mask"
"87",439301,442179,"the motion detectors are a pain.","The Mask"
"88",442262,444514,"But you can pull this off, right?","The Mask"
"89",444598,447517,"You talking to the Doctor.","The Mask"
"90",447601,449520,"I do have one question.","The Mask"
"91",449604,451397,"Which is?","The Mask"
"92",451481,453983,"What's Niko have to say about this?","The Mask"
"93",454066,455609,"Nothing.","The Mask"
"94",456693,459529,"- This isn't his grift.- Get real, man.","The Mask"
"95",459613,461490,"Everything is his grift.","The Mask"
"96",461531,465786,"He owns you, he owns this club,he owns this whole stinking town.","The Mask"
"97",465869,469247,"Things change.","The Mask"
"98",469331,473168,"You mess with Niko, you end uptaking a dirt nap.","The Mask"
"99",474711,477005,"He's the only one who's napping...","The Mask"
"100",479175,481844,"and I'm about to give hima serious wake-up call.","The Mask"
"101",481886,484013,"But we need cash...","The Mask"
"102",484097,486349,"so first we take the bank...","The Mask"
"103",486432,487892,"then we take Niko...","The Mask"
"104",487975,490227,"and then, my friend,school is out.","The Mask"
"105",491394,494690,"And this whole city is our playground.","The Mask"
"106",500780,502990,"Bub, watch where you're going!","The Mask"
"107",519006,520174,"Hang on, hang on!","The Mask"
"108",521551,523510,"Don't get your panties in a twist.","The Mask"
"109",523593,525805,"What the hell is it?","The Mask"
"110",525888,528015,"I don't know...","The Mask"
"111",528099,530309,"about seven hundred bucks, eh?","The Mask"
"112",531644,534105,"Now, what can I do for you, bub?","The Mask"
"113",534188,536149,"I'm here for the Civic.","The Mask"
"114",536232,540070,"The brake drums are shotand you need a new transmission.","The Mask"
"115",540112,541822,"What?!","The Mask"
"116",541905,543906,"All I wanted was an oil change.","The Mask"
"117",543990,548161,"Lucky we caught these problemsbefore they caused serious trouble.","The Mask"
"118",549203,552123,"Sign right here, and press down hard.","The Mask"
"119",553332,555793,"- There's no price.- There will be.","The Mask"
"120",556919,559380,"I've no car.I need a car tonight.","The Mask"
"121",561758,563885,"Bring around the loaner.","The Mask"
"122",563968,565803,"The loaner?","The Mask"
"123",565887,567972,"The loaner?","The Mask"
"124",597335,599588,"It's a classic.","The Mask"
"125",610349,613143,"Gals, meet my buddy Stanley Ipkiss.","The Mask"
"126",613185,616606,"Humungo in the banking business.","The Mask"
"127",616648,618817,"- Not really.- Let's get in this joint.","The Mask"
"128",621235,623862,"How you doing, buddy?","The Mask"
"129",623945,626697,"- It's Charlie!- How you doing?","The Mask"
"130",626781,629326,"- How you doing, my friend?- Long time no see.","The Mask"
"131",629410,631995,"Good to see you.","The Mask"
"132",632079,633831,"Come on, gals.","The Mask"
"133",633914,635958,"See you on the inside.","The Mask"
"134",645218,647303,"This is a mistake.","The Mask"
"135",650265,653226,"You crossed the rope.Never cross the rope.","The Mask"
"136",653309,656437,"- My friends are inside.- Lose him.","The Mask"
"137",656520,658230,"This isn't fair.","The Mask"
"138",658313,659566,"Watch it, I'm a bleeder.","The Mask"
"139",659649,662819,"Put me down now, or I amnever coming back here.","The Mask"
"140",673245,675206,"Jeez.","The Mask"
"141",689052,691181,"Mr. Ipkiss!","The Mask"
"142",691264,692974,"Hi.","The Mask"
"143",694726,695894,"Are you okay?","The Mask"
"144",695977,697562,"Me?","The Mask"
"145",697645,698897,"I'm great..","The Mask"
"146",698980,699898,"Really good.","The Mask"
"147",699981,702233,"I never felt better, really.","The Mask"
"148",702275,704319,"I'm just...","The Mask"
"149",704402,705653,"catching some air.","The Mask"
"150",705737,707572,"Your car, sir.","The Mask"
"151",708573,709991,"That's not my car.","The Mask"
"152",710075,711659,"It matches the ticket.","The Mask"
"153",715663,717207,"Alright...","The Mask"
"154",717248,719293,"I'll take it.","The Mask"
"155",720460,723171,"But I am very angry!","The Mask"
"156",724714,726257,"Believe this?","The Mask"
"157",727425,729886,"You drive in in a Porsche...","The Mask"
"158",834033,835534,"Hey, Mister!","The Mask"
"159",838829,840207,"Hold on!","The Mask"
"160",841208,843460,"I know CPR!","The Mask"
"161",881415,882416,"Hey, you!","The Mask"
"162",882457,885002,"What are you doing down there?","The Mask"
"163",886878,889673,"I'm just looking for...","The Mask"
"164",891007,892634,"my mask!","The Mask"
"165",893844,895429,"I got it.","The Mask"
"166",904397,907816,"Do you have any idea what time it is?","The Mask"
"167",907899,909609,"Actually, no.","The Mask"
"168",911736,913947,"My new carpet!","The Mask"
"169",914030,917827,"Well ,this is coming right outof your security deposit.","The Mask"
"170",918785,919911,"You know...","The Mask"
"171",919995,921121,"What?","The Mask"
"172",925041,926042,"Nothing.","The Mask"
"173",926126,929504,"Well, that's what you are, Ipkiss,a big nothing.","The Mask"
"174",933718,937638,"Aren't you due at the labto get your bolts tightened?","The Mask"
"175",939307,941434,"I should have said that.","The Mask"
"176",948775,950777,"Hey, you.","The Mask"
"177",950860,952694,"Milo!","The Mask"
"178",952778,956364,"No jumping up allowed.It's against doggie ordinance.","The Mask"
"179",981683,982851,"What do you want?","The Mask"
"180",982935,984727,"You want me to throw that?","The Mask"
"181",984811,986394,"I'm very tired.","The Mask"
"182",986478,989231,"I'll throw it one time.","The Mask"
"183",989314,992318,"I won't throw it with youattached to it.","The Mask"
"184",995947,997615,"You ready?","The Mask"
"185",997698,999242,"Get it.","The Mask"
"186",999325,1000493,"Ipkiss!","The Mask"
"187",1000535,1002829,"Turn down those cartoons!","The Mask"
"188",1002912,1005374,"Alright, Mrs. Peenman!","The Mask"
"189",1011088,1014174,"Dr. Neuman, you say that everybodywears a mask?","The Mask"
"190",1014216,1015968,"That's correct.","The Mask"
"191",1016051,1019011,"We all wear masks,metaphorically speaking.","The Mask"
"192",1019095,1022099,"We suppress the id,our darkest desires...","The Mask"
"193",1022182,1025143,"and adopt a more sociallyacceptable image.","The Mask"
