"id","startTime","endTime","text","title"
"1",47811,51088,"- Is everything in place?- You weren't supposed to relieve me.","The Matrix"
"2",51332,53845,"I know, but I felt like taking a shift.","The Matrix"
"3",54371,56646,"You like him, don't you?You like watching him.","The Matrix"
"4",56892,59770,"- Don't be ridiculous.- We're gonna kill him. You understand?","The Matrix"
"5",60012,62400,"Morpheus believes he is the One.","The Matrix"
"6",62652,63481,"Do you?","The Matrix"
"7",63731,65450,"It doesn't matter what I believe.","The Matrix"
"8",65692,67250,"You don't, do you?","The Matrix"
"9",67492,69483,"- Did you hear that?- Hear what?","The Matrix"
"10",69731,71245,"Are you sure this line is clean?","The Matrix"
"11",71492,73403,"Yeah, of course I'm sure.","The Matrix"
"12",73731,75131,"I better go.","The Matrix"
"13",111531,113250,"- Freeze! Police!- Hands on your head!","The Matrix"
"14",113771,114807,"Do it! Do it now!","The Matrix"
"15",135331,136605,"Lieutenant.","The Matrix"
"16",136891,137847,"Oh, shit.","The Matrix"
"17",138651,141723,"Lieutenant, you were givenspecific orders.","The Matrix"
"18",141972,143610,"I'm just doing my job.","The Matrix"
"19",144211,148443,"You give me that ""juris-my-dick-tion""crap, you can cram it up your ass.","The Matrix"
"20",148891,151281,"The orders were for your protection.","The Matrix"
"21",152731,154848,"I think we can handle one little girl.","The Matrix"
"22",159771,161444,"I sent two units!","The Matrix"
"23",161692,163204,"They're bringing her down now!","The Matrix"
"24",163451,166444,"No, Lieutenant, your menare already dead.","The Matrix"
"25",194645,195441,"Shit.","The Matrix"
"26",197884,200159,"Morpheus, the line was traced.I don't know how.","The Matrix"
"27",200405,201918,"I know. They cut the hard line.","The Matrix"
"28",202164,204235,"There's no time.Get to another exit.","The Matrix"
"29",204485,205804,"Are there any agents?","The Matrix"
"30",206004,206800,"Yes.","The Matrix"
"31",207004,208120,"Goddamn it.","The Matrix"
"32",208365,209843,"You have to focus, Trinity.","The Matrix"
"33",210085,212360,"There's a phone at Wells and Lake.","The Matrix"
"34",212724,214317,"You can make it.","The Matrix"
"35",214564,216156,"- All right.- Go.","The Matrix"
"36",275764,276754,"That's impossible.","The Matrix"
"37",310324,312281,"Get up, Trinity.Just get up.","The Matrix"
"38",312884,314033,"Get up.","The Matrix"
"39",358045,359478,"She got out.","The Matrix"
"40",359764,360992,"It doesn't matter.","The Matrix"
"41",361245,363235,"The informant is real.","The Matrix"
"42",364524,366117,"We have the name of their next target.","The Matrix"
"43",366365,367956,"The name is Neo.","The Matrix"
"44",371125,372557,"We'll need a search running.","The Matrix"
"45",372845,374675,"It has already begun.","The Matrix"
"46",427204,428353,"What?","The Matrix"
"47",433884,435317,"What the hell?","The Matrix"
"48",442644,444521,"""Follow the white rabbit. ""","The Matrix"
"49",455884,457000,"Who is it?","The Matrix"
"50",457245,458473,"It's Choi.","The Matrix"
"51",471444,472560,"You're two hours late.","The Matrix"
"52",473125,474797,"I know. It's her fault.","The Matrix"
"53",475084,475995,"You got the money?","The Matrix"
"54",478045,479159,"Two grand.","The Matrix"
"55",480004,481074,"Hold on.","The Matrix"
"56",498045,499363,"Hallelujah.","The Matrix"
"57",499605,502358,"You're my savior.My own personal Jesus Christ.","The Matrix"
"58",502605,504401,"You get caught using that....","The Matrix"
"59",504644,506680,"I know. This never happened.You don't exist.","The Matrix"
"60",507764,509755,"-Right.-Something wrong, man?","The Matrix"
"61",510004,511961,"You look a little whiter than usual.","The Matrix"
"62",513044,515115,"My computer, it....","The Matrix"
"63",518004,522361,"Ever have that feeling where you'renot sure if you're awake or dreaming?","The Matrix"
"64",523125,525764,"All the time.It's called mescaline.","The Matrix"
"65",526245,528280,"It's the only way to fly.","The Matrix"
"66",529125,531514,"It just sounds like youneed to unplug.","The Matrix"
"67",532245,534201,"Get some R and R?","The Matrix"
"68",534565,538159,"What do you think, Dujour?Should we take him with us?","The Matrix"
"69",540085,541234,"Definitely.","The Matrix"
"70",541485,544522,"No, I can't. I have work tomorrow.","The Matrix"
"71",545044,546114,"Come on.","The Matrix"
"72",546365,548879,"It'll be fun. I promise.","The Matrix"
"73",555125,556557,"Yeah.","The Matrix"
"74",557365,559162,"Sure. I'll go.","The Matrix"
"75",585725,586634,"Hello, Neo.","The Matrix"
"76",588125,589034,"How do you know that name?","The Matrix"
"77",589845,591482,"I know a lot about you.","The Matrix"
"78",592325,593120,"Who are you?","The Matrix"
"79",593365,594320,"My name is Trinity.","The Matrix"
"80",595245,596394,"Trinity.","The Matrix"
"81",598125,599080,"The Trinity?","The Matrix"
"82",599524,601163,"That cracked the IRS D-base?","The Matrix"
"83",601404,602803,"That was a long time ago.","The Matrix"
"84",603044,603841,"Jesus.","The Matrix"
"85",604085,604880,"What?","The Matrix"
"86",605325,607043,"I just thought...","The Matrix"
"87",608725,609840,"...you were a guy.","The Matrix"
"88",610085,611484,"Most guys do.","The Matrix"
"89",612644,614760,"That was you on my computer.","The Matrix"
"90",615365,616433,"How did you do that?","The Matrix"
