"id","startTime","endTime","text","title"
"1",177210,179576,"Excuse me.","The Notebook"
"2",182081,185209,"Come on, honey, let'sget you ready for bed.","The Notebook"
"3",197664,199757,"I am no one special,","The Notebook"
"4",199799,202734,"just a common manwith common thoughts.","The Notebook"
"5",202769,205033,"I've led a common life.","The Notebook"
"6",205071,206971,"There are no monumentsdedicated to me.","The Notebook"
"7",207006,210100,"And my namewill soon be forgotten.","The Notebook"
"8",210143,211940,"But in one respect,","The Notebook"
"9",211978,215505,"I've succeeded as gloriouslyas anyone who ever lived.","The Notebook"
"10",215548,217641,"- Looking good, Duke.- Feeling good.","The Notebook"
"11",217684,219447,"I've loved anotherwith all my heart","The Notebook"
"12",219485,223512,"and soul and for methat has always been enough.","The Notebook"
"13",223556,224955,"How's it hanging, Harry?","The Notebook"
"14",224991,227687,"I keep trying to die,but they won't let me.","The Notebook"
"15",227727,229752,"Well, you can'thave everything.","The Notebook"
"16",232932,234160,"Big day today.","The Notebook"
"17",234200,236896,"You say that every day,you old devil.","The Notebook"
"18",238271,240239,"It's a lovely dayoutside.","The Notebook"
"19",240273,242503,"Let's take a walk.","The Notebook"
"20",242542,243600,"I don't think so.","The Notebook"
"21",243643,245941,"Well, we've got to getyou out of this room.","The Notebook"
"22",245979,247571,"Come on now, honey.Some fresh air","The Notebook"
"23",247614,250048,"- would do you good.- Hello.","The Notebook"
"24",251851,254319,"I'm sorry,it's not a good day.","The Notebook"
"25",254354,256322,"I don't thinkshe's up for anything.","The Notebook"
"26",256356,257516,"Hello?","The Notebook"
"27",259359,263352,"This is Duke,he's come to read to you.","The Notebook"
"28",263396,265660,"- Read?- Mm-hmm.","The Notebook"
"29",266899,269732,"No.I don't know.","The Notebook"
"30",269769,273830,"Oh, come on,you'll like him, he's very funny.","The Notebook"
"31",285551,286882,"Ahh...","The Notebook"
"32",288321,292257,"All right now,where did we leave off?","The Notebook"
"33",292292,295625,"Oh, yeah, yeah,it was the night of the carnival.","The Notebook"
"34",295662,298790,"""Noah, was there with his friends,Fin and Sarah.""","The Notebook"
"35",298831,302028,"- Noah?- That's where they met...","The Notebook"
"36",302068,304161,"June 6th, 1940.","The Notebook"
"37",305605,307505,"Allie was17 years old.","The Notebook"
"38",308041,310271,"- Little man wins a prize.- Damn!","The Notebook"
"39",310310,312540,"- Thank you for playing.- Ha, you're real funny.","The Notebook"
"40",312578,313840,"Man, I clobberedthat thing.","The Notebook"
"41",313880,315848,"I'm tellin' you,these games are fixed.","The Notebook"
"42",315882,317509,"- Hello.- How are you?","The Notebook"
"43",317550,319484,"Hi, what's your name?","The Notebook"
"44",319519,321214,"Step right up here.","The Notebook"
"45",321254,323449,"Over the hook, yeah.","The Notebook"
"46",325625,327490,"Whoa.","The Notebook"
"47",327527,330553,"- Who's this girl with Sara?- Her name's Allie Hamilton.","The Notebook"
"48",330596,333030,"She's here for the summerwith her family.","The Notebook"
"49",333066,334363,"Dad's got moremoney than God.","The Notebook"
"50",334400,336493,"- Hi, Fin!- Hi, honey.","The Notebook"
"51",336536,339334,"Look, I won you a prize.","The Notebook"
"52",339372,342705,"Oh, Fin, thank you!","The Notebook"
"53",344711,347111,"- Oww!- Yeah.","The Notebook"
"54",347146,348909,"Hey great, huh?","The Notebook"
"55",348948,350779,"Hey Allie, you wantsome cotton candy?","The Notebook"
"56",350817,352842,"- Umm, okay.- That would be so much fun.","The Notebook"
"57",354687,357281,"You only getone chance, son.","The Notebook"
"58",357323,359689,"- You want to dance with me?- No.","The Notebook"
"59",359726,362854,"- Why not?- 'Cause I don't want to.","The Notebook"
"60",362895,365887,"Noah, she's with us.","The Notebook"
"61",365932,369834,"Hey Allie, you wantto ride the Ferris wheel?","The Notebook"
"62",369869,371393,"- I'd love to.- All right.","The Notebook"
"63",371437,373064,"Excuse me.","The Notebook"
"64",374340,375898,"Excuse me.","The Notebook"
"65",379979,382880,"- Noah Calhoun.- What?","The Notebook"
"66",382915,385679,"Works down at the lumber yardwith Fin.","The Notebook"
"67",385718,387879,"Oh...","The Notebook"
"68",387920,390889,"Did you see he was standing liketwo inches away from my face?","The Notebook"
"69",390923,393050,"Yeah, I saw.That's Noah, though.","The Notebook"
"70",394761,396319,"You know I'm surprisedhe even came over.","The Notebook"
"71",396362,397693,"I think he likes you.","The Notebook"
"72",417817,419512,"Hey what... jerk...","The Notebook"
"73",419552,422919,"Get off me.Don't touch me.","The Notebook"
"74",422955,425014,"- Hey!- Well, I... ugh!","The Notebook"
"75",425057,427048,"- What are you doing?- Hey, you can't do that!","The Notebook"
"76",427093,428788,"I'll pay youwhen I get down, Tommy.","The Notebook"
"77",428828,430625,"I'm Noah Calhoun.","The Notebook"
"78",430663,432756,"- So?!- So, it's really nice to meet you.","The Notebook"
"79",432799,435359,"- Allie, who is this guy?- I don't know, Noah Calhoun.","The Notebook"
