"id","startTime","endTime","text","title"
"1",101465,105510,"Deader than a Paiute's grave.","The Ox-Bow Incident"
"2",137501,141254,"Well?- That guy's awful slow getting there.","The Ox-Bow Incident"
"3",141922,146093,"I feel sorry for him. Always in reachand never able to do anything about it.","The Ox-Bow Incident"
"4",149096,152766,"- I got a feeling she could do better.- You're boasting.","The Ox-Bow Incident"
"5",154226,156186,"- What'll you have? Whiskey?- What you got?","The Ox-Bow Incident"
"6",156394,157646,"Whiskey.","The Ox-Bow Incident"
"7",157854,161525,"You ever see such a guy'?All winter I've been thinking...","The Ox-Bow Incident"
"8",161775,163735,"And all he's got's whiskey.","The Ox-Bow Incident"
"9",163902,166988,"- That's rotten, ain't it?- Rotten.","The Ox-Bow Incident"
"10",167155,168907,"Two glasses and a bottle.","The Ox-Bow Incident"
"11",191596,195350,"- Well, what's on your mind?- Does something have to be on my mind?","The Ox-Bow Incident"
"12",195517,197811,"Well, here's mud in your eye.","The Ox-Bow Incident"
"13",213535,215203,"Friendly cuss, ain't he?","The Ox-Bow Incident"
"14",215579,218415,"He's getting around to askingif his girl is in town.","The Ox-Bow Incident"
"15",218582,221418,"His girl?If you mean Rose Mapen, no.","The Ox-Bow Incident"
"16",221585,225005,"She went to Friscothe first stage out this spring.","The Ox-Bow Incident"
"17",225255,228258,"That's a lie. She said she'd wait.","The Ox-Bow Incident"
"18",228633,230677,"It's a fact.","The Ox-Bow Incident"
"19",234556,236391,"What a town.","The Ox-Bow Incident"
"20",236558,241688,"It's my guess the married women runher out. No tar and feathers. No rails.","The Ox-Bow Incident"
"21",241897,245483,"They just righteouslymade her feel uncomfortable.","The Ox-Bow Incident"
"22",245692,247736,"Not that she ever did anything.","The Ox-Bow Incident"
"23",247944,251448,"They just couldn't get overbeing afraid she might.","The Ox-Bow Incident"
"24",253742,257996,"- What is there to do in this town?- Unless you want to woo Drew's daughter-","The Ox-Bow Incident"
"25",258163,259539,"We don't.","The Ox-Bow Incident"
"26",259706,263376,"The only other unmarried womanI know is 82, blind and a Paiute.","The Ox-Bow Incident"
"27",265128,271885,"That leaves you five choices:eat, sleep, drink, play poker or fight.","The Ox-Bow Incident"
"28",272636,277265,"- Or you can shoot pool. I got a new table.- That's just great.","The Ox-Bow Incident"
"29",286107,289027,"- I see Risley's still around.- The sheriff?","The Ox-Bow Incident"
"30",289194,294074,"I thought he never got closerthan Reno except on special calls.","The Ox-Bow Incident"
"31",294282,298620,"It wouldn't be that rustling folkswere talking about last fall?","The Ox-Bow Incident"
"32",298828,300914,"Could be.","The Ox-Bow Incident"
"33",302832,308129,"- Getting to be a touchy subject, huh?- They don't like to talk about it.","The Ox-Bow Incident"
"34",308296,311132,"- Afraid it's somebody they know?- Maybe.","The Ox-Bow Incident"
"35",311341,313760,"- They lose some more this spring?- Some.","The Ox-Bow Incident"
"36",313927,316137,"- How many?- About 600 head.","The Ox-Bow Incident"
"37",316346,317806,"They got any leads?","The Ox-Bow Incident"
"38",317973,322227,"They picked up a trail and signsof shod horses in the south draw.","The Ox-Bow Incident"
"39",322435,324980,"Wouldn't everybody know ifthere were strangers around?","The Ox-Bow Incident"
"40",325146,329067,"There hasn't been any, except you two.","The Ox-Bow Incident"
"41",330485,332696,"- That ain't funny.- Now who's touchy?","The Ox-Bow Incident"
