"id","startTime","endTime","text","title"
"1",45000,50000,"www.PODNAPISI.net","The Peanuts Movie"
"2",55000,60000,"Subtitle created by - Aorion -""The Peanuts Movie (2015)"" ^ ( Run time 01:28:06 )","The Peanuts Movie"
"3",70915,73417,"Oww.","The Peanuts Movie"
"4",77153,80492,"THE PEANUTSMOVIE","The Peanuts Movie"
"5",84138,86640,"- Hey!- Hey!","The Peanuts Movie"
"6",98579,101454,"Ah.Beethoven.","The Peanuts Movie"
"7",101478,104838,"Linus.Time to get up.","The Peanuts Movie"
"8",104864,107512,"You don't wantto be late for school.","The Peanuts Movie"
"9",107537,109204,"- Get up!- Uh?","The Peanuts Movie"
"10",109229,111730,"Huh!My blanket!","The Peanuts Movie"
"11",112742,115243,"Hello?","The Peanuts Movie"
"12",115361,116769,"Snow day?","The Peanuts Movie"
"13",116793,118393,"Snow day!","The Peanuts Movie"
"14",118418,119646,"Hello?","The Peanuts Movie"
"15",119670,121692,"No school today!","The Peanuts Movie"
"16",121718,123843,"Dreams do come true!","The Peanuts Movie"
"17",123868,126397,"- Woo hoo! No school.- Yay!","The Peanuts Movie"
"18",127805,130306,"Woo hoo!","The Peanuts Movie"
"19",130330,132751,"Franklin and Peppermint Pattyare on my team.","The Peanuts Movie"
"20",132776,134885,"- I got my hockey stick.- I got my skates.","The Peanuts Movie"
"21",134911,136093,"Who has the pugs?","The Peanuts Movie"
"22",136118,137771,"Looking sharp today, Pig-Pen.","The Peanuts Movie"
"23",137796,139408,"- Sorry, I'm late.- Eww.","The Peanuts Movie"
"24",139433,140943,"What's taking him so long?","The Peanuts Movie"
"25",140967,143073,"- Come on, Charlie Brown!- Come on, Charlie Brown!","The Peanuts Movie"
"26",143098,145433,"Uh, no.Not quite.","The Peanuts Movie"
"27",145459,147960,"That's the one!","The Peanuts Movie"
"28",155317,157817,"I got my kite.","The Peanuts Movie"
"29",157843,160024,"Today's the day.I can feel it.","The Peanuts Movie"
"30",160049,162865,"- A kite, today?- In the middle of winter?","The Peanuts Movie"
"31",162889,166550,"- Come on, guys.- Only Charlie Brown.","The Peanuts Movie"
"32",167218,169719,"A new kite.A perfect breeze.","The Peanuts Movie"
"33",169745,171593,"It all feels just right.","The Peanuts Movie"
"34",171618,174322,"Now that the kite eating treeis sleeping for the winter,","The Peanuts Movie"
"35",174347,176848,"we have nothing to fear.","The Peanuts Movie"
"36",178581,181082,"Lift off!","The Peanuts Movie"
"37",183628,186129,"Oh.","The Peanuts Movie"
"38",186697,189198,"Wait a minute.It's in the air.","The Peanuts Movie"
"39",189223,190349,"It's flying.","The Peanuts Movie"
"40",190375,192242,"Hey, guys.Look!","The Peanuts Movie"
"41",192268,194769,"Look, I did it!","The Peanuts Movie"
"42",200728,203435,"Hey, Charlie Brown.Still no luck, huh?","The Peanuts Movie"
"43",203466,204689,"- Ow!- Remember,","The Peanuts Movie"
"44",204715,207318,"It's the courage tocontinue that counts!","The Peanuts Movie"
"45",207342,209905,"- Hey!- Runaway kite.","The Peanuts Movie"
"46",209930,212430,"- Ahh!- Sorry.","The Peanuts Movie"
"47",214300,216801,"Whoa.No brakes.","The Peanuts Movie"
"48",216826,219868,"And now,for my famous Triple Axel.","The Peanuts Movie"
"49",219894,222127,"Prepare to be amazed.","The Peanuts Movie"
"50",222151,223233,"Whooaa.","The Peanuts Movie"
"51",223258,226266,"- Ooo, a quadruple.- Bravo.","The Peanuts Movie"
"52",230320,233629,"Ugh.Stupid kite eating tree.","The Peanuts Movie"
"53",233831,235954,"Oh.","The Peanuts Movie"
"54",235979,237900,"Good grief.","The Peanuts Movie"
"55",238062,239675,"You blockhead!","The Peanuts Movie"
"56",239699,241409,"I should have known.","The Peanuts Movie"
"57",241435,244200,"What kind of a persontries to fly a kite","The Peanuts Movie"
"58",244225,246257,"in the middle of winter?","The Peanuts Movie"
"59",246282,248286,"Don't you ever knowwhen to give up?","The Peanuts Movie"
"60",248311,251252,"You will neverget that kite to fly.","The Peanuts Movie"
"61",251277,255665,"Why?Because you're Charlie Brown.","The Peanuts Movie"
"62",259199,261699,"Oh.Thanks, Linus.","The Peanuts Movie"
"63",261725,263081,"Listen, Charlie Brown.","The Peanuts Movie"
"64",263106,265172,"Ignore what my sister, Lucy, says","The Peanuts Movie"
"65",265199,267670,"has enabled me tomake it this far in life.","The Peanuts Movie"
"66",267696,270882,"What would I do withouta good friend like you.","The Peanuts Movie"
"67",271480,273981,"Whoooaa!","The Peanuts Movie"
"68",275519,278021,"Ah.My Sweet Babboo!","The Peanuts Movie"
"69",278045,279632,"Augh.","The Peanuts Movie"
"70",279834,282331,"Isn't he the cutest thing?","The Peanuts Movie"
"71",282356,284584,"- Yee-haw!- Careful, sir.","The Peanuts Movie"
"72",284608,287110,"- Whoa!- Ah!","The Peanuts Movie"
"73",287310,288994,"- Ha-ha.- Huh?","The Peanuts Movie"
"74",289019,290822,"Mm.Whoa.","The Peanuts Movie"
"75",291019,292930,"Watch the curls.","The Peanuts Movie"
"76",292956,295456,"Hmm.","The Peanuts Movie"
"77",302639,305139,"- Woo hoo!- Heh-heh!","The Peanuts Movie"
"78",319064,321565,"I don't care what Lucy says.","The Peanuts Movie"
"79",321598,324324,"I may have had troublesin the past flying a kite,","The Peanuts Movie"
"80",324350,326603,"and I may have neverwon a baseball game,","The Peanuts Movie"
"81",326629,329487,"but it's not forthe lack of trying.","The Peanuts Movie"
"82",329528,331940,"My pitching has to improveif I come out here","The Peanuts Movie"
"83",331966,334911,"to my trusty mound everyday.","The Peanuts Movie"
"84",337781,341014,"Charlie Brown is not a quitter.","The Peanuts Movie"
"85",346838,349338,"Play ball!","The Peanuts Movie"
"86",350000,352502,"Bottom of the 9th,two outs.","The Peanuts Movie"
"87",352526,355610,"A strike out here would makethe pitcher an instant hero.","The Peanuts Movie"
"88",355636,356663,"Yay!","The Peanuts Movie"
"89",356689,357687,"- Yay!- Yay!","The Peanuts Movie"
"90",357713,361446,"It all comes downto this one pitch.","The Peanuts Movie"
"91",371728,374237,"Let's see if you canhandle my fast ball.","The Peanuts Movie"
"92",374262,375783,"Old number one.","The Peanuts Movie"
"93",375809,378906,"The heera.The brown bullet.","The Peanuts Movie"
"94",383182,385684,"Oh...","The Peanuts Movie"
"95",385884,388386,"Hahaha!","The Peanuts Movie"
"96",404386,407487,"It's going to bea long winter.","The Peanuts Movie"
"97",409560,412062,"Huh?","The Peanuts Movie"
"98",415149,417649,"Someone's moving inacross the street from me?","The Peanuts Movie"
"99",417675,419596,"Hey, gang, look.There's a new kid moving in!","The Peanuts Movie"
"100",419622,421745,"Big brother, pull yourself together.","The Peanuts Movie"
"101",421769,423471,"Come on, Charlie Brown.","The Peanuts Movie"
"102",423497,425012,"- Get out of the way.- Ow.","The Peanuts Movie"
"103",425038,427716,"Hey, guys, what do you see?Who is it?","The Peanuts Movie"
"104",427740,431009,"Oh, I think I see a piano.I hope he loves Beethoven.","The Peanuts Movie"
"105",431050,432596,"Beethoven Schmeetoven.","The Peanuts Movie"
"106",432622,435971,"Maybe he will appreciatemy natural beauty.","The Peanuts Movie"
"107",435995,437266,"Who cares about that.","The Peanuts Movie"
"108",437292,439444,"As long as he's a bettergoalie than Marcie.","The Peanuts Movie"
"109",439468,442531,"- You're hurting me, sir.- I'm sorry, but it's true.","The Peanuts Movie"
"110",442557,444521,"No, you're pulling on my hair.","The Peanuts Movie"
"111",444547,447353,"I just hope he'll have an open mindabout The Great Pumpkin.","The Peanuts Movie"
"112",447377,449259,"I think they have a toaster!","The Peanuts Movie"
"113",449283,452523,"I just hope this new kidhas never heard of me.","The Peanuts Movie"
"114",452617,456023,"He would know nothingof my past imperfections.","The Peanuts Movie"
"115",456882,461237,"It's not often you get the opportunityto start over with a clean slate.","The Peanuts Movie"
"116",461262,463523,"This time, things will be different.","The Peanuts Movie"
"117",463548,466048,"Whooa!","The Peanuts Movie"
"118",471457,473959,"- He did it!- He did it! - Huh?","The Peanuts Movie"
"119",482805,487427,"Snoopy, why is it that everythingI try turns out wrong?","The Peanuts Movie"
"120",487452,490706,"Sometimes, I wonderif the kids really like me.","The Peanuts Movie"
"121",490802,493714,"Maybe that new kid willsee me for who I really am,","The Peanuts Movie"
"122",493740,494797,"like you.","The Peanuts Movie"
"123",494822,498096,"A dog doesn't try togive advice, or judge you;","The Peanuts Movie"
"124",498122,500572,"they just love youfor who you are.","The Peanuts Movie"
"125",500598,504314,"It's nice to have someone whowill just sit and listen to you.","The Peanuts Movie"
"126",504339,505956,"Zzz Zzz.","The Peanuts Movie"
"127",505980,508485,"Zzz Zzz z.Zzzz.","The Peanuts Movie"
"128",508511,511324,"(Sigh)Man's best friend.","The Peanuts Movie"
"129",512370,514871,"You can't come to school, Snoopy.","The Peanuts Movie"
"130",514897,517518,"Now, be a good dogand go home.","The Peanuts Movie"
"131",529294,531796,"No dogs allowed.","The Peanuts Movie"
"132",536697,539722,"- I think I saw the new kid.- Did you see that new truck arrive?","The Peanuts Movie"
"133",539748,541859,"Who do you suppose it would be?","The Peanuts Movie"
