"id","startTime","endTime","text","title"
"1",58475,59808,"Are you watching closely?","The Prestige"
"2",66817,71153,"Every magic trickconsists of three parts or acts.","The Prestige"
"3",71989,74698,"The first part is called the Pledge.","The Prestige"
"4",74867,78118,"The magician shows yousomething ordinary...","The Prestige"
"5",78287,81621,"...a deck of cards, a bird, or a man.","The Prestige"
"6",88212,90673,"He shows you this object...","The Prestige"
"7",90841,92841,"...perhaps he asks you to inspect it...","The Prestige"
"8",94010,96637,"...to see that it is, indeed, real.","The Prestige"
"9",96805,99932,"Yeah, unaltered, normal.","The Prestige"
"10",103186,106146,"But of course, it probably isn't.","The Prestige"
"11",106606,110401,"-Where do you think you're going?-l'm part of the bloody act, you fool.","The Prestige"
"12",123373,125832,"The second act is called the Turn.","The Prestige"
"13",140306,143266,"The magician takesthe ordinary something...","The Prestige"
"14",145228,148063,"...and makes itdo something extraordinary.","The Prestige"
"15",152819,156447,"Now, you're looking for the secret,but you won't find it...","The Prestige"
"16",156615,159908,"...because, of course,you're not really looking.","The Prestige"
"17",160576,162203,"You don't really wanna know.","The Prestige"
"18",165414,167792,"You want to be fooled.","The Prestige"
"19",169670,171420,"But you wouldn't clap yet...","The Prestige"
"20",172213,176216,"...because making something disappearisn't enough.","The Prestige"
"21",176801,180137,"You have to bring it back.","The Prestige"
"22",181431,185141,"That's why every magic trickhas a third act.","The Prestige"
"23",185310,186894,"The hardest part.","The Prestige"
"24",187437,190897,"The part we call the Prestige.","The Prestige"
"25",201659,205788,"The Prestige. And did Robert Angier,the Great Danton, your employer. . .","The Prestige"
"26",205955,208623,". . .get to that final partof his trick that night?","The Prestige"
"27",208792,211586,"-No, sir. Something went wrong.-What went wrong?","The Prestige"
"28",211752,215256,"l saw someonemaking their way below stage.","The Prestige"
"29",215424,217133,"l followed him.","The Prestige"
"30",217300,220552,"lt was Borden,watching Mr. Angier drown.","The Prestige"
"31",220721,223973,"Would you please describeyour occupation to the jury, Mr. Cutter?","The Prestige"
"32",224140,225223,"I'm an ingénieur.","The Prestige"
"33",225391,229770,"l design illusions and construct theapparatus necessary for performing them.","The Prestige"
"34",229937,230937,"So, Mr. Cutter. . .","The Prestige"
"35",231105,234275,". . .was this water-filled tankbeneath the stage. . .","The Prestige"
"36",234442,236192,". . . part of Mr. Angier's illusion?","The Prestige"
"37",236360,237485,"No, no. lt was--","The Prestige"
"38",237653,241824,"The tank was brought on for the first trickand then taken off-stage.","The Prestige"
"39",241991,245161,"Borden must have placed itunder the trap door after the interval.","The Prestige"
"40",245329,246746,"How large was this tank?","The Prestige"
"41",246913,251500,"Oh, it's a normal tank for escapeunderwater, about 4 or 500 gallons.","The Prestige"
"42",251668,253044,"How do you think Mr. Borden. . .","The Prestige"
"43",253211,256672,". . .was able to move the tank underthe trap door without anyone noticing?","The Prestige"
"44",256839,258632,"He's a magician. Ask him.","The Prestige"
"45",258800,263346,"l ask again that this man explainthe mechanics of Mr. Angier's illusion.","The Prestige"
"46",263512,265014,"The Real Transported Man. . .","The Prestige"
"47",265182,268184,". . . is one of the most sought-after illusionsin this business.","The Prestige"
"48",268351,269851,"l have the right to sell it on.","The Prestige"
"49",270019,272605,"lf I reveal the method here,then the trick is worthless.","The Prestige"
"50",272773,276817,"How can we know that the tank wasn'tsome part of the trick that went wrong?","The Prestige"
"51",277610,279653,"Mr. Cutter, I see your predicament. . .","The Prestige"
"52",279821,282072,". . . but Alfred Borden's lifehangs in the balance.","The Prestige"
"53",282449,285367,"lf you were prepared to disclosethe details to me in private. . .","The Prestige"
