"id","startTime","endTime","text","title"
"1",77953,79954,"Bitterman, stop the car!Stop it, stop the car.","The Revenant"
"2",79996,82790,"Girls! Girls!","The Revenant"
"3",82832,86128,"Hello, girls!","The Revenant"
"4",87170,91382,"Would the more attractiveof you please step forward?","The Revenant"
"5",91424,95219,"God! That's funny!","The Revenant"
"6",95262,98723,"No, actually,you're both very attractive.","The Revenant"
"7",98765,103311,"Would the one who thinks I'mattractive please step forward?","The Revenant"
"8",103353,105605,"Quickly as possible!Time is money!","The Revenant"
"9",105646,107024,"What'd you have in mind?","The Revenant"
"10",107064,110359,"VD I'm really into penicillin.","The Revenant"
"11",110402,114114,"Now that's funny!","The Revenant"
"12",114448,116408,"Actually, what I had in mind...","The Revenant"
"13",116450,119995,"...was spending the eveningwith a stranger who loves me.","The Revenant"
"14",120037,121954,"It's going to cost you $ 100.","The Revenant"
"15",121996,124415,"Oh, yeah?What time do you get off work?","The Revenant"
"16",124457,128044,"No, I'm kidding!","The Revenant"
"17",128086,135801,"Let's make it $200.But I will ask you to Simoniz my car.","The Revenant"
"18",137094,139348,"Has there been a deathin your family?","The Revenant"
"19",139389,143894,"This is funny stuff here.","The Revenant"
"20",144311,147230,"Let's go.","The Revenant"
"21",148147,150484,"Bitterman, give her...","The Revenant"
"22",150526,157031,"...give her friend $ 100.She came in second.","The Revenant"
"23",158158,159951,"Who is that guy?","The Revenant"
"24",159992,161453,"I'd rather not say.","The Revenant"
"25",161495,164288,"I think I know.I saw his picture in the paper.","The Revenant"
"26",164331,166750,"- That's Arthur Bach, isn't it?- What if it is?","The Revenant"
"27",166792,172171,"Is there something wrong with him?","The Revenant"
"28",172673,175091,"Yes.","The Revenant"
"29",185978,190231,"Permit me to introduce myself.","The Revenant"
"30",190274,192442,"Where in the hell's my hat?","The Revenant"
"31",192484,194026,"It's on the floor.","The Revenant"
"32",194068,198824,"I hate it when that happens.","The Revenant"
"33",198865,201284,"I am Arthur.","The Revenant"
"34",201325,204413,"I'm Gloria.","The Revenant"
"35",205329,208167,"- I am Arthur.- Yeah. What're you drinking?","The Revenant"
"36",208207,210169,"Scotch. Would you like some?","The Revenant"
"37",210210,211295,"Why not?","The Revenant"
"38",211336,217843,"You're with me andyou can ask that question?","The Revenant"
"39",222555,223723,"What's so funny now?","The Revenant"
"40",223764,228353,"I sometimes justthink funny things!","The Revenant"
"41",228395,231022,"What do you do for a living?","The Revenant"
"42",231063,233734,"I race cars. I play tennis...","The Revenant"
"43",233775,235944,"...I fondle women, but...","The Revenant"
"44",235985,242366,"...I have weekends offand I am my own boss.","The Revenant"
"45",243201,246205,"The Plaza, and step on it!","The Revenant"
"46",246246,249040,"Sir, if I may say so...","The Revenant"
"47",249081,252169,"Go through the park.","The Revenant"
"48",252211,255463,"You know how I love the park!","The Revenant"
"49",255506,259343,"Can I have another drink?","The Revenant"
"50",259384,261762,"Isn 't this fun?!","The Revenant"
"51",261802,265432,"Isn 't fun the best thing to have?!","The Revenant"
"52",265473,267684,"Don 't you wish you were me?","The Revenant"
"53",267725,270937,"I know I do!","The Revenant"
"54",290040,294336,"Isn't that Arthur Bach?","The Revenant"
"55",302052,305555,"I fell out of the goddamned car!","The Revenant"
"56",305596,309100,"Is that the funniest thing ever?!","The Revenant"
"57",309141,311269,"Are you hurt, sir?","The Revenant"
"58",311310,313355,"I fell out of the car!","The Revenant"
"59",313396,318026,"Isn't that the funniest thing ever?","The Revenant"
"60",318067,320028,"You had to be there, right?","The Revenant"
"61",320069,322072,"You are quite amusing, sir.","The Revenant"
"62",322113,325199,"Please get my drink.After all, we're going to the bar.","The Revenant"
"63",325242,329036,"Thank you so much.","The Revenant"
"64",336295,339298,"Madame, I'm sorry,but we have absolutely no...","The Revenant"
"65",339338,341925,"Don't give me any stuff, buster!","The Revenant"
"66",341966,344261,"It's all right,the lady's with me.","The Revenant"
"67",344302,346971,"Mr. Bach! How good to see you!","The Revenant"
