"id","startTime","endTime","text","title"
"1",28364,31201,"[Wind blowing]","The Scorpion King"
"2",34621,37624,"[Distant shouting and yelling]","The Scorpion King"
"3",42504,43504,"Unh!","The Scorpion King"
"4",48134,51304,"[Rowdy shouting and yelling]","The Scorpion King"
"5",57143,59979,"We have killed Babylonians!","The Scorpion King"
"6",62774,65610,"We have killed Mesopotamians!","The Scorpion King"
"7",67654,69948,"We have killed Assyrians!","The Scorpion King"
"8",70156,71658,"Mycenaeans!","The Scorpion King"
"9",71950,73576,"Sumerians!","The Scorpion King"
"10",74202,75537,"But...","The Scorpion King"
"11",77539,80542,"...we have never had the pleasure...","The Scorpion King"
"12",81584,83211,"...of killing...","The Scorpion King"
"13",84295,85713,"...an Akkadian.","The Scorpion King"
"14",85713,88591,"[Loud cheering and shouting]","The Scorpion King"
"15",92595,94722,"Which limb do I take first?","The Scorpion King"
"16",94722,96391,"[Villagers shouting encouragement]","The Scorpion King"
"17",97559,99853,"May the gods have pity on you.","The Scorpion King"
"18",101312,104649,"Because my brother will not.","The Scorpion King"
"19",121416,124836,"[Dramatic instrumental music]","The Scorpion King"
"20",130675,132218,"[Crowd silences]","The Scorpion King"
"21",134512,135513,"[Softly] Boo.","The Scorpion King"
"22",135513,139184,"[Villagers shriek in terror]","The Scorpion King"
"23",151821,154991,"[Hard rock music plays]","The Scorpion King"
"24",200495,201829,"You missed.","The Scorpion King"
"25",201829,205500,"[Hard rock music continues]","The Scorpion King"
"26",218179,220473,"You're lucky we have the same mother.","The Scorpion King"
"27",229524,234404,"NARRATOR: Before the time of the pyramids,a fearsome horde came from the east...","The Scorpion King"
"28",234404,238074,"...and swept across the barren landsof the ancient world.","The Scorpion King"
"29",243997,246541,"[War-like drumbeat music]","The Scorpion King"
"30",249168,253882,"By the law of the horde, their greatestwarrior was proclaimed their king.","The Scorpion King"
"31",258136,260430,"His name was Memnon.","The Scorpion King"
"32",262098,265435,"He was the greatest swordsmanthe world had ever seen.","The Scorpion King"
"33",285822,291085,"With the predictions of a sorcerer, whocould foretell the outcome of every battle...","The Scorpion King"
"34",292086,295256,"...Memnon slaughtered all who resisted him...","The Scorpion King"
"35",296424,302263,"[Crowd shouting and screaming]...until only a brave few remained.","The Scorpion King"
"36",312815,315985,"[Crowd shouting]","The Scorpion King"
"37",316194,317028,"Silence!","The Scorpion King"
"38",317028,319614,"My father has called for silence!","The Scorpion King"
"39",319989,322283,"Hold your tongues!","The Scorpion King"
"40",322283,325995,"[Crowd becomes silent]","The Scorpion King"
"41",329374,334003,"KING PHERON: We are gathered in thisplace to put our differences aside.","The Scorpion King"
"42",334420,336548,"There is still time for us...","The Scorpion King"
"43",336881,339008,"...the last of the free tribes...","The Scorpion King"
"44",339717,342804,"...to stand together against this tyrant.","The Scorpion King"
"45",343304,345974,"With his sorcerer at his side...","The Scorpion King"
"46",346391,348518,"...no mortal can defeat Memnon.","The Scorpion King"
"47",348518,351855,"And, if the sorcerer were to die...","The Scorpion King"
"48",353064,354002,"...what then?","The Scorpion King"
"49",354002,357235,"BALTHAZAR:It's too late for your schemes, Pheron.","The Scorpion King"
"50",357944,362907,"I have raided Memnon's caravans,broken the supply lines to his troops...","The Scorpion King"
"51",363157,366244,"...but he still swept acrossthe land like a plague.","The Scorpion King"
"52",366494,370790,"I will not send my people to theirdeaths in a battle that can't be won.","The Scorpion King"
"53",370790,373877,"And what people would that be, Balthazar?","The Scorpion King"
"54",374711,376671,"You are the ruler of nothing...","The Scorpion King"
"55",377172,378965,"...but a pile of rocks...","The Scorpion King"
"56",379382,380717,"...and sand.","The Scorpion King"
"57",382844,384262,"If I am no king...","The Scorpion King"
"58",386848,389108,"...why are you on your knees before me?","The Scorpion King"
"59",389108,390685,"Balthazar! Guards!","The Scorpion King"
"60",394731,398318,"[Dramatic, rhythmic instrumental music]","The Scorpion King"
"61",402697,406451,"Akkadians.I thought they were wiped out long ago.","The Scorpion King"
"62",406451,408995,"KING PHERON:They are the last of their kind.","The Scorpion King"
"63",408995,412624,"By their hand, the sorcerer will die.","The Scorpion King"
"64",413041,416628,"You put your faith in a clan ofcutthroats who kill for money?","The Scorpion King"
"65",416628,423259,"They're more than that. They're skilled assassinstrained for generations in the deadly arts.","The Scorpion King"
"66",423468,427931,"And what price do these mercenariesask from us, Father?","The Scorpion King"
"67",428806,430600,"Twenty blood rubies.","The Scorpion King"
"68",430934,432894,"But that's the last of our treasury.","The Scorpion King"
"69",432894,434312,"Be quiet!","The Scorpion King"
"70",436689,440693,"If these men kill the sorcerer,will you fight?","The Scorpion King"
"71",448076,451663,"[Clan leaders shout their approval]","The Scorpion King"
"72",454499,455833,"So be it.","The Scorpion King"
"73",457919,460296,"As long as one of us still breathes...","The Scorpion King"
"74",461965,463925,"...the sorcerer will die.","The Scorpion King"
"75",468596,469681,"Assassin!","The Scorpion King"
"76",475103,476479,"MATHAYUS: Him...","The Scorpion King"
"77",476771,478481,"...we will kill for free.","The Scorpion King"
"78",484779,487866,"JESUP: We can reachMemnon's encampment by nightfall.","The Scorpion King"
"79",489117,491244,"When are you going to get ridof that filthy beast?","The Scorpion King"
"80",491703,493830,"He doesn't mean anything by it.","The Scorpion King"
"81",493830,495415,"Horses are faster.","The Scorpion King"
"82",495415,497208,"But camels are smarter.","The Scorpion King"
"83",501713,505300,"[Slow, dramatic instrumental music]","The Scorpion King"
"84",527697,529199,"[Mathayus whistles]","The Scorpion King"
