"id","startTime","endTime","text","title"
"1",322100,323281,"You sure it's the Russians?","The Sum of All Fears"
"2",323289,325189,"One hundred percent, sir.Submarine launched...","The Sum of All Fears"
"3",325291,328900,"12 to 15 megatons, and they wentto strike status 15 minutes prior.","The Sum of All Fears"
"4",328901,331457,"CINC-LANT reports the Rooseveltsplashed six incoming cruise missiles.","The Sum of All Fears"
"5",331565,333465,"The Russians are movingwest through Poland.","The Sum of All Fears"
"6",333567,335865,"If they head for Germany,the Berlin Brigade is outnumbered.","The Sum of All Fears"
"7",338839,341830,"We've got another launchfrom Alyesk, Central Russia.","The Sum of All Fears"
"8",341941,344171,"I don't believe it.What the hell's in Alyesk?","The Sum of All Fears"
"9",344276,348976,"SS-18 ICBMs. Probable targets--New York, Washington, here.","The Sum of All Fears"
"10",349082,351642,"- How good is this ceiling?- Anything but a direct hit.","The Sum of All Fears"
"11",351752,354152,"Satellites confirm birdsin the air-- multiple launches.","The Sum of All Fears"
"12",354254,357018,"- First impact estimated 25 minutes.- How do we know that's accurate?","The Sum of All Fears"
"13",357124,358523,"It's accurate.","The Sum of All Fears"
"14",358625,360616,"Sir, I advise we go to DEFCON-1.","The Sum of All Fears"
"15",360727,363025,"- Get President Zorkin on the hot line.- Zorkin is missing.","The Sum of All Fears"
"16",363130,366032,"We have reports of a coup in Moscow.","The Sum of All Fears"
"17",366134,368432,"General Bulgakovis calling the shots now.","The Sum of All Fears"
"18",368536,370163,"Who the hell is Bulgakov?","The Sum of All Fears"
"19",370271,373569,"The asshole who wantedto use nukes in Chechnya.","The Sum of All Fears"
"20",388456,391323,"Sir, DEFCON-1,we're out of time.","The Sum of All Fears"
"21",397098,399567,"Do it.","The Sum of All Fears"
"22",400803,402202,"Mr. President.","The Sum of All Fears"
"23",403338,407205,"After you give the order, the launchsequence takes a minute to process.","The Sum of All Fears"
"24",407308,410505,"Before the order can be taken,an I.D. check must be performed.","The Sum of All Fears"
"25",410611,413102,"My I.D. number is fifthfrom the top.","The Sum of All Fears"
"26",418120,420953,"- Sir, it's your wife on 2104.- Thank you.","The Sum of All Fears"
"27",423392,425087,"Under the two-man rule...","The Sum of All Fears"
"28",425194,428789,"the order must be confirmedby someone on the approved list.","The Sum of All Fears"
"29",428897,430865,"Gene Revell,National Security Advisor.","The Sum of All Fears"
"30",430966,432935,"- Second from the top.- Is it black-tie?","The Sum of All Fears"
"31",433036,435266,"Okay, I'm on my way.","The Sum of All Fears"
"32",438675,440107,"Can we...","The Sum of All Fears"
"33",441376,443401,"finish this up some other time?","The Sum of All Fears"
"34",453757,456282,"We gotta updatethese fire drills, Billy.","The Sum of All Fears"
"35",456392,459555,"If the shit ever hits the fan,I'm not goin' underground.","The Sum of All Fears"
"36",459662,462028,"The place is a goddamn tomb.","The Sum of All Fears"
"37",462132,466365,"We have to choose someone to faceoff against besides the Russians.","The Sum of All Fears"
"38",466470,471066,"Really? Let's see. Who else has27,000 nukes for us to worry about?","The Sum of All Fears"
"39",471175,473734,"It's the guy with oneI'm worried about.","The Sum of All Fears"
"40",473843,476368,"Speaking of Russia, I haveto send some folks over there...","The Sum of All Fears"
"41",476479,478845,"inspect their nucleardecommissioning facility.","The Sum of All Fears"
"42",478948,482112,"- Place called ''Armazaz.''- Arzamas.","The Sum of All Fears"
"43",482219,485552,"Yeah. Whatever. Someone fromyour staff should be on the trip.","The Sum of All Fears"
"44",485656,487647,"I'll go.","The Sum of All Fears"
"45",487758,489589,"Billy, send staff.","The Sum of All Fears"
"46",489693,491092,"I wanna go.","The Sum of All Fears"
"47",492563,494463,"Okay.","The Sum of All Fears"
"48",494565,497090,"And don't underestimateZorkin, pal.","The Sum of All Fears"
"49",497201,499466,"Between his economy,crime, Chechnya--","The Sum of All Fears"
"50",499571,501869,"- His liver.- What's left of it.","The Sum of All Fears"
"51",501973,503270,"How is he?","The Sum of All Fears"
"52",503375,505536,"He's scheduled a press conferencefor this afternoon...","The Sum of All Fears"
"53",505644,507702,"so at least we knowhe can sit up.","The Sum of All Fears"
"54",509647,512445,"- Why not negotiate?- The interview is over.","The Sum of All Fears"
"55",519257,522784,"Only criminals and their friendsin the West wish it to be separate.","The Sum of All Fears"
"56",522894,526455,"But, Mr. President,if you will kindly come back...","The Sum of All Fears"
"57",526565,529625,"we do have a few more questionswe would like to ask you.","The Sum of All Fears"
"58",529734,531896,"You see what I see?","The Sum of All Fears"
"59",533339,536433,"- His jacket.- He used to button it all the way.","The Sum of All Fears"
"60",536542,538100,"He's gettin' fat!","The Sum of All Fears"
"61",538211,541737,"I know how he feels.Wow. Look at that.","The Sum of All Fears"
"62",541847,543747,"Maybe it's not the same jacket.","The Sum of All Fears"
"63",543849,547478,"No-- Yeah. Shiny sleeves. He wore itlast time he got out of the hospital.","The Sum of All Fears"
"64",547586,550215,"- He's definitely off the diet.- He's also off the wagon.","The Sum of All Fears"
