"id","startTime","endTime","text","title"
"1",317942,320485,"Your move:bishop to knight four.","The Thing"
"2",320694,323322,"knight to rook three.","The Thing"
"3",324406,327326,"Poor baby,you're starting to lose it,
aren't ya?","The Thing"
"4",333249,335792,"king to rook one.","The Thing"
"5",336293,338754,"rook to knight six.","The Thing"
"6",339338,341630,"Checkmate. Checkmate.","The Thing"
"7",346971,348764,"You cheating bitch .","The Thing"
"8",412661,415038,"Childs, what's he doing?","The Thing"
"9",415122,416331,"Circling the camp.","The Thing"
"10",417707,419250,"Who is he?","The Thing"
"11",419334,421502,"Said ""Norge""or something
on the side.","The Thing"
"12",421586,422838,"It's Norwegian .","The Thing"
"13",547712,549339,"George, are you okay?Yeah , yeah , I'm okay.","The Thing"
"14",549423,550423,"Are you?Yeah .","The Thing"
"15",550508,552008,"What's going on there?","The Thing"
"16",574282,575573,"Watch it.","The Thing"
"17",600515,601600,"Easy.","The Thing"
"18",601683,605186,"Easy, easy, easy. Yes.","The Thing"
"19",617741,619951,"First goddamn weekof winter.","The Thing"
"20",629879,634215,"Oh , come on . Four stitches.Barely grazed you .","The Thing"
"21",635551,640096,"What were they doingflying that low,
shooting at a dog , at us?","The Thing"
"22",640889,644308,"Stir-crazy. Cabin fever.Who knows?","The Thing"
"23",645101,649480,"U . S. N umber 31 ,calling McMurdo.
Come in . Over.","The Thing"
"24",651900,656236,"U . S. N umber 31 ,calling McMurdo.
U rgent. Come in . Over.","The Thing"
"25",658323,659532,"Great.","The Thing"
"26",659908,661033,"Come on , come on .","The Thing"
"27",661118,662409,"Nobody!","The Thing"
"28",662495,664328,"Nobody.Get a hold of somebody.","The Thing"
"29",664413,666831,"Get a hold of anybody.We gotta report this mess.","The Thing"
"30",666916,669958,"Look, I haven't beenable to reach shit
in two weeks.","The Thing"
"31",670043,673296,"I doubt if anybody'stalked to anybody
on this entire continent,","The Thing"
"32",673380,675215,"and you want meto reach somebody!","The Thing"
"33",687019,688937,"Maybe we're at warwith Norway.","The Thing"
"34",693609,698488,"I was wondering whenthe El Capitan was gonna get
a chance to use his popgun .","The Thing"
"35",702534,704536,"How long have theybeen stationed there?","The Thing"
"36",704620,705995,"It says hereonly eight weeks.","The Thing"
"37",706080,707996,"Well ,that's not long enough
for guys to go bonkers.","The Thing"
"38",708081,709206,"Bullshit, bwana.","The Thing"
"39",709290,711710,"Five minutes is enoughto put a man over down here.","The Thing"
"40",711793,712836,"Damn straight.","The Thing"
"41",712919,716588,"I mean , look at Palmer.He been the way he is
since the first day.","The Thing"
"42",717006,718591,"How many in their party?","The Thing"
"43",719009,721302,"They started with 10.There'd be eight others left.","The Thing"
"44",721636,725222,"How do we know? Guys ascrazy as that could have
done a lot of damage","The Thing"
"45",725307,726725,"to their ownbefore they got to us.","The Thing"
"46",726808,727767,"Nothing we can doabout that.","The Thing"
