"id","startTime","endTime","text","title"
"1",19435,23939,"We've become bored with watchingactors give us phony emotions.","The Truman Show"
"2",24690,28402,"We're tired of pyrotechnicsand special effects.","The Truman Show"
"3",28945,33781,"While the world he inhabits is,in some respects, counterfeit,","The Truman Show"
"4",34743,37661,"there's nothing fake aboutTruman himself.","The Truman Show"
"5",38371,40956,"No scripts, no cue cards.","The Truman Show"
"6",41750,44792,"It isn't always Shakespeare,but it's genuine.","The Truman Show"
"7",45545,46962,"It's a life.","The Truman Show"
"8",50841,52759,"I'm not going to make it.","The Truman Show"
"9",54262,55970,"You're going to have to go onwithout me.","The Truman Show"
"10",61310,62811,"No way, mister.","The Truman Show"
"11",63646,67483,"You're going to the top of this mountain,broken iegs and aii.","The Truman Show"
"12",71987,75156,"We find many viewers leave him onall night for comfort.","The Truman Show"
"13",76992,79161,"You're crazy, you know that?","The Truman Show"
"14",82414,86585,"For me, there is no differencebetween a private life and a public life.","The Truman Show"
"15",86668,90004,"My life, is my life, is The Truman Show.","The Truman Show"
"16",90090,92424,"The Truman Show is a lifestyle.","The Truman Show"
"17",92509,94843,"It's a noble life. It is","The Truman Show"
"18",97722,99305,"a truly blessed life.","The Truman Show"
"19",99390,102016,"Yeah, teii me something i don't know.","The Truman Show"
"20",103394,106146,"Aii right. Promise me one thing, though.","The Truman Show"
"21",106855,109441,"If i die before i reach the summit,","The Truman Show"
"22",110401,113486,"you'ii use meas an aiternative source of food.","The Truman Show"
"23",114572,115656,"Gross.","The Truman Show"
"24",119159,121370,"It's all true. It's all real.","The Truman Show"
"25",121578,125290,"Nothing here is fake.Nothing you see on this show is fake.","The Truman Show"
"26",125667,127042,"It's merely controlled.","The Truman Show"
"27",135300,138262,"Eat me, damn it. That's an order.","The Truman Show"
"28",141223,143391,"Maybe just your love handles.","The Truman Show"
"29",144310,147937,"I have love handles? Yeah. Little ones.","The Truman Show"
"30",148230,150691,"Truman. You're going to be late.","The Truman Show"
"31",151276,152942,"Okay!","The Truman Show"
"32",167167,168959,"- Good morning.- Morning.","The Truman Show"
"33",169043,170210,"Good morning.","The Truman Show"
"34",170295,174590,"In case I don't see you, good afternoon,good evening, and good night.","The Truman Show"
"35",175550,176841,"Yeah.","The Truman Show"
"36",176925,178843,"- Morning, Truman.- Morning, Spencer.","The Truman Show"
"37",178927,180721,"Hey, Pluto. No, get down.","The Truman Show"
"38",180805,182556,"- He won't hurt you.- Get down.","The Truman Show"
"39",182639,184182,"I know.","The Truman Show"
"40",184308,186560,"- It's just me.- Come on, Pluto.","The Truman Show"
"41",208750,210125,"What is it?","The Truman Show"
"42",231271,235525,"Here's a news fiash just in. An aircraffin troubie began shedding parts","The Truman Show"
"43",235610,238694,"as it fiew over Seahavenjust a few moments ago.","The Truman Show"
"44",238780,240489,"Luckiiy, no one was hurt.","The Truman Show"
"45",240573,242657,"But, hey, how do you feei today?","The Truman Show"
"46",242991,245076,"That's good.You thinking of fiying somewhere?","The Truman Show"
"47",245161,246703,"- Nope.- No? Good.","The Truman Show"
"48",246788,248872,"This is Ciassicai Ciivewith Ciassicai Drive","The Truman Show"
"49",248956,251290,"so why don't you forgetabout the periis of fiying,","The Truman Show"
"50",251376,254377,"settie back,and iet this music caim you down?","The Truman Show"
"51",258757,261175,"- Dog Fancy, please.- Dog Fancy.","The Truman Show"
"52",261261,264096,"- Thank you very much.- Thank you very much.","The Truman Show"
"53",264846,267014,"Give me a paper there, will you, Earl?","The Truman Show"
"54",267100,270060,"And one of these for the wife.","The Truman Show"
"55",270144,271937,"Loves her fashion mags.","The Truman Show"
"56",272021,273562,"Will that be all for you, Truman?","The Truman Show"
"57",273648,276024,"- That's the whole kit and caboodle.- Catch you later.","The Truman Show"
"58",276108,278151,"Okay. Yeah.","The Truman Show"
"59",285201,286659,"Good morning.","The Truman Show"
"60",287870,289829,"- Hank.- Morning, Truman.","The Truman Show"
"61",290497,293375,"- Good morning, Truman.- How are you guys?","The Truman Show"
"62",293459,295711,"- Beautiful day, isn't it?- Always.","The Truman Show"
"63",295795,297420,"And how's your lovely wife?","The Truman Show"
"64",298630,300423,"Good. How about yours?","The Truman Show"
"65",300507,303009,"- Couldn't be better.- Fine.","The Truman Show"
"66",303093,304927,"- Nice talking to you, Truman.- You, too.","The Truman Show"
"67",305012,306137,"We must go now.","The Truman Show"
"68",306221,309850,"Think about that policy. Okay,that's two for one. That's a good deal.","The Truman Show"
"69",309934,312144,"- Doppelgänger special.- Right.","The Truman Show"
"70",312228,313394,"Hi.","The Truman Show"
"71",316024,318608,"Hey, fellows. You going in? Go ahead.","The Truman Show"
"72",319569,321987,"- Go ahead.- No, you first, please.","The Truman Show"
"73",322112,324238,"I'm not that anxious to get there.","The Truman Show"
"74",339213,340379,"Yes, hello.","The Truman Show"
"75",340465,344009,"Could I have directory assistancefor Fiji, please? Fiji islands.","The Truman Show"
"76",344093,345509,"Truman, did you see this?","The Truman Show"
"77",348180,349473,"I'm sorry, ma'am.","The Truman Show"
"78",349557,352558,"If he's in a coma,he's probably uninsurable.","The Truman Show"
"79",354103,356687,"Hello? Yes. Fiji, please.","The Truman Show"
"80",357064,359858,"Do you have a listing forLauren Garland?","The Truman Show"
"81",361069,362610,"Nothing listed?","The Truman Show"
"82",363696,366781,"Okay. Do you have a Sylvia Garland?","The Truman Show"
"83",366949,368449,"""S"" for Sylvia.","The Truman Show"
"84",369951,371161,"Nothing?","The Truman Show"
"85",373122,374747,"Okay. Thank you.","The Truman Show"
"86",410617,412536,"- Lawrence.- Hey, Burbank.","The Truman Show"
"87",412620,416038,"Got a prospect in Wells ParkI need you to close.","The Truman Show"
"88",418459,419834,"Wells Park?","The Truman Show"
"89",422838,425966,"- On Harbor Island?- You know another one?","The Truman Show"
"90",426050,429886,"I can't do it.I have an appointment. Dentist.","The Truman Show"
"91",432264,436059,"You're going to lose a lot more thanyour teeth if you don't meet your quota.","The Truman Show"
"92",436144,437726,"Look, Truman,","The Truman Show"
"93",437937,440439,"they're making cutbacksat the end of this month.","The Truman Show"
"94",440523,443024,"- Cutbacks?- Yeah. Now, you need this.","The Truman Show"
"95",443733,448154,"Besides, a half-hour across the bay,a little sea air would do you good.","The Truman Show"
"96",449531,450740,"Thanks.","The Truman Show"
"97",460250,461418,"Hello.","The Truman Show"
"98",461502,464670,"Ferry's still here.Thought I might have missed it.","The Truman Show"
"99",465005,466673,"One-way or return?","The Truman Show"
"100",467757,468966,"Return.","The Truman Show"
"101",471471,473137,"There you go, sir.","The Truman Show"
"102",530904,534448,"- Do you need any help, sir?- You go ahead. I'll be fine.","The Truman Show"
"103",536076,537284,"Yeah.","The Truman Show"
"104",550799,552133,"Hi, honey.","The Truman Show"
"105",553802,556303,"Look what I got free at the checkout.","The Truman Show"
"106",557472,561058,"It's a Chef's Pal.It's a dicer, grater, peeler, all in one.","The Truman Show"
"107",561143,563894,"Never needs sharpening,dishwasher-safe.","The Truman Show"
"108",563980,564980,"Wow!","The Truman Show"
"109",566106,567649,"That's amazing.","The Truman Show"
"110",568817,570067,"Truman,","The Truman Show"
"111",571611,573279,"you missed a spot.","The Truman Show"
"112",587503,589044,"That is a beer.","The Truman Show"
"113",591173,593716,"You know, I'm thinkingabout getting out, Marlon.","The Truman Show"
"114",593801,595719,"Yeah? Out of what?","The Truman Show"
"115",596011,598346,"Out of my job, out of Seahaven.","The Truman Show"
"116",598931,601265,"- Off this island. Out.- Out of your job?","The Truman Show"
"117",601350,604436,"What the hell's wrong with your job?You have a great job, Truman.","The Truman Show"
"118",604519,607938,"You have a desk job.I'd kill for a desk job.","The Truman Show"
"119",610860,611985,"Here you go.","The Truman Show"
"120",612068,614486,"You should try stockingvending machines for a living.","The Truman Show"
"121",614572,617197,"- No, thanks.- Now there's excitement.","The Truman Show"
"122",617866,620493,"Don't you ever get antsy? Ltchy feet?","The Truman Show"
"123",622038,623830,"Where's there to go?","The Truman Show"
"124",625707,626791,"Fiji.","The Truman Show"
"125",628293,630836,"Where the hell's Fiji? Near Florida?","The Truman Show"
"126",636427,637802,"- See here?- Yeah.","The Truman Show"
"127",637886,639346,"This is us,","The Truman Show"
"128",641349,643557,"and all the way around here,","The Truman Show"
"129",644143,645225,"Fiji.","The Truman Show"
"130",646144,649898,"You can't get any further awaybefore you start coming back.","The Truman Show"
"131",650106,652859,"You know, there are still islands in Fiji","The Truman Show"
"132",652942,654985,"where no human beinghas ever set foot.","The Truman Show"
"133",658157,660366,"So when are you going to go?","The Truman Show"
"134",662952,664745,"It's not that simple.","The Truman Show"
"135",665789,667916,"It takes money,","The Truman Show"
"136",668918,670210,"planning.","The Truman Show"
"137",670711,672586,"I can't just up and go.","The Truman Show"
"138",673422,674589,"Right.","The Truman Show"
"139",675298,678217,"I'm going to do it.Don't worry about that.","The Truman Show"
"140",678927,681513,"Bonus time is just around the corner.","The Truman Show"
"141",686226,689520,"- You coming for a drink?- No, I can't tonight.","The Truman Show"
"142",708957,712418,"I don't like the look of that weather, son.I think we should head back.","The Truman Show"
"143",712503,715046,"- No, Dad. Not yet.- No, come on. We should go back.","The Truman Show"
"144",715130,717673,"- A bit farther, please?- Son, listen.","The Truman Show"
"145",718134,719967,"- Okay.- Yes.","The Truman Show"
"146",722053,723804,"Daddy!","The Truman Show"
"147",798798,801381,"You're soaked. Where have you been?","The Truman Show"
"148",801466,803676,"I figure we canscrape together $8,000...","The Truman Show"
"149",803760,805135,"Every time you and Marlonget together...","The Truman Show"
"150",805221,807304,"We can bum around the worldfor a year on that.","The Truman Show"
"151",807389,811142,"And then what, Truman?We'd be where we were five years ago.","The Truman Show"
"152",811559,815687,"- You're talking like a teenager.- Maybe I feel like a teenager.","The Truman Show"
"153",816273,818732,"We have mortgage payments, Truman.","The Truman Show"
"154",819025,820400,"We have car payments.","The Truman Show"
"155",820485,823613,"What, we're just going to walk awayfrom our financial obligations?","The Truman Show"
"156",823697,825697,"It would be an adventure.","The Truman Show"
"157",826158,830828,"I thought we were going to try for ababy. Isn't that enough of an adventure?","The Truman Show"
"158",831746,834249,"That can wait. I want to get away.","The Truman Show"
"159",834332,837085,"See some of the world, explore.","The Truman Show"
"160",837168,840087,"Honey, you want to be an explorer?","The Truman Show"
"161",841465,842923,"This'll pass.","The Truman Show"
"162",844009,846552,"We all think like this now and then.","The Truman Show"
"163",848972,851765,"Let's get you out of these wet clothes,","The Truman Show"
"164",852268,853684,"come to bed.","The Truman Show"
"165",855019,857980,"You never see anything anyway.They always","The Truman Show"
"166",858065,860984,"turn the camera and play music and,","The Truman Show"
"167",861442,864195,"you know, the wind blows in,and the curtains move","The Truman Show"
"168",864279,865697,"and you don't see anything.","The Truman Show"
"169",870702,872953,"- Dog Fancy, please.- Dog Fancy.","The Truman Show"
"170",874206,875539,"Thank you.","The Truman Show"
"171",877459,879586,"- Paper, Earl, please.- Paper.","The Truman Show"
"172",881171,884548,"I might as well pick one of these upwhile I'm at it.","The Truman Show"
"173",884674,887302,"- For the wife?- She's got to have them.","The Truman Show"
"174",887927,890971,"- Anything else, Truman?- That's the whole ball of wax.","The Truman Show"
"175",891472,893390,"- Catch you later.- Okay.","The Truman Show"
"176",914245,915330,"Dad?","The Truman Show"
"177",918667,920375,"What are you doing?","The Truman Show"
"178",920668,923712,"What the... Get out of the way!","The Truman Show"
"179",924005,925340,"Stop them!","The Truman Show"
"180",927842,929509,"Stop those people!","The Truman Show"
"181",932639,935975,"Open the doors!Somebody, stop the bus!","The Truman Show"
"182",936393,939187,"Stop the bus! Somebody, stop it!","The Truman Show"
"183",940105,942273,"Somebody, stop the bus!","The Truman Show"
"184",955745,958664,"And wasn't it funny...","The Truman Show"
"185",964629,967340,"It doesn't sound insane at all, Truman.","The Truman Show"
"186",967548,971302,"I see him 10 times a weekin 100 different faces.","The Truman Show"
"187",971470,975306,"I almost hugged a perfect strangerin the salon last Thursday.","The Truman Show"
"188",975390,978976,"It was Dad. I swear.Dressed like a homeless man.","The Truman Show"
"189",979477,980979,"And you know what else was strange?","The Truman Show"
"190",981062,983063,"A businessman and a womanwith a little dog","The Truman Show"
"191",983148,985774,"came out of nowhereand forced him onto a bus.","The Truman Show"
"192",985859,988653,"It's about time they cleaned upthe trash downtown","The Truman Show"
"193",988736,991447,"before we becomejust like the rest of the country.","The Truman Show"
"194",991532,994075,"They never found Dad's body.Maybe somehow...","The Truman Show"
"195",994158,995158,"God!","The Truman Show"
"196",995244,998538,"I'm telling you, if it wasn't him,it was his twin.","The Truman Show"
"197",999999,1004043,"- Did Dad have a brother?- Truman, you know perfectly well","The Truman Show"
"198",1004419,1008798,"that your father was an only child,just like you.","The Truman Show"
"199",1011509,1013052,"Now, sweetie,","The Truman Show"
"200",1013721,1016889,"you're just feeling badbecause of what happened.","The Truman Show"
"201",1018142,1021101,"You, sailing off into that storm.","The Truman Show"
"202",1024272,1026773,"But I've never blamed you, Truman,","The Truman Show"
"203",1027901,1029943,"and I don't blame you now.","The Truman Show"
"204",1076200,1077407,"Truman?","The Truman Show"
"205",1081454,1083663,"What are you doing down here?","The Truman Show"
"206",1085166,1086792,"Fixing the mower.","The Truman Show"
"207",1090463,1092673,"- Saw my father today.- I know.","The Truman Show"
"208",1096010,1097761,"Your mother called.","The Truman Show"
"209",1099597,1102391,"You really shouldn't upset her like that.","The Truman Show"
"210",1102558,1105060,"Did you want... What did you want?","The Truman Show"
"211",1105436,1107020,"I made macaroni.","The Truman Show"
"212",1107689,1109190,"I'm not hungry.","The Truman Show"
"213",1110025,1113653,"You know, you really ought to throw outthat mower.","The Truman Show"
"214",1114822,1117240,"Get one of those new Elk Rotaries.","The Truman Show"
"215",1153818,1155403,"What's he doing?","The Truman Show"
"216",1155528,1158489,"See, they got rid of her,but they couldn't erase the memory.","The Truman Show"
"217",1158574,1160240,"The memory of who?","The Truman Show"
"218",1212961,1215296,"- You okay? You all right?- Excuse me. Hi.","The Truman Show"
"219",1215380,1217632,"- Hi.- I'm so sorry I fell on you like that.","The Truman Show"
"220",1217715,1220843,"- It's okay.- I've just been such a klutz all day.","The Truman Show"
"221",1220928,1222428,"It's all right.","The Truman Show"
