"id","startTime","endTime","text","title"
"1",22731,25733,"BELLA: ""Childhood is notfrom birth to a certain age.","The Twilight Saga: Breaking Dawn - Part 1"
"2",27695,31906,"""And at a certain age, the child is grownand puts away childish things.","The Twilight Saga: Breaking Dawn - Part 1"
"3",39790,42625,"""Childhood is the kingdomwhere nobody dies.""","The Twilight Saga: Breaking Dawn - Part 1"
"4",50843,52510,"Jake! Jacob!","The Twilight Saga: Breaking Dawn - Part 1"
"5",55097,57140,"(ROARING)","The Twilight Saga: Breaking Dawn - Part 1"
"6",83125,84167,"Phil!","The Twilight Saga: Breaking Dawn - Part 1"
"7",89214,90715,"It's happening.","The Twilight Saga: Breaking Dawn - Part 1"
"8",94428,96179,"(SCRAPING)","The Twilight Saga: Breaking Dawn - Part 1"
"9",103812,105229,"You just have to break them in.","The Twilight Saga: Breaking Dawn - Part 1"
"10",105731,109108,"I've been breaking them in. For three days.","The Twilight Saga: Breaking Dawn - Part 1"
"11",109193,110193,"Can l just go barefoot?","The Twilight Saga: Breaking Dawn - Part 1"
"12",110360,112612,"No, absolutely not.","The Twilight Saga: Breaking Dawn - Part 1"
"13",112696,114906,"Just thinking it's a little much, you know?","The Twilight Saga: Breaking Dawn - Part 1"
"14",114990,117200,"The dress and the shoes,","The Twilight Saga: Breaking Dawn - Part 1"
"15",117493,118493,"and all of this.","The Twilight Saga: Breaking Dawn - Part 1"
"16",120037,122413,"ALICE: No, it's exactly enough.","The Twilight Saga: Breaking Dawn - Part 1"
"17",122956,124707,"Tomorrow will be perfect.","The Twilight Saga: Breaking Dawn - Part 1"
"18",125501,126834,"Where do you want them, boss?","The Twilight Saga: Breaking Dawn - Part 1"
"19",127085,128294,"On either side of the aisle.","The Twilight Saga: Breaking Dawn - Part 1"
"20",129463,132048,"-What aisle?-Does no one have vision?","The Twilight Saga: Breaking Dawn - Part 1"
"21",149983,152527,"You, go home and get lots of beauty sleep.","The Twilight Saga: Breaking Dawn - Part 1"
"22",152820,153861,"That's an order.","The Twilight Saga: Breaking Dawn - Part 1"
"23",155239,156364,"Okay.","The Twilight Saga: Breaking Dawn - Part 1"
"24",203620,206122,"l was just checking for cold feet.","The Twilight Saga: Breaking Dawn - Part 1"
"25",208458,211460,"Well, mine are toasty warm.","The Twilight Saga: Breaking Dawn - Part 1"
"26",211545,213212,"It's not too late to change your mind.","The Twilight Saga: Breaking Dawn - Part 1"
"27",213297,214922,"What? Now you're having second thoughts?","The Twilight Saga: Breaking Dawn - Part 1"
"28",218135,219135,"You are.","The Twilight Saga: Breaking Dawn - Part 1"
"29",221638,224098,"No, I've been waiting a centuryto marry you, Miss Swan.","The Twilight Saga: Breaking Dawn - Part 1"
"30",225309,229061,"But?","The Twilight Saga: Breaking Dawn - Part 1"
"31",231064,233232,"l haven't told you everything about myself.","The Twilight Saga: Breaking Dawn - Part 1"
"32",233317,234567,"What? You're not a virgin?","The Twilight Saga: Breaking Dawn - Part 1"
"33",234651,236068,"(LAUGHS)","The Twilight Saga: Breaking Dawn - Part 1"
"34",242868,244243,"(EXHALING)","The Twilight Saga: Breaking Dawn - Part 1"
"35",244328,246787,"Look, you can't scare me away now.","The Twilight Saga: Breaking Dawn - Part 1"
"36",249583,252501,"Look, a few years after Carlisle created me,","The Twilight Saga: Breaking Dawn - Part 1"
"37",253712,255630,"l rebelled against him.","The Twilight Saga: Breaking Dawn - Part 1"
"38",256798,259258,"l resented him for curbing my appetite.","The Twilight Saga: Breaking Dawn - Part 1"
"39",259343,261719,"And so for a while, l went off on my own.","The Twilight Saga: Breaking Dawn - Part 1"
"40",262262,264430,"l wanted to know how it felt to hunt.","The Twilight Saga: Breaking Dawn - Part 1"
"41",264514,265765,"(SCREAMING)","The Twilight Saga: Breaking Dawn - Part 1"
"42",265849,266849,"(AUDIENCE EXCLAIMS)","The Twilight Saga: Breaking Dawn - Part 1"
"43",270854,272396,"EDWARD: To taste human blood.","The Twilight Saga: Breaking Dawn - Part 1"
"44",309226,310226,"(HEART BEATING RAPIDLY)","The Twilight Saga: Breaking Dawn - Part 1"
"45",310310,311435,"(CHOKING)","The Twilight Saga: Breaking Dawn - Part 1"
"46",314856,316232,"All the men I killed","The Twilight Saga: Breaking Dawn - Part 1"
"47",318527,320069,"were monsters.","The Twilight Saga: Breaking Dawn - Part 1"
"48",324574,326033,"And so was I.","The Twilight Saga: Breaking Dawn - Part 1"
