"id","startTime","endTime","text","title"
"1",56823,59895,"Wow, it was barelyan inch when we went in.","The Vow"
"2",60692,62433,"It's so beautiful.","The Vow"
"3",88587,90966,"It's good,it's good, it's good.","The Vow"
"4",93393,95463,"I can't feel my fingers.","The Vow"
"5",98397,99808,"Thank you.","The Vow"
"6",118218,120254,"You do not like this song.","The Vow"
"7",126459,127960,"You have to turn it off.","The Vow"
"8",135668,139138,"I'm married to a cheeser!Please, stop!","The Vow"
"9",139639,141743,"You love it.Say you love it. Stop! Ow!","The Vow"
"10",141807,143287,"Stop it!","The Vow"
"11",143943,145182,"You love that song.","The Vow"
"12",145277,146848,"Oh, Leo.","The Vow"
"13",148413,150155,"Hey, I have this theory.","The Vow"
"14",150250,151319,"Mmm-hmm.","The Vow"
"15",151417,154920,"That a girl's guaranteed to getpreggers if she does it in a car.","The Vow"
"16",157356,158631,"What?","The Vow"
"17",158991,160368,"Mmm-hmm.","The Vow"
"18",161360,165138,"I have a theory, too.My theory is about moments.","The Vow"
"19",167300,168676,"Moments of impact.","The Vow"
"20",226491,229062,"My theory is thatthese moments of impact,","The Vow"
"21",230062,232270,"these flashes of high intensity","The Vow"
"22",232365,234503,"that completely turnour lives upside down,","The Vow"
"23",234766,237372,"actually end updefining who we are.","The Vow"
"24",242275,243686,"Thanks.","The Vow"
"25",243742,244914,"Next in line.","The Vow"
"26",251450,254920,"One of my absolutefavorite moments.","The Vow"
"27",259792,261100,"Oh!","The Vow"
"28",262694,264105,"You forgot your permit.","The Vow"
"29",265365,269870,"Yeah. Well, I just sort of comehere to enjoy the two-hour line.","The Vow"
"30",269935,271437,"The permit's sort of a bonus.","The Vow"
"31",275240,276981,"The Art Institute.","The Vow"
"32",277644,279452,"You work there?","The Vow"
"33",279545,280750,"No, I'm a student.","The Vow"
"34",285418,286658,"I'm Paige.","The Vow"
"35",286886,289264,"I'm sorry. I'm Leo.","The Vow"
"36",289322,292235,"Well, thank you for this, Leo.","The Vow"
"37",293459,297134,"You know what, I noticed, in atotally non-threatening way,","The Vow"
"38",297230,299072,"we have the same RPP zone.","The Vow"
"39",299798,301004,"Is that right?","The Vow"
"40",301767,302939,"Yup.","The Vow"
"41",303235,304509,"Hmm.","The Vow"
"42",304803,307250,"You have impressivepowers of observation.","The Vow"
"43",307307,308684,"Yes.","The Vow"
"44",309007,311112,"What's an RPP zone?","The Vow"
"45",311978,313786,"Residentialpermit parking zone.","The Vow"
"46",314747,315987,"Oh.","The Vow"
"47",316149,319028,"That sounds intimate.","The Vow"
"48",320620,321757,"Yeah.","The Vow"
"49",323790,324927,"Okay.","The Vow"
"50",325858,328201,"What I was thinking is that...","The Vow"
"51",328461,330269,"I think we owe itto ourselves, really,","The Vow"
"52",330329,331603,"to maybe get a drink,","The Vow"
"53",332031,335706,"out of respect for ourzone compatibility and all.","The Vow"
"54",339639,341481,"Okay.Okay?","The Vow"
"55",341707,342812,"Mmm-hmm.","The Vow"
"56",343675,345052,"All right, okay.","The Vow"
"57",349682,351058,"After you.","The Vow"
"58",358658,360228,"Pick a hand. Pick a hand.Pick a hand.","The Vow"
"59",360326,362134,"That one.Here we go.","The Vow"
"60",364629,366007,"Mmm.Mmm.","The Vow"
"61",366064,367668,"This is good.","The Vow"
"62",385718,388494,"Let me know if youneed anything else.","The Vow"
"63",402567,404308,"Oh.","The Vow"
"64",412745,414382,"Oh.","The Vow"
"65",425824,427064,"Mmm.","The Vow"
"66",456755,458029,"Did you just fart?","The Vow"
"67",458124,459363,"No.","The Vow"
"68",459992,461197,"Oh.","The Vow"
"69",462327,463932,"Maybe a little.","The Vow"
"70",469367,471278,"That is so twisted.","The Vow"
"71",472704,474514,"But totally romantic.","The Vow"
"72",476209,479189,"God, I'm so in lovewith you, it's insane.","The Vow"
"73",484516,486291,"As you know,your wife's CT scan","The Vow"
"74",486351,488024,"showedintracranial hemorrhaging.","The Vow"
"75",488120,490827,"We purposely keep patientswith traumatic brain injuries","The Vow"
"76",490923,493562,"in a comatose state in orderto calm their systems","The Vow"
"77",493692,498038,"and allow the brain time to healitself while the swelling subsides.","The Vow"
"78",498363,500935,"And then we slowlywean them off it. Now...","The Vow"
"79",501033,504536,"The thing is, each oneof us is the sum total of","The Vow"
"80",504603,507516,"every moment thatwe've ever experienced,","The Vow"
"81",507572,510281,"with all the peoplewe've ever known.","The Vow"
"82",523221,526533,"And it's these momentsthat become our history.","The Vow"
"83",526625,530732,"Like our own personal greatesthits of memories that we play","The Vow"
"84",530796,534106,"and replay in our mindsover and over again.","The Vow"
"85",539272,541047,"Aren't you hungry?","The Vow"
"86",541874,543716,"Hey.Hi.","The Vow"
"87",544376,546447,"What you doing?Nothing.","The Vow"
"88",546546,547751,"Really?No.","The Vow"
"89",547812,549383,"What's that?Nothing.","The Vow"
"90",549447,551394,"Oh, nothing?Food's ready.","The Vow"
"91",552118,553721,"Look, if you keepfeeding that fleabag,","The Vow"
"92",553785,557393,"it's gonna keep comingback and I'm allergic.","The Vow"
"93",557590,560161,"Like you claim to beallergic to cilantro?","The Vow"
"94",560259,561601,"I can't stand cilantro.","The Vow"
"95",561661,563572,"Exactly.But you're not allergic.","The Vow"
"96",563629,566006,"Does anybody want strawberries Ibought at the farmers' market?","The Vow"
"97",566097,567168,"Buying groceries, bad sign.","The Vow"
"98",567265,568301,"What?","The Vow"
"99",568400,569504,"And we all knowwhat that means.","The Vow"
"100",569601,570672,"I like her.","The Vow"
"101",570970,572950,"She's like our mascot.","The Vow"
"102",573239,574581,"Thanks, I think.","The Vow"
"103",574639,577313,"I would rather have her than thatferret you tried to make us adopt.","The Vow"
"104",577409,579582,"And she makes great coffee.Let's keep her.","The Vow"
"105",579644,580918,"Thank you.","The Vow"
"106",580980,582254,"- Have some.- Thank you.","The Vow"
"107",583682,586687,"""Movie""? I think youspelled ""movie"" wrong.","The Vow"
"108",586851,587956,"No.","The Vow"
"109",596095,597437,"Told you.","The Vow"
"110",597697,598903,"Yes.Mmm-hmm.","The Vow"
"111",602100,604274,"I vow to help you love life,","The Vow"
"112",604370,607077,"to always hold youwith tenderness,","The Vow"
"113",607539,610543,"and to have the patiencethat love demands.","The Vow"
"114",610976,613321,"To speak when words are needed","The Vow"
"115",613613,616594,"and to share the silencewhen they're not.","The Vow"
"116",617283,620787,"To agree to disagreeon red velvet cake.","The Vow"
"117",622554,624761,"And to live withinthe warmth of your heart","The Vow"
"118",624823,626599,"and always call it home.","The Vow"
"119",627759,630297,"Wow, you set the barkind of high.","The Vow"
"120",631563,633304,"Did you writeyour vows on a menu?","The Vow"
"121",634399,635902,"Yeah. Why?","The Vow"
"122",645477,647684,"I vow to fiercely love you","The Vow"
"123",649414,652624,"in all your forms,now and forever.","The Vow"
"124",653952,658025,"I promise to never forget thatthis is a once-in-a-lifetime love.","The Vow"
"125",660659,664004,"And to always know in thedeepest part of my soul","The Vow"
"126",665597,669307,"that no matter what challengesmight carry us apart,","The Vow"
"127",670936,673779,"that we'll always find theway back to each other.","The Vow"
"128",677275,680222,"Do you take each otheras spouses forever?","The Vow"
"129",680446,681618,"I do.","The Vow"
"130",684450,685621,"I do.","The Vow"
"131",687019,691297,"Then by the power vested in meby the State of Illinois, I...","The Vow"
"132",691791,692860,"Security.","The Vow"
"133",693692,696037,"I now pronounce you man andwife and best friends for life.","The Vow"
"134",696128,697504,"Kiss! Run!","The Vow"
"135",755086,758466,"I have one piece.One piece.","The Vow"
"136",760392,762565,"It's...It's not happening.","The Vow"
"137",763294,764706,"I don't...","The Vow"
"138",765264,766709,"Oh, my God.","The Vow"
"139",767365,768400,"You're gonna be fine.","The Vow"
"140",768466,770275,"Oh, my God. I'm gonnahave to call them.","The Vow"
"141",770369,771403,"I'm gonna have to call them","The Vow"
"142",771470,773540,"and tell themthat I can't do it.","The Vow"
"143",776475,778317,"Come to bed with me.","The Vow"
"144",779879,781620,"Come on. I know you wannacome to bed with me.","The Vow"
"145",784616,785924,"Don't!","The Vow"
"146",785985,787827,"Oh, no, please, no.","The Vow"
