"id","startTime","endTime","text","title"
"1",61600,67379,"Look! Over there! Enemy's aircraft!Over there! Look!","The Wolverine"
"2",67599,72379,"Alert! Be prepared!Hiroshima will be attacked!","The Wolverine"
"3",72599,76379,"Find shelter!Find shelter!","The Wolverine"
"4",109609,110610,"Where are you going?","The Wolverine"
"5",111944,113281,"Help me!","The Wolverine"
"6",113615,114948,"Over here!","The Wolverine"
"7",118000,120539,"Stop! Stop the fire!","The Wolverine"
"8",146139,147117,"Hey, you!","The Wolverine"
"9",147649,148900,"Go!","The Wolverine"
"10",149317,150318,"Go!","The Wolverine"
"11",150985,154531,"That was a B-29, bub.There's no outrunning what's coming.","The Wolverine"
"12",155198,156574,"Yashida!","The Wolverine"
"13",156780,159764,"Yashida, what are you doing?!Come here!","The Wolverine"
"14",160098,162563,"Yashida, come here!","The Wolverine"
"15",162663,164163,"You're better off down here.","The Wolverine"
"16",164780,166870,"- Yashida!- Yes, I'll be right there!","The Wolverine"
"17",166918,168670,"I'd hurry if I were you.","The Wolverine"
"18",233985,234985,"Run. Now!","The Wolverine"
"19",246372,247955,"Stay down!","The Wolverine"
"20",294586,296798,"No, wait!No, no. Wait.","The Wolverine"
"21",299716,302302,"No. It's not safe.","The Wolverine"
"22",304137,308141,"Wake up, wake up, wake up.Wake up.","The Wolverine"
"23",309394,311312,"Where were you?","The Wolverine"
"24",314064,315358,"Nagasaki.","The Wolverine"
"25",316483,318694,"That far back?","The Wolverine"
"26",326536,327661,"You're here.","The Wolverine"
"27",327829,328913,"Of course.","The Wolverine"
"28",329079,330872,"Can you stay?","The Wolverine"
"29",332125,333625,"You know I can't.","The Wolverine"
"30",334627,336795,"Jean, I'm so sorry.","The Wolverine"
"31",337213,338213,"I know.","The Wolverine"
"32",338338,342009,"I'll never hurt youor anyone ever again.","The Wolverine"
"33",342175,343468,"I made a vow.","The Wolverine"
"34",344262,346055,"A solemn vow?","The Wolverine"
"35",346389,348391,"You're making fun of me.","The Wolverine"
"36",350307,352478,"It's too late.","The Wolverine"
"37",357608,360610,"No! No, Jean!","The Wolverine"
"38",360778,362196,"No, no, no! Please!","The Wolverine"
"39",362321,363447,"You can't hide.","The Wolverine"
"40",363612,364615,"No, no, no! Please!","The Wolverine"
"41",364781,365949,"You can't hide!","The Wolverine"
"42",366117,367660,"No, Jean! No!","The Wolverine"
"43",368369,369370,"No.","The Wolverine"
"44",486319,489574,"Whack all of that on store credit.Thanks, honey.","The Wolverine"
