"id","startTime","endTime","text","title"
"1",355605,358231,"Hey, Stevie, you okay?","The X Files"
"2",360151,362235,"I got...","The X Files"
"3",366449,368825,"I got the wind knocked out of me.","The X Files"
"4",368951,370786,"Looks like a cave.","The X Files"
"5",381297,384049,"Stevie, what's goin' on?","The X Files"
"6",388805,390639,"It's a human skull!","The X Files"
"7",390765,393975,"- Toss it up here!- No way! It's mine.","The X Files"
"8",394102,397813,"Anyway, there's bonesall over the place, man!","The X Files"
"9",411953,413578,"What the...","The X Files"
"10",436477,438520,"Stevie?","The X Files"
"11",438646,440856,"- Hey, Stevie!- You okay?","The X Files"
"12",444193,447696,"Hey, man... let's get outta here!","The X Files"
"13",489071,491114,"Give me a 14-footer!","The X Files"
"14",493075,497287,"This is Captain Miles Cooles.Rescue situation in progress.","The X Files"
"15",497413,501958,"Rope's in the hole.Let's go. Two down.","The X Files"
"16",508633,510717,"What ya got, TC? Talk to me.","The X Files"
"17",512970,514971,"Do you see the boy?","The X Files"
"18",518768,521978,"Come back, TC. You see the kid?","The X Files"
"19",523898,525607,"Danny, check TC's radio.","The X Files"
"20",527026,528193,"TC?","The X Files"
"21",528319,530445,"Glenn, Sal, in the hole!","The X Files"
"22",561936,565689,"- Get those people outta here!- Move 'em back!","The X Files"
"23",565815,567274,"Move back, folks!","The X Files"
"24",568859,574864,"I sent four men down there for the boy.Report is, his eyes had turned black.","The X Files"
"25",574991,578326,"Now we've lost communication with my men.","The X Files"
"26",593426,595385,"What about my men?","The X Files"
"27",599473,602183,"What about my men!","The X Files"
"28",615114,617657,"What the hell is this?","The X Files"
"29",646354,648063,"It's Bronschweig.","The X Files"
"30",648189,653109,"Sir, the impossible scenariothat we never planned for?","The X Files"
"31",653444,655111,"We'd better come up with a plan.","The X Files"
"32",688813,691356,"We've evacuated the building.","The X Files"
"33",691482,697070,"- There's no trace of an explosive device.- You sent the dogs through?","The X Files"
"34",697196,698113,"Yes, sir.","The X Files"
"35",698239,700115,"Send 'em through again.","The X Files"
"36",703661,705161,"All right, guys.","The X Files"
"37",705287,707414,"Let's do it again!","The X Files"
"38",734650,736526,"Mulder, it's me.","The X Files"
"39",736652,739028,"- Where are you, Scully?- On the roof.","The X Files"
"40",739155,741990,"- Find anything?- No, I haven't.","The X Files"
"41",742825,744033,"What's wrong?","The X Files"
"42",744160,747704,"I just climbed up 12 floors,I'm hot, I'm thirsty,","The X Files"
"43",747830,750707,".. and I'm wondering what I'm doing.","The X Files"
"44",750833,752709,"You're looking for a bomb.","The X Files"
"45",752835,756129,"But the threat was madeon the Federal Building.","The X Files"
"46",756338,758381,"They have that covered.","The X Files"
"47",758507,765138,"When a bomb threat is called in, the rationalpurpose of it is to allow us to find the bomb.","The X Files"
"48",765264,769684,"The rational object of terrorismis to promote terror.","The X Files"
"49",769935,776608,"There's a model behavioural pattern for everycase where a threat has turned up a bomb.","The X Files"
"50",776859,780487,"And if we ignore that data, as we have done,","The X Files"
"51",780613,785283,".. the chances are great that,if there is a bomb, we might not find it.","The X Files"
"52",785534,787619,"Lives could be lost.","The X Files"
"53",787745,788703,"Mulder?","The X Files"
"54",789955,791164,"Mulder?","The X Files"
"55",791290,792081,"Boom!","The X Files"
"56",792208,793500,"Jesus, Mulder!","The X Files"
