"id","startTime","endTime","text","title"
"1",1050,20050,"Improved & Synced by BanglarBagh","The Zookeeper's Wife"
"2",65079,66490,"(BIRDS CHIRPING)","The Zookeeper's Wife"
"3",68239,70049,"(ANIMALS CALLING)","The Zookeeper's Wife"
"4",73079,75081,"(ELEPHANTS TRUMPETING)","The Zookeeper's Wife"
"5",95159,96365,"(BIRDS CALLING)","The Zookeeper's Wife"
"6",102680,103841,"(PEOPLE CHATTERING)","The Zookeeper's Wife"
"7",105840,107682,"- ANTONINA: Hello, Jerzyk.- JERZYK: Good morning, Miss.","The Zookeeper's Wife"
"8",107879,109210,"It's a beautiful day.","The Zookeeper's Wife"
"9",118879,120959,"Good morning.","The Zookeeper's Wife"
"10",121040,123326,"- Hello. Welcome.- MAN: Good morning.","The Zookeeper's Wife"
"11",124799,126370,"Good morning. Enjoy yourselves today.","The Zookeeper's Wife"
"12",127120,128121,"Good morning.","The Zookeeper's Wife"
"13",132919,134409,"Good morning.","The Zookeeper's Wife"
"14",135719,137245,"- Good morning.- ANTONINA: Good morning.","The Zookeeper's Wife"
"15",144079,146889,"Come along, Adam. Time for morning rounds.","The Zookeeper's Wife"
"16",149599,151364,"(GRUNTING)","The Zookeeper's Wife"
"17",152719,154449,"(LOW GROWLING)","The Zookeeper's Wife"
"18",164400,166640,"- (LOW GROWLING)- ANTONINA: Hello, my loves.","The Zookeeper's Wife"
"19",168879,170040,"Good morning, sweetheart.","The Zookeeper's Wife"
"20",170759,172409,"(GROWLING)","The Zookeeper's Wife"
"21",173079,174081,"(TIGER ROARS)","The Zookeeper's Wife"
"22",176319,177320,"Good morning.","The Zookeeper's Wife"
"23",182439,183600,"(ADAM GRUNTING)","The Zookeeper's Wife"
"24",189400,191084,"(MONKEYS CHATTERING)","The Zookeeper's Wife"
"25",200879,201961,"(SPEAKING POLISH)","The Zookeeper's Wife"
"26",205599,206646,"(POLAR BEAR GRUNTING)","The Zookeeper's Wife"
"27",210639,212004,"(ELEPHANT TRUMPETING)","The Zookeeper's Wife"
"28",214199,215639,"How's our girl today?","The Zookeeper's Wife"
"29",215719,217085,"No problems today, Miss.","The Zookeeper's Wife"
"30",220680,223800,"Hello, old Kasia.","The Zookeeper's Wife"
"31",223879,227079,"Yes. Tembo.","The Zookeeper's Wife"
"32",227159,229162,"What a beautiful girl you are.","The Zookeeper's Wife"
"33",240240,241764,"(CHILDREN CHATTERING)","The Zookeeper's Wife"
"34",244599,245646,"(YELPS)","The Zookeeper's Wife"
"35",246759,248000,"(SCREECHING)","The Zookeeper's Wife"
"36",248879,250961,"- (LOW GRUNTING)- Good morning.","The Zookeeper's Wife"
"37",265879,268531,"- Good morning, darling.- Good morning, Punia.","The Zookeeper's Wife"
"38",270759,271841,"Have you come to help me?","The Zookeeper's Wife"
"39",309839,312120,"LUTZ HECK: The torchlightwas flaring in front of me.","The Zookeeper's Wife"
"40",312199,314839,"Behind me, I could hear the breathingof a maddened creature.","The Zookeeper's Wife"
"41",314920,317526,"It was midnight, black as coal.","The Zookeeper's Wife"
"42",318199,322439,"I couldn't see my hand in front of me,but I could feel her breath on my neck.","The Zookeeper's Wife"
"43",322519,324879,"Hot and thick.","The Zookeeper's Wife"
"44",324959,327690,"I had interfered, and she was angry with me.","The Zookeeper's Wife"
"45",328560,330244,"She took two steps.","The Zookeeper's Wife"
"46",332040,334319,"I thought it was the end of me.","The Zookeeper's Wife"
"47",334399,338000,"I took my rifle, raised it,","The Zookeeper's Wife"
"48",338079,339720,"- and that's when she charged.- (STOMPS FOOT)","The Zookeeper's Wife"
"49",339800,340800,"(PEOPLE GASPING)","The Zookeeper's Wife"
"50",343840,346810,"There was nothing I could do,I had to shoot her.","The Zookeeper's Wife"
"51",348040,350240,"It was the picture of perfection.","The Zookeeper's Wife"
"52",350319,351810,"An exquisite creature.","The Zookeeper's Wife"
"53",352879,354769,"A great desecration for me.","The Zookeeper's Wife"
"54",354959,358567,"But I have to say, her cubs did survive.","The Zookeeper's Wife"
"55",359120,363603,"They thrived, and have grown toa proud maturity in my zoo. Cheers.","The Zookeeper's Wife"
"56",364240,367244,"Herr Heck has taken overthe Berlin Zoo from his father.","The Zookeeper's Wife"
"57",367480,369199,"And his brother runs the Munich Zoo.","The Zookeeper's Wife"
"58",369279,371040,"Would you like a canapé, Herr Heck?","The Zookeeper's Wife"
"59",371120,372959,"It looks delicious, but no. Thank you.","The Zookeeper's Wife"
"60",373040,375720,"This is Magda Gross, the sculptress.Perhaps you know of her.","The Zookeeper's Wife"
"61",375800,376759,"Indeed, yes.","The Zookeeper's Wife"
"62",376839,378682,"- She also made this...- Oh!","The Zookeeper's Wife"
"63",380120,381120,"Excuse me.","The Zookeeper's Wife"
"64",381920,384120,"WANDA: And what do you dowith yourself, my dear,","The Zookeeper's Wife"
"65",384199,386043,"while your husband is playingwith his monkeys?","The Zookeeper's Wife"
"66",386600,388125,"(SNICKERING)","The Zookeeper's Wife"
"67",388240,389480,"I help him.","The Zookeeper's Wife"
"68",389680,391439,"Oh, isn't that sweet.","The Zookeeper's Wife"
"69",391519,393560,"Sweetness is the least of it.","The Zookeeper's Wife"
"70",393639,395840,"Antonina's a magician.","The Zookeeper's Wife"
"71",395920,399560,"Thank you. I'll take it.","The Zookeeper's Wife"
"72",399639,401920,"We met five or six years ago,didn't we, Frau Zabińska?","The Zookeeper's Wife"
"73",402000,403000,"Mmm.","The Zookeeper's Wife"
"74",403079,404560,"I think you've changed your hair.","The Zookeeper's Wife"
"75",404639,405721,"Yes.","The Zookeeper's Wife"
"76",405840,408485,"You've only grown more beautifulin these past years, I have to say.","The Zookeeper's Wife"
"77",408639,411007,"The look of a stray barn cat, if you ask me.","The Zookeeper's Wife"
"78",411840,415560,"Did you know that barn cats havethe keenest sense in all of nature?","The Zookeeper's Wife"
"79",415639,418404,"More astute and fine thanany human being I hope to meet.","The Zookeeper's Wife"
"80",421199,423759,"Do you play the piano, Frau Zabińska?","The Zookeeper's Wife"
"81",423839,425250,"A little.","The Zookeeper's Wife"
"82",425360,426725,"Why don't you play something for us?","The Zookeeper's Wife"
"83",427600,432204,"I think it's the perfect time tosoothe the savage beast and all that.","The Zookeeper's Wife"
"84",437199,438928,"Maybe she should play a German waltz.","The Zookeeper's Wife"
"85",439399,441800,"We may all be learningthe goose-step within a year.","The Zookeeper's Wife"
"86",441959,443959,"- Stefan, please.- STEFAN: Isn't that so, Herr Heck?","The Zookeeper's Wife"
"87",444040,445279,"JAN: Not now, please, Stefan.","The Zookeeper's Wife"
"88",445519,448682,"Well, Hitler wants Poland.","The Zookeeper's Wife"
"89",448800,450439,"It's what everyone's saying.","The Zookeeper's Wife"
"90",450519,453439,"I wouldn't know anythingabout it, I assure you.","The Zookeeper's Wife"
"91",453519,456000,"I'm a zoologist, not a politician.","The Zookeeper's Wife"
"92",456920,458409,"(ANTONINA PLAYING PIANO)","The Zookeeper's Wife"
"93",468480,469480,"(DOOR OPENS)","The Zookeeper's Wife"
"94",470959,473725,"Mama, Jerzyk needs you! It's Kasia.","The Zookeeper's Wife"
"95",474600,476045,"Excuse me, everyone.","The Zookeeper's Wife"
"96",478399,480401,"- Be quiet, don't startle her.- (KASIA TRUMPETING)","The Zookeeper's Wife"
"97",488560,492245,"Here, stay here.Hold the light steady for me.","The Zookeeper's Wife"
"98",501759,503762,"JERZYK: She's not breathing.","The Zookeeper's Wife"
"99",507399,509920,"I'm here, Kasia.","The Zookeeper's Wife"
"100",510000,512400,"I'm here.","The Zookeeper's Wife"
"101",512679,513681,"Hello, Tembo.","The Zookeeper's Wife"
"102",515799,516960,"Hello, Tembo.","The Zookeeper's Wife"
"103",517039,520361,"I can bring you overalls, Miss, please.I can find other men.","The Zookeeper's Wife"
"104",520799,522802,"ANTONINA: There's no time. She's suffocating.","The Zookeeper's Wife"
"105",523279,525399,"Let me help you, Kasia.","The Zookeeper's Wife"
"106",525480,527960,"Please, let me help you, my darling.","The Zookeeper's Wife"
"107",528320,530200,"Let me help you, sweetheart.","The Zookeeper's Wife"
"108",530279,532088,"JERZYK: I have no rifle, Miss, please!","The Zookeeper's Wife"
"109",532320,533525,"Hush! Enough now!","The Zookeeper's Wife"
"110",537200,538326,"Please.","The Zookeeper's Wife"
"111",540320,541605,"Oh, she's blocked!","The Zookeeper's Wife"
"112",548240,550129,"No, please, let me do this.","The Zookeeper's Wife"
"113",550759,553445,"I'm trying, Kasia. I'm trying, my darling.","The Zookeeper's Wife"
"114",556200,557201,"(GRUNTS)","The Zookeeper's Wife"
"115",562360,564327,"(GROWLING)","The Zookeeper's Wife"
"116",568080,569320,"Wait, wait, wait.","The Zookeeper's Wife"
"117",569399,570924,"- You should go. You can go.- Why isn't that man armed?","The Zookeeper's Wife"
"118",571120,573486,"(TRUMPETING)","The Zookeeper's Wife"
"119",575320,576840,"JERZYK: Whoa, Tembo.","The Zookeeper's Wife"
"120",576919,578206,"- LUTZ HECK: What's his name?- Tembo.","The Zookeeper's Wife"
"121",578840,582003,"Tembo! Tembo. Good. Good, good, good.","The Zookeeper's Wife"
"122",582159,583720,"(GRUNTING)","The Zookeeper's Wife"
"123",583799,585240,"(PANTING)","The Zookeeper's Wife"
"124",585320,587687,"We're losing her! Jerzyk, help me!","The Zookeeper's Wife"
"125",592000,593000,"(GRUNTS)","The Zookeeper's Wife"
"126",593240,595440,"Push, Jerzyk!","The Zookeeper's Wife"
"127",595519,596725,"Push! (SOBS)","The Zookeeper's Wife"
"128",598639,600004,"Go. Go, go, go.","The Zookeeper's Wife"
"129",606120,607120,"ANTONINA: Oh!","The Zookeeper's Wife"
"130",610399,611399,"(GASPING)","The Zookeeper's Wife"
"131",611480,613562,"Oh, she's breathing! (SOBBING AND LAUGHING)","The Zookeeper's Wife"
"132",614639,616562,"Oh! She's breathing!","The Zookeeper's Wife"
"133",621679,623091,"You beauty!","The Zookeeper's Wife"
"134",626240,628527,"She's beautiful!","The Zookeeper's Wife"
"135",629960,632485,"Amazing! Amazing!","The Zookeeper's Wife"
"136",634039,635840,"(CHUCKLES)","The Zookeeper's Wife"
"137",635919,638081,"That was hard work, wasn't it?","The Zookeeper's Wife"
"138",638720,640085,"(LAUGHING)","The Zookeeper's Wife"
"139",642039,646125,"It's all right. It's all right, sweetheart.","The Zookeeper's Wife"
"140",654639,655640,"(LAUGHS)","The Zookeeper's Wife"
"141",664759,666330,"You are a, um...","The Zookeeper's Wife"
"142",668159,672609,"You are a wonder, Punia.You are Eve in her garden.","The Zookeeper's Wife"
"143",672759,673760,"(ANTONINA CHUCKLES)","The Zookeeper's Wife"
"144",679120,680769,"(BABY ELEPHANT COOS)","The Zookeeper's Wife"
"145",687399,688686,"It's late. Let's go home.","The Zookeeper's Wife"
"146",691120,693009,"(BELL TOLLING)","The Zookeeper's Wife"
"147",697320,699240,"- JERZYK: Good morning.- Good morning.","The Zookeeper's Wife"
"148",699320,701322,"Let's go! We're going.","The Zookeeper's Wife"
"149",713240,716880,"Mama, what are those men doing?They look like mules.","The Zookeeper's Wife"
"150",726399,728640,"ANTONINA: We were on Nalewki Street today.","The Zookeeper's Wife"
"151",729759,733241,"They're working the Jewslike pack animals now.","The Zookeeper's Wife"
