"id","startTime","endTime","text","title"
"1",85335,90128,"Good morning, New York. We'll talk about cheese until sunrise.","Tower Heist"
"2",90306,96236,"For example, ""Fuse December Shavre"" combined with ""Savinyon Blanc 77"".","Tower Heist"
"3",96479,100078,"Perfect for a romantic dinner.","Tower Heist"
"4",113095,118600,"Soft cheeses are often not good. Scott Crown Heights asks how ""Bree.""","Tower Heist"
"5",118801,123340,"NASDAQ is about to make the most profit for the day","Tower Heist"
"6",123541,126541,"and never agreed to a merger","Tower Heist"
"7",126741,130034,"with the largest U.S. stock investors.","Tower Heist"
"8",130512,134606,"We respect Barbara from the Bronx, which is about ""Cheddar.""","Tower Heist"
"9",134807,137307,"Good morning, Barbara.","Tower Heist"
"10",138308,141808,"This is for me.","Tower Heist"
"11",145304,148336,"Investors expect a stormy day.","Tower Heist"
"12",151267,154311,"Give back a little truck.","Tower Heist"
"13",158074,161675,"The man with the suit. Why are you on my side of the street?","Tower Heist"
"14",161877,164943,"Very funny.- Your place is on the other side.","Tower Heist"
"15",165144,168644,"The same joke yesterday.- If you do come, they will kick.","Tower Heist"
"16",205854,209126,"Good morning, Mr. Shaw. You are very elegant today.","Tower Heist"
"17",209327,212927,"So I love you, Lester. The best liar in New York.","Tower Heist"
"18",213161,216492,"Good morning, Mr. Shaw. Dinner on Friday is set.","Tower Heist"
"19",216698,220062,"I ordered a ""fuse"" and ""Savinyon Blanc"" from the 77th.","Tower Heist"
"20",220201,224169,"Do you really want to invite Minister Lowe and Janet Ramsey?","Tower Heist"
"21",224340,229367,"I will mention them on page six.- I completely forgot that they have a connection.","Tower Heist"
"22",229577,233337,"What would I do without you?- Do you read newspapers alone.","Tower Heist"
"23",233549,238717,"I'm serious. Provides for certain transactions. You can buy a hotel in St. Barts.","Tower Heist"
"24",238954,243589,"Looking for General Manager.- If Lester comes, we deal.","Tower Heist"
"25",243757,247291,"Well, I agree.- Have a nice day.","Tower Heist"
"26",247496,250360,"Josh, one more thing.- What?","Tower Heist"
"27",250598,252658,"Chess.","Tower Heist"
"28",255071,259362,"Buenos Dias, Manuel. How is it? Prepare a report on my guard?","Tower Heist"
"29",259573,263169,"Not much. Car Alarm, two homeless people and barking dogs.","Tower Heist"
"30",263312,267711,"Good morning, Josh. How was your weekend?- Well, come to clean the garage.","Tower Heist"
"31",267912,270912,"We ordered food from Pindzhab Palace.- You're wild.","Tower Heist"
"32",271153,273981,"That I have.- Mr. Kay!","Tower Heist"
"33",274123,277757,"My work visa expires soon. You can find my husband.","Tower Heist"
"34",277926,282789,"Can having a bite first?- Hurry before they extradite me.","Tower Heist"
"35",282931,285763,"Well, Manuel? Good boy f.","Tower Heist"
"36",285901,288763,"I tried, could not satisfy me.","Tower Heist"
"37",291039,294070,"Rose, do not save it. Good morning, Kwon.","Tower Heist"
"38",294211,297238,"We have birthdays in 3714 and 4399.","Tower Heist"
