"id","startTime","endTime","text","title"
"1",38163,39956,"(SQUEAKING)","Toy Story 2"
"2",90799,94844,"(WHOOSHING)","Toy Story 2"
"3",106857,108566,"(ROCKET FIRING)","Toy Story 2"
"4",115908,118534,"(ROCKET FIRING)","Toy Story 2"
"5",119411,121495,"(HYDRAULICS WHOOSHING)","Toy Story 2"
"6",136178,138804,"(BREATHING APPARATUS HISSING)","Toy Story 2"
"7",138889,140097,"Buzz Lightyear mission log.","Toy Story 2"
"8",140182,143267,"All signs point to this planetas the location of Zurg's fortress,","Toy Story 2"
"9",143352,147146,"but there seems to be no signof intelligent life anywhere.","Toy Story 2"
"10",150776,152568,"(ELECTRONIC WHIRRING)","Toy Story 2"
"11",153403,155863,"(ALL WHIRRING)","Toy Story 2"
"12",156698,158866,"-(GRUNTS)-(LASER BUZZING)","Toy Story 2"
"13",165916,167583,"(SCREAMING)","Toy Story 2"
"14",171129,172129,"(ELECTRONIC WHIRRING)","Toy Story 2"
"15",179263,182098,"-(ELECTRONIC BEEPING)-(GRUNTS)","Toy Story 2"
"16",197364,198781,"(PANTING)","Toy Story 2"
"17",202160,204412,"-(BEEPING)-(LAUGHING EVILLY)","Toy Story 2"
"18",204496,206914,"Come to me, my prey.","Toy Story 2"
"19",206999,208499,"(CONTINUES GASPING)","Toy Story 2"
"20",218176,219552,"(GRUNTS)","Toy Story 2"
"21",222848,224557,"(ELECTRONIC BUZZING)","Toy Story 2"
"22",241158,242533,"(SCREAMING)","Toy Story 2"
"23",249166,253294,"To infinity and beyond!","Toy Story 2"
"24",258342,259800,"(ELECTRONIC WHIRRING)","Toy Story 2"
"25",264848,267808,"So, we meet again,Buzz Lightyear, for the last time.","Toy Story 2"
"26",267893,269685,"Not today, Zurg!","Toy Story 2"
"27",275650,277777,"-(CRIES OUT)-(GRUNTS)","Toy Story 2"
"28",282908,285242,"(LAUGHING MANIACALLY)","Toy Story 2"
"29",288455,290790,"-No, no, no, no.-Oh, you almost had him.","Toy Story 2"
"30",290874,293918,"-I'm never gonna defeat Zurg!-Sure, you will, Rex.","Toy Story 2"
"31",294002,295461,"In fact, you're a better Buzz than I am.","Toy Story 2"
"32",295545,297129,"But look at my little arms!","Toy Story 2"
"33",297214,301300,"I can't press the ""fire"" buttonand jump at the same time!","Toy Story 2"
"34",302302,304386,"Where is it? Where is it?","Toy Story 2"
"35",305055,306722,"-Woody?-Huh? (GRUNTS)","Toy Story 2"
"36",307641,309892,"-(CONTINUES GRUNTING)-BOTH: Ooh.","Toy Story 2"
"37",310060,311727,"Hang on, cowboy!","Toy Story 2"
"38",316817,318818,"-Woody, are you all right?-(GRUNTS) Oh. Yeah.","Toy Story 2"
"39",318902,322655,"Yeah, I'm fine, Buzz. Okay. Here's yourlist of things to do while I'm gone.","Toy Story 2"
"40",322739,324031,"Batteries need to be changed.","Toy Story 2"
"41",324116,326033,"Toys in the bottom of the chestneed to be rotated.","Toy Story 2"
"42",326118,328494,"Oh, and make sure everyoneattends Mr. Spell's seminar","Toy Story 2"
"43",328578,330538,"on what to doif you or a part of you is swallowed.","Toy Story 2"
"44",330622,332289,"Okay? Okay. Good. Okay.","Toy Story 2"
"45",332374,334583,"Woody, you haven't foundyour hat yet, have you?","Toy Story 2"
"46",334668,337169,"No! And Andy's leavingfor cowboy camp any minute,","Toy Story 2"
"47",337254,338504,"and I can't find it anywhere!","Toy Story 2"
"48",338588,340589,"Don't worry, Woody.In just a few hours,","Toy Story 2"
"49",340674,345427,"you'll be sitting around a campfire withAndy making delicious, hot ""sch'moes.""","Toy Story 2"
"50",345512,348180,"-They're called s'mores, Buzz.-Right. Right. Of course.","Toy Story 2"
"51",348265,350349,"Has anyone found Woody's hat yet?","Toy Story 2"
