"id","startTime","endTime","text","title"
"1",238312,239896,"Your breakfast, sir.","Trading Places"
"2",257915,263838,"Pork bellies! I have a hunchsomething exciting is going to happen","Trading Places"
"3",263963,266464,"in the pork belly market this morning.","Trading Places"
"4",280146,283274,"Will Miss Penelopebe dining with you this evening, sir?","Trading Places"
"5",283941,286276,"Yes. Yes, she will.","Trading Places"
"6",328444,330946,"- Good morning, Mr Winthorpe.- Morning, Folsey.","Trading Places"
"7",340831,342911,"- Morning, Mr Winthorpe.- Good morning.","Trading Places"
"8",343375,345418,"- Morning, Mr Winthorpe.- Morning.","Trading Places"
"9",346961,349215,"- Morning, Mr Winthorpe.- Morning.","Trading Places"
"10",349340,352093,"Good morning, Mr Winthorpe.","Trading Places"
"11",353218,356430,"- Morning, Mr Winthorpe.- Morning, Mr Winthorpe.","Trading Places"
"12",358391,360892,"- Good morning, Mr Winthorpe.- Morning.","Trading Places"
"13",363646,366148,"- Good morning, Mr Winthorpe.- Morning.","Trading Places"
"14",384875,387586,"Pork bellies. I knew it. I knew it!","Trading Places"
"15",404853,407981,"- Good morning, Mr Duke.- Good morning, Mr Duke.","Trading Places"
"16",409608,412319,"- Good morning, Mr Duke.- Morning, Mr Duke.","Trading Places"
"17",412444,415406,"- Morning, Mr Duke.- Morning, Mr Duke.","Trading Places"
"18",415531,418617,"- Mr Duke.- Good morning, Mr Duke.","Trading Places"
"19",418742,420827,"Good morning, Mr Duke.","Trading Places"
"20",452276,454487,"When do we sell?","Trading Places"
"21",454612,458156,"How stupid these scientists are!","Trading Places"
"22",458281,462452,"The eternal question! There is no question.The answer's obvious.","Trading Places"
"23",462577,465997,"I don't care aboutheredity versus environment.","Trading Places"
"24",466122,470293,"I'm sick and tired of hearing it. I carehow much we get for our pork bellies.","Trading Places"
"25",470418,472504,"Winthorpe will sellat 76 and a quarter.","Trading Places"
"26",472629,475257,"His charts say that's as high as it'll go.","Trading Places"
"27",476300,478761,"It'll never get that high. Let's sell now.","Trading Places"
"28",478886,482098,"Patience, Mortimer.Let's see if Winthorpe's right.","Trading Places"
"29",483766,487060,"Winthorpe's wrong. It's topped out.I say we sell now.","Trading Places"
"30",487185,489939,"- Just another few seconds.- The market's closing.","Trading Places"
"31",490064,492690,"We won't get the order in.","Trading Places"
"32",510543,515715,"We just made an extra $347,000.","Trading Places"
"33",516340,518216,"Get me Winthorpe.","Trading Places"
"34",518341,522053,"Well, I never had an instantof doubt in my mind, Mortimer.","Trading Places"
"35",522178,526267,"Yes, I'm sure a lot of peoplewent belly-up on that one.","Trading Places"
"36",526392,528476,"I'll see you at the club.","Trading Places"
"37",558256,560341,"Morning Mr Duke.","Trading Places"
"38",560467,563846,"Merry Christmas! Merry Christmas!Thank you very much.","Trading Places"
"39",563971,567140,"Vietnam did this to mebut I'm not bitter, thank you.","Trading Places"
"40",567265,570436,"Merry Christmas! Happy Hanukkah?","Trading Places"
"41",570561,573355,"Spare a poor war veteran some change?I'm on my knees for life.","Trading Places"
"42",573480,575524,"I have no money to give you.","Trading Places"
"43",575649,577485,"Please, anything.","Trading Places"
"44",577610,580278,"A quarter, just a couple of dollars.","Trading Places"
"45",580403,583198,"Anything, a quarter, a nickel, please.","Trading Places"
"46",583323,585618,"Hey, man, I really don't appreciate this.","Trading Places"
"47",585743,589746,"I don't care what it is,smoked ham, anything, a jacket.","Trading Places"
"48",589871,593000,"Thanks! How'd youlike a stump up your ass?","Trading Places"
"49",593125,596669,"- Stay outta here!- You've got a lot of soul. I appreciate it.","Trading Places"
"50",602092,604177,"Listen to this.","Trading Places"
"51",604302,606389,"""Expect this stagnation to continue,","Trading Places"
"52",606514,608599,"""until the Department Of Agriculture's","Trading Places"
"53",608724,610934,"January crop report.""","Trading Places"
"54",611059,614397,"Exactly as we thought, Randolph.","Trading Places"
"55",614522,617982,"Wrong! Quite wrong. Untrue.","Trading Places"
"56",618109,620193,"They've given this genetics fellow","Trading Places"
"57",620318,623864,"the Nobel Prize. He doesn't knowthe first thing about human nature.","Trading Places"
"58",623989,628369,"We're about to makemillions of dollars in frozen orange juice","Trading Places"
"59",628494,630578,"and you're talking about human nature.","Trading Places"
"60",630705,632539,"Money isn't everything.","Trading Places"
"61",632664,633832,"Grow up.","Trading Places"
"62",633957,636460,"Mother always said you were greedy.","Trading Places"
"63",636585,638461,"She meant it as a compliment.","Trading Places"
"64",644259,647429,"Ezra, right on time.","Trading Places"
"65",648847,652308,"I bet you thoughtI'd forgotten your Christmas bonus.","Trading Places"
"66",652434,654519,"There you are.","Trading Places"
"67",655479,659399,"Five dollars!Maybe I'll go to the movies...","Trading Places"
"68",659692,662695,"by myself.","Trading Places"
"69",662820,667158,"- Half of it is from me.- Thank you, Mr Mortimer.","Trading Places"
"70",678918,681838,"- Gentlemen.- Looking good, Louis.","Trading Places"
"71",681963,683673,"Feeling good, Todd.","Trading Places"
"72",683798,687470,"We need a fourth for squash today, Louis.Are you interested?","Trading Places"
"73",687595,690931,"No can do. I'll be having dinnerwith Penelope, tonight.","Trading Places"
"74",691849,696937,"- Oh, lucky you.- It's not luck, Todd.","Trading Places"
"75",707405,709491,"Randolph, Mortimer.","Trading Places"
"76",709616,711951,"What have you got for us?","Trading Places"
"77",712077,714245,"It's that time of the month again.","Trading Places"
"78",714371,718375,"Payroll cheques for our employees,which require your signatures.","Trading Places"
"79",718500,720961,"And no forgetting to sign the big ones.","Trading Places"
"80",721086,724673,"We are paying some of our employeesan awful lot of money.","Trading Places"
"81",724798,727301,"You can't get aroundthe minimum wage.","Trading Places"
"82",733974,739772,"$50,000 to Clarence Beeks!Who the hell...","Trading Places"
"83",741565,745318,"I meant to ask you about that.I went through our records,","Trading Places"
"84",745443,748780,"and there doesn't seem to bea Clarence Beeks employed with the firm.","Trading Places"
"85",750658,754495,"Oh, Clarence Beeks.Yes, of course.","Trading Places"
"86",754620,759165,"- He's doing something top secret for us.- Research.","Trading Places"
"87",760668,762753,"How is Penelope?","Trading Places"
"88",762878,766923,"Don't forget she's our grandniece - you'dbetter make an honest woman of her.","Trading Places"
"89",767048,771220,"Well, I'll certainly try, sir.The wedding invitations go out this week.","Trading Places"
"90",771345,773346,"Good. Good work, Winthorpe.","Trading Places"
"91",774724,777475,"Don't worry about this,Winthorpe.","Trading Places"
"92",777600,780562,"I'll take care of this one personally.","Trading Places"
"93",782773,785985,"- Goodbye, Winthorpe.- Goodbye, Winthorpe.","Trading Places"
"94",797538,799956,"Winthorpe is a very steady young man.","Trading Places"
"95",800081,802918,"We're luckyto have him managing our firm.","Trading Places"
"96",803043,808090,"Oh, hogwash. Exeter, Harvard -he's the product of good environment.","Trading Places"
"97",808215,810926,"It's got nothing to do with environment.","Trading Places"
