"id","startTime","endTime","text","title"
"1",337730,342520,"This informant, paid by police,{\i}using taxpayers' dollars...{\i}","Traffic"
"2",342520,345230,"to continue his felonydrug habit, was the link...","Traffic"
"3",345230,348240,"that allowed the policeto raid a private farm...","Traffic"
"4",348240,352490,"a working farm where honestAmericans make their living.","Traffic"
"5",352490,356370,"The government, in its haste,has hired an army of criminals...","Traffic"
"6",356370,359040,"whose allegiance to the truthis at best questionable.","Traffic"
"7",359040,361010,"Mr. Rodman...","Traffic"
"8",361540,364880,"it's a shame that your clientdidn't use as much sense...","Traffic"
"9",364880,367210,"in choosing what he planted...","Traffic"
"10",367210,369720,"as he didin choosing his attorney...","Traffic"
"11",369720,373720,"but, lately, the only variationthat l'm hearing in your argument...","Traffic"
"12",373720,376140,"is the name of your client.","Traffic"
"13",376140,379930,"You can stand here all day and arguethe ins and outs of Illinois v. Gates...","Traffic"
"14",379940,382020,"but you're notgonna convince me...","Traffic"
"15",382020,386570,"that our government has not sanctionedthe use of anonymous informants.","Traffic"
"16",386570,391200,"Furthermore, there is no sacred protectionof property rights in our country.","Traffic"
"17",391200,396000,"You grow marijuana on your farm,be it an ounce or an acre of plants...","Traffic"
"18",396160,398620,"that farm can be seized...","Traffic"
"19",398620,401230,"and that farm can be sold.","Traffic"
"20",403790,406150,"What the hell is that?","Traffic"
"21",406840,410090,"You can tell a Iot about somebodyfrom this stuff.","Traffic"
"22",410090,413180,"lt's from your friendsat Warren, Putnam and Hudson.","Traffic"
"23",413180,416100,"- A fishing rod.- What do you think they want?","Traffic"
"24",416100,418140,"Depends what state they're from.","Traffic"
"25",418140,421140,"Uh... Arizona.","Traffic"
"26",421140,423160,"Arizona.","Traffic"
"27",424100,426190,"Medicinal marijuana initiative.","Traffic"
"28",426190,428500,"Or am l being cynical?","Traffic"
"29",428900,431820,"Mark... l'm gonna miss you.","Traffic"
"30",431820,434430,"Thank you for aIl your hard work.","Traffic"
"31",442620,444280,"Hi. How are you today?","Traffic"
"32",444280,447700,"You've got a daughter. Why is it importantto get a handle on this drug problem?","Traffic"
"33",447700,450170,"Because it's an issuethat affects all families.","Traffic"
"34",450170,454710,"- But l'm planning on being back here as much as l can.- How do you feel about -","Traffic"
"35",481710,484340,"Okay, Gordon, no telltales:no scratching your nose...","Traffic"
"36",484340,486710,"no clearing your throat,no crossing your legs.","Traffic"
"37",486710,488710,"- [ Gordon ] I got it.- You got it, babe.","Traffic"
"38",488710,491540,"l'm cooI, man.You just don't teIl any jokes.","Traffic"
"39",491540,494750,"- ""Don't teIl any jokes""?- Don't tell jokes. It's a giveaway, Ray.","Traffic"
"40",494750,497890,"- lt's not a giveaway.- Every time you tell a joke, it's a giveaway.","Traffic"
"41",497890,501190,"- Don't tell any jokes.- You know what the problem is? You are too uptight, man.","Traffic"
"42",501190,503390,"Why don't you loosen up,take a deep breath?","Traffic"
"43",503390,505460,"Breathe in slowly.A little stretching maybe.","Traffic"
"44",505460,507760,"- Come on, man. They're looking at us.- Come on, man.","Traffic"
"45",507760,510610,"We're gonna get these motherfuckers.We know our shit.","Traffic"
"46",510610,513400,"Can l get it?Can l get it?","Traffic"
"47",513400,516600,"- Oh, baby, can l say it?- Say it. lt's show time.","Traffic"
"48",521450,524700,"[ Ray ] We're looking for Mr. Eduardo Ruiz.{\i}We have a 2:00 appointment.{\i}","Traffic"
"49",524700,527410,"He's right down the hallway{\i}in the back room.{\i}","Traffic"
"50",527420,529680,"Thank you.{\i}","Traffic"
