"id","startTime","endTime","text","title"
"1",81602,83269,"It's time.","Training Day"
"2",85271,86814,"Hey there...","Training Day"
"3",87024,90736,"...good morning. How are you today?","Training Day"
"4",90944,93280,"Hey. What are you doing up?","Training Day"
"5",93489,94490,"Moo.","Training Day"
"6",96241,97742,"Is that Daddy?","Training Day"
"7",101621,103915,"Hey there, cowgirl.","Training Day"
"8",104917,107503,"She's a little feisty today.","Training Day"
"9",108503,110631,"Babies should be sleeping.","Training Day"
"10",111590,114468,"""I'm too hungry for my own good.""Yes.","Training Day"
"11",118305,119807,"I gotta get ready.","Training Day"
"12",125938,128524,"Wrong day to be forgetting stuff.","Training Day"
"13",128816,131985,"You know how lucky you are.Don't screw this up.","Training Day"
"14",132193,134153,"All right! Jesus.","Training Day"
"15",135114,138324,"- She go back to sleep?- Yes. Ate like a pig.","Training Day"
"16",138533,143872,"I know I'm lucky. I ace this job,the department's wide open.","Training Day"
"17",144164,148669,"Get my own division someday.You should see their houses.","Training Day"
"18",155509,156885,"Hello?","Training Day"
"19",160639,161639,"Well, yes.","Training Day"
"20",162640,164058,"Don't worry, I will.","Training Day"
"21",164685,167187,"He's right here.It's Alonzo.","Training Day"
"22",174110,175153,"- Hello.- Hoyt?","Training Day"
"23",175361,176405,"Yes, sir.","Training Day"
"24",176614,179324,"- Going to roll call?- I'm leaving now.","Training Day"
"25",179533,180617,"- Hoyt?- Yes, sir?","Training Day"
"26",180825,184413,"- Fairies go to roll call. We don't.- Good to know.","Training Day"
"27",184622,187790,"There's a coffee shop on 7th.Be there at 10.","Training Day"
"28",188000,191544,"Be in comfortable shoes.Got a backup gun?","Training Day"
"29",191753,195549,"- Only the standard issue Beretta.- Bring it. Cuffs too.","Training Day"
"30",195758,199219,"Maybe we'll do some business.We're aggressive.","Training Day"
"31",199427,204098,"I know. That's why I signed up.I want to thank you for this--","Training Day"
"32",213567,214944,"What's wrong?","Training Day"
"33",217695,219615,"Feels like football tryouts.","Training Day"
"34",219824,223786,"I wish it was tomorrowso I'd know if I made the squad.","Training Day"
"35",223993,226747,"Listen, it's not tomorrow, it's today.","Training Day"
"36",227413,230751,"- I know it's gonna work out.- You do?","Training Day"
"37",254066,255568,"Good morning, sir.","Training Day"
"38",259737,261281,"No, thank you, ma'am.","Training Day"
"39",261490,263951,"Get some chow in you.My dollar.","Training Day"
"40",264492,266452,"Thank you, sir, but I ate.","Training Day"
"41",266661,267954,"Fine. Don't.","Training Day"
"42",274627,276254,"It's nice here.","Training Day"
"43",277630,278673,"May I read?","Training Day"
"44",279425,281593,"- I'm sorry, sir. I--- Thank you.","Training Day"
"45",282218,286223,"- I'll get something to eat.- Hell, no you won't. You fucked up.","Training Day"
"46",286473,289058,"I'm trying to read. Please shut up.","Training Day"
"47",308536,312290,"I'll like not being in a hotblack and white all summer.","Training Day"
"48",317295,319507,"Tell me a story, Hoyt.","Training Day"
"49",321007,324470,"- Like my story?- Not your story, a story.","Training Day"
"50",325137,329266,"Since you can't shut upso I can read, tell me a story.","Training Day"
"51",329516,331644,"- I don't know any.- You don't?","Training Day"
"52",331851,333394,"- No.- I'll tell you one.","Training Day"
