"id","startTime","endTime","text","title"
"1",1634,2965,"Alpa Chino!","Tropic Thunder"
"2",3069,4764,"We're loaded","Tropic Thunder"
"3",4871,6202,"I love the pussy, hell, yeah","Tropic Thunder"
"4",6306,7705,"I love the pussy, hell, yeah","Tropic Thunder"
"5",7807,10469,"I love that pussydripping down to the floor, oh, no","Tropic Thunder"
"6",10577,13068,"The wettest pussy, hell, yeahI love the pussy, hell, yeah","Tropic Thunder"
"7",13179,16273,"I'm drinking upyour Booty Sweat and busting a nut","Tropic Thunder"
"8",16383,18146,"Alpa Chino got that pussy control","Tropic Thunder"
"9",18251,20151,"Alpa Chino's Booty Sweat.","Tropic Thunder"
"10",20253,21686,"Pop an ass open!","Tropic Thunder"
"11",21788,25280,"Booty Sweat and Bust-A-Nut barsavailable at concessions now.","Tropic Thunder"
"12",29396,33526,"In 2013, when the Earth's rotationcame to a halt...","Tropic Thunder"
"13",33633,37194,"The President has declaredall of North America a disaster area.","Tropic Thunder"
"14",37303,39999,"I call on my fellow Americansto come together...","Tropic Thunder"
"15",40106,44133,"... the world called on the one manwho could make a difference.","Tropic Thunder"
"16",48181,52413,"When it happened again,the world called on him once more.","Tropic Thunder"
"17",53620,59422,"And no one saw it comingthree more times!","Tropic Thunder"
"18",62028,63689,"Now,","Tropic Thunder"
"19",63797,67733,"the one man who made a differencefive times before,","Tropic Thunder"
"20",70170,74539,"is about to make a difference again.","Tropic Thunder"
"21",75275,79371,"Only this time, it's different.","Tropic Thunder"
"22",81214,82841,"Who left the fridge open?","Tropic Thunder"
"23",84284,86218,"Tugg Speedman.","Tropic Thunder"
"24",86319,91086,"Scorcher Vl: Global Meltdown.","Tropic Thunder"
"25",91191,92954,"Here we go again.","Tropic Thunder"
"26",94494,95552,"Again.","Tropic Thunder"
"27",104104,106971,"Will there be anything else?","Tropic Thunder"
"28",107073,110270,"Yes, my dear man. More beans.","Tropic Thunder"
"29",112078,114239,"Granny!","Tropic Thunder"
"30",116182,117342,"Please!","Tropic Thunder"
"31",117450,122410,"This summer,America's favorite obese family is back.","Tropic Thunder"
"32",125291,126849,"Gross!","Tropic Thunder"
