"id","startTime","endTime","text","title"
"1",99533,101909,"It's in the center of the circle inKingfisher County, moving north.","Twister"
"2",101951,104704,"Tornado warning continues nowand has been extended officially.","Twister"
"3",104746,108709,"I gave this to you earlier.It's extended over into Oklahoma Cou--","Twister"
"4",109793,113379,"They're calling all ofOklahoma County right now....","Twister"
"5",129979,131939,"Jo common.","Twister"
"6",132189,135943,"-What is it, Mommy?-We have to get up.","Twister"
"7",136193,137945,"We must go to the storm cellar!","Twister"
"8",138195,139948,"What's happening?","Twister"
"9",140198,140949,"Come on, sweetie.","Twister"
"10",141199,142992,"Hurry!","Twister"
"11",143200,145954,"Mommy's got you.","Twister"
"12",146204,147955,"TV says it's big.","Twister"
"13",148205,152711,"We're going to the storm cellar.","Twister"
"14",155212,156965,"We must move! Hand her to me!","Twister"
"15",157215,161719,"Come on! Let's move.","Twister"
"16",164222,168727,"Go to the center of yourhouse if there's no cellar.","Twister"
"17",175233,178694,"My Lord!","Twister"
"18",179195,182949,"Come on!","Twister"
"19",183199,184951,"We're almost there!","Twister"
"20",185201,186954,"Take her! Take her!","Twister"
"21",187204,189705,"I'll get the door!","Twister"
"22",191207,192960,"-Get in!-Hurry!","Twister"
"23",193210,194961,"It's coming!","Twister"
"24",195211,195962,"Quick!","Twister"
"25",196212,200716,"Light the lamp!","Twister"
"26",202218,205973,"Daddy! Toby's still outside!","Twister"
"27",206223,207974,"Toby, come on, boy!","Twister"
"28",208224,208975,"Good boy!","Twister"
"29",209225,213729,"It's okay, Toby.","Twister"
"30",221237,222990,"Grab Jo!","Twister"
"31",223240,227743,"Daddy!","Twister"
"32",231247,234751,"Take Jo!","Twister"
"33",242217,243968,"God!","Twister"
"34",244218,247973,"I can't hold it.","Twister"
"35",248223,251977,"Jesus! Oh, God!","Twister"
"36",252227,255730,"I can't hold it!","Twister"
"37",277252,280755,"Stay with me, Jo!","Twister"
"38",311244,317750,"At 7 a.m. in Oklahoma City,the temperature is 75 degrees.","Twister"
"39",326259,329012,"Look, caps are alreadystarting to break.","Twister"
"40",329262,334016,"All the models are forecastinglifted indices from -6 to -10.","Twister"
"41",334268,338980,"If the cells keep building, there could bea record outbreak of tornados.","Twister"
"42",339230,343776,"This is going to be a long day.","Twister"
"43",369261,372014,"Are you sure she'll be there?","Twister"
"44",372264,375016,"If I know Jo, she's already draggedher department into the field.","Twister"
"45",375266,380021,"Day like today, it's to be expected.She forgets everything except work.","Twister"
"46",380271,381023,"You're nervous.","Twister"
"47",381273,383024,"Nervous?","Twister"
"48",383274,384026,"No.","Twister"
"49",384276,386028,"Do I look nervous?","Twister"
"50",386278,387028,"No.","Twister"
"51",387278,390990,"Well, yeah, you do a little. You know.","Twister"
"52",391240,391992,"I want to get it over with.","Twister"
"53",392242,395036,"She said she signed the papers?","Twister"
"54",395286,397038,"That's what she said.","Twister"
"55",397288,400000,"You don't think so?","Twister"
"56",400250,402002,"I think so.","Twister"
"57",402252,405755,"Give me a kiss.","Twister"
"58",410259,415766,"Okay, Professor! Hang on there.I think I fixed it.","Twister"
"59",416266,418018,"I got it.","Twister"
"60",418268,420019,"Fuck me! This thing is useless!","Twister"
"61",420269,423774,"Sorry!","Twister"
"62",424274,425024,"Wait, wait!","Twister"
"63",425274,428028,"Good! Give me a reading!","Twister"
"64",428278,433033,"Okay, boss lady, hold your horses.","Twister"
"65",433283,435035,"Which way do you want it?","Twister"
"66",435285,437036,"The dry line is stalled.","Twister"
"67",437286,444795,"Scan WNW, look at mid-levels forrotation, and increase the P.R.F.","Twister"
"68",445295,448005,"If I mistreat you girl","Twister"
"69",448255,452761,"Sure don't mean no harm","Twister"
"70",459268,462019,"All I'm saying is, don't fold the maps.","Twister"
"71",462271,464021,"I didn't.","Twister"
"72",464273,467024,"Kansas is a mess. There's abig crease through Wichita.","Twister"
"73",467276,471779,"Roll the maps.","Twister"
"74",472281,476784,"The storm chasers.","Twister"
"75",479288,481038,"Who's that handsome devil?","Twister"
"76",481290,483040,"Gentlemen.","Twister"
"77",483291,487045,"The Extreme! It's the Extreme!","Twister"
"78",487295,490048,"Don't start that shit.","Twister"
"79",490298,495052,"A manly handshake ensues.How you doing, man?","Twister"
"80",495303,497055,"I'm doing great.","Twister"
"81",497305,500057,"Oh, man!","Twister"
"82",500309,504062,"I'd like you to meet Melissa.This is Dusty.","Twister"
"83",504312,508024,"Dustman's been chasingwith us since we started.","Twister"
"84",508274,510026,"Listen...","Twister"
"85",510276,512028,"...where's Jo?","Twister"
"86",512278,515032,"She's by the Doppler.","Twister"
"87",515282,518034,"Broke down again.Running out of grant money.","Twister"
"88",518284,522038,"Why don't you hang out here for alittle while. I'll be right back.","Twister"
"89",522288,526043,"Dusty, why don't youexplain to Melissa...","Twister"
"90",526293,530047,"...why you're the way you are.","Twister"
"91",530297,533049,"Come on.","Twister"
"92",533299,536052,"Man, Jo's going to wigwhen she sees he's back.","Twister"
"93",536302,538054,"I'm not back.","Twister"
"94",538304,541807,"The prodigal son returns.","Twister"
"95",544311,548815,"Hi, Joey.","Twister"
"96",555322,558783,"Hiya, Jo.","Twister"
"97",560284,562037,"I'm happy you found us.","Twister"
"98",562287,565039,"How you doing?","Twister"
"99",565289,566041,"It's going good.","Twister"
"100",566291,570044,"You see the sky today?","Twister"
"101",570294,572047,"She's really talking.","Twister"
"102",572297,574048,"Catch.","Twister"
"103",574298,579053,"It's the biggest series of storms in12 years. One lined up after another.","Twister"
"104",579303,581056,"N.S.S.L.'s never seen anything like it.","Twister"
"105",581306,584058,"Is that right? So, Jo,about the divorce papers--","Twister"
"106",584308,586061,"Do you have a sec?","Twister"
"107",586311,589815,"Excuse me.","Twister"
"108",590315,592067,"This thing's acting up again.","Twister"
"109",592317,594068,"The focus mount's jammed.","Twister"
"110",594318,597072,"There's grass in the auto-focus.","Twister"
"111",597322,598072,"Should I clean it?","Twister"
"112",598322,601076,"Not unless you want to sketch tornados.","Twister"
"113",601326,602076,"Welcome back.","Twister"
"114",602326,605080,"I'm not back.","Twister"
"115",605288,609042,"You want the papers?","Twister"
"116",609293,611043,"I came here for them.","Twister"
"117",611294,613046,"They're signed and ready.","Twister"
"118",613297,614047,"Good. Let's see them.","Twister"
"119",614298,616048,"Right now?","Twister"
"120",616299,617049,"That'd be nice.","Twister"
"121",617301,620052,"What's the urgent urgency?You act like you're getting married.","Twister"
"122",620303,623807,"I am.","Twister"
"123",634317,635067,"Is it Melinda?","Twister"
"124",635318,636068,"Melissa.","Twister"
"125",636320,638071,"Wasn't there a Melinda somewhere?","Twister"
"126",638322,640072,"There's only been Melissa since you.","Twister"
