"id","startTime","endTime","text","title"
"1",145061,147291,"I'm an attorney and thisisn't how I argue a case.","Two Weeks Notice"
"2",147463,148930,"You're getting on my nerves!","Two Weeks Notice"
"3",149098,152898,"This building has been here 75 years.It deserves to remain for the community...","Two Weeks Notice"
"4",153069,155594,"...because it representsthe ideals of that time!","Two Weeks Notice"
"5",155772,159538,"The community deserves to havethis as a landmark. It is something to...","Two Weeks Notice"
"6",159709,163577,"And we're removing it fromour children's children. You go back here.","Two Weeks Notice"
"7",163746,167375,"This a community theater, and everyoneshould benefit from this building!","Two Weeks Notice"
"8",167550,172078,"This is your last warning!We got a permit to take down this building!","Two Weeks Notice"
"9",172255,174985,"I have a permit that allows meto gather for the purpose...","Two Weeks Notice"
"10",175158,178059,"...of expressing my constitutionallyprotected right of free speech!","Two Weeks Notice"
"11",178228,181720,"- You want to get killed, lady?- Sir, according to city code...","Two Weeks Notice"
"12",181898,184992,"- Forget about your code!- Section 245: If a landmark's committee...","Two Weeks Notice"
"13",185602,190869,"- Forget about the code, lady!- When a landmark's committee decision...","Two Weeks Notice"
"14",191040,194134,"- Lady, you're in violation here!- Have you ever read the Constitution?","Two Weeks Notice"
"15",194310,196642,"Take it up, Charlie!Watch this constitution.","Two Weeks Notice"
"16",196813,199111,"- Do you read?- Come on, clear the area!","Two Weeks Notice"
"17",199282,201250,"Yeah, you're clear. Go ahead.","Two Weeks Notice"
"18",206656,209090,"Okay, you guys,this is just a scare tactic.","Two Weeks Notice"
"19",209259,211659,"- That's all this is.- Well, it's sort of working.","Two Weeks Notice"
"20",211828,216424,"Meryl, they do productions from the Y here,productions with little people!","Two Weeks Notice"
"21",216599,221832,"The Nutcracker and Hair. We haveto lie down in protest. Take out your mats.","Two Weeks Notice"
"22",222238,225696,"Here, I've got your protective eye gear,your sun block and your wet naps.","Two Weeks Notice"
"23",225875,229936,"- Everybody, lie down in protest!- You better get out of the way.","Two Weeks Notice"
"24",230113,232877,"- We will prevail!- You will go to jail!","Two Weeks Notice"
"25",233049,235609,"Tom! Lock arms.","Two Weeks Notice"
"26",235785,238811,"- I'm not feeling great about this.- Have a little faith, please.","Two Weeks Notice"
"27",238988,242082,"Meryl, would you marry me?","Two Weeks Notice"
"28",242258,243850,"Really?","Two Weeks Notice"
"29",244527,248258,"Oh, my God! Yes!","Two Weeks Notice"
"30",248431,251161,"Shut this down, Charlie.","Two Weeks Notice"
"31",255471,259066,"- I love you.- Hey, you guys, they stopped.","Two Weeks Notice"
"32",259242,263235,"You're good luck. There is justicein the world. We prevailed!","Two Weeks Notice"
"33",263413,265381,"Lunatic!","Two Weeks Notice"
"34",266950,269578,"Crazy lady!","Two Weeks Notice"
"35",272889,275619,"- We should call our parents.- Guys, here are your wet naps.","Two Weeks Notice"
"36",275792,277817,"- Oh, thanks.- Thanks. We had a good time.","Two Weeks Notice"
"37",277994,279325,"- I'm glad. Bye.- Bye.","Two Weeks Notice"
"38",279495,281793,"Bye. Thank you.","Two Weeks Notice"
"39",281965,284297,"I'll pay you backthis time, guys. I promise.","Two Weeks Notice"
"40",284467,288335,"What are parents for, if not to bailtheir daughter and her friends out of jail?","Two Weeks Notice"
"41",288504,291098,"So did they knock it down?","Two Weeks Notice"
"42",293409,297106,"I'm not getting through to people.Why don't people respond to me?","Two Weeks Notice"
"43",297480,300938,"Honey, Wade Corporation is not people,it's a heartless profit machine.","Two Weeks Notice"
"44",301117,303210,"And it's getting worse all the time.","Two Weeks Notice"
"45",303386,305513,"They're biddingon the Surf Avenue lot.","Two Weeks Notice"
"46",305688,308179,"They wanna put up condosand tear down the center.","Two Weeks Notice"
"47",308358,311088,"Wait, our community center?My community center?","Two Weeks Notice"
"48",311260,313626,"Come on, honey,let's discuss it over dinner.","Two Weeks Notice"
"49",313863,317594,"No, Dad, you know what? I'm just tired.I think I'll just go home.","Two Weeks Notice"
"50",334317,336012,"Hi, honey, it's Ansel.","Two Weeks Notice"
"51",336185,338847,"I'm sorry, but I'm not gonnamake it back for your birthday.","Two Weeks Notice"
"52",339022,343049,"We got a lot of new trainees onboardand they put the green in Greenpeace.","Two Weeks Notice"
"53",343226,345956,"But I'm saving whalesand thinking of you. Love you.","Two Weeks Notice"
"54",346129,349724,"Yeah, hi, Mr. Wong. Lucy Kelson.","Two Weeks Notice"
"55",350500,354698,"Fine. I would like a number 17...","Two Weeks Notice"
"56",354871,358637,"...a number fou... Number five.","Two Weeks Notice"
"57",358808,363438,"No. Number seven? Seven.","Two Weeks Notice"
"58",363613,368880,"Can I get the number fourwithout the garlic sauce?","Two Weeks Notice"
"59",369052,374991,"Okay, and then maybetwo orders of number 26.","Two Weeks Notice"
"60",375158,376557,"And...","Two Weeks Notice"
"61",377627,379754,"Yes, it's for one.","Two Weeks Notice"
"62",380163,383326,"And that's it.No! Give me a number eight.","Two Weeks Notice"
"63",383499,385160,"Give me two number eights.","Two Weeks Notice"
"64",385334,386323,"Okay.","Two Weeks Notice"
"65",386502,387696,"Okay.","Two Weeks Notice"
"66",387870,390771,"Okay. Bye.","Two Weeks Notice"
"67",411928,415455,"When they told me I'd been chosenthe Medical Center's Man of the Year...","Two Weeks Notice"
"68",415631,417496,"...I assumed it hadsomething to do with...","Two Weeks Notice"
"69",417667,420261,"...the millions we have contributedto the new pediatric wing.","Two Weeks Notice"
"70",420436,424532,"But as it turns out, I had my appendixremoved earlier this year...","Two Weeks Notice"
"71",424707,427301,"...and under anesthesia,I apparently proposed marriage...","Two Weeks Notice"
"72",427477,429069,"...to every nurse in the hospital.","Two Weeks Notice"
"73",431514,434347,"Including the many attractive male nurses.","Two Weeks Notice"
"74",436085,438576,"Why are pediatricsso important to Wade?","Two Weeks Notice"
"75",438754,440984,"I think feet are very important,aren't they?","Two Weeks Notice"
"76",441157,444024,"I'm just teasing. I know there'smore to pediatrics than feet.","Two Weeks Notice"
"77",444193,448027,"- Thank you very much.- Thank you. Always nice to see you.","Two Weeks Notice"
"78",448197,450563,"- George, congratulations.- Hey, Terry, how are you?","Two Weeks Notice"
"79",450733,452360,"- Still slicing people up?- Indeed.","Two Weeks Notice"
"80",452535,453627,"Yeah, I bet you are.","Two Weeks Notice"
"81",453803,457830,"Hi, there. Oh, yes, the Emile family.Lovely. So good.","Two Weeks Notice"
"82",458007,460942,"- Hi.- Nice to see you. Take care.","Two Weeks Notice"
"83",461110,464170,"Melanie Corman.Hospital administration.","Two Weeks Notice"
"84",464347,467714,"My friend Elaine Cominsky wantsto meet you, but she's shy. Is that okay?","Two Weeks Notice"
"85",467884,470512,"That's fine. I've been too nervousto meet Elaine myself.","Two Weeks Notice"
"86",470686,474588,"- Good. Don't move. Great tie, by the way.- Thanks. I was rather nervous about it.","Two Weeks Notice"
"87",474757,475746,"- Hey.- Hey.","Two Weeks Notice"
"88",475925,479417,"- Hey, your brother wants to see you.- What? Now? Tonight?","Two Weeks Notice"
"89",479595,484259,"Yeah, that's what he said. Althoughsometimes it's hard to tell with the accent.","Two Weeks Notice"
"90",484433,486526,"This is Elaine.","Two Weeks Notice"
"91",486702,489899,"- Oh, hello.- Hi. Would you sign my GQ?","Two Weeks Notice"
"92",491908,493341,"Oh, GQ! I see what you mean.","Two Weeks Notice"
"93",493509,496410,"Sorry, I thought it was a medical term.You had me all excited.","Two Weeks Notice"
"94",497313,501215,"- ""To Elaine, George Wade.""- Thank you.","Two Weeks Notice"
"95",501384,502544,"Hang on just one second.","Two Weeks Notice"
"96",502718,505812,"There's no way I'm running upto Westchester just because he calls.","Two Weeks Notice"
"97",505988,508616,"It's absurd. He'll just have to wait.","Two Weeks Notice"
"98",508791,511726,"- Right on. Hey, man, forget him.- Yeah.","Two Weeks Notice"
"99",511894,514055,"- Should I get the car?- Yes, get the car.","Two Weeks Notice"
"100",527543,530740,"- Good evening, Mr. George.- Good evening, Rosario.","Two Weeks Notice"
"101",530913,534440,"- Excellent new hairdo.- Mr. George.","Two Weeks Notice"
"102",534617,538246,"No, I'm serious. You look likea young Imelda Marcos.","Two Weeks Notice"
"103",539956,541821,"- Hello, George.- Hello, Helen.","Two Weeks Notice"
"104",541991,544653,"Don't you think Rosariolooks particularly lovely tonight?","Two Weeks Notice"
"105",544827,548524,"I hadn't really noticed.Rosario, the children need baths, please.","Two Weeks Notice"
"106",548698,550666,"Yes, Miss Helen.","Two Weeks Notice"
"107",551167,554295,"- So how are the kids, apart from dirty?- They're fine.","Two Weeks Notice"
"108",554470,557633,"- Can I get you anything?- I'd love some Milk Duds.","Two Weeks Notice"
"109",558107,560667,"We don't have any.I could send out for one.","Two Weeks Notice"
"110",560843,565109,"Oh, no, don't be ridiculous.If you're going to send out, get a whole box.","Two Weeks Notice"
"111",565381,568316,"- Howard is in the gym.- Right.","Two Weeks Notice"
"112",568484,574719,"Forty-five minutes, 6.5 miles an hour,at an elevation of three.","Two Weeks Notice"
"113",576659,580652,"It's incredible how muchmore relaxed I feel.","Two Weeks Notice"
"114",580830,584630,"- Helen does an hour a day too.- Yes, you both seem extremely relaxed.","Two Weeks Notice"
"115",584800,587496,"You can cut the relaxation with a knife.","Two Weeks Notice"
"116",587670,590002,"So why am I here, Howie?","Two Weeks Notice"
"117",591507,595637,"We lost the West Side waterfront dealbecause your chief counsel...","Two Weeks Notice"
"118",595811,600043,"...your latest model/attorney...","Two Weeks Notice"
"119",600216,603208,"...forgot to filean Environmental Impact Report.","Two Weeks Notice"
"120",603386,606082,"I will admit that the lawis not Amber's strong point.","Two Weeks Notice"
"121",606255,608587,"- That's why I fired her.- No, I fired her.","Two Weeks Notice"
"122",608758,612250,"Just as I fired Debbiefrom St. Barts' Law School...","Two Weeks Notice"
"123",612428,615397,"...and Stacy from Online Law School.","Two Weeks Notice"
"124",615564,620058,"I want someone from Yale or Columbiaor from the continental United States.","Two Weeks Notice"
"125",620536,623835,"Women of that level of intellectual abilityoften find me shallow.","Two Weeks Notice"
"126",624006,626531,"- Then hire a man.- Don't be absurd.","Two Weeks Notice"
"127",626709,628700,"Because they wouldn't sleep with you?","Two Weeks Notice"
"128",628878,632245,"No, because it would make youand Dad too happy.","Two Weeks Notice"
"129",632748,634682,"Dad has been dead for 10 years.","Two Weeks Notice"
"130",634850,638149,"Well, there is no reason for himto start enjoying himself now.","Two Weeks Notice"
"131",639355,644019,"You need someone who can writea brief instead of removing yours.","Two Weeks Notice"
"132",644193,646457,"And she can handle your divorcewhile she's at it.","Two Weeks Notice"
"133",646629,649393,"You are still getting divorced?","Two Weeks Notice"
"134",649565,655902,"Unless my ex-wife decides to fall in lovewith me again, or for the first time, yeah.","Two Weeks Notice"
"135",657440,660841,"No! Why do you alwaysfind that so funny?","Two Weeks Notice"
"136",661010,664707,"- It's very hard to say.- Hire a real attorney by tomorrow.","Two Weeks Notice"
"137",667149,668582,"Don't!","Two Weeks Notice"
"138",678326,681193,"- Hello, have a good day.- Thank you, ma'am.","Two Weeks Notice"
"139",681363,683627,"- So you're Russian, you say?- 100%% .","Two Weeks Notice"
"140",683798,687962,"Hence, blond hair,blue eyes, cheekbones.","Two Weeks Notice"
"141",688136,691833,"Sorry to have kept you so long, but at leastI feel I know everything about you.","Two Weeks Notice"
"142",692007,696341,"And I you. You know, usually I'm so nervousat interviews, but that was fun.","Two Weeks Notice"
"143",696511,700777,"Yes. Isn't ""fun"" fun?It's been a pleasure, Tiffany.","Two Weeks Notice"
"144",703551,705519,"Mr. Wade? Mr. Wade?","Two Weeks Notice"
"145",705687,707712,"Hi, I'm Lucy Kelson. I'm an attorney.","Two Weeks Notice"
"146",707889,710050,"Have you ever heardof Saint-Tropez Law School?","Two Weeks Notice"
"147",710225,712193,"- No.- Shame.","Two Weeks Notice"
"148",712360,714487,"- Where did you go to law school?- Harvard.","Two Weeks Notice"
"149",714662,716357,"- Harvard?- Yes.","Two Weeks Notice"
"150",716531,719295,"Intriguing. Tell me more.What's your background?","Two Weeks Notice"
"151",719467,722868,"I don't see how that's relevant.I work for the Coalition for the Homeless.","Two Weeks Notice"
"152",723038,724869,"- I'm working at Legal Aid.- That can't pay much.","Two Weeks Notice"
"153",725040,728771,"Well, I'm not very interested in money.Now, Mr. Wade...","Two Weeks Notice"
"154",728943,731275,"Wait a minute. You're Kelson.","Two Weeks Notice"
"155",731446,733505,"You lie in front of our wrecking balls.","Two Weeks Notice"
"156",733681,735876,"- You attacked the Zegman brothers...- I did not.","Two Weeks Notice"
"157",736051,738485,"It's not my fault they walkedunder a protest sign.","Two Weeks Notice"
"158",738653,740917,"- You're not here for a job?- I'm here representing...","Two Weeks Notice"
"159",741089,743785,"...the Coney Island Community Center.It was built in 1922.","Two Weeks Notice"
"160",743958,747052,"It's the heart of Coney Island.It has adult education, basketball...","Two Weeks Notice"
"161",747228,750925,"...CPR, Lamaze, water ballet,senior's tae kwon do. It's great.","Two Weeks Notice"
"162",751099,752964,"For children, it's a home away from home.","Two Weeks Notice"
"163",753134,755193,"I mean, I practically grew up there.","Two Weeks Notice"
"164",755370,758396,"It's lovely, but Trumphas the inside track. Nice to meet you.","Two Weeks Notice"
"165",758573,760200,"No, Mr. Wade, you don't understand.","Two Weeks Notice"
"166",760375,762070,"I live there, as well as my parents.","Two Weeks Notice"
"167",762243,764211,"They know Assemblyman Perez,who's on the board.","Two Weeks Notice"
"168",764379,769214,"If you can guarantee the preservationof this center, I can guarantee you the build.","Two Weeks Notice"
"169",770685,772243,"But why us? Why Wade?","Two Weeks Notice"
"170",772654,777148,"Well, I can't get in to see Trumpand the Zegmans have a restraining order.","Two Weeks Notice"
"171",777492,778857,"Mr. W?","Two Weeks Notice"
"172",780361,783125,"You're supposed to be tapingThe View in half an hour...","Two Weeks Notice"
"173",783298,787894,"...and Public Policy magazine needs a quoteon the challenges of urban planning. Hey.","Two Weeks Notice"
"174",788069,791266,"Right. Yes. Quote, quote, quote, quote...","Two Weeks Notice"
"175",791439,795000,"What I love about architectureis its ability to shape a community.","Two Weeks Notice"
"176",795176,799613,"This center has shaped the community!It turns strangers into neighbors...","Two Weeks Notice"
"177",799781,802375,"Its ability to changestrangers into neighbors.","Two Weeks Notice"
"178",802550,805348,"How the right design for a parkmakes people feel secure.","Two Weeks Notice"
"179",805520,809581,"How a school building can be functionaland beautiful so that kids feel...","Two Weeks Notice"
"180",809757,814820,"No, the community center makes childrenfeel engaged, and it allows them a place...","Two Weeks Notice"
"181",814996,818989,"Functional and beautiful so that kidsfeel engaged instead of imprisoned?","Two Weeks Notice"
"182",819167,820634,"- Yeah, it sounds good.- I like that.","Two Weeks Notice"
"183",820802,823327,"But I said a community center,not a school.","Two Weeks Notice"
"184",823505,827236,"I know, it's all very good.Jump in. Thanks.","Two Weeks Notice"
"185",828810,831244,"- Nice shirt.- Thank you.","Two Weeks Notice"
"186",838419,841855,"So do we have a deal?","Two Weeks Notice"
"187",842023,845789,"No. I want something else from you.","Two Weeks Notice"
"188",846794,851527,"No. I am fully aware of your reputationand there's no way you're getting that. No.","Two Weeks Notice"
"189",851699,854133,"- Getting what?- You know.","Two Weeks Notice"
"190",854302,856930,"The sex. That's not gonna happen.","Two Weeks Notice"
"191",857105,859198,"No, that would be nice.","Two Weeks Notice"
"192",867365,870095,"I promise to save your community center.","Two Weeks Notice"
"193",870268,872236,"On top of which, you can directour pro bono efforts.","Two Weeks Notice"
"194",874372,876067,"That's millions at your charitable disposal.","Two Weeks Notice"
"195",878376,881402,"I've spent my entire lifeworking against people like you.","Two Weeks Notice"
"196",881579,884878,"Well, maybe if you work for me,you'll win occasionally.","Two Weeks Notice"
"197",885483,890216,"I need an answer, I'm afraid, immediately.Here is my direct number at the Grand Hotel.","Two Weeks Notice"
"198",890388,893516,"- You live at a hotel?- Well, I own the hotel and I live there.","Two Weeks Notice"
"199",893691,895352,"My life is very much like Monopoly.","Two Weeks Notice"
"200",895526,900862,"And I know you wouldn't care,but I'll start you at $250,000.","Two Weeks Notice"
"201",903468,906062,"There's also usuallya very nice Christmas bonus.","Two Weeks Notice"
"202",907705,909434,"Thank you.","Two Weeks Notice"
"203",970334,973030,"- I can't believe how much I ate.- I'm proud of you.","Two Weeks Notice"
"204",973204,975263,"The whole left side of the menu.","Two Weeks Notice"
"205",975440,978466,"You know when I get tense,I just start to eat.","Two Weeks Notice"
"206",978643,983273,"- Honey, you cannot work for that man.- Hey, we can use the bail money.","Two Weeks Notice"
"207",983448,985348,"- Remember what Sun Tzu said?- Yes.","Two Weeks Notice"
"208",985516,989179,"""Keep your friends closeand your enemies closer.""","Two Weeks Notice"
"209",989353,991480,"Sun Tzu didn't have a daughter.","Two Weeks Notice"
"210",991823,994291,"What's this? Oh, dessert. Thank you.","Two Weeks Notice"
"211",994459,997326,"It's the only way to savethe community center.","Two Weeks Notice"
"212",997495,999395,"It is. And if I work for him...","Two Weeks Notice"
"213",999564,1003330,"...I have huge resourcesat my disposal for charities and shelters...","Two Weeks Notice"
"214",1003501,1006026,"- Yes, but...- Mom, I promise.","Two Weeks Notice"
"215",1006204,1009139,"I will still be your daughter.I will still be a lawyer.","Two Weeks Notice"
"216",1009307,1012538,"And I will still haveall the same ideals.","Two Weeks Notice"
"217",1015012,1016411,"Let's update all the files.","Two Weeks Notice"
"218",1017915,1021544,"Especially the muni-codesbecause I'll need those.","Two Weeks Notice"
"219",1021719,1024051,"I'm gonna speak with Mr. Wade.","Two Weeks Notice"
"220",1024222,1025621,"Mr. Wade, so sorry to bother.","Two Weeks Notice"
"221",1025790,1029123,"I've been over the EnvironmentalImpact Reports for Island Towers.","Two Weeks Notice"
"222",1029293,1031488,"- I would really love to talk to you.- Very good.","Two Weeks Notice"
"223",1031662,1034995,"I really wanted to ask you:Which one of these do you prefer?","Two Weeks Notice"
"224",1035166,1039500,"- How do you mean?- It's for my new personalized stationery.","Two Weeks Notice"
"225",1040238,1043139,"Is this a trick question?They look exactly the same to me.","Two Weeks Notice"
"226",1043307,1048904,"No, not at all. This is a linen finishand this is a watermarked vellum finish.","Two Weeks Notice"
"227",1049080,1052777,"Leaving aside the factthat they've taken perfectly good forests...","Two Weeks Notice"
"228",1052950,1056477,"...and denuded them in orderto produce this nonrecyclable paper...","Two Weeks Notice"
"229",1056654,1060021,"...I would say it was...","Two Weeks Notice"
"230",1067632,1070692,"Well, then this one. It tastes better.","Two Weeks Notice"
"231",1076641,1079235,"Do you know, I've asked30 people that question.","Two Weeks Notice"
"232",1079410,1082243,"You're the only one to come upwith that answer.","Two Weeks Notice"
"233",1082680,1086138,"My God, you're good.I'm getting you a bigger office.","Two Weeks Notice"
"234",1086317,1089411,"No, it's very sweet,but I'd rather go over the...","Two Weeks Notice"
"235",1092757,1094748,"Very firm.","Two Weeks Notice"
"236",1096027,1097460,"But is it too firm?","Two Weeks Notice"
"237",1097628,1101826,"There's some debate among chiropractorsabout the optimum level of mattress tension.","Two Weeks Notice"
"238",1101999,1103125,"What are your thoughts?","Two Weeks Notice"
"239",1103301,1105360,"If you really want to know,the more firm the mattress...","Two Weeks Notice"
"240",1107471,1109371,"...the more pressure on the 5th vertebra.","Two Weeks Notice"
"241",1114178,1116612,"Quite bouncy, though. Have a bounce.","Two Weeks Notice"
"242",1116781,1118146,"No.","Two Weeks Notice"
"243",1124455,1126286,"- Hello.- Yes, I'm glad you're up.","Two Weeks Notice"
"244",1126457,1129153,"I didn't want to wake you.I just felt like a chat.","Two Weeks Notice"
"245",1129326,1132318,"George, it is 2:15 in the morning.","Two Weeks Notice"
"246",1132496,1135158,"Can't you talk to whateverMensa candidate you're with?","Two Weeks Notice"
"247",1135332,1136731,"I resent the implication...","Two Weeks Notice"
"248",1136901,1139597,"...that because someonemay not share your high IQ...","Two Weeks Notice"
"249",1139770,1142330,"...they're not a personof substance and depth.","Two Weeks Notice"
"250",1142506,1145805,"- You all right?- I swallowed my Altoid.","Two Weeks Notice"
"251",1146477,1150038,"She swallowed her Altoid. That can happen.A sudden hair flick, very dangerous.","Two Weeks Notice"
"252",1150214,1153206,"Okay, George, I am tired.Put her on the phone.","Two Weeks Notice"
"253",1153717,1155548,"You mean, put her on the phone?","Two Weeks Notice"
"254",1156020,1158386,"Put her on the phone!","Two Weeks Notice"
"255",1158556,1160456,"All right. Someone for you.","Two Weeks Notice"
"256",1163594,1166028,"- Hi.- Hi.","Two Weeks Notice"
"257",1166197,1169598,"The man you're dancingwith is deeply troubled, okay?","Two Weeks Notice"
"258",1169767,1172031,"And even though he's richand attractive...","Two Weeks Notice"
"259",1172203,1175104,"...you're too young to tradeyourself like a stock on NASDAQ...","Two Weeks Notice"
"260",1175272,1177638,"...for someone who won'tremember your name...","Two Weeks Notice"
"261",1177808,1180140,"...or his in the morning,is still married...","Two Weeks Notice"
"262",1180311,1184213,"...and has recently hada very suspicious rash.","Two Weeks Notice"
"263",1185516,1186813,"It is 2:16.","Two Weeks Notice"
"264",1186984,1190317,"Go home, finish high schooland reach your potential!","Two Weeks Notice"
"265",1191222,1192712,"You all right?","Two Weeks Notice"
"266",1192890,1194881,"I think I'm gonna go.","Two Weeks Notice"
"267",1196227,1198787,"- What did you say to her? Nice chat?- Yes.","Two Weeks Notice"
"268",1206870,1209896,"That we have to talk about.Now, do you think I should cry?","Two Weeks Notice"
"269",1210073,1211802,"I was thinking bursts of sobs.","Two Weeks Notice"
"270",1217881,1218870,"More of a whimper.","Two Weeks Notice"
"271",1219049,1222018,"You're pathetic. Good night.","Two Weeks Notice"
"272",1223920,1225615,"All right.","Two Weeks Notice"
"273",1240270,1243398,"I'm sure he'll be here any minute.Is there any more Diet Coke?","Two Weeks Notice"
"274",1249279,1250337,"Sorry, everybody.","Two Weeks Notice"
"275",1250513,1254142,"Did I miss the blessed event?","Two Weeks Notice"
"276",1255418,1257318,"Check with me before you talk.","Two Weeks Notice"
"277",1257487,1260615,"Now that we're all here, I'd like to discussthe settlement terms.","Two Weeks Notice"
"278",1260790,1263122,"The terms have been set.It's called a prenup.","Two Weeks Notice"
"279",1263293,1264260,"We both know...","Two Weeks Notice"
"280",1264427,1267453,"...that a prenup doesn't precludecertain recompensatory...","Two Weeks Notice"
"281",1267631,1271658,"In plain English, although I can followyou in German and Japanese if you prefer.","Two Weeks Notice"
"282",1271835,1274827,"- She wants double the alimony.- No way.","Two Weeks Notice"
"283",1275572,1278439,"Given the situation,it's not an unreasonable request.","Two Weeks Notice"
"284",1278842,1281504,"You're referring to the alleged infidelity,are you not?","Two Weeks Notice"
"285",1281678,1284772,"Alleged? He was havingsex with her in our bed.","Two Weeks Notice"
"286",1284948,1287508,"I knew you were worriedabout getting anything on that sofa.","Two Weeks Notice"
"287",1287684,1290812,"- How dare you come in here...- I shouldn't have said that. Sorry.","Two Weeks Notice"
"288",1290987,1292420,"Please.","Two Weeks Notice"
"289",1294190,1297751,"So you are saying that infidelityis worth twice the alimony.","Two Weeks Notice"
"290",1297928,1300260,"Using your reasoning,any infidelity on her part...","Two Weeks Notice"
"291",1300430,1303228,"...would have to be held against herin a monetary accounting.","Two Weeks Notice"
"292",1303400,1304628,"What are you suggesting?","Two Weeks Notice"
"293",1304801,1309864,"The soon to be ex-Mrs. Wade did a littlecouch time with a company accountant.","Two Weeks Notice"
"294",1310040,1312736,"And he's willing to testify.","Two Weeks Notice"
"295",1313777,1316245,"I have Ioyal employees.I think it's the health plan.","Two Weeks Notice"
"296",1316413,1319439,"- The health plan is excellent.- Thank you.","Two Weeks Notice"
"297",1319616,1322642,"- We will not agree to pay any...- We will pay the alimony...","Two Weeks Notice"
"298",1322819,1325549,"...plus $100,000 anda generous property settlement...","Two Weeks Notice"
"299",1325722,1328282,"...if you release me from further obligation.","Two Weeks Notice"
"300",1328458,1329857,"- You son of a bitch!- What?","Two Weeks Notice"
"301",1330026,1332654,"Watch your languageor you will not get the estate, Mrs. Wade.","Two Weeks Notice"
"302",1332829,1336196,"Don't call me that!You're just another one of his stupid bimbos!","Two Weeks Notice"
"303",1336366,1338800,"Now, wait! She is far from stupid...","Two Weeks Notice"
"304",1339703,1342501,"- What do you think you're doing?- Went up my nose.","Two Weeks Notice"
"305",1342672,1344833,"- Water went up my nose.- It's only water.","Two Weeks Notice"
"306",1345475,1348842,"Okay, this hankie is very nearly clean.I'm going to dab you.","Two Weeks Notice"
"307",1349012,1350036,"- You may blow.- Thank you.","Two Weeks Notice"
"308",1350213,1351202,"Good.","Two Weeks Notice"
"309",1354250,1356718,"Divorce always gives mean appetite. Kebab?","Two Weeks Notice"
"310",1356886,1359878,"No, I've never warmedto the idea of a flesh Popsicle.","Two Weeks Notice"
"311",1360056,1363617,"- One, please. Chicken, thank you.- Why did you give her the money?","Two Weeks Notice"
"312",1363793,1366694,"She'd never have stoppedtill she got what she wanted.","Two Weeks Notice"
"313",1366863,1369923,"You always say I have a responsibilitytowards those less fortunate.","Two Weeks Notice"
"314",1370100,1372364,"Everybody is less fortunate than you...","Two Weeks Notice"
"315",1372535,1376232,"...so just give the money to someonewho's not gonna spend it on collagen.","Two Weeks Notice"
"316",1376406,1379102,"You only want me to be generousto those you approve of.","Two Weeks Notice"
"317",1379275,1383336,"No. I only want you tofinally allow me to do my job.","Two Weeks Notice"
"318",1383513,1387210,"You did your job. This morning I was married,now I'm not. You did it superbly.","Two Weeks Notice"
"319",1387384,1388908,"Thank you very much.","Two Weeks Notice"
"320",1389085,1392748,"Here, that's fine. You keep the change.Thank you.","Two Weeks Notice"
"321",1396359,1397451,"George.","Two Weeks Notice"
"322",1400630,1403656,"- Hey, that's my coffee, you jerk!- Oh, sir, I'm so sorry.","Two Weeks Notice"
"323",1403833,1405130,"- Moron!- I thought you were needy.","Two Weeks Notice"
"324",1405301,1408031,"What's wrong with you?!Can't a guy have a cup of coffee?!","Two Weeks Notice"
"325",1408204,1412004,"- It's all right. Come on, Mother Teresa.- My only cup of the day! You ruined it!","Two Weeks Notice"
"326",1421284,1425015,"Okay, now, what do you think?","Two Weeks Notice"
"327",1427090,1429024,"Too ornate?","Two Weeks Notice"
"328",1431094,1433187,"I don't care about the belt.","Two Weeks Notice"
"329",1433363,1434728,"You're upset.","Two Weeks Notice"
"330",1434898,1438061,"Look, from now on, I'll get someone elseto handle my divorces.","Two Weeks Notice"
"331",1438234,1440429,"It's not like I enjoy them.","Two Weeks Notice"
"332",1440603,1443504,"Maybe I should go somewhere whereno one knows how much money I have.","Two Weeks Notice"
"333",1443673,1446164,"Where is Staten Island?Why don't we go there?","Two Weeks Notice"
"334",1455284,1457445,"Thanks, but Harvarddoesn't give a degree in yenta.","Two Weeks Notice"
"335",1457620,1460214,"I'm not here to find you a wifeor to pick out your clothes.","Two Weeks Notice"
"336",1462291,1464225,"My heroes are Clarence Darrow,Thurgood Marshall...","Two Weeks Notice"
"337",1466295,1467922,"Who's another non-scummy lawyer?","Two Weeks Notice"
"338",1468097,1470588,"My parents!My father worked for Martin Luther King.","Two Weeks Notice"
"339",1470766,1472097,"My mother is a law professor.","Two Weeks Notice"
"340",1472268,1474930,"They taught me that lawyersshould be treated with respect.","Two Weeks Notice"
"341",1475104,1479564,"I have complete respect for you.R-E-S-P-E-C-T.","Two Weeks Notice"
"342",1481810,1484608,"Luce, wait. Wait!","Two Weeks Notice"
"343",1486482,1491317,"Dearly beloved, we are gathered hereto join together Meryl and Tom...","Two Weeks Notice"
"344",1491487,1493978,"...as they stand before uson this joyous day...","Two Weeks Notice"
"345",1494323,1498623,"...proclaim their love and enterinto that most sacred bond of all...","Two Weeks Notice"
"346",1498794,1501354,"...the bond of holy...","Two Weeks Notice"
"347",1502631,1503655,"Is that yours?","Two Weeks Notice"
