"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Umberto D."
"2",120254,125715,"THIS FILM IS DEDICATED TO MY FATHER","Umberto D."
"3",127962,130090,"RAISE OUR PENSIONS","Umberto D."
"4",130164,133396,"WE WORKED OUR WHOLE LIVES","Umberto D."
"5",133467,136027,"JUSTICE FOR PENSIONERS","Umberto D."
"6",137104,140905,"We want an increase!We want an increase!","Umberto D."
"7",154055,155784,"We want to be heard.","Umberto D."
"8",155856,159384,"We're taxpaying citizens.","Umberto D."
"9",159461,161156,"We're starving.","Umberto D."
"10",161228,163322,"We're tired of waiting.","Umberto D."
"11",163397,166366,"We want to see the minister.","Umberto D."
"12",167002,168401,"We want to see the minister.","Umberto D."
"13",171305,173774,"Silence!","Umberto D."
"14",174308,177675,"You don't have a permit.You must disperse.","Umberto D."
"15",203805,205795,"Go home. Go on.","Umberto D."
"16",207175,209109,"You should be ashamed.","Umberto D."
"17",209176,212305,"The way you treat us is a disgrace!","Umberto D."
"18",212379,214507,"Go home. Go on.","Umberto D."
"19",223959,228521,"Let's go, old geezers.Come on.","Umberto D."
"20",255824,257485,"Keep him quiet, for God's sake!","Umberto D."
"21",258326,260088,"Quiet, Flike.","Umberto D."
"22",265100,267863,"Scoundrels, all of them!","Umberto D."
"23",267935,270564,"Quiet or they'll hear youand arrest you.","Umberto D."
"24",270639,272334,"I'm not talking about the police.","Umberto D."
"25",272406,274466,"I mean the organizers of the protest.","Umberto D."
"26",276110,277668,"They should have gotten a permit.","Umberto D."
"27",278512,280173,"They wouldn't give us one.","Umberto D."
"28",280247,282478,"Then we should have stayed home!","Umberto D."
"29",284084,286882,"A 20% increasewould be enough for me","Umberto D."
"30",287122,290353,"to pay off my debts in a year.","Umberto D."
"31",292459,294620,"I don't have any debts.","Umberto D."
"32",294696,297665,"To tell the truth, I don't either.","Umberto D."
"33",302103,305435,"- This is our chance. We can go.- Let's go.","Umberto D."
"34",313682,315377,"Good day.","Umberto D."
"35",320855,324314,"I have no one,no son or brother, to help me out.","Umberto D."
"36",324391,326757,"I'm just a good-for-nothing old man.","Umberto D."
"37",327762,329127,"Orazio Valenti.","Umberto D."
"38",329264,331288,"Umberto Domenico Ferrari.","Umberto D."
"39",332367,335028,"Who can liveon 18,000 lire these days?","Umberto D."
"40",335103,339699,"My landlady charges me 10,000.She even raised my rent, that old -","Umberto D."
"41",340408,342706,"Go ahead and say it.We're both men.","Umberto D."
"42",342944,344774,"If she's a bitch, she's a bitch.","Umberto D."
"43",347848,349577,"Do you need a watch?","Umberto D."
"44",349651,351812,"No, I have a watch.","Umberto D."
"45",351887,353980,"I don't have it with me,but it's a very nice watch.","Umberto D."
"46",354055,356387,"I have two.That's why I'm selling this one.","Umberto D."
"47",362697,363822,"What make is yours?","Umberto D."
"48",365367,367528,"It's nice.It has a gold case.","Umberto D."
"49",367601,369934,"Well, here's where I live.Good-bye.","Umberto D."
"50",375043,376509,"Good-bye.","Umberto D."
"51",455456,457822,"Who's done here?","Umberto D."
"52",458360,460293,"How rude! I'm not finished.","Umberto D."
"53",460595,461754,"Thank you.","Umberto D."
"54",465933,467629,"Waitress.","Umberto D."
"55",469670,471399,"Listen to this.","Umberto D."
"56",472841,475401,"In a store it would cost you20,000 lire.","Umberto D."
"57",482317,485809,"- How much are you asking?- 5,000 lire.","Umberto D."
"58",503204,505331,"My throat feels scratchy.","Umberto D."
"59",505406,509002,"- Be patient. It'll pass.- I hope so.","Umberto D."
"60",517052,518849,"See you tomorrow.","Umberto D."
"61",525759,527750,"Here we are. He's so cute.","Umberto D."
"62",527995,529860,"Hey, I saw everything.","Umberto D."
"63",529931,532229,"Tomorrow I'll kick you out,and your dog too.","Umberto D."
"64",532433,534163,"I'll kick you out, I said.","Umberto D."
"65",534235,535963,"You're overreacting.","Umberto D."
"66",536037,540302,"She'll lose all her customers.Don't listen to a word she says.","Umberto D."
"67",543745,545610,"- May I walk with you a while?- Of course.","Umberto D."
"68",547816,549841,"You can have it for 4,000.","Umberto D."
"69",550085,552610,"4,000! That's a lot of money.","Umberto D."
"70",552720,555153,"But a good watch lasts forever.","Umberto D."
"71",555222,558750,"I don't care.Look, I'll give you 3,000 lire.","Umberto D."
"72",560260,563662,"There's more than that in here.It's all in small change, I'm afraid.","Umberto D."
"73",564599,567328,"- I said 4,000.- It's all in here.","Umberto D."
"74",568135,570730,"Listen, you can take the bag","Umberto D."
"75",571405,575068,"and give it back to metomorrow at the cafeteria.","Umberto D."
"76",578046,580105,"See you.","Umberto D."
"77",582049,583711,"Spare some change.","Umberto D."
"78",585787,586980,"See you.","Umberto D."
"79",594596,596120,"Spare some change.","Umberto D."
"80",621788,623586,"Who's in my room?","Umberto D."
"81",624458,626393,"Who's in my room?- How should I know?","Umberto D."
"82",626628,628424,"What's all this yelling?","Umberto D."
"83",628495,632296,"Be quiet and stop yelling.How dare you behave like this!","Umberto D."
"84",632366,634528,"Quiet down and come with me.","Umberto D."
"85",635036,637163,"Get it through your head.","Umberto D."
"86",638239,640706,"It's not your room. It's mine.- What do you mean, yours?","Umberto D."
"87",640774,643471,"They're dear friends of mine,just resting for a while.","Umberto D."
"88",643544,644909,"And why bother making a fuss?","Umberto D."
"89",644979,646913,"You're leaving at the endof the month anyway.","Umberto D."
"90",646980,649346,"Leaving.","Umberto D."
"91",649584,652951,"What a way to treat someone -kicking him out after 20 years!","Umberto D."
"92",653020,656217,"Watch me!Meanwhile, pay your back rent.","Umberto D."
"93",656290,658782,"I have the money right here!","Umberto D."
"94",658860,660657,"Stop yelling!","Umberto D."
"95",671806,673865,"Who's she thinkshe's going to kick out?","Umberto D."
"96",674875,676571,"Where would I go?","Umberto D."
"97",676644,678076,"They skin you alive.","Umberto D."
"98",678145,681774,"They want 20,000 lire for a rat hole,and then it's full of rodents.","Umberto D."
"99",681849,683840,"- I know.- Kick me out!","Umberto D."
"100",735235,738727,"She charges 1,000 lirean hour for the room, you know.","Umberto D."
"101",741576,743567,"1,000 lire every time.","Umberto D."
"102",751686,754415,"- Could you give me the thermometer?- Yes.","Umberto D."
"103",774509,775975,"Here.","Umberto D."
"104",777477,779308,"Do you feel sick?","Umberto D."
"105",780947,782437,"Not too hard.","Umberto D."
"106",783250,785309,"Did you hear the door just now?","Umberto D."
"107",785820,787980,"She put them in the living room.","Umberto D."
"108",788221,789745,"She could have done that before.","Umberto D."
"109",789890,792325,"No, she couldn't.There were two others in there.","Umberto D."
"110",795529,799125,"The dirty, rotten -","Umberto D."
"111",819653,822053,"Have you seen all the ants?","Umberto D."
"112",824591,826616,"Can you see anything,Mr. Umberto?","Umberto D."
"113",828696,829491,"No, nothing.","Umberto D."
"114",830764,833825,"You can a little.Did you know I'm pregnant?","Umberto D."
"115",837138,838331,"My God.","Umberto D."
"116",839005,840667,"And you say it just like that?","Umberto D."
"117",841341,843741,"How do you want me to say it?","Umberto D."
"118",849384,852581,"- Does she know?- God forbid.","Umberto D."
"119",888923,890822,"You can go in now.","Umberto D."
"120",900467,902368,"Are you sure?","Umberto D."
"121",902602,904399,"Three months, Mr. Umberto.","Umberto D."
"122",1024392,1026553,"- Excuse me.- Come in.","Umberto D."
"123",1055122,1057521,"Come see.","Umberto D."
"124",1058358,1059791,"Look.","Umberto D."
"125",1066534,1069833,"The tall one is from Naples.The short one is from Florence.","Umberto D."
"126",1070503,1073268,"- Which one is yours?- Both of them.","Umberto D."
"127",1075509,1077135,"Which is the father?","Umberto D."
"128",1078813,1081805,"I think... the one from Naples.","Umberto D."
"129",1082983,1085111,"What do you mean, you think?","Umberto D."
"130",1085486,1088114,"They both deny it.","Umberto D."
"131",1116817,1118078,"Come here.","Umberto D."
"132",1119552,1121281,"Come on. She's crying.","Umberto D."
"133",1128929,1132329,"Answer me!","Umberto D."
"134",1135670,1137637,"She's done singing.","Umberto D."
"135",1139773,1142402,"Bring me a hot water bottle.","Umberto D."
"136",1149784,1153276,"- What are you doing?- He wants some hot water.","Umberto D."
"137",1153953,1155648,"Come on.","Umberto D."
"138",1156757,1157916,"Good boy.","Umberto D."
"139",1161429,1163692,"Do you want to playwith the ball, Flike?","Umberto D."
"140",1168868,1170268,"Come in.","Umberto D."
"141",1170336,1171769,"I pay the maid.","Umberto D."
"142",1171838,1174603,"If you want hot water,hire your own maid.","Umberto D."
"143",1177877,1179846,"I'm throwing your things outon the 30th.","Umberto D."
"144",1180080,1181741,"I'm evicting you.","Umberto D."
"145",1199400,1201299,"Kiss the baby for me.","Umberto D."
"146",1227228,1229219,"Did you hear me?","Umberto D."
"147",1235068,1237469,"Come here, boy.","Umberto D."
"148",1238404,1240201,"Good boy, Flike.","Umberto D."
"149",1245746,1247838,"Damn these ants!","Umberto D."
"150",1248648,1250947,"Ants everywhere.","Umberto D."
"151",1254788,1257154,"- What is it?- Where's the thermometer?","Umberto D."
"152",1257223,1259088,"On the dresser.","Umberto D."
"153",1267101,1270558,"I have to put it back.Otherwise, she'll yell at me.","Umberto D."
"154",1272539,1274029,"Come here, please.","Umberto D."
"155",1274107,1275836,"What do you want?","Umberto D."
"156",1280815,1283078,"Take a look.","Umberto D."
"157",1283150,1284878,"What do I have to do?","Umberto D."
"158",1284951,1289012,"Look in my throat and tell meif you see a white coating.","Umberto D."
"159",1290891,1292950,"It's so big.","Umberto D."
"160",1293027,1295086,"Is there a coating?","Umberto D."
"161",1300267,1303794,"She's hoping I'll die,but I'm not going to.","Umberto D."
"162",1318451,1320385,"Take this to her.","Umberto D."
"163",1321555,1323454,"That's 3,000 lire.","Umberto D."
"164",1324525,1326924,"And get a receipt.","Umberto D."
"165",1328295,1329557,"All right.","Umberto D."
"166",1355588,1357078,"Mr. Umberto.","Umberto D."
"167",1360693,1362161,"Mr. Umberto.","Umberto D."
"168",1363730,1366632,"She says you owe her 15,000,and it's all or nothing.","Umberto D."
"169",1366700,1368599,"I've got to go,or she'll yell at me.","Umberto D."
"170",1407508,1409169,"Good evening.","Umberto D."
"171",1410144,1411474,"How about 2,500?","Umberto D."
"172",1412980,1416507,"I said 2,000 yesterday,and I say 2,000 today.","Umberto D."
"173",1416583,1418550,"How about 2,400?","Umberto D."
"174",1421322,1424984,"They have great sentimental value.They're practically new.","Umberto D."
"175",1425058,1428050,"I've never opened thembecause I didn't want to ruin them.","Umberto D."
"176",1442542,1445272,"I'm only giving them to youbecause I have a fever.","Umberto D."
"177",1466467,1468458,"Maria.","Umberto D."
"178",1468669,1470898,"These ants are driving me crazy.","Umberto D."
"179",1472306,1473567,"2,000...","Umberto D."
"180",1475576,1476736,"4,000...","Umberto D."
"181",1479613,1480875,"5,000.","Umberto D."
"182",1480948,1483472,"She'll have the restwhen I get my pension.","Umberto D."
"183",1488756,1492123,"Get me the thermometer.She's made my fever go up.","Umberto D."
"184",1493426,1495326,"15,000.","Umberto D."
"185",1495496,1499761,"To pay my debts, I'd have to goa month without food.","Umberto D."
"186",1502935,1504926,"Did you do your assignment?","Umberto D."
"187",1506673,1508903,"You didn't have time, eh?","Umberto D."
"188",1510644,1514135,"Certain things can happenif you don't know your grammar.","Umberto D."
"189",1514781,1518115,"Everyone takes advantageof the ignorant.","Umberto D."
"190",1570703,1574140,"Now there's more. You'll haveto wait till the 27th for the rest.","Umberto D."
"191",1575209,1578804,"This is ridiculous.First 3,000, then 2,000 more.","Umberto D."
"192",1579913,1583314,"Take them back to him.It's all or nothing.","Umberto D."
"193",1583383,1586442,"Either he gives me 15,000 lireor I evict him. Go.","Umberto D."
"194",1596697,1598255,"Well?","Umberto D."
"195",1608208,1611836,"- Good evening.- Good evening. Go right in.","Umberto D."
"196",1620253,1621778,"Excuse me.","Umberto D."
"197",1622388,1624356,"What are you doing?Down there.","Umberto D."
"198",1624423,1626688,"Madam is at the end of the corridor.","Umberto D."
"199",1627193,1628422,"Maria, shut the door!","Umberto D."
"200",1630130,1632290,"Her fiancé.","Umberto D."
"201",1775008,1779137,"I was the only successful onein all Macerata.","Umberto D."
"202",1791825,1793519,"Good-bye.","Umberto D."
"203",1794394,1796055,"Till tomorrow.","Umberto D."
"204",1924156,1925589,"Yes.","Umberto D."
"205",1926625,1928490,"What is it?","Umberto D."
"206",1931897,1935628,"Yes, a cold.San Martino della Battaglia 14.","Umberto D."
"207",1935701,1937692,"Third floor.","Umberto D."
"208",1939605,1941335,"Thank you.","Umberto D."
"209",2216682,2217775,"What's going on?","Umberto D."
"210",2217851,2219978,"Come in.","Umberto D."
"211",2223222,2224849,"Stay there. I'll come to you.","Umberto D."
"212",2227159,2228387,"Who's Mr. Ferrari?","Umberto D."
"213",2228460,2229688,"I am.","Umberto D."
"214",2229762,2232630,"I got dressedso I wouldn't keep you waiting.","Umberto D."
"215",2249181,2251878,"Sorry. Umberto Domenico Ferrari.","Umberto D."
