"id","startTime","endTime","text","title"
"1",0,0,"25.000","Van Helsing"
"2",19179,23019,"[Epic instrumental music]","Van Helsing"
"3",25859,26940,"[Screams]","Van Helsing"
"4",29019,31899,"[Mob shouting and yelling angrily]","Van Helsing"
"5",40619,43060,"[Epic instrumental music continues]","Van Helsing"
"6",48820,49899,"[Screams]","Van Helsing"
"7",50340,51659,"It's alive.","Van Helsing"
"8",51740,55700,"It's alive. It's alive!","Van Helsing"
"9",56579,58259,"[Mob shouting and yelling angrily]","Van Helsing"
"10",58340,60500,"[Ominous instrumental music]","Van Helsing"
"11",62460,65260,"[Mob grunts and yells in unison]","Van Helsing"
"12",70420,72780,"There he is! Hit it again!","Van Helsing"
"13",72980,75060,"[Mob grunts and yells in unison]","Van Helsing"
"14",82180,83340,"Success!","Van Helsing"
"15",83900,85659,"Count, it's just you.","Van Helsing"
"16",86260,89420,"I was beginningto lose faith, Victor.","Van Helsing"
"17",91780,94939,"A pity your moment of triumphis being spoiled...","Van Helsing"
"18",95020,97379,"over a little thinglike grave robbery.","Van Helsing"
"19",97460,98740,"Yes.","Van Helsing"
"20",98819,101180,"[Pants] I must escape this place.","Van Helsing"
"21",101819,104219,"DRACULA: Where are you going to run,Victor?","Van Helsing"
"22",105340,110180,"Your peculiar experimentshave made you unwelcome...","Van Helsing"
"23",110259,112539,"in most of the civilized world.","Van Helsing"
"24",112659,116299,"I'll take him away, far away,where no one will ever find him.","Van Helsing"
"25",116420,118099,"DRACULA: No, no, Victor.","Van Helsing"
"26",118259,121459,"The time has comefor me to take command of him.","Van Helsing"
"27",122140,123260,"What are you saying?","Van Helsing"
"28",123340,126379,"Why do you think I brought you here?Gave you this castle?","Van Helsing"
"29",126459,129020,"- Equipped your laboratory?- You said...","Van Helsing"
"30",129659,132580,"- You said you believed in my work.- And I do.","Van Helsing"
"31",133300,137659,"But now that it is,as you yourself have said...","Van Helsing"
"32",138139,141139,"a triumph of science...","Van Helsing"
"33",142060,143659,"over God...","Van Helsing"
"34",146420,149860,"it must now serve my purpose.","Van Helsing"
"35",153139,154659,"What purpose?","Van Helsing"
"36",155500,157139,"[Yelling in unison]","Van Helsing"
"37",159659,164379,"[Mob roaring]","Van Helsing"
"38",167020,168259,"Good God!","Van Helsing"
"39",168939,171379,"I would kill myselfbefore helping in such a task.","Van Helsing"
"40",171460,172460,"[Growls and moans]","Van Helsing"
"41",172539,175620,"Feel free. I don't actually need youanymore, Victor.","Van Helsing"
"42",175819,177420,"I just need him.","Van Helsing"
"43",178060,179659,"He is the key.","Van Helsing"
"44",180460,183500,"I could never allow himto be used for such evil.","Van Helsing"
"45",183979,185219,"I could.","Van Helsing"
"46",186020,188939,"In fact,my brides are insisting upon it.","Van Helsing"
"47",190060,191620,"[Loud, angry snarl]","Van Helsing"
"48",192300,194379,"Igor, help me!","Van Helsing"
"49",194460,197420,"IGOR: You have beenso kind to me, Doctor...","Van Helsing"
"50",197900,200060,"caring, thoughtful.","Van Helsing"
"51",200259,202699,"But he pays me.","Van Helsing"
"52",206539,207819,"VICTOR: Stay back.","Van Helsing"
"53",207979,210379,"You can't kill me, Victor.","Van Helsing"
"54",216699,218300,"I'm already dead.","Van Helsing"
"55",218939,220539,"[Chuckles]","Van Helsing"
"56",223860,225020,"[Victor screams]","Van Helsing"
"57",225780,228060,"[Ominous instrumental music]","Van Helsing"
"58",228139,229539,"[Growls and roars]","Van Helsing"
"59",243139,247379,"[Ominous instrumental music continues]","Van Helsing"
"60",247460,249099,"[Roars]","Van Helsing"
"61",254219,256939,"[Frankenstein growls and pants]","Van Helsing"
"62",258459,262379,"[Ominous instrumental music]","Van Helsing"
"63",262459,263939,"[Mob shouting and yelling distantly]","Van Helsing"
"64",271579,274180,"Dr. Frankenstein!","Van Helsing"
"65",274459,276819,"[Mob shouting and yelling angrily]","Van Helsing"
"66",276899,279939,"Look, it's headed for the windmill!Come on!","Van Helsing"
"67",301220,304339,"[Dracula roars]","Van Helsing"
"68",304500,308060,"[Mob shouting and yelling angrily]","Van Helsing"
"69",309459,310819,"[Frankenstein growls and snarls]","Van Helsing"
"70",322379,325060,"Burn it! Burn it down!","Van Helsing"
"71",327060,329459,"[lntense instrumental music]","Van Helsing"
"72",347659,350939,"[Frankenstein growls and snarls]","Van Helsing"
"73",354659,357420,"[Yells angrily]","Van Helsing"
"74",358500,361980,"[Suspenseful instrumental music]","Van Helsing"
"75",367139,370019,"[Roars in anguish]","Van Helsing"
"76",372980,374500,"[Gasps]","Van Helsing"
"77",377620,381779,"[Ominous instrumental music]","Van Helsing"
"78",387939,389139,"Vampires.","Van Helsing"
"79",389339,391579,"- Run for your lives!-Vampires!","Van Helsing"
"80",391860,393659,"[Mob yells in panic]","Van Helsing"
"81",398220,402060,"[Ominous instrumental music continues]","Van Helsing"
"82",409019,412220,"[Pants and whimpers]","Van Helsing"
"83",412300,413459,"Father.","Van Helsing"
"84",415300,418699,"[Roars in anguish]","Van Helsing"
"85",428899,433100,"[Brides shriek and wail]","Van Helsing"
"86",442420,445779,"[lntense instrumental music]","Van Helsing"
"87",461379,464699,"[Fast-paced instrumental music]","Van Helsing"
"88",464779,466420,"[Young woman shrieks in the distance]","Van Helsing"
"89",490579,495339,"[Fast-paced instrumental music continues]","Van Helsing"
"90",503540,505180,"[Man laughing in the distance]","Van Helsing"
"91",540740,542940,"[Snarls]","Van Helsing"
"92",544019,545220,"VAN HELSING: Evening.","Van Helsing"
"93",545539,549299,"You're a big one.You'll be hard to digest.","Van Helsing"
"94",550460,552779,"I'd hate to be such a nuisance.","Van Helsing"
"95",557740,560460,"[Mr. Hyde growls]","Van Helsing"
"96",560580,562340,"I missed you in London.","Van Helsing"
"97",562460,566100,"No, you bloody did not!You got me good.","Van Helsing"
"98",566220,568940,"Dr. Jekyll, you're wantedby the Knights of the Holy Order...","Van Helsing"
"99",569019,570220,"It's Mr. Hyde now.","Van Helsing"
"100",570460,573100,"...for the murder of 12 men,six women, four...","Van Helsing"
"101",573179,577860,"...children, three goats, anda rather nasty massacre of poultry!","Van Helsing"
"102",578460,582019,"So you're the great Van Helsing.","Van Helsing"
"103",582100,584419,"And you're a deranged psychopath.","Van Helsing"
"104",589539,592220,"We all have our little problems.","Van Helsing"
"105",594460,596779,"My superiors would like for meto take you alive...","Van Helsing"
"106",596860,599340,"so that they may extricateyour better half.","Van Helsing"
"107",599460,601820,"[Grunts] I bet they bloody would.","Van Helsing"
"108",602220,605580,"Personally, I'd rather just kill youand call it a day.","Van Helsing"
"109",605700,608179,"But let's make it your decision,shall we?","Van Helsing"
"110",608419,609659,"Do let's.","Van Helsing"
"111",630659,632740,"MR. HYDE: Here I come...","Van Helsing"
"112",632980,635179,"ready or not!","Van Helsing"
"113",638539,640580,"[Screaming] The bell!","Van Helsing"
"114",650419,651860,"[Whizzing of power saw]","Van Helsing"
"115",655700,657980,"[Grunts]","Van Helsing"
"116",658059,659299,"[Exclaims in surprise]","Van Helsing"
"117",662220,666940,"[Mr. Hyde howls in pain]","Van Helsing"
"118",668539,670340,"MR. HYDE: No, no.","Van Helsing"
"119",670620,672340,"[Grunts]","Van Helsing"
"120",672419,674379,"I'll bet that's upsetting.","Van Helsing"
"121",675100,676379,"[Suspenseful instrumental music]","Van Helsing"
"122",685139,686740,"Paris!","Van Helsing"
"123",690220,691980,"Come here.","Van Helsing"
"124",694100,698740,"I think you'll find the viewover here rather spectacular.","Van Helsing"
"125",703019,706580,"It's been a pleasure knowing you.Au revoir!","Van Helsing"
"126",711580,712700,"[Mr. Hyde groaning]","Van Helsing"
"127",718659,722139,"[Heroic instrumental music]","Van Helsing"
"128",726179,727299,"Oh, no.","Van Helsing"
"129",733700,735299,"[Tense instrumental music]","Van Helsing"
"130",735379,736580,"My turn.","Van Helsing"
"131",740980,744179,"[Mr. Hyde screaming]","Van Helsing"
"132",759100,760100,"[ln Latin]","Van Helsing"
"133",760179,761820,"May he rest in peace.","Van Helsing"
"134",764620,766340,"[Concerned chatter]","Van Helsing"
"135",769539,771940,"[Mysterious instrumental music]","Van Helsing"
"136",778419,779779,"Van Helsing.","Van Helsing"
"137",780419,782940,"You murderer!","Van Helsing"
"138",785340,788460,"[Fast-paced instrumental music]","Van Helsing"
"139",798179,800100,"[Dramatic instrumental music]","Van Helsing"
"140",809100,810379,"Bless me, Father, for I have...","Van Helsing"
"141",810460,813299,"CARDINAL: Sinned. Yes, I know.You're very good at that.","Van Helsing"
"142",814019,815940,"You shattered the Rose Window.","Van Helsing"
"143",816019,818659,"Not to split hairs, sir,but Mr. Hyde did the shattering.","Van Helsing"
"144",818740,822220,"13th century. Over 600 years old.","Van Helsing"
"145",823580,826940,"- I wish you a week in hell for that.- It would be a nice reprieve.","Van Helsing"
"146",827019,830299,"Don't get me wrong.Your results are unquestionable...","Van Helsing"
"147",830460,833419,"but your methodsattract far too much attention.","Van Helsing"
"148",833700,836299,"""Wanted"" posters?We are not pleased.","Van Helsing"
"149",836379,838980,"Do you think I like beingthe most wanted man in Europe?","Van Helsing"
"150",839059,841299,"Why don't you and the Orderdo something about it?","Van Helsing"
"151",841379,843419,"Because we do not exist.","Van Helsing"
"152",843740,845659,"Well, then neither do I.","Van Helsing"
"153",848980,852740,"CARDINAL: When we found you crawling upthe steps of this church, half-dead...","Van Helsing"
"154",852820,856340,"it was clear to all of us thatyou had been sent to do God's work.","Van Helsing"
"155",856419,858899,"- Why can't he do it himself?- Don't blaspheme.","Van Helsing"
"156",858980,862460,"You already lost your memoryas a penance for past sins.","Van Helsing"
"157",863179,864860,"CARDINAL: If you wish to recover it...","Van Helsing"
"158",864940,867700,"I suggest you continueto heed the call.","Van Helsing"
"159",869340,872059,"Without us,the world would be in darkness.","Van Helsing"
"160",872220,875220,"Governments and empirescome and go...","Van Helsing"
"161",875299,879659,"but we have kept mankind safesince time immemorial.","Van Helsing"
"162",880059,882460,"CARDINAL: We are the last defenseagainst evil.","Van Helsing"
"163",882580,885860,"CARDINAL: An evil that the rest of mankindhas no idea even exists.","Van Helsing"
"164",885940,890340,"To you, these monsters arejust evil beings to be vanquished.","Van Helsing"
"165",891940,893980,"I'm the one standing therewhen they die...","Van Helsing"
"166",894059,895779,"and become the men they once were.","Van Helsing"
"167",895860,899220,"For you, my good son,this is all a test of faith.","Van Helsing"
"168",899659,903059,"And now,we need you to go to the East.","Van Helsing"
"169",903659,906100,"To the far side of Romania.","Van Helsing"
"170",906940,908419,"An accursed land...","Van Helsing"
"171",908500,911340,"terrorized by all sortsof nightmarish creatures.","Van Helsing"
"172",911539,914659,"CARDINAL: Lorded overby a certain Count Dracula.","Van Helsing"
"173",915220,917220,"VAN HELSING: Dracula?CARDINAL: Yes.","Van Helsing"
