"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","WarGames"
"2",65774,67691,"Replacement team's here, sir.","WarGames"
"3",68151,70444,"Right. Come on through!","WarGames"
"4",72947,75032,"We were gonna startlooking for you guys.","WarGames"
"5",75241,77451,"God, it's really something out there.","WarGames"
"6",77660,78744,"You look a mess, sir.","WarGames"
"7",79746,82664,"Yeah? Your turn next, Ginsberg.","WarGames"
"8",89672,91048,"OK, bye. See you in 24.","WarGames"
"9",91883,92883,"See you tomorrow.","WarGames"
"10",97555,98722,"What were you saying?","WarGames"
"11",98932,101266,"I used to hear herchant all night long...","WarGames"
"12",105105,106105,"Over the plants?","WarGames"
"13",106314,109358,"She'd cup her hands over the seedsand chant by the hour.","WarGames"
"14",109567,112694,"She grew the mostbeautiful wandoos you ever saw.","WarGames"
"15",112904,115572,"Primo stuff. Resin city.","WarGames"
"16",120245,121703,"Stand clear.","WarGames"
"17",131005,133924,"Your mother's been very worried.Roads must be a bear.","WarGames"
"18",134342,136260,"- What roads?- Visibility.","WarGames"
"19",137137,141598,"Visibility, bullshit. You haven'tbeen on time for the last six months.","WarGames"
"20",141808,143392,"I wrote you up in the log book.","WarGames"
"21",143601,144935,"Yeah, you're a prince.","WarGames"
"22",146896,150649,"Good night, gentlemen.","WarGames"
"23",159826,161702,"So it was like sinsemillia, right?","WarGames"
"24",161911,165747,"Sinsemillia. This grass madeThai stick taste like oregano.","WarGames"
"25",165915,167875,"Lay you out flat, man.","WarGames"
"26",172547,174423,"- Got a red light, sir.- What on?","WarGames"
"27",174632,176216,"Number eight, warhead alarm.","WarGames"
"28",176593,177551,"Give it a thump.","WarGames"
"29",183057,184600,"Alarm reset.","WarGames"
"30",199908,200991,"Skybird, this is Dropkick","WarGames"
"31",201159,204203,"with a red-alphamessage in two parts.","WarGames"
"32",204370,207873,"- Break, break. Red-alpha.- Stand by to copy message.","WarGames"
"33",208041,209166,"Standing by.","WarGames"
"34",209375,212085,"Romeo, Oscar,November, Charlie...","WarGames"
"35",212253,215464,"...Tango, Tango, Lima, Alpha.","WarGames"
"36",215965,217049,"Authentication.","WarGames"
"37",217217,220552,"Two, two, zero, zero, four...","WarGames"
"38",221012,223472,"...zero, Delta, Lima.","WarGames"
"39",223723,225515,"I have a valid message.","WarGames"
"40",225683,226850,"Stand by to authenticate.","WarGames"
"41",227060,229436,"I agree with authentication also, sir.","WarGames"
"42",246704,248247,"Enter launch code.","WarGames"
