"id","startTime","endTime","text","title"
"1",122372,124738,"So the moment has come.","Watch on the Rhine"
"2",125008,127977,"This time, it is of the utmost importance.","Watch on the Rhine"
"3",128144,132137,"Please do not talk.Please do not seem nervous.","Watch on the Rhine"
"4",156673,158300,"[Speaking in german]","Watch on the Rhine"
"5",162011,165913,"Papa told you it is good manners to speakthe language of the country you visit.","Watch on the Rhine"
"6",166082,167481,"Therefore, speak in english.","Watch on the Rhine"
"7",167650,170210,"I said, whenever we havecrossed a border...","Watch on the Rhine"
"8",170386,173150,"...i so fix my feetfrom one country to the other.","Watch on the Rhine"
"9",173489,175423,"I have found it to be of good luck.","Watch on the Rhine"
"10",175592,177287,"- And so i advise all of you...- yes.","Watch on the Rhine"
"11",177460,181396,"You are one of the many peoplewho are so pleased with what they say...","Watch on the Rhine"
"12",181564,185523,"...that the 1 0th time they have said it,it is as fresh to them as the first.","Watch on the Rhine"
"13",185702,186828,"Spare us.","Watch on the Rhine"
"14",187003,190769,"- I can't believe it, darling.- I give you orders to believe it.","Watch on the Rhine"
"15",190940,193465,"And now you are in your own land, sara.","Watch on the Rhine"
"16",193643,195577,"And that is good.","Watch on the Rhine"
"17",199249,201479,"Your face is most happy, sara.","Watch on the Rhine"
"18",201651,203551,"And most pretty.","Watch on the Rhine"
"19",210693,212285,"[Train whistle blowing]","Watch on the Rhine"
"20",222205,223638,"Are you comfortable?","Watch on the Rhine"
"21",223806,227708,"Oh, yes, mama. This is most luxurious.","Watch on the Rhine"
"22",227877,231176,"I am surprised.The united states of america...","Watch on the Rhine"
"23",231347,235408,"...is a sun-lighted, dusty countrywith vegetation of no great height and...","Watch on the Rhine"
"24",235585,237519,"you are ready to write a book about it?","Watch on the Rhine"
"25",237687,239245,"Sara:This part of it is, bodo.","Watch on the Rhine"
"26",239622,242989,"But this part of the countryis strange to me too.","Watch on the Rhine"
"27",243259,245921,"Perhaps all of it will be strange to me.","Watch on the Rhine"
"28",246095,248188,"It's been 1 7 years.","Watch on the Rhine"
"29",248364,251629,"Carterville, next stop. Carterville.","Watch on the Rhine"
"30",253670,257333,"There are, i think, others herewho are not americans.","Watch on the Rhine"
"31",257507,261307,"You do not know that people fromthe utmost different parts of the world...","Watch on the Rhine"
"32",261477,264105,"...have found refugein the united states of america?","Watch on the Rhine"
"33",264280,266612,"We know that.","Watch on the Rhine"
"34",271054,273147,"[Whispering]I did not imagine houses in america...","Watch on the Rhine"
"35",273323,275689,"...to be as those i haveseen from this train.","Watch on the Rhine"
"36",275858,278554,"Do you think the houseof mama's mother is one such?","Watch on the Rhine"
"37",278728,280252,"[Whispering]I do not know.","Watch on the Rhine"
"38",280430,283490,"Is it that you have beenaccustomed to palaces?","Watch on the Rhine"
"39",283666,288296,"I do not complain. I only ask.I live where mama and papa take us.","Watch on the Rhine"
"40",288471,291963,"But it is only naturali have curiosity for our relatives.","Watch on the Rhine"
"41",304887,306320,"Joseph.","Watch on the Rhine"
"42",306489,308150,"- Morning.- Good morning, madame.","Watch on the Rhine"
"43",308324,311020,"- Everybody down?- No. Nobody down. I'll get your tea.","Watch on the Rhine"
"44",311194,314891,"Breakfast is at 9:00 in this house,and will be until the day after i die.","Watch on the Rhine"
"45",315064,317999,"- Ring the bell.- But it ain't 9:00 yet, miss fanny. It's 8:30.","Watch on the Rhine"
"46",318167,320567,"Well, put the clocks up to 9and ring the bell.","Watch on the Rhine"
"47",320737,322637,"Joseph:Mr. David told me not to ring it anymore.","Watch on the Rhine"
"48",322805,325638,"He say it got too mean a ring, that bell.It disturbs folks.","Watch on the Rhine"
"49",325808,329209,"That's what it was put there for.I like to disturb folks.","Watch on the Rhine"
"50",329379,330471,"Yes'm.","Watch on the Rhine"
"51",330646,331840,"I couldn't sleep.","Watch on the Rhine"
"52",332015,334449,"I kept thinking of sara coming home.","Watch on the Rhine"
"53",334617,338075,"But you slept well, anise. You were asleepbefore i could dismantle myself.","Watch on the Rhine"
"54",338254,340620,"I woke several times during the night.","Watch on the Rhine"
"55",340790,344419,"Did you?Then you were careful not to stop snoring.","Watch on the Rhine"
"56",344827,349958,"Now that sara and her family are coming,we must get around to moving your room.","Watch on the Rhine"
"57",350133,352829,"Jenny's daughteris still going with that actor.","Watch on the Rhine"
"58",353002,356301,"An actor. Fashions in sin change.","Watch on the Rhine"
"59",356472,358235,"In my day, it was englishmen.","Watch on the Rhine"
"60",358408,361844,"Oh, my mail looks dull.Anything in anybody else's mail?","Watch on the Rhine"
"61",362011,364605,"The usual advertisements for mr. David.","Watch on the Rhine"
"62",364781,366749,"For the count and countess de brancovis...","Watch on the Rhine"
"63",366916,370977,"...nothing but what seems to be aninvitation to a lower-class embassy tea.","Watch on the Rhine"
"64",371154,374214,"And some lettersasking for bills to get paid.","Watch on the Rhine"
"65",374390,378258,"That's every morning. In the weeks martheand her husband have been visiting us...","Watch on the Rhine"
"66",378428,380419,"...they seem to have run up many bills.","Watch on the Rhine"
"67",380596,382791,"Yes, i told you that.","Watch on the Rhine"
"68",382965,387265,"Why do you suppose anybody would givecharge accounts to romanian nobility?","Watch on the Rhine"
"69",387437,391271,"Perhaps because they are the guestsof madame joshua farrelly.","Watch on the Rhine"
"70",391441,392931,"Perhaps.","Watch on the Rhine"
"71",393109,397205,"How does david's flirtationwith marthe get on? Anything happen?","Watch on the Rhine"
"72",397380,399007,"Happen? I don't know what you mean.","Watch on the Rhine"
"73",399182,400911,"You know very well what i mean.","Watch on the Rhine"
"74",401317,405048,"Oh, that. Oh, no. I don't think that.","Watch on the Rhine"
"75",405221,406688,"I must...","Watch on the Rhine"
"76",407156,410091,"- joseph.- Yes'm.","Watch on the Rhine"
"77",411127,412526,"[Bell clanging]","Watch on the Rhine"
"78",415031,417761,"Little birds, i don't blame you.","Watch on the Rhine"
"79",418701,420259,"Joseph, stop that.","Watch on the Rhine"
"80",421304,424865,"It ain't me, mr. David. I don't like any noise.Miss fanny told me.","Watch on the Rhine"
"81",425041,427475,"- She didn't tell you to hang yourself.Joseph: I ain't hung.","Watch on the Rhine"
"82",427643,430612,"Marthe: Good morning, david.- Good morning, marthe.","Watch on the Rhine"
"83",430780,434045,"I'm going to have a chicken housefixed up as a playroom for my mother.","Watch on the Rhine"
"84",434217,437983,"I will hang it with bells and she can go intoher second childhood in the proper privacy.","Watch on the Rhine"
"85",438154,439143,"[Chuckles]","Watch on the Rhine"
"86",439322,441187,"She'll only make us have breakfast there.","Watch on the Rhine"
"87",441357,443621,"Fanny:David. Come to breakfast.","Watch on the Rhine"
"88",447730,449630,"Shall we go down together?","Watch on the Rhine"
"89",450333,452927,"Couldn't you ask your admirerif it would be possible...","Watch on the Rhine"
"90",453102,456333,"...to have a breakfast a little laterthan 9:00?","Watch on the Rhine"
"91",457273,460367,"I don't mind thatas much as having to eat it on the terrace.","Watch on the Rhine"
"92",460543,463569,"Any morningit's not positively snowing.","Watch on the Rhine"
"93",465982,468177,"Anything madame fanny'slong-dead husband did...","Watch on the Rhine"
"94",468351,471411,"...she thinks god intendedeverybody else to do.","Watch on the Rhine"
"95",471587,475182,"It's unfortunate that early american liberalswere such a hardy people.","Watch on the Rhine"
"96",475358,480261,"Breakfast promptly at 9, outdoors.Dinner promptly at 8.","Watch on the Rhine"
"97",481197,484826,"I won't be in tonight to dinner.Does that please you?","Watch on the Rhine"
"98",485001,487060,"- You might have it with david.- I might.","Watch on the Rhine"
"99",487236,489033,"With whom are you dining?","Watch on the Rhine"
"100",489205,492402,"Oh, you will not bump into me.I'll be at the german embassy.","Watch on the Rhine"
"101",492575,495169,"Teck, i've asked you...","Watch on the Rhine"
"102",498581,500845,"you slept well.It doesn't seem to matter to you...","Watch on the Rhine"
"103",501017,503850,"...that your sister whom you haven't seenis coming home.","Watch on the Rhine"
"104",504020,505647,"But they aren't coming today, mama.","Watch on the Rhine"
"105",505821,509086,"I lay awake most of the nightthinking of sara and of your father.","Watch on the Rhine"
"106",509258,511021,"Wondering whathe would have thought...","Watch on the Rhine"
"107",511194,514129,"...coming homewith her husband and children.","Watch on the Rhine"
"108",514297,516822,"Three grandchildren.He'd have liked that.","Watch on the Rhine"
"109",516999,519627,"- I hope i shall.- You will.","Watch on the Rhine"
"110",519802,521963,"Anything in my mail, anise?","Watch on the Rhine"
"111",522138,524766,"- Advertisements only.- Thanks.","Watch on the Rhine"
"112",524941,527102,"You and mama save mea lot of time reading.","Watch on the Rhine"
"113",527276,531144,"I cannot speak for madame fanny,but i have never opened a letter in my life.","Watch on the Rhine"
"114",531314,534044,"You don't have to.For you, they fly open.","Watch on the Rhine"
"115",534217,537846,"It's true. You're a snooper, anise.","Watch on the Rhine"
"116",538588,540988,"It shows an interest in life.","Watch on the Rhine"
"117",541157,543216,"- bonjour, mademoiselle anise.Anise: bonjour, madame.","Watch on the Rhine"
"118",543392,546657,"Oh, there you are. Don't peopleever get out of bed in romania?","Watch on the Rhine"
"119",546829,549127,"- Good morning.- Not if they can help it. But, my apologies.","Watch on the Rhine"
"120",549298,550287,"[Bell rings]","Watch on the Rhine"
"121",550466,551455,"Joseph:Here i am, miss fanny.","Watch on the Rhine"
"122",551634,554330,"Has science a namefor women who enjoy noise?","Watch on the Rhine"
"123",554503,555527,"Fanny's excited.","Watch on the Rhine"
"124",556606,558130,"You're excited too.","Watch on the Rhine"
"125",558307,560639,"A few more daysand your sara will be home.","Watch on the Rhine"
"126",560810,563040,"I am excited. And i'm afraid too.","Watch on the Rhine"
"127",563212,566875,"- Why?- I don't know. It's been so many years.","Watch on the Rhine"
"128",567049,570075,"- Afraid she won't like me anymore, i guess.- Oh, but she will.","Watch on the Rhine"
"129",570253,571618,"Of course.","Watch on the Rhine"
"130",572355,573583,"I remember sara.","Watch on the Rhine"
"131",573756,576691,"Mama brought me one daywhen your father was stationed in paris.","Watch on the Rhine"
"132",576859,580989,"I was about 6 and sara was about 1 5,and you were...","Watch on the Rhine"
"133",581163,582562,"you were a pretty little girl.","Watch on the Rhine"
"134",582732,585758,"Do you really remember me?You never told me.","Watch on the Rhine"
"135",585935,588403,"- I wanted you to remember me, but l...fanny: Well.","Watch on the Rhine"
"136",588571,591597,"Monsieur chabeuf the upholsterer says,not a pincushion...","Watch on the Rhine"
"137",591774,594607,"...not even so much as,could he reupholster in two days.","Watch on the Rhine"
"138",594777,597371,"In the matter of four chairs,a chaise longue, and two...","Watch on the Rhine"
"139",597546,600982,"oh, nonsense.Your monsieur chabeuf is lazy.","Watch on the Rhine"
"140",601150,602242,"Is he on the phone?","Watch on the Rhine"
"141",602685,605313,"- Everybody's lazy. Except me.- Indeed.","Watch on the Rhine"
"142",606289,609053,"Madame fanny has energy.I find it most attractive.","Watch on the Rhine"
"143",609225,613025,"Perhaps because you're not related to it.But it works wonders.","Watch on the Rhine"
"144",613195,615925,"What sort of manis the husband of your sister?","Watch on the Rhine"
"145",616098,619829,"I've never met him.My mother did once, in munich.","Watch on the Rhine"
"146",620002,621401,"The day sara met him, i think.","Watch on the Rhine"
"147",621570,624971,"I remember mama telling me about it.It was rather a scandal, wasn't it?","Watch on the Rhine"
"148",625141,628235,"The farrelly daughter marrying a germanwho was poor and unknown.","Watch on the Rhine"
"149",628411,630038,"Oh, mama wouldn't have minded that.","Watch on the Rhine"
"150",630212,633648,"If only they'd come home and allowed herto arrange their lives for them.","Watch on the Rhine"
"151",633816,637047,"But sara didn't want it that wayand that made mama angry.","Watch on the Rhine"
"152",637219,640586,"But all was forgiven a long time ago.And now that they are coming home...","Watch on the Rhine"
"153",640756,643088,"they're fortunate to be ableto get out of germany.","Watch on the Rhine"
"154",643259,645159,"Oh, they've been out of germanysince the early '30s.","Watch on the Rhine"
"155",645328,646317,"Oh?","Watch on the Rhine"
"156",646495,649794,"- Where have they been living?- They've moved around a great deal since.","Watch on the Rhine"
"157",649965,652627,"Sara's letterscome from all kinds of places...","Watch on the Rhine"
"158",652802,657466,"...switzerland, czechoslovakia,denmark, france.","Watch on the Rhine"
"159",657640,660609,"Kurt is an engineer. But i'm not sure...","Watch on the Rhine"
"160",660776,664507,"well, you'll have a housefull of refugees soon. Us and the...","Watch on the Rhine"
"161",664680,666671,"are you a refugee?","Watch on the Rhine"
"162",666949,670112,"I'm not sure i knowwhat you're a refugee from.","Watch on the Rhine"
"163",670286,671878,"From europe.","Watch on the Rhine"
"164",672722,673746,"From what europe?","Watch on the Rhine"
"165",675758,678818,"- Just europe.Fanny: David. David!","Watch on the Rhine"
"166",678994,680791,"This is one of mama's screaming days.","Watch on the Rhine"
"167",680963,684399,"I'm going to the office before she findsany more errands for me to do.","Watch on the Rhine"
"168",684567,688594,"I've got to ask penfieldabout the best school for 1 2-year-old girls.","Watch on the Rhine"
"169",688771,690898,"Ask walton about a school for boys.","Watch on the Rhine"
"170",691073,694338,"Buy boys' books, buy girl's books,buy bicycles...","Watch on the Rhine"
"171",694510,696307,"...three puppies...","Watch on the Rhine"
"172",696479,698640,"from what europe?","Watch on the Rhine"
"173",699348,701680,"I'm not surewhat we're refugees from either.","Watch on the Rhine"
"174",701851,703341,"Aren't you?","Watch on the Rhine"
"175",704153,707884,"A great many mistaken people seem to havegiven you a great many charge accounts.","Watch on the Rhine"
"176",708057,710116,"It'd be niceto be able to pay bills again.","Watch on the Rhine"
"177",710292,712988,"Do not act as thoughi refuse to pay them.","Watch on the Rhine"
"178",713996,717557,"I did not sleep well last night.I was worried.","Watch on the Rhine"
"179",717733,721362,"We have $85in american express checks.","Watch on the Rhine"
"180",721804,725205,"- That is all we have, marthe.- Maybe something will turn up. It's due.","Watch on the Rhine"
"181",725374,726807,"David?","Watch on the Rhine"
"182",728177,731772,"- Money does not worry you?- It worries me very much.","Watch on the Rhine"
"183",731947,736441,"But i just lie still now and hope.I'm glad to be here.","Watch on the Rhine"
"184",736619,739554,"We've come to the end of a road.It's been true for a long time.","Watch on the Rhine"
"185",739722,742213,"Things will have to goone way or the other.","Watch on the Rhine"
"186",742391,744154,"Maybe they'll go well for a change.","Watch on the Rhine"
"187",744326,746089,"I have not cometo the end of any road.","Watch on the Rhine"
"188",746262,748321,"No? I admire you.","Watch on the Rhine"
"189",749398,753357,"Perhaps because you think the roadwill lead you back to europe again?","Watch on the Rhine"
