"id","startTime","endTime","text","title"
"1",2399,3730,"Oh, my God...","We're the Millers"
"2",3919,9244,"...it's full-on double rainbow allthe way across the sky!","We're the Millers"
"3",9839,11648,"Whoa!","We're the Millers"
"4",11839,14285,"Oh, my God! Oh, my God!","We're the Millers"
"5",14480,17050,"Oh! Oh, my God!","We're the Millers"
"6",17280,19646,"Whoo!","We're the Millers"
"7",19839,21649,"What does this mean?","We're the Millers"
"8",22920,25365,"It's so bright.","We're the Millers"
"9",25559,27766,"Oh, my God,it's so bright and vivid.","We're the Millers"
"10",28000,30571,"It's starting to looklike a triple rainbow.","We're the Millers"
"11",30800,32369,"Oh!","We're the Millers"
"12",35079,37161,"Going streaking across the quad!","We're the Millers"
"13",45159,46844,"Coochie, coochie, coochie!","We're the Millers"
"14",50880,53645,"Yeah. No, I know. Uh-huh.","We're the Millers"
"15",53840,56320,"No, I'm not. I'm not.No, I'm paying attention.","We're the Millers"
"16",56719,59121,"Mom, I'm listening. Just talk.","We're the Millers"
"17",59479,61801,"- Tyrone.- Are you going trick-or-treating?","We're the Millers"
"18",62039,63564,"- No, because--- Pow!","We're the Millers"
"19",128639,130926,"I'm in the car. I'm literally in the car.","We're the Millers"
"20",131120,132564,"David, hey. David Clark.","We're the Millers"
"21",132759,133841,"Rick Nathanson.","We're the Millers"
"22",134719,137723,"- Uh, I'm sorry.- Little Ricky. We went to college together.","We're the Millers"
"23",138039,139644,"Oh, shit. Hey, dude.","We're the Millers"
"24",139840,143287,"We all took ecstasy at Dave Matthewsone time and I tried to kiss you.","We're the Millers"
"25",144079,145843,"That's right. I remember that. Yeah.","We're the Millers"
"26",146120,147167,"Yeah. ""Crash.""","We're the Millers"
"27",147360,148441,"Yup.","We're the Millers"
"28",148639,151563,"Wow. I didn't recognize you.You look very different.","We're the Millers"
"29",151759,153888,"I've gained a little bit of daddy weight.","We're the Millers"
"30",154079,155490,"You know the drill.","We're the Millers"
"31",155680,157250,"Actually, I don't, no.","We're the Millers"
"32",157879,161009,"- No way. No way! Still a free agent.- Mm.","We're the Millers"
"33",161199,164362,"You son of a bitch!You lucky son of a bitch.","We're the Millers"
"34",164599,168525,"You lucky, lucky son of a bitch.Wow, that's amazing. Wow.","We're the Millers"
"35",169639,172086,"Here. For old times' sake, huh?","We're the Millers"
"36",172960,174040,"For daddy stress.","We're the Millers"
"37",175079,176411,"You're still dealing weed?","We're the Millers"
"38",176920,178444,"Best in Denver.","We're the Millers"
"39",179280,181328,"That's fucking awesome. Oh, my God.","We're the Millers"
"40",182319,183445,"That is so cool.","We're the Millers"
"41",183639,185368,"- You're still at it.- Yeah.","We're the Millers"
"42",185560,187641,"- I envy you, man. I do.- Ah.","We're the Millers"
"43",187840,190525,"Look at you. No wife, no kids.","We're the Millers"
"44",190759,192091,"- No responsibilities.- Mm-hm.","We're the Millers"
"45",192280,194567,"Pfft, nothing.You got nothing.","We're the Millers"
"46",194759,197161,"You could disappear tomorrowand who'd even know?","We're the Millers"
"47",198240,199924,"- Oh, what I wouldn't give.- Yeah.","We're the Millers"
"48",200120,202360,"Oh, hey, I didn't mean that in like, I mean--","We're the Millers"
"49",202560,205211,"No. It's all right. It doesn't bother me.It's all right.","We're the Millers"
"50",205840,207603,"- Great seeing you.- Great seeing you.","We're the Millers"
"51",207800,209370,"Okay, bud, I believe in you.","We're the Millers"
"52",209599,211408,"- Hey, David?- Yeah?","We're the Millers"
"53",211879,214247,"- Facebook me. We'll get weird.- I don't think so.","We're the Millers"
"54",214479,217245,"- Ha, ha! Get out of here.- Good luck with the family.","We're the Millers"
"55",219120,220804,"Oh, fuck. Fuck me. Fuck.Hey, great news.","We're the Millers"
"56",221000,222923,"We're gonna get high and fuck tonight.","We're the Millers"
"57",223120,225406,"I'm sorry, honey.Put Mommy on the phone, okay?","We're the Millers"
"58",240639,244325,"I'm-a take my skin', boot, ringsAll off","We're the Millers"
"59",244520,247888,"Skirt, boots, ringsAll off","We're the Millers"
"60",248080,251128,"Ooh, baby, you so bad, boyDrive me mad, boy","We're the Millers"
"61",251319,253401,"You don't care what theySay about me","We're the Millers"
"62",253639,257406,"Girl is a problemGirl is a problem, problem","We're the Millers"
"63",265439,266805,"Wow.","We're the Millers"
"64",267000,269730,"- You dance super good.- Thanks.","We're the Millers"
"65",269920,272002,"I'm Kymberly.With a Y.","We're the Millers"
"66",273439,275521,"I'm Rose.With an R.","We're the Millers"
"67",276199,277803,"Is that your stage name?","We're the Millers"
"68",278040,279882,"- My what?- Your stage name.","We're the Millers"
"69",280079,283322,"To protect yourself from the creepsout there. You should pick one.","We're the Millers"
"70",283519,288401,"You know, something simple but sexyand cute and short, maybe.","We're the Millers"
"71",288639,291086,"- Do you have a nickname?- Totally!","We're the Millers"
"72",291279,292519,"Great. Use that, because--","We're the Millers"
"73",292720,294643,"I even got a tattoo of it. Do you wanna see?","We're the Millers"
"74",294840,295920,"Uh, well, n--","We're the Millers"
"75",296120,297326,"Check it out.","We're the Millers"
"76",297560,301086,"""Boner Garage."" Oh, whoa.","We're the Millers"
"77",301319,303048,"You got a little arrow there even.","We're the Millers"
"78",303279,305009,"Is that not like the hottest?","We're the Millers"
"79",305240,307242,"Boner Garage, you're up.","We're the Millers"
"80",307439,311569,"Oh, look at that. So excited and full of life.That'll fade.","We're the Millers"
"81",311759,316641,"Hey, Rose. I know you're ""technically""on break, but I need a lap dance. Table five.","We're the Millers"
"82",316839,319684,"Just don't get too close.The guy has two hook hands.","We're the Millers"
"83",321160,322730,"How did we let that guy back in here?","We're the Millers"
"84",323160,325401,"Must have picked the locks. Ha, ha!","We're the Millers"
"85",353680,354886,"How was work this evening?","We're the Millers"
"86",355120,356201,"What do you care?","We're the Millers"
"87",356399,357526,"I'm just asking.","We're the Millers"
"88",357720,358959,"Oh, just don't.","We're the Millers"
"89",359279,361202,"Fine. Well, is your dummy boyfriend around?","We're the Millers"
"90",361399,363721,"No. Jimmy's with his parents. Why?","We're the Millers"
"91",363959,366803,"Well, because Jimmy still owes me400 bucks, so...","We're the Millers"
"92",367360,369442,"Maybe you shouldn't loan drugsto people.","We're the Millers"
