"id","startTime","endTime","text","title"
"1",35670,38673,"These are the true eventsof November, 1965.","We Were Soldiers"
"2",39673,41676,"The la Drang Valleyof Vietnam.","We Were Soldiers"
"3",42676,45679,"A place our country doesnot remember...","We Were Soldiers"
"4",45764,47682,"...in a war it doesnot understand.","We Were Soldiers"
"5",48682,50685,"This story is the testamentto the young...","We Were Soldiers"
"6",50768,52686,"...Americans who died in theValley of Death...","We Were Soldiers"
"7",52771,54481,"...and a tributeto the young men...","We Were Soldiers"
"8",54606,56316,"...of the People's Armyof Vietnam...","We Were Soldiers"
"9",56441,58026,"...who died by our handin that place.","We Were Soldiers"
"10",60654,62613,"To tell this story, l must start...","We Were Soldiers"
"11",62697,63615,"...at the beginning.","We Were Soldiers"
"12",65659,67618,"But where does it begin?","We Were Soldiers"
"13",70664,72081,"Maybe in June of 1 954...","We Were Soldiers"
"14",72206,74626,"...when French Group Mobile1 00 moved into...","We Were Soldiers"
"15",74709,76628,"...the same Central Highlandsof Vietnam...","We Were Soldiers"
"16",76710,79631,"...where we would go1 1 years later.","We Were Soldiers"
"17",93686,94646,"See anything?","We Were Soldiers"
"18",96689,98650,"No, Captain.","We Were Soldiers"
"19",98733,100652,"Fucking grass...","We Were Soldiers"
"20",100734,102653,"Fucking heat...","We Were Soldiers"
"21",103697,104656,"Fucking country...","We Were Soldiers"
"22",197665,199626,"Do we take prisoners?","We Were Soldiers"
"23",200669,203629,"No. Kill all they send...","We Were Soldiers"
"24",203712,205632,"...and they will stop coming.","We Were Soldiers"
"25",256641,259601,"Maybe the story beginsin America...","We Were Soldiers"
"26",259728,261603,"...when the Armyfirst realized...","We Were Soldiers"
"27",261730,263605,"...a new kind of war wascoming its way.","We Were Soldiers"
"28",263731,265608,"The White House anticipatesa buildup...","We Were Soldiers"
"29",265733,266942,"...and wants a victory.","We Were Soldiers"
"30",267067,268610,"Over cavemen,in black pajamas.","We Were Soldiers"
"31",268737,271238,"We wouldn't be there if theyhadn't already beaten...","We Were Soldiers"
"32",271363,272281,"...the French Army.","We Were Soldiers"
"33",272406,274617,"The French Army?What's that?","We Were Soldiers"
"34",274742,276619,"The problem in Vietnamis terrain.","We Were Soldiers"
