"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","What Ever Happened to Baby Jane?"
"2",8717,11761,"Want to see it again, little girl?It shouldn't frighten you.","What Ever Happened to Baby Jane?"
"3",30656,33741,"Sorry. Nothing until matinee tomorrow.","What Ever Happened to Baby Jane?"
"4",44878,48256,"- Lady, you mind taking off your hat?- Oh, excuse me.","What Ever Happened to Baby Jane?"
"5",59935,62854,"Attagirl, Janey. Show them how.","What Ever Happened to Baby Jane?"
"6",88839,91132,"All right. Thank you, folks. Thank you.","What Ever Happened to Baby Jane?"
"7",91300,93551,"Thank you very much. Thank you.","What Ever Happened to Baby Jane?"
"8",95012,96679,"One final request, all right?","What Ever Happened to Baby Jane?"
"9",103812,105646,"""I've Written a Letter to Daddy.""","What Ever Happened to Baby Jane?"
"10",107024,109108,"All right, all right, all right. Thank you.","What Ever Happened to Baby Jane?"
"11",109276,111194,"""I've Written a Letter to Daddy.""","What Ever Happened to Baby Jane?"
"12",129004,135009,"I've written a letter to Daddy","What Ever Happened to Baby Jane?"
"13",135761,141057,"His address is heaven above","What Ever Happened to Baby Jane?"
"14",142142,148231,"I've written, ""Dear Daddy, we miss you","What Ever Happened to Baby Jane?"
"15",148524,154695,"And wish you were with us to love""","What Ever Happened to Baby Jane?"
"16",154863,160284,"Instead of a stamp I put kisses","What Ever Happened to Baby Jane?"
"17",161370,166415,"The postman says that's best to do","What Ever Happened to Baby Jane?"
"18",167876,172964,"I've written this letter to Daddy","What Ever Happened to Baby Jane?"
"19",173131,179136,"Saying, ""I love you""","What Ever Happened to Baby Jane?"
"20",201577,207039,"I've written a letter to Daddy","What Ever Happened to Baby Jane?"
"21",207207,214505,"Saying, ""I love you""","What Ever Happened to Baby Jane?"
"22",229605,231480,"Thank you very much.","What Ever Happened to Baby Jane?"
"23",231940,233983,"Well, what do we have here?","What Ever Happened to Baby Jane?"
"24",234318,235568,"All for you.","What Ever Happened to Baby Jane?"
"25",235736,238029,"Jane, isn't that a beautiful doll?","What Ever Happened to Baby Jane?"
"26",238196,240072,"Thank you, young man,that's gorgeous.","What Ever Happened to Baby Jane?"
"27",240240,243284,"Folks, have you ever seensuch a lovely doll?","What Ever Happened to Baby Jane?"
"28",249958,252710,"All right, children,thank you. Thank you.","What Ever Happened to Baby Jane?"
"29",253295,258132,"Now, folks, please don't forgetthere's a genuine Baby Jane doll...","What Ever Happened to Baby Jane?"
"30",258300,263179,"...waiting for you out in the foyer.All you have to do is go and collect her.","What Ever Happened to Baby Jane?"
"31",263347,266474,"Remember, you can tell your momsthat each and every one...","What Ever Happened to Baby Jane?"
"32",266683,269977,"...of these genuine, beautifulbig dolls is an exact replica...","What Ever Happened to Baby Jane?"
"33",270145,273147,"...of your own Baby Jane Hudson.","What Ever Happened to Baby Jane?"
"34",273315,274565,"Thank you.","What Ever Happened to Baby Jane?"
"35",276735,279487,"Baby Jane dolls. Only threeand a quarter. There they are.","What Ever Happened to Baby Jane?"
"36",279655,281656,"Very beautiful, natural hair.","What Ever Happened to Baby Jane?"
"37",283075,285242,"Baby Jane dolls. Only $3.25.","What Ever Happened to Baby Jane?"
"38",293585,296671,"I won't! I don't wanna go backto that old hotel!","What Ever Happened to Baby Jane?"
"39",296838,299674,"I don't have to take a napand you can't make me!","What Ever Happened to Baby Jane?"
"40",299841,303010,"Don't act up, sweetheart. You gottatake your nap, you know that.","What Ever Happened to Baby Jane?"
"41",303178,305638,"No, I don't know,and I'm not going to!","What Ever Happened to Baby Jane?"
"42",305889,308516,"Now, Janey, you don't wantall these friends of yours...","What Ever Happened to Baby Jane?"
"43",308684,310685,"...to think you're a bad girl, do you?","What Ever Happened to Baby Jane?"
"44",310852,313521,"I don't care. I want an ice cream.","What Ever Happened to Baby Jane?"
"45",313689,315898,"- Now, Janey, I told you...- I want it!","What Ever Happened to Baby Jane?"
"46",316066,319026,"I make the money,so I can have what I want!","What Ever Happened to Baby Jane?"
"47",319194,320861,"Now, Janey, that's enough.","What Ever Happened to Baby Jane?"
"48",321029,322780,"Leave me alone. I need an ice cream!","What Ever Happened to Baby Jane?"
"49",322990,324240,"If a child of mine...","What Ever Happened to Baby Jane?"
"50",324408,328327,"Well, if you need an ice cream,I guess you better have some.","What Ever Happened to Baby Jane?"
"51",328495,330413,"I mean, it's pretty hot and all.","What Ever Happened to Baby Jane?"
"52",330580,332873,"But remember,this is the last time this week.","What Ever Happened to Baby Jane?"
"53",333458,337211,"All right, Daddy.Blanche wants some too.","What Ever Happened to Baby Jane?"
"54",337379,341090,"We gotta have some ice creamfor Blanche.","What Ever Happened to Baby Jane?"
"55",341258,343509,"Uh, I... I don't want anything.","What Ever Happened to Baby Jane?"
"56",343927,346178,"What do you think you're trying to do?","What Ever Happened to Baby Jane?"
"57",346722,348848,"It's the parents' faultin cases like this.","What Ever Happened to Baby Jane?"
"58",349016,351058,"I'm really disappointed.","What Ever Happened to Baby Jane?"
"59",351226,353561,"Sure is a hot day today.","What Ever Happened to Baby Jane?"
"60",367701,370244,"You're the lucky one, Blanche,really you are.","What Ever Happened to Baby Jane?"
"61",370412,373247,"Someday it's going to be yougetting all the attention.","What Ever Happened to Baby Jane?"
"62",373415,375416,"And when that happens, I...","What Ever Happened to Baby Jane?"
"63",376960,381839,"I want you to be kinder to Jane andyour father than they are to you now.","What Ever Happened to Baby Jane?"
"64",383425,385259,"Do you know what I mean?","What Ever Happened to Baby Jane?"
"65",385927,387428,"Uh-huh.","What Ever Happened to Baby Jane?"
"66",388764,391265,"I hope you'll try and remember that.","What Ever Happened to Baby Jane?"
"67",392434,394351,"I won't forget.","What Ever Happened to Baby Jane?"
"68",394519,397104,"You bet I won't forget.","What Ever Happened to Baby Jane?"
"69",403737,405446,"The agency sent you.","What Ever Happened to Baby Jane?"
"70",405614,407865,"Uh-huh.Think there's any chance for me?","What Ever Happened to Baby Jane?"
"71",408366,410951,"That depends if Mr. Weber likes you.","What Ever Happened to Baby Jane?"
"72",411495,413662,"What type does he like?","What Ever Happened to Baby Jane?"
"73",414122,416749,"Oh, uh, a lot of personality.","What Ever Happened to Baby Jane?"
"74",417793,420294,"I'll catch on. Watch me.","What Ever Happened to Baby Jane?"
"75",422798,426217,"Oh, boy, oh, boy, oh, boy.","What Ever Happened to Baby Jane?"
"76",427803,430805,"With my moneyI should make a picture like that, huh?","What Ever Happened to Baby Jane?"
"77",433934,435851,"Good morning, Mr. Weber.I'm Miss Brent.","What Ever Happened to Baby Jane?"
"78",436019,438312,"Oh, yes. Won't you comea little closer, please?","What Ever Happened to Baby Jane?"
"79",438480,441816,"She's got a southern accentlike I got a southern accent.","What Ever Happened to Baby Jane?"
"80",443860,445319,"Yeah?","What Ever Happened to Baby Jane?"
"81",446613,450074,"I know it's 11:00.I'll be there when I get there.","What Ever Happened to Baby Jane?"
"82",452577,453619,"Yes, yes, what is it?","What Ever Happened to Baby Jane?"
"83",453787,455496,"Mr. Gardner is here to see you.","What Ever Happened to Baby Jane?"
"84",455664,457164,"Gardner?","What Ever Happened to Baby Jane?"
"85",457749,459375,"I'll come out.","What Ever Happened to Baby Jane?"
"86",459793,463212,"I'll be right back, Miss Brent.Help yourself to cigarettes.","What Ever Happened to Baby Jane?"
"87",463380,466340,"- Make yourself at home.- Then the job is mine?","What Ever Happened to Baby Jane?"
"88",466508,468134,"Need you ask?","What Ever Happened to Baby Jane?"
"89",470303,472429,"Oh, boy, oh, boy, oh, boy.","What Ever Happened to Baby Jane?"
"90",505672,507089,"Kill it.","What Ever Happened to Baby Jane?"
"91",510719,512553,"What do you think, Ben?","What Ever Happened to Baby Jane?"
"92",513096,515598,"What's thinking got to do with it, huh?","What Ever Happened to Baby Jane?"
"93",516516,520227,"- She stinks, doesn't she?- They say the end's pretty good.","What Ever Happened to Baby Jane?"
"94",520395,523397,"- Maybe we should've seen it through.- Oh, please.","What Ever Happened to Baby Jane?"
"95",523565,526859,"You gonna wantthat picture again today, Mr. Golden?","What Ever Happened to Baby Jane?"
"96",528904,533157,"I don't think anybody's evergonna want that picture again.","What Ever Happened to Baby Jane?"
"97",539789,541916,"When the old man hiredthem Hudson sisters...","What Ever Happened to Baby Jane?"
"98",542083,544793,"...how come he had to hirethe back end of the act too?","What Ever Happened to Baby Jane?"
"99",544961,547922,"Boy, what a no-talent broadthat Baby Jane is.","What Ever Happened to Baby Jane?"
"100",548089,550507,"Why can't she stay sober?","What Ever Happened to Baby Jane?"
"101",551718,554762,"Jane's got her pride.She's a very sensitive girl.","What Ever Happened to Baby Jane?"
"102",554930,558432,"Your ""very sensitive girl"" guzzledher way through six cases of Scotch...","What Ever Happened to Baby Jane?"
"103",558600,560100,"...and slugged two studio cops.","What Ever Happened to Baby Jane?"
"104",560268,563604,"Not to mention one or two otherless savory items of publicity...","What Ever Happened to Baby Jane?"
"105",563772,566106,"...before we got that so-calledepic in the can.","What Ever Happened to Baby Jane?"
"106",566274,568400,"Anyway, you don't have to talk to Jane.","What Ever Happened to Baby Jane?"
"107",568568,572738,"If Blanche would let us out of that clause whatsays we have to make a picture with Jane...","What Ever Happened to Baby Jane?"
"108",572906,574990,"...for every picturewe make with Blanche...","What Ever Happened to Baby Jane?"
"109",575158,577076,"...Jane's contract won't be any problem.","What Ever Happened to Baby Jane?"
"110",577244,580621,"- See, that's what we pay lawyers for.- Possibly.","What Ever Happened to Baby Jane?"
"111",580789,584625,"- I can't see Blanche doing that.- You know, I don't get it.","What Ever Happened to Baby Jane?"
"112",584793,589338,"Blanche Hudson's the biggest thing inmovies today. She's got script approval.","What Ever Happened to Baby Jane?"
"113",589506,592299,"She's got more money thanshe knows what to do with. Hi.","What Ever Happened to Baby Jane?"
"114",593593,597346,"Hey, she just bought that tremendousplace Valentino used to have.","What Ever Happened to Baby Jane?"
"115",597514,601350,"Gonna take her a year to fix it up theway she wants it before they move in.","What Ever Happened to Baby Jane?"
"116",601518,604937,"Well, I guess they can manageto struggle on where they are now.","What Ever Happened to Baby Jane?"
"117",605105,607898,"My point is she ought to havesense enough to know...","What Ever Happened to Baby Jane?"
"118",608066,610901,"...she can't make a starout of Baby Jane again.","What Ever Happened to Baby Jane?"
"119",611069,614488,"Blanche doesn't haveany illusions like that.","What Ever Happened to Baby Jane?"
"120",614990,618033,"But she's a very fine person, Ben.","What Ever Happened to Baby Jane?"
"121",618201,620119,"She'll never forget those early years...","What Ever Happened to Baby Jane?"
"122",620287,622663,"...what her sister did for her.She told me that.","What Ever Happened to Baby Jane?"
"123",622831,626875,"Well, I tell you,she's not doing Baby Jane any favor.","What Ever Happened to Baby Jane?"
"124",627043,630546,"Someday, sooner or later,that girl's gonna end up in a home.","What Ever Happened to Baby Jane?"
"125",632299,635217,"You're going to their partyat the Grove tonight, aren't you?","What Ever Happened to Baby Jane?"
"126",635385,638637,"Did you ever try refusingone of Blanche's invitations?","What Ever Happened to Baby Jane?"
"127",638805,641181,"Do me a favor, Marty, will you?Talk to Blanche.","What Ever Happened to Baby Jane?"
"128",641349,643809,"Try to make her understand, huh?","What Ever Happened to Baby Jane?"
"129",644185,647021,"- I'll do my best.- Thanks.","What Ever Happened to Baby Jane?"
"130",647814,652693,"Remind me to send you one of thoseBaby Jane dolls for Christmas. Ha, ha, ha.","What Ever Happened to Baby Jane?"
"131",653486,655863,"- I've got mine for this year.- Ha, ha.","What Ever Happened to Baby Jane?"
"132",657490,659700,"I don't get it, Marty.","What Ever Happened to Baby Jane?"
"133",659868,662036,"What do they make monsterslike this for?","What Ever Happened to Baby Jane?"
"134",662203,664330,"For Blanche Hudson.","What Ever Happened to Baby Jane?"
"135",667876,669877,"That's our problem.","What Ever Happened to Baby Jane?"
"136",899107,900983,"You go to bed.","What Ever Happened to Baby Jane?"
"137",910285,912869,"- Hi, Mom.- Oh, hi, dear.","What Ever Happened to Baby Jane?"
"138",925049,927217,"Hello, beautiful.How about a little souvenir?","What Ever Happened to Baby Jane?"
"139",927385,930053,"- Let go of that, will you?- Come on, don't be like that.","What Ever Happened to Baby Jane?"
"140",930221,931763,"Who do you think you're kidding?","What Ever Happened to Baby Jane?"
"141",934183,935767,"Thanks.","What Ever Happened to Baby Jane?"
"142",941983,943900,"Isn't she great?","What Ever Happened to Baby Jane?"
"143",945153,948655,"Sorry to break in on this fineold Blanche Hudson movie, folks.","What Ever Happened to Baby Jane?"
"144",948823,951908,"But you'll be glad I didwhen you see what I have right here...","What Ever Happened to Baby Jane?"
"145",952076,954244,"...for that favorite pooch of yours.","What Ever Happened to Baby Jane?"
"146",954412,955996,"And Iliad means quality.","What Ever Happened to Baby Jane?"
"147",956164,960250,"So when your dog says ""Woof, woof""...","What Ever Happened to Baby Jane?"
"148",960418,963503,"...feed him Iliad, the classic dog food.- Oh, shut up.","What Ever Happened to Baby Jane?"
"149",964005,965672,"Iliad will bring the sheen...","What Ever Happened to Baby Jane?"
"150",965840,968884,"My goodness, I rememberthe first time I saw that picture.","What Ever Happened to Baby Jane?"
"151",969052,972638,"- I thought it was just wonderful.- When was that?","What Ever Happened to Baby Jane?"
"152",973181,977559,"Let's see now. As I recall, your fathertook me to see it at the old Majestic.","What Ever Happened to Baby Jane?"
"153",977727,979686,"It was before we were married.","What Ever Happened to Baby Jane?"
"154",979854,983523,"Gee, she must be about 150 by now.","What Ever Happened to Baby Jane?"
"155",984859,986318,"As a matter of fact, dear...","What Ever Happened to Baby Jane?"
"156",986486,989404,"...Blanche Hudson'sjust a few years older than I am.","What Ever Happened to Baby Jane?"
"157",989572,992699,"- Really?- Yes, dear, really.","What Ever Happened to Baby Jane?"
"158",992867,995369,"Well, how comewe never see her around?","What Ever Happened to Baby Jane?"
"159",995536,998246,"We've been living next door to themfor six months now.","What Ever Happened to Baby Jane?"
"160",998414,1001875,"And the only one I ever seeis that fat sister slouching around.","What Ever Happened to Baby Jane?"
"161",1002043,1005587,"Don't they ever have company?I mean, it must be awful.","What Ever Happened to Baby Jane?"
"162",1005755,1010217,"You know, Julie saysthat sister is kind of peculiar.","What Ever Happened to Baby Jane?"
"163",1010385,1013053,"- Did you ever notice that?- No, I never have.","What Ever Happened to Baby Jane?"
"164",1013221,1015722,"Well, that's what Julie told me.","What Ever Happened to Baby Jane?"
"165",1015890,1021144,"She said that she was responsible for theaccident that crippled her sister Blanche.","What Ever Happened to Baby Jane?"
"166",1021312,1023980,"Well, that all happeneda very long time ago, dear.","What Ever Happened to Baby Jane?"
"167",1024148,1027192,"Maybe you shouldn't pay attentionto everything Julie tells you.","What Ever Happened to Baby Jane?"
"168",1027360,1030487,"There's too many people in this townwith nothing to do but talk.","What Ever Happened to Baby Jane?"
"169",1030655,1033407,"Maybe so, but Julie's folkshave lived here a long time.","What Ever Happened to Baby Jane?"
"170",1033574,1035325,"I guess she should know.","What Ever Happened to Baby Jane?"
"171",1035493,1038578,"Turn up the volume, dear.We're missing the picture.","What Ever Happened to Baby Jane?"
"172",1040123,1043083,"- Will you have champagne?- No. Thanks.","What Ever Happened to Baby Jane?"
"173",1045628,1047754,"You wanna tell papa your troubles?","What Ever Happened to Baby Jane?"
"174",1049257,1050465,"Somebody you love?","What Ever Happened to Baby Jane?"
"175",1051551,1054428,"Jack, please try to understand.","What Ever Happened to Baby Jane?"
"176",1054595,1056388,"I married you because...","What Ever Happened to Baby Jane?"
"177",1056556,1060142,"...I was knocked sillyand it was a refuge.","What Ever Happened to Baby Jane?"
"178",1061018,1065564,"I found out tonight thatthis boy's in trouble, maybe alone.","What Ever Happened to Baby Jane?"
"179",1065732,1069443,"It's blinding me.I can't think of anything else.","What Ever Happened to Baby Jane?"
"180",1072071,1074906,"Oh, he should've held that shot longer.","What Ever Happened to Baby Jane?"
"181",1075074,1078785,"I told him that when we were rehearsing,also when we shot it.","What Ever Happened to Baby Jane?"
"182",1079120,1081288,"But he wouldn't listen.","What Ever Happened to Baby Jane?"
"183",1087462,1090505,"- How are you?- Swell.","What Ever Happened to Baby Jane?"
"184",1091591,1094092,"It's still a pretty good picture.","What Ever Happened to Baby Jane?"
"185",1096387,1098472,"And Gemini...","What Ever Happened to Baby Jane?"
"186",1099974,1101266,"Ugh.","What Ever Happened to Baby Jane?"
"187",1138638,1141515,"Tommy, you don't have to say anything.","What Ever Happened to Baby Jane?"
"188",1142850,1144476,"I'll just sit here.","What Ever Happened to Baby Jane?"
