"id","startTime","endTime","text","title"
"1",26059,27027,"(GRACE KELLY PLAYING)","What Happens in Vegas"
"2",27027,27857,"(GRACE KELLY PLAYING)","What Happens in Vegas"
"3",29863,33629,"Do I attract you?Do I repulse you with my queasy smile?","What Happens in Vegas"
"4",33800,35700,"Am I too dirty?Am I too flirty?","What Happens in Vegas"
"5",35802,38600,"Do I like what you like?Why don't you like me?","What Happens in Vegas"
"6",38705,39039,"Why don't you like meWithout making me try?","What Happens in Vegas"
"7",39039,41564,"Why don't you like meWithout making me try?","What Happens in Vegas"
"8",41674,44040,"I try to be like Grace Kelly","What Happens in Vegas"
"9",45412,47972,"But all her looks were too sad","What Happens in Vegas"
"10",49516,51780,"So I try a little Freddie","What Happens in Vegas"
"11",53486,56751,"I've gone identity mad!","What Happens in Vegas"
"12",57323,59416,"I could be brownI could be blue","What Happens in Vegas"
"13",59559,61049,"Gotta be everything more","What Happens in Vegas"
"14",61161,63186,"Why don't you like me?Why don't you like me?","What Happens in Vegas"
"15",63296,65025,"Why don't you walk out the door?","What Happens in Vegas"
"16",65131,66723,"- Here you go, sweetie.- Oh, thanks.","What Happens in Vegas"
"17",66833,68858,"I tried banana nut sprout this morning.","What Happens in Vegas"
"18",69536,71026,"Thought, you know,a little change of pace,","What Happens in Vegas"
"19",71137,74436,"thought somebody deservessomething special for his birthday.","What Happens in Vegas"
"20",74541,75565,"Yeah. It's good.","What Happens in Vegas"
"21",75675,78439,"Okay, so I madereservations tonight at Babbo at 8:30.","What Happens in Vegas"
"22",78545,82242,"I thought maybe we could talk about,you know, setting a date?","What Happens in Vegas"
"23",83249,85774,"Did you just make a plan to make a plan?","What Happens in Vegas"
"24",85919,87784,"- Did I just do that again?- Yeah, you did.","What Happens in Vegas"
"25",87887,89878,"- Sorry.- It's all right.","What Happens in Vegas"
"26",90256,92053,"All right, I'll see you later, okay?","What Happens in Vegas"
"27",92158,94683,"- Hey, hey, hey! Love you.- Love you, too.","What Happens in Vegas"
"28",95061,96551,"- Bye.- Bye.","What Happens in Vegas"
"29",96729,98720,"- Happy birthday!- You, too!","What Happens in Vegas"
"30",100834,101823,"(KNOCKING ON DOOR)","What Happens in Vegas"
"31",103837,106499,"Hello, sir.Would you like to buy some cookies?","What Happens in Vegas"
"32",106773,110209,"I would. I really would. I just...","What Happens in Vegas"
"33",110844,111811,"(EXCLAIMS)","What Happens in Vegas"
"34",111911,113310,"Unfortunately, I don't have any money.","What Happens in Vegas"
"35",113580,115548,"I don't have any cookies.","What Happens in Vegas"
"36",118651,119618,"Jack?","What Happens in Vegas"
"37",121154,122746,"I need a key.","What Happens in Vegas"
"38",129095,130062,"Wow.","What Happens in Vegas"
"39",131231,133131,"Wow. That...","What Happens in Vegas"
"40",134634,135623,"A key?","What Happens in Vegas"
"41",135735,137760,"What? No! I want a key.","What Happens in Vegas"
"42",137871,140533,"Like an actual key to your apartmentso I don't have to wait outside","What Happens in Vegas"
"43",140640,142767,"when I'm dressedin these little slutty outfits.","What Happens in Vegas"
"44",142876,145037,"I don't want to live with you.","What Happens in Vegas"
"45",145145,146976,"No offense.","What Happens in Vegas"
"46",147080,149571,"And you know I mean thisin the nicest possible way.","What Happens in Vegas"
"47",149682,153118,"You're not exactlyserious boyfriend/marriage material.","What Happens in Vegas"
"48",153386,155445,"And I pride myself on that.","What Happens in Vegas"
"49",156456,158856,"I gotta go. I'll see you next week.What're we doing?","What Happens in Vegas"
"50",158958,162985,"Mother of the baby saved from the fireand the sexy shirtless fireman?","What Happens in Vegas"
"51",164030,165895,"I could be brownI could be blue","What Happens in Vegas"
"52",165999,167933,"I could be violet sky","What Happens in Vegas"
"53",168034,169899,"I could be hurtfulI could be purple","What Happens in Vegas"
"54",170003,171868,"I could be anything you like","What Happens in Vegas"
"55",171971,173836,"Gotta be greenGotta be mean","What Happens in Vegas"
"56",173940,175840,"Gotta be everything more","What Happens in Vegas"
"57",175942,177739,"Why don't you like me?Why don't you like me?","What Happens in Vegas"
"58",177844,179641,"Why don't you walk out the door?","What Happens in Vegas"
"59",179746,181611,"I could be brownI could be blue","What Happens in Vegas"
"60",181714,183648,"Gotta be everything more","What Happens in Vegas"
"61",183750,185650,"Why don't you like me?Why don't you like me?","What Happens in Vegas"
"62",185752,187947,"Why don't you walk out the door?","What Happens in Vegas"
"63",191624,194058,"- McNally.- Chong.","What Happens in Vegas"
"64",194160,195627,"(BELL RINGING)","What Happens in Vegas"
"65",195728,197218,"(ALL SHOUTING)","What Happens in Vegas"
"66",198531,200362,"(COMMENTA TOR CHA TTERING ON TV)","What Happens in Vegas"
"67",200800,202825,"(ALL CHEERING)","What Happens in Vegas"
"68",206206,207173,"Not now.","What Happens in Vegas"
"69",207473,211500,"Hey! Hey! Hey, hey! Here we go! Yeah!That's looking good! All right!","What Happens in Vegas"
"70",211611,214546,"That's good form right there.Let's keep that up, huh?","What Happens in Vegas"
"71",214647,218014,"That's a beautiful veneer. Just throw thaton the edge-band and we're set.","What Happens in Vegas"
"72",218117,220051,"- All right!- Hey, Jack?","What Happens in Vegas"
