"id","startTime","endTime","text","title"
"1",43160,45680,"WHERE THE WILD THINGS ARE","Where the Wild Things Are"
"2",84480,87320,"Hey, Claire!Wanna see something great?","Where the Wild Things Are"
"3",87880,89000,"Who else was there?","Where the Wild Things Are"
"4",89720,91240,"It's an igloo.","Where the Wild Things Are"
"5",91520,93040,"- And?- I made it.","Where the Wild Things Are"
"6",93440,94960,"Yeah, my brother.","Where the Wild Things Are"
"7",95560,96400,"Hey, Claire?","Where the Wild Things Are"
"8",96560,98760,"I can't. We're supposed to goto my dad's that weekend.","Where the Wild Things Are"
"9",98840,101280,"The snowplows left somesnow across the street...","Where the Wild Things Are"
"10",101360,105080,"- and I dug a hole into it.- Max, go play with your friends.","Where the Wild Things Are"
"11",120680,124080,"You, go that way!You, go that way!","Where the Wild Things Are"
"12",124920,127640,"No, don't talk to me like that!You're just a fence!","Where the Wild Things Are"
"13",127800,129880,"You can go playwith your own fence friends.","Where the Wild Things Are"
"14",130120,131360,"Now move out!","Where the Wild Things Are"
"15",150480,152920,"Hey, Claire, what's up? Are you ready?- Hey, guys!","Where the Wild Things Are"
"16",186400,188320,"...and chose him, okay?- Yeah!","Where the Wild Things Are"
"17",194560,196200,"Claire, is that your brother?","Where the Wild Things Are"
"18",200400,201520,"Get him!","Where the Wild Things Are"
"19",208040,209400,"He's so dead!","Where the Wild Things Are"
"20",212880,214640,"Max, go away!","Where the Wild Things Are"
"21",215080,216320,"I got him!","Where the Wild Things Are"
"22",218000,219240,"Come on! Come on!","Where the Wild Things Are"
"23",221000,221960,"Get him!","Where the Wild Things Are"
"24",243280,244400,"You okay?","Where the Wild Things Are"
"25",244920,246840,"Come on, guys, let's go!","Where the Wild Things Are"
"26",362160,363920,"Hey, I'm home.","Where the Wild Things Are"
"27",369000,370360,"What's wrong?","Where the Wild Things Are"
"28",377080,380600,"Claire and her stupid friendssmashed my igloo.","Where the Wild Things Are"
"29",383440,385960,"She didn't do anything about it.","Where the Wild Things Are"
"30",387600,389240,"I'm sorry, honey.","Where the Wild Things Are"
"31",393240,395160,"I would have done something about it.","Where the Wild Things Are"
"32",407720,409640,"Max, what have you done?","Where the Wild Things Are"
