"id","startTime","endTime","text","title"
"1",29655,31280,"You keep asking mewhat I am.","White Men Can't Jump"
"2",31365,32949,"Don't you knowI'm Presbyterian?","White Men Can't Jump"
"3",33033,34158,"Presbyterian?","White Men Can't Jump"
"4",34243,37954,"That's the worst thinga jazz singer can be.","White Men Can't Jump"
"5",38038,40915,"Presbyterians are calledGod's frozen people.","White Men Can't Jump"
"6",40999,43626,"Wouldn't swingif you hung them.","White Men Can't Jump"
"7",50134,53594,"# Just a closerwalk with Thee","White Men Can't Jump"
"8",53679,55847,"# De de deboom boom","White Men Can't Jump"
"9",55931,60017,"# Grant it, Jesusif you please","White Men Can't Jump"
"10",60102,61894,"# Boom de boomboom boom","White Men Can't Jump"
"11",61979,66774,"# Daily walkin'close with Thee","White Men Can't Jump"
"12",66859,69694,"# Let it be, dear Lord","White Men Can't Jump"
"13",69778,71279,"# Let it be","White Men Can't Jump"
"14",73449,77160,"# I am weakbut Thou art strong","White Men Can't Jump"
"15",79288,83082,"# Jesus, keep usfrom all wrong","White Men Can't Jump"
"16",85002,89839,"# I'll be satisfiedas long","White Men Can't Jump"
"17",90007,91507,"# As I walk","White Men Can't Jump"
"18",91675,94677,"# Let me walkclose to Thee","White Men Can't Jump"
"19",96346,100183,"# Just a closerwalk with Thee","White Men Can't Jump"
"20",101935,106314,"# Say, grant itJesus, if you please","White Men Can't Jump"
"21",107983,112737,"# Daily walkin'close with Thee","White Men Can't Jump"
"22",113030,115698,"# Let it bedear Lord","White Men Can't Jump"
"23",115783,117700,"# Let it be","White Men Can't Jump"
"24",119119,123247,"# Say, I am weakbut Thou art strong","White Men Can't Jump"
"25",125167,128586,"# Jesus, keep usfrom all wrong","White Men Can't Jump"
"26",130881,135718,"# I'll be satisfiedas long","White Men Can't Jump"
"27",135803,140515,"# As I walk, dear Lordclose to Thee","White Men Can't Jump"
"28",141642,143476,"# Boo boo dooboo doo doo","White Men Can't Jump"
"29",143560,145436,"# ...A closer walkwith Thee","White Men Can't Jump"
"30",145521,147980,"# Buh do doobie","White Men Can't Jump"
"31",148065,151359,"# Grant it, Jesus,if you please","White Men Can't Jump"
"32",151443,152735,"# Doobie","White Men Can't Jump"
"33",152820,153986,"# Buh doobie do","White Men Can't Jump"
"34",154071,158908,"# Daily walkin'close with Thee","White Men Can't Jump"
"35",158992,162787,"# Let it be","White Men Can't Jump"
"36",162871,164664,"# Dear Lord","White Men Can't Jump"
"37",164748,167959,"# Doobie doobiedoobie doobie","White Men Can't Jump"
"38",168752,173548,"# Let it be","White Men Can't Jump"
"39",173632,176008,"# Ba doo lado da da","White Men Can't Jump"
"40",176093,181722,"# Boo doo doodoo dee aaah","White Men Can't Jump"
"41",182057,183057,"Ha ha!","White Men Can't Jump"
"42",183392,184392,"Whoo!","White Men Can't Jump"
"43",184476,185977,"Oh, yeah!","White Men Can't Jump"
"44",186061,189355,"Hey, guys, is thisthe Venice Beach courts?","White Men Can't Jump"
"45",189439,192358,"You haven't put anythingin the offering plate.","White Men Can't Jump"
"46",192442,194110,"Oh! Sorry, man.","White Men Can't Jump"
"47",194778,196153,"50 be all right?","White Men Can't Jump"
"48",196238,197238,"I'm just kidding.","White Men Can't Jump"
"49",197322,199282,"Here you go.","White Men Can't Jump"
"50",200284,202159,"I told youhe's generous.","White Men Can't Jump"
"51",202244,204287,"Is this whereEddie ""The King"" Faroo","White Men Can't Jump"
"52",204371,205830,"and Duck Johnson played?","White Men Can't Jump"
"53",205956,208875,"King and Duckwere the best.","White Men Can't Jump"
"54",209626,212295,"That's 'causeyou never saw me.","White Men Can't Jump"
"55",212796,214255,"Keep singing, guys.","White Men Can't Jump"
"56",214715,216883,"My old manwas a preacher.","White Men Can't Jump"
"57",216967,218968,"I love this shit.","White Men Can't Jump"
"58",220053,221971,"He put a dollar in.","White Men Can't Jump"
"59",222055,223723,"We give hima dollar's worth.","White Men Can't Jump"
"60",223807,243159,"# Oooh, ooh, ooh","White Men Can't Jump"
"61",243243,250207,"# Oooh, ooh, ooh, ooh, ooh","White Men Can't Jump"
"62",250500,253753,"# Ooh, ooh, ooh,ooh, ooh","White Men Can't Jump"
"63",253837,256255,"# Ooh, ooh","White Men Can't Jump"
"64",256340,273856,"# Ooh, ooh, ooh","White Men Can't Jump"
"65",288121,289497,"All right!","White Men Can't Jump"
"66",293543,295127,"Don't worryabout it.","White Men Can't Jump"
"67",296630,298130,"Pass it tothe little man.","White Men Can't Jump"
"68",298215,300841,"Let the little manget the ball.","White Men Can't Jump"
"69",302177,303844,"Take itto the hole, man!","White Men Can't Jump"
"70",303929,305137,"Let's go!","White Men Can't Jump"
"71",306181,307556,"Get... get... get up!","White Men Can't Jump"
"72",308684,310142,"Look at that.It's all right.","White Men Can't Jump"
"73",310227,312603,"Walter, throw thatbig fat butt at me.","White Men Can't Jump"
"74",312688,314563,"I'm getting tiredof making you look bad.","White Men Can't Jump"
"75",314648,318150,"It's hard work.","White Men Can't Jump"
"76",318235,319694,"I'm fittin'to dog you, punk.","White Men Can't Jump"
"77",319778,323030,"I'm fittingto dog you.","White Men Can't Jump"
"78",323156,325658,"Let me shut him up.Give me the ball!","White Men Can't Jump"
"79",325742,327785,"If you shoot it,","White Men Can't Jump"
"80",327995,330287,"I'll knock it outthe fucking sky.","White Men Can't Jump"
"81",330372,331831,"Can't take itto the hole","White Men Can't Jump"
"82",332040,333165,"because you ain'tgood enough.","White Men Can't Jump"
"83",333250,334458,"You think so?","White Men Can't Jump"
"84",334543,336711,"Get some of this.","White Men Can't Jump"
"85",337129,338170,"Ball!","White Men Can't Jump"
"86",338255,340089,"You can'teven dribble!","White Men Can't Jump"
"87",340173,341382,"Bring it! Bring it!","White Men Can't Jump"
"88",343927,345678,"Get that shitout of here!","White Men Can't Jump"
"89",345762,346846,"Ooh! Ooh!","White Men Can't Jump"
"90",346930,347930,"Oh! Unh!","White Men Can't Jump"
"91",348098,349849,"That shit went outlike a Scud missile!","White Men Can't Jump"
"92",349933,352852,"Oh, it hurts!It hurts so bad!","White Men Can't Jump"
"93",352978,356439,"Hey, babies, I don'tmean to brag,","White Men Can't Jump"
"94",356982,358065,"but I'mthe greatest!","White Men Can't Jump"
"95",358150,359275,"I am the greatest!","White Men Can't Jump"
"96",359443,360443,"You all right, man?","White Men Can't Jump"
"97",360527,361527,"Yeah.","White Men Can't Jump"
"98",361611,363320,"Well,get your butt up.","White Men Can't Jump"
"99",363447,366032,"Take your Colt-45drinkin' ass off someplace.","White Men Can't Jump"
"100",366825,369869,"Aahh!","White Men Can't Jump"
"101",369953,371829,"Yes, Walter!Yes! Yes! Yes!","White Men Can't Jump"
"102",372039,374582,"Hard goddamn work,making you look so bad.","White Men Can't Jump"
"103",374666,377126,"Man, you fouled me!","White Men Can't Jump"
"104",377502,379503,"Foul?","White Men Can't Jump"
"105",379588,381505,"Just take the ball outand shut up.","White Men Can't Jump"
"106",381590,382882,"What's the count?","White Men Can't Jump"
"107",382966,383966,"9-8, us.","White Men Can't Jump"
"108",384051,386635,"Get the fuckout of here!","White Men Can't Jump"
"109",386720,387887,"Junior,if you could count,","White Men Can't Jump"
"110",387971,390056,"you'd bea fucking astronaut.","White Men Can't Jump"
"111",390140,392141,"George, your mother'san astronaut.","White Men Can't Jump"
"112",392350,394435,"He talked aboutyour mama, man.","White Men Can't Jump"
"113",394519,397188,"He playing youfor a punk.","White Men Can't Jump"
"114",397272,400149,"I wouldn'ttake it, man.","White Men Can't Jump"
"115",400233,403569,"My motherain't no astronaut.","White Men Can't Jump"
"116",403653,404612,"Say it! Say it!","White Men Can't Jump"
"117",404696,405696,"Your motherain't no astronaut,","White Men Can't Jump"
"118",405781,408574,"your fatherain't no astronaut.","White Men Can't Jump"
"119",408658,411744,"Well, my mamaain't no astronaut.","White Men Can't Jump"
"120",411828,413079,"Jump his ass, man.","White Men Can't Jump"
"121",413163,416624,"Me saying thatyour mother's an astronaut","White Men Can't Jump"
"122",417084,418250,"is just anotherway of saying","White Men Can't Jump"
"123",418335,420002,"that you'reall fucked-up.","White Men Can't Jump"
"124",420796,423172,"Well, let's justget off mamas,","White Men Can't Jump"
"125",423256,425049,"'cause I justgot off yours.","White Men Can't Jump"
"126",425133,426550,"Ow!","White Men Can't Jump"
"127",427177,430262,"Keep my mama outof this, brother.","White Men Can't Jump"
"128",431515,434558,"She's out.","White Men Can't Jump"
"129",434643,436393,"Cool.","White Men Can't Jump"
"130",436937,437937,"She's out.","White Men Can't Jump"
"131",438021,439688,"Cool!","White Men Can't Jump"
"132",440315,442191,"She's out.","White Men Can't Jump"
"133",442359,444068,"What time you want meto bring the bitch back?","White Men Can't Jump"
"134",446029,447696,"Yo! What's the score?","White Men Can't Jump"
"135",447781,449198,"9-8, us.","White Men Can't Jump"
"136",449282,451242,"We can't lose to you!","White Men Can't Jump"
"137",451326,454286,"If we lose to you,I'm gonna kill myself.","White Men Can't Jump"
"138",454538,456080,"Fuck you,skinny boy!","White Men Can't Jump"
"139",456164,458582,"Fuck this,you potato-sandwich-eatin' motherfucker!","White Men Can't Jump"
"140",458667,459875,"Fuck this!","White Men Can't Jump"
"141",459960,461043,"Shut up!","White Men Can't Jump"
"142",461128,464046,"You're giving meExcedrin number fuckin' trillion headache!","White Men Can't Jump"
"143",464172,465631,"Hey, man,what's the score?","White Men Can't Jump"
"144",465841,467758,"Chump!I'm talking to you.","White Men Can't Jump"
"145",467843,469343,"What, you deaf?","White Men Can't Jump"
"146",472722,473848,"I'm talking tothe fucking air.","White Men Can't Jump"
"147",473932,476976,"My name ain't chump.It's Billy Hoyle.","White Men Can't Jump"
"148",477060,478936,"Billy Hoyle?","White Men Can't Jump"
"149",479020,482481,"Billy Hoyle.","White Men Can't Jump"
"150",482566,483732,"OK, Billy,","White Men Can't Jump"
"151",483817,485651,"can you countto 10, Billy?","White Men Can't Jump"
"152",485735,486861,"Yeah.","White Men Can't Jump"
"153",486945,487987,"Good.","White Men Can't Jump"
"154",488238,489655,"What's thescore, Billy?","White Men Can't Jump"
"155",490198,491365,"I don't know.","White Men Can't Jump"
"156",491616,492908,"Then you're a chump.","White Men Can't Jump"
"157",493076,495828,"I may be a chump,but it's not my name.","White Men Can't Jump"
"158",497789,499373,"He put your ass in!","White Men Can't Jump"
"159",501376,502501,"Fuck you.","White Men Can't Jump"
"160",503712,505087,"Let's go!","White Men Can't Jump"
"161",506506,507756,"8-8, your ball.","White Men Can't Jump"
"162",507841,509258,"9-8, your ball.","White Men Can't Jump"
"163",509384,511302,"I don't wantno excuses.","White Men Can't Jump"
"164",511428,513179,"I called it even.","White Men Can't Jump"
"165",513263,515514,"You bettercall a doctor!","White Men Can't Jump"
"166",515599,517308,"It's your ball!","White Men Can't Jump"
"167",517392,519101,"Sidney!","White Men Can't Jump"
"168",519186,520769,"Your womancalling you, man.","White Men Can't Jump"
"169",520854,521854,"Sidney!","White Men Can't Jump"
"170",521938,523606,"Your womancalling you, man.","White Men Can't Jump"
"171",524733,526609,"At leastI got one.","White Men Can't Jump"
"172",526693,530613,"I seen your motherkicking a can down the street.","White Men Can't Jump"
"173",530697,532239,"I said, ""What you doin'?""She said, ""Movin'.""","White Men Can't Jump"
"174",532324,533407,"Your mama's so old,","White Men Can't Jump"
"175",533491,535326,"she drove chariotsto school.","White Men Can't Jump"
"176",536620,537661,"Your mama's so fat,","White Men Can't Jump"
"177",537746,539747,"she broke her legand gravy poured out.","White Men Can't Jump"
"178",540040,541040,"Hey, baby.","White Men Can't Jump"
"179",541124,542291,"Hi, honey.","White Men Can't Jump"
"180",542626,544543,"The check for the groceriesdidn't clear,","White Men Can't Jump"
"181",544628,546170,"and I didn'thave any cash.","White Men Can't Jump"
"182",546379,549757,"Sorry.20 will do?","White Men Can't Jump"
"183",550008,552009,"Mm-hmm, but 30would be better.","White Men Can't Jump"
"184",552093,553469,"You hustling me?","White Men Can't Jump"
"185",553553,556764,"You're the only onethat gets away with that.","White Men Can't Jump"
"186",556848,559350,"I got thingsworking over here.","White Men Can't Jump"
"187",560018,561310,"Yo, man,I got to go.","White Men Can't Jump"
"188",561394,563729,"Daddy's got to goback to work, man.","White Men Can't Jump"
"189",563813,565314,"Bye.","White Men Can't Jump"
"190",565982,567483,"I told your mamato act her age,","White Men Can't Jump"
"191",567567,568901,"and the bitchdropped dead.","White Men Can't Jump"
"192",568985,574782,"Your mother got a leather wigwith gray sideburns.","White Men Can't Jump"
"193",574866,577243,"Save your breath, man.","White Men Can't Jump"
"194",577327,579411,"You need all the energyyou can get.","White Men Can't Jump"
"195",579496,580537,"Let's go.","White Men Can't Jump"
"196",580622,582081,"I can't run, man.","White Men Can't Jump"
"197",582165,583165,"What?","White Men Can't Jump"
"198",583250,584250,"My bunions hurt.","White Men Can't Jump"
"199",584334,585584,"Get somebodyto step in for me.","White Men Can't Jump"
"200",585669,589296,"That's all right.You're still my hero.","White Men Can't Jump"
"201",594469,595844,"That's it, baby.","White Men Can't Jump"
"202",596596,599974,"Can anybody stand infor Mr. Handicap here,","White Men Can't Jump"
"203",600141,602184,"for Mr. MotherfuckingMarch of Dimes?","White Men Can't Jump"
"204",602352,605187,"Hey, look.Take Billy Ho here.","White Men Can't Jump"
"205",605438,607398,"No, man.I don't want him.","White Men Can't Jump"
"206",607482,609191,"He might be good.","White Men Can't Jump"
"207",609276,611193,"I don't wantto go with it. No.","White Men Can't Jump"
"208",611278,612278,"Why not?","White Men Can't Jump"
"209",612362,614738,"'Cause I'm white.","White Men Can't Jump"
"210",615615,617241,"No difference.","White Men Can't Jump"
"211",617325,618951,"You could bringBernard King in.","White Men Can't Jump"
"212",619035,620244,"We hittin' two,and we out.","White Men Can't Jump"
"213",620620,622871,"Swish! Swish!Let's go, Billy Ho!","White Men Can't Jump"
"214",623373,624665,"Ha ha ha!","White Men Can't Jump"
"215",625292,626417,"Let's go!","White Men Can't Jump"
"216",626751,628919,"Ain't no needfor none of that","White Men Can't Jump"
"217",629004,630879,"Jane Fondageriatric bullshit.","White Men Can't Jump"
"218",630964,633299,"Just act like youcan play.","White Men Can't Jump"
"219",633383,634383,"Two quick ones,","White Men Can't Jump"
"220",634467,636010,"bam, bam...it's over.","White Men Can't Jump"
"221",636219,637970,"See ya!Wouldn't want to be ya!","White Men Can't Jump"
"222",638596,639805,"You gota new teammate.","White Men Can't Jump"
"223",639889,641974,"Kiss your gamegoodbye!","White Men Can't Jump"
"224",642142,644685,"Maybe I should dothat shit, too.","White Men Can't Jump"
"225",644894,646478,"You loose?","White Men Can't Jump"
"226",647647,649064,"Come onout here, baby.","White Men Can't Jump"
"227",649274,650441,"I got it!","White Men Can't Jump"
"228",650525,651859,"Get out of here!","White Men Can't Jump"
"229",651943,653569,"Billy, I'm gonnatell you what...","White Men Can't Jump"
"230",653737,654945,"Where you at, Billy?","White Men Can't Jump"
"231",656239,658032,"I'm gonna tell youwhich way I'm going.","White Men Can't Jump"
"232",660160,661327,"Aahh!","White Men Can't Jump"
"233",666916,668208,"Where are yougoing with that?","White Men Can't Jump"
"234",668293,670252,"I got you.I'm right here.","White Men Can't Jump"
"235",671713,672921,"This is my court!","White Men Can't Jump"
"236",673590,675215,"Oh!","White Men Can't Jump"
"237",675383,678093,"Yo! Look out!Look out!","White Men Can't Jump"
"238",680263,682931,"- Whoo!- Yay, Billy!","White Men Can't Jump"
"239",683600,685059,"Yes, baby!","White Men Can't Jump"
"240",685143,686143,"Luck.","White Men Can't Jump"
"241",686227,687227,"Pure luck.","White Men Can't Jump"
"242",687312,689396,"I believe the scoreis 9-8, ours.","White Men Can't Jump"
"243",690982,692024,"Take it out.","White Men Can't Jump"
"244",692108,693275,"Ball in.","White Men Can't Jump"
"245",694611,695778,"OK, chump.","White Men Can't Jump"
"246",696029,698739,"The sun even shineson a dog's ass some days.","White Men Can't Jump"
"247",698823,702201,"Anybody can win the lottery.Know what I'm saying?","White Men Can't Jump"
"248",706081,707790,"Give it up.Give it up.","White Men Can't Jump"
"249",707874,710000,"You want it back now?","White Men Can't Jump"
"250",714547,715714,"Whoa!","White Men Can't Jump"
