"id","startTime","endTime","text","title"
"1",175239,178065,"All right, all right, allright, what's it going to be?","Willy Wonka & the Chocolate Factory"
"2",178282,180674,"A triple cream cup for Christopher...","Willy Wonka & the Chocolate Factory"
"3",180892,183371,"A Squelchy Snorter for Otis...","Willy Wonka & the Chocolate Factory"
"4",183545,185998,"A Sizzler for June Marie...","Willy Wonka & the Chocolate Factory"
"5",186084,189242,"- And listen! Wonka's got a new one today.- What is it?","Willy Wonka & the Chocolate Factory"
"6",189459,191895,"This is called a Scrumdidilyumptious Bar.","Willy Wonka & the Chocolate Factory"
"7",192107,195070,"Scrumbibilyunctions Bar?How does he do it?","Willy Wonka & the Chocolate Factory"
"8",195287,197943,"- My dear boy, do you ask a fish how it swims?- No.","Willy Wonka & the Chocolate Factory"
"9",197974,199723,"- Or a bird how it flies?- No.","Willy Wonka & the Chocolate Factory"
"10",199897,200898,"No sirree, you don't!","Willy Wonka & the Chocolate Factory"
"11",201114,202855,"They do it because they wereborn to do it.","Willy Wonka & the Chocolate Factory"
"12",203072,205942,"Just like Willy Wonka wasborn to be a candy man,","Willy Wonka & the Chocolate Factory"
"13",206150,208813,"you look like you wereborn to be a Wonkerer.","Willy Wonka & the Chocolate Factory"
"14",209248,212248,"♪ Who can take a sunrise ♪","Willy Wonka & the Chocolate Factory"
"15",212465,215118,"♪ Sprinkle it with dew ♪","Willy Wonka & the Chocolate Factory"
"16",216119,219728,"♪ Cover it in chocolateAnd a miracle or two ♪","Willy Wonka & the Chocolate Factory"
"17",219946,221598,"♪ The Candy Man ♪","Willy Wonka & the Chocolate Factory"
"18",222990,224947,"♪ The Candy Man can ♪","Willy Wonka & the Chocolate Factory"
"19",226469,229383,"♪ The Candy Man can'Cause he mixes it with love ♪","Willy Wonka & the Chocolate Factory"
"20",229600,231992,"♪ And makes the world taste good ♪","Willy Wonka & the Chocolate Factory"
"21",233601,236776,"♪ Who can take a rainbow ♪","Willy Wonka & the Chocolate Factory"
"22",236994,238950,"♪ Wrap it in a sigh ♪","Willy Wonka & the Chocolate Factory"
"23",240472,244082,"♪ Soak it in the sunAnd make a strawberry lemon pie ♪","Willy Wonka & the Chocolate Factory"
"24",244300,245605,"♪ The Candy Man? ♪","Willy Wonka & the Chocolate Factory"
"25",245779,247432,"♪ The Candy Man! ♪","Willy Wonka & the Chocolate Factory"
"26",248344,250304,"♪ The Candy Man can ♪","Willy Wonka & the Chocolate Factory"
"27",250997,253969,"♪ The Candy Man can'Cause he mixes it with love ♪","Willy Wonka & the Chocolate Factory"
"28",254000,257434,"- ♪ And makes the world taste good ♪- Me! Me!","Willy Wonka & the Chocolate Factory"
"29",258130,259608,"♪ Willy Wonka makes ♪","Willy Wonka & the Chocolate Factory"
"30",259825,261305,"♪ Everything he bakes ♪","Willy Wonka & the Chocolate Factory"
"31",261522,264957,"♪ Satisfying and delicious ♪","Willy Wonka & the Chocolate Factory"
"32",265132,268002,"♪ Talk about your childhood wishes ♪","Willy Wonka & the Chocolate Factory"
"33",268176,271699,"♪ You can even eat the dishes ♪","Willy Wonka & the Chocolate Factory"
"34",282310,284310,"♪ Who can take tomorrow ♪","Willy Wonka & the Chocolate Factory"
"35",284528,286702,"♪ Dip it in a dream ♪","Willy Wonka & the Chocolate Factory"
"36",287355,290530,"♪ Separate the sorrowAnd collect up all the cream ♪","Willy Wonka & the Chocolate Factory"
"37",290834,293834,"- ♪ The Candy Man ♪- ♪ Willy Wonka can ♪","Willy Wonka & the Chocolate Factory"
"38",294052,296705,"♪ The Candy Man can ♪","Willy Wonka & the Chocolate Factory"
"39",298009,302011,"♪ The Candy Man can'Cause he mixes it with love ♪","Willy Wonka & the Chocolate Factory"
"40",302228,305924,"♪ And makes the world taste good ♪","Willy Wonka & the Chocolate Factory"
"41",307751,309534,"♪ And the world tastes good ♪","Willy Wonka & the Chocolate Factory"
"42",310882,315884,"♪ 'Cause the Candy Man thinks it should ♪","Willy Wonka & the Chocolate Factory"
"43",335584,336672,"Hi, Mr. Jopeck.","Willy Wonka & the Chocolate Factory"
"44",337107,339759,"Ah, come along, Charlie.You're late.","Willy Wonka & the Chocolate Factory"
"45",341716,343369,"It's payday, Mr. Jopeck.","Willy Wonka & the Chocolate Factory"
"46",343543,344631,"You're right.","Willy Wonka & the Chocolate Factory"
"47",345414,347762,"- There you are.- Thanks.","Willy Wonka & the Chocolate Factory"
"48",348545,350501,"- Say hello to your Grandpa Joe.- Okay.","Willy Wonka & the Chocolate Factory"
"49",393817,395949,"Up the airy mountain","Willy Wonka & the Chocolate Factory"
"50",396166,398383,"Down the rushing glen","Willy Wonka & the Chocolate Factory"
"51",398601,400733,"We dare not go a-hunting","Willy Wonka & the Chocolate Factory"
"52",400950,404037,"For fear of little men","Willy Wonka & the Chocolate Factory"
"53",404333,405622,"You see...","Willy Wonka & the Chocolate Factory"
"54",406821,408604,"Nobody ever goes in...","Willy Wonka & the Chocolate Factory"
"55",412301,414344,"and nobody ever comes out!","Willy Wonka & the Chocolate Factory"
"56",424826,426260,"Charlie's late.","Willy Wonka & the Chocolate Factory"
"57",426478,429131,"He works too hard for a little boy.","Willy Wonka & the Chocolate Factory"
"58",429349,431479,"He should have some time to play.","Willy Wonka & the Chocolate Factory"
"59",431697,433654,"Not enough hours in the day.","Willy Wonka & the Chocolate Factory"
"60",433871,436112,"With the four of you bedriddenfor the past twenty years,","Willy Wonka & the Chocolate Factory"
"61",436307,439134,"it takes a lot of workto keep this family going.","Willy Wonka & the Chocolate Factory"
"62",439352,441656,"If only his father were alive.","Willy Wonka & the Chocolate Factory"
"63",441874,445484,"Soon as I get my strength back, I'mgonna get out of this bed and help him.","Willy Wonka & the Chocolate Factory"
"64",445701,448876,"Dad, in all the years you've been sayingyou're going to get out of that bed,","Willy Wonka & the Chocolate Factory"
"65",449310,452181,"I've yet to see you set footon the floor.","Willy Wonka & the Chocolate Factory"
"66",452306,455759,"Well... maybe if the floor wasn't so cold.","Willy Wonka & the Chocolate Factory"
"67",457182,458617,"Hi, everybody!","Willy Wonka & the Chocolate Factory"
"68",459400,462052,"Wake up. Charlie's home!","Willy Wonka & the Chocolate Factory"
"69",463358,464618,"Grandpa George.","Willy Wonka & the Chocolate Factory"
"70",466359,467968,"Grandma Georgina.","Willy Wonka & the Chocolate Factory"
"71",468359,469837,"Grandma Josephine.","Willy Wonka & the Chocolate Factory"
"72",471229,473056,"Grandpa Joe.","Willy Wonka & the Chocolate Factory"
"73",475709,477578,"Is this your supper, Grandpa?","Willy Wonka & the Chocolate Factory"
"74",477840,479666,"Well, it's yours too, Charlie.","Willy Wonka & the Chocolate Factory"
"75",479840,482536,"I'm fed up with cabbage water.It's not enough!","Willy Wonka & the Chocolate Factory"
"76",482754,483914,"- Charlie!- It's all we have.","Willy Wonka & the Chocolate Factory"
"77",484059,485755,"What are you saying?","Willy Wonka & the Chocolate Factory"
"78",487060,489321,"- How about this?- Charlie, where'd you get that?","Willy Wonka & the Chocolate Factory"
"79",489538,492669,"What difference does it make wherehe got it? Point is: he got it.","Willy Wonka & the Chocolate Factory"
"80",493192,494366,"It's my first pay day.","Willy Wonka & the Chocolate Factory"
"81",494583,497367,"Good for you, Charlie.We'll have a real banquet.","Willy Wonka & the Chocolate Factory"
"82",497584,498758,"Mom...?","Willy Wonka & the Chocolate Factory"
"83",499106,502107,"Here's what's left. You keep it.","Willy Wonka & the Chocolate Factory"
"84",502759,504369,"Except for this.","Willy Wonka & the Chocolate Factory"
"85",504585,507282,"From now on, I'm going topay for your tobacco.","Willy Wonka & the Chocolate Factory"
"86",508586,511892,"No one's going to pay for it, Charlie.I'm giving it up.","Willy Wonka & the Chocolate Factory"
"87",512234,514544,"Come on, Dad, it's only one pipe a day.","Willy Wonka & the Chocolate Factory"
"88",514893,518242,"When a loaf of bread looks like abanquet, I've no right buying tobacco.","Willy Wonka & the Chocolate Factory"
"89",518459,520242,"Go on, Grandpa.","Willy Wonka & the Chocolate Factory"
"90",520590,522591,"Please take it.","Willy Wonka & the Chocolate Factory"
"91",529114,533340,"After I finished my paper route,I was in front of Wonka's.","Willy Wonka & the Chocolate Factory"
"92",533511,535816,"There was this strange man there.","Willy Wonka & the Chocolate Factory"
"93",536072,537769,"I think he was a tinker.","Willy Wonka & the Chocolate Factory"
"94",537943,541378,"He was standing right behind me,looking up at the factory.","Willy Wonka & the Chocolate Factory"
