"id","startTime","endTime","text","title"
"1",49283,54287,"Subtitles by explosiveskull","Winchester"
"2",181913,183049,"Henry?","Winchester"
"3",189788,190957,"Henry.","Winchester"
"4",194626,195927,"Henry.","Winchester"
"5",205236,206873,"Henry?","Winchester"
"6",213111,214913,"Darling, what is it?","Winchester"
"7",217049,218918,"What are you doing?","Winchester"
"8",250215,253019,"He's coming for us.","Winchester"
"9",288786,290021,"I couldn't move.","Winchester"
"10",290023,293625,"I started shaking.I was getting dizzy.","Winchester"
"11",296661,299130,"I was sure everyonein the room wanted to kill me.","Winchester"
"12",307940,310175,"I've never been so scared.","Winchester"
"13",324723,327957,"Pointless in the end though,fear, isn't it?","Winchester"
"14",330228,332632,"That's your best advice, doc?","Winchester"
"15",334066,335636,"All right.","Winchester"
"16",341639,344043,"What do you think controls you?","Winchester"
"17",345043,348310,"Your body or your mind?","Winchester"
"18",348312,350314,"Your money controls me, sugar.","Winchester"
"19",352817,354350,"Ah, there you go.","Winchester"
"20",354353,355920,"- Fine.- Okay, okay.","Winchester"
"21",355922,359090,"I think my body and mindcontrol each other.","Winchester"
"22",359091,361161,"Well, let's find out.","Winchester"
"23",361892,363093,"Is this real?","Winchester"
"24",363095,364293,"Yes.","Winchester"
"25",364295,365898,"- Yes?- Yes.","Winchester"
"26",366833,369100,"The mind","Winchester"
"27",369101,371269,"is incredibly creative.","Winchester"
"28",372336,374271,"It can make us see situations","Winchester"
"29",375271,378612,"that appear completely real,","Winchester"
"30",379810,381879,"but are in fact","Winchester"
"31",381880,385115,"nothing more than illusions,","Winchester"
"32",385117,388886,"perceptions of truth.","Winchester"
"33",388887,391089,"How did you do that?","Winchester"
"34",393425,396860,"Sometimes we all needa little help","Winchester"
"35",396862,400165,"to see the differencebetween reality and illusion.","Winchester"
"36",401733,404869,"And that's about taking control,","Winchester"
"37",404870,409973,"about not letting fearcontrol you.","Winchester"
"38",409975,414379,"Because fear in the endonly exists in your mind.","Winchester"
"39",417983,419720,"All right.Sorry to say good night.","Winchester"
"40",423788,426023,"I'm looking for Dr. Price.","Winchester"
"41",429461,430795,"- Good night.- I'm Arthur Gates,","Winchester"
"42",430797,434165,"Chief Legal Officer of theWinchester Repeating Arms Company.","Winchester"
"43",434166,435230,"Really?","Winchester"
"44",435233,437000,"See you next week, sugar.","Winchester"
"45",437002,438639,"You're a hard man to reach,Dr. Price.","Winchester"
"46",440437,442105,"Good night, Nancy.","Winchester"
"47",442106,443375,"- Good night.- Good night.","Winchester"
"48",445209,446377,"I'm on sabbatical.","Winchester"
"49",447278,449048,"Good night.","Winchester"
"50",450148,452382,"What do you want?A prescription?","Winchester"
"51",452384,454721,"I've come to offeryou employment.","Winchester"
"52",455786,458723,"- Whiskey?- No, thank you.","Winchester"
"53",458725,461957,"Are you familiar with SarahWinchester, Dr. Price?","Winchester"
"54",461959,464459,"Mrs. Winchester'shusband William","Winchester"
"55",464461,465995,"was the majority shareholder","Winchester"
"56",465997,469399,"of the WinchesterRepeating Arms Company.","Winchester"
"57",469401,471233,"Twenty-five years ago,William passed,","Winchester"
"58",471235,474206,"leaving Mrs. Winchestera rather large inheritance,","Winchester"
"59",475207,477774,"and 51% of the company.","Winchester"
"60",477776,481413,"Mrs. Winchester also losther only child, Annie.","Winchester"
"61",483413,484982,"It's said in her grief,","Winchester"
"62",484983,489350,"she turned to a medium...Spiritualist of some sort.","Winchester"
"63",489353,493189,"The medium may have takenadvantage of her mental state.","Winchester"
"64",493190,495826,"That's not uncommonafter a tragedy.","Winchester"
"65",495827,496994,"I can assure you,","Winchester"
"66",496995,500733,"Sarah Winchesteris anything but common.","Winchester"
"67",501800,503399,"Aye, after her spiritualencounter,","Winchester"
"68",503401,506035,"she moved across the countryto San Jose,","Winchester"
"69",506036,507803,"- where she purchased what...- Where's my...","Winchester"
"70",507805,510206,"Was then an eight-room house.","Winchester"
"71",510207,511173,"Maybe it's in the garden room.","Winchester"
"72",511175,513943,"She spent the last 20 yearsexpanding it.","Winchester"
"73",513946,517547,"What stands now is","Winchester"
"74",517548,520183,"a gargantuan sevenstoried structure,","Winchester"
"75",520186,522250,"with no apparentrhyme or reason,","Winchester"
"76",522253,523318,"no master plan,","Winchester"
"77",523321,528423,"each maze of hallsmore confusing than the next.","Winchester"
"78",528424,531094,"A house undernever-ending construction,","Winchester"
"79",531096,533798,"built on the ordersof a grieving widow","Winchester"
"80",533799,537432,"whose mind is as chaoticas the house itself.","Winchester"
"81",537434,540904,"Over the years, she's becomemore and more reclusive.","Winchester"
"82",540907,543173,"Last month,the Board of Directors","Winchester"
"83",543176,544572,"enacted its right to assess","Winchester"
"84",544575,546943,"Mrs. Winchester'sstate of mind,","Winchester"
"85",546946,550980,"to determine if she's fitto control the company.","Winchester"
"86",550982,554384,"You want to take itaway from her?","Winchester"
"87",554385,556522,"We're worried abouther sanity, Dr. Price.","Winchester"
"88",559057,561092,"We need a professional.","Winchester"
"89",562128,563927,"Any kind of diagnosis","Winchester"
"90",563929,566562,"from such a long distancewould be impossible.","Winchester"
"91",566565,568462,"Well, Mrs. Winchester's agreed","Winchester"
"92",568465,570365,"to let you stayat the residence.","Winchester"
"93",570368,573139,"An offerthat is exceedingly rare.","Winchester"
"94",575573,577471,"An unwilling patient,the long distance.","Winchester"
"95",577474,579576,"This is notsomething ordinarily I...","Winchester"
"96",579577,580844,"Name the amount.","Winchester"
"97",580846,581977,"Doesn't really work like that.","Winchester"
"98",581980,583081,"How much do you owe?","Winchester"
