"id","startTime","endTime","text","title"
"1",48189,51500,"There's a meadowin my perfect world.","Wind River"
"2",53229,55875,"Where wind dancesthe branches of a tree.","Wind River"
"3",55884,59360,"Casting leopard spots of lightacross the face of a pond.","Wind River"
"4",61371,66081,"The tree stands talland grand and alone.","Wind River"
"5",66290,68311,"Shading the world beneath it.","Wind River"
"6",81087,83412,"It is here, in the cradleof all I hold dear,","Wind River"
"7",84120,86579,"I guard every memory of you.","Wind River"
"8",88200,91831,"And when I find myself frozenin the mud of the real","Wind River"
"9",92605,94781,"far from your loving eyes,","Wind River"
"10",96152,100141,"I will return to this place,close mine,","Wind River"
"11",100671,104578,"and take solace in the simpleperfection of knowing you.","Wind River"
"12",208526,209526,"Hey.","Wind River"
"13",211008,212935,"You got blood on your shirt.","Wind River"
"14",213158,214975,"Yeah, I just came from work.","Wind River"
"15",215271,217218,"Who's the victim today?","Wind River"
"16",218401,220391,"Looks like it's gonna be me.","Wind River"
"17",221701,223466,"Want some coffee?","Wind River"
"18",223479,224572,"Sure.","Wind River"
"19",253609,255681,"So, I gotta go to the Rez tomorrow.","Wind River"
"20",256269,258952,"Figure I'd take Casey byto see your folks.","Wind River"
"21",262658,265514,"Something killed a yearlingin the pasture behind their house.","Wind River"
"22",265526,266990,"Yeah, that's why I'm going.","Wind River"
"23",269521,273284,"Don't let Casey out of your sighton the Rez, okay?","Wind River"
"24",273297,276206,"Like I said, I'm gonna leave himwith your folks while I scout.","Wind River"
"25",276218,277773,"It's too cold to drag himthrough the snow.","Wind River"
"26",277786,278901,"You know what I mean.","Wind River"
"27",280045,281045,"I know.","Wind River"
"28",283134,284134,"Yeah.","Wind River"
"29",284822,285822,"Case!","Wind River"
"30",286124,287093,"Dad?","Wind River"
"31",287100,287827,"Come on, bud.","Wind River"
"32",287838,290064,"- Okay, I'm coming!- Time to go.","Wind River"
"33",290543,291995,"Whoa, whoa, whoa...","Wind River"
"34",292180,293834,"What's your BB gunpointing at right now?","Wind River"
"35",296937,298786,"Come here, come down here.","Wind River"
"36",298980,299980,"Sorry, Dad.","Wind River"
"37",300600,302540,"Hey, what's the rule, bud?","Wind River"
"38",302788,306440,"Okay, gun's always loadedeven if it ain't. Right?","Wind River"
"39",306458,308560,"- Yes.- Okay. Come on, buddy.","Wind River"
"40",308899,310738,"Put that in the truck.Hurry up.","Wind River"
"41",310759,312194,"- Okay.- Don't run.","Wind River"
"42",319918,321793,"I'll be back Monday afternoon.","Wind River"
"43",323000,325082,"Just be careful on the road, okay?","Wind River"
"44",325783,328978,"This won't be my firstsnowstorm in a car.","Wind River"
"45",329800,330800,"Okay.","Wind River"
"46",332199,333715,"Is this it?","Wind River"
"47",334415,335667,"Yeah.","Wind River"
"48",341090,342612,"Here you go, buddy.","Wind River"
"49",344812,348100,"You know, it's a good town,Wilma.","Wind River"
"50",348500,349620,"They got good schools there.","Wind River"
"51",349812,350928,"If I get the job,","Wind River"
"52",350939,353348,"we're gonna have to talkabout his child support.","Wind River"
"53",354824,357115,"Jackson's a lot more expensive.","Wind River"
"54",357216,360310,"Well, you go get that job andwe'll figure it out from there.","Wind River"
"55",360327,361509,"Don't you worry 'bout it.","Wind River"
"56",362685,366362,"Take Togwotee Pass, and don'tgo through Pinedale, okay?","Wind River"
"57",366687,370634,"This uh, this storm's comin' infrom the south, so.","Wind River"
"58",370677,373577,"Yeah, you couldn't drag me throughPinedale with a rope.","Wind River"
"59",376417,378774,"I'll never set foot in that town again.","Wind River"
"60",380021,381572,"Well, good luck, okay?","Wind River"
"61",387278,389283,"Better hurry it up,he gets hungry.","Wind River"
"62",393665,394988,"Chow time, boys.","Wind River"
"63",400021,401249,"You okay?","Wind River"
"64",402110,403115,"Fine.","Wind River"
"65",404711,407170,"Gotta push his nose backwhen he rubs up on you like that.","Wind River"
"66",407805,408865,"- Okay?- Okay.","Wind River"
"67",409000,410233,"Hey, look.","Wind River"
"68",411454,413187,"Told you I'd get your hat dirty.","Wind River"
"69",413221,415228,"He's got the height advantageon me is the deal.","Wind River"
"70",415300,416380,"Is that right?","Wind River"
"71",416509,419141,"Well, let's fix that.Come on.","Wind River"
"72",420000,422339,"You gotta earn hisrespect from him.","Wind River"
"73",423110,424315,"And when you do that,","Wind River"
"74",424800,426887,"you stand in your own ground.","Wind River"
"75",427000,428973,"So, let's get you up on there.","Wind River"
"76",428994,430194,"Just like I showed you, right?","Wind River"
"77",432776,434649,"Who's got the height advantage now?","Wind River"
"78",435199,438856,"Huh? Who's got the heightadvantage? Just back him up.","Wind River"
"79",439444,440694,"Be gentle.","Wind River"
"80",440860,442418,"Till he tells you not to be.","Wind River"
"81",443154,444689,"Take him around.","Wind River"
"82",449019,451658,"That's it.Pass right by his food.","Wind River"
"83",451699,453442,"Keep on going.Keep on going.","Wind River"
"84",453487,455911,"There you go.You show him who's boss.","Wind River"
"85",455983,457745,"You wanna side pass himover this way?","Wind River"
"86",458000,459351,"Whoa.","Wind River"
"87",463122,464221,"There you go.","Wind River"
"88",465221,466382,"That's it, son.","Wind River"
"89",469721,470896,"Keep comin'.","Wind River"
"90",471353,473745,"Back him up. He wants his food.Back him up.","Wind River"
"91",475322,476454,"Look at that.","Wind River"
"92",476740,478252,"All right, come on in.","Wind River"
"93",478512,481367,"How 'bout that? Good job.Come over here.","Wind River"
"94",481634,483338,"Put your hand up on his nose.","Wind River"
"95",483709,486699,"Let him smell you, let himbreathe you, let him know you.","Wind River"
"96",487221,489983,"He'll love you forever, okay?","Wind River"
"97",495254,496365,"Hey,","Wind River"
"98",496649,498574,"So, what do you think of that, son?","Wind River"
"99",498884,500879,"That was pretty cowboy, huh?","Wind River"
"100",501002,505348,"No, son.That was all Arapaho.","Wind River"
"101",540500,542128,"Hey, grandson!","Wind River"
"102",543888,545955,"Grandma's making you frybread.","Wind River"
"103",546129,547711,"- Did you have breakfast?- Just eggs.","Wind River"
"104",547822,549344,"Well, go ahead, get you some.","Wind River"
"105",554879,557106,"- Horses sense the storm, huh?- Yeah.","Wind River"
"106",557318,561192,"So, police chief called youto hunt the lion, eh?","Wind River"
"107",561293,562932,"He called me to hunt something.","Wind River"
"108",563519,565378,"I heard you lost a steer.","Wind River"
"109",565440,568100,"Yeah, I'll show where.It's a lion.","Wind River"
"110",568399,570200,"- Is that right?- Come on.","Wind River"
"111",571980,573004,"How's Wilma?","Wind River"
"112",573125,575062,"She got a job interview.","Wind River"
"113",575275,577870,"In Jackson, some hotel, I think.","Wind River"
"114",578000,579811,"- Jackson Hole.- Yeah.","Wind River"
"115",579922,581716,"Gonna live with the millionaires, eh?","Wind River"
"116",583201,584475,"I dunno about that.","Wind River"
"117",584587,587259,"I think the billionaires chasedout the millionaires years ago.","Wind River"
"118",588361,589884,"Ah, save your money.","Wind River"
"119",590279,593250,"When the wolves start eatingtheir Golden Retrievers,","Wind River"
"120",593881,596873,"that land's gonna go forpennies on the dollar.","Wind River"
"121",599801,600913,"Yes, sir.","Wind River"
"122",602254,603822,"Tell me what that is.","Wind River"
"123",616539,617653,"Yeah.","Wind River"
"124",621344,623284,"Well, it's a lion, all right.","Wind River"
"125",624332,625400,"There's two!","Wind River"
"126",629039,630111,"Three!","Wind River"
"127",630721,633159,"She's got both of last year'skits with her.","Wind River"
"128",633721,636434,"They chased your steer aroundfor a while, it seems.","Wind River"
"129",636644,638294,"That's what the tracks say.","Wind River"
"130",638584,641181,"Mama's teachin' her kitshow to hunt.","Wind River"
"131",650408,652820,"But she's teachin' 'em on livestock.","Wind River"
"132",653951,656556,"Mama just got herwhole family killed.","Wind River"
"133",663471,665639,"Got gas in your sled?","Wind River"
"134",679217,682418,"Far from your loving eyes.","Wind River"
"135",685818,688272,"I return to this place.","Wind River"
"136",689871,691863,"And close my eyes again.","Wind River"
"137",710062,712386,"Far from your loving eyes.","Wind River"
"138",713886,716940,"Alone among the wind I run.","Wind River"
"139",901224,903576,"I need emergency assistance.","Wind River"
"140",903601,907312,"Repeat, emergency assistancerequested. Come back.","Wind River"
"141",908361,911554,"Fremont County Sheriff's office.What's your location?","Wind River"
"142",912255,916163,"The Wind River Indian Reservation,east of Boulder Flats.","Wind River"
"143",919407,921914,"FBI taking a while, eh.","Wind River"
"144",922014,924356,"Yeah, the road out of Riverton's bad.","Wind River"
"145",924443,926726,"I don't wanna move heruntil they have a look.","Wind River"
"146",926807,929938,"But I'm not gonna tryto pull her out after dark.","Wind River"
"147",930019,932222,"We gotta get thisshow on the road.","Wind River"
"148",932700,934701,"We're losin' the tracks, Ben.","Wind River"
"149",935799,938508,"Well, it is comin' down pretty good.","Wind River"
"150",940822,943116,"You should let me follow 'emwhile I still can.","Wind River"
"151",943828,945270,"Can't let you do that","Wind River"
"152",945481,948441,"until it's okayed by the FBI, Cory.","Wind River"
"153",948823,950085,"Call her folks yet?","Wind River"
"154",950831,953597,"No, I wanna take the body to Lander.","Wind River"
"155",954344,955943,"I know it looks like Natalie,but then...","Wind River"
"156",956129,957230,"It's Natalie.","Wind River"
"157",967701,969437,"There's your feds.","Wind River"
"158",972270,974272,"What are these fools doing?","Wind River"
"159",974389,975625,"They can't see the road.","Wind River"
"160",975831,977602,"We don't have time for this.","Wind River"
"161",978929,980173,"I'll get 'em.","Wind River"
"162",981039,983384,"Your destination is on the left.","Wind River"
"163",984500,985571,"Turn left.","Wind River"
"164",989110,990268,"You FBI?","Wind River"
"165",990456,992152,"Are you Tribal Police?","Wind River"
"166",992322,993796,"No, I'm here to take you to 'em.","Wind River"
"167",993822,995937,"Look, it's very close.Just follow me, okay?","Wind River"
"168",996048,997163,"Yeah.","Wind River"
"169",1016000,1017536,"I'm Jane Banner.","Wind River"
"170",1020000,1021274,"You by yourself?","Wind River"
"171",1021299,1022312,"Yeah, it's just me.","Wind River"
"172",1022520,1025734,"I'm Ben Shoyo,I'm the Tribal Police chief.","Wind River"
"173",1025748,1028623,"That's Cory Lambert withFish and Wildlife.","Wind River"
"174",1028638,1030073,"He's the one who found the body.","Wind River"
"175",1030554,1033790,"And this is his father-in-law, Dan.","Wind River"
"176",1034334,1035473,"He don't do nothin'.","Wind River"
"177",1036624,1038262,"We got the same job, eh.","Wind River"
"178",1038291,1041454,"Well, I-I'm sorry to meet underthese circumstances.","Wind River"
"179",1041551,1043586,"So, do you wanna show me the body?","Wind River"
"180",1044221,1045365,"I don't mean to be rude.","Wind River"
"181",1045382,1046862,"I'm just freezing myass off here, so.","Wind River"
"182",1047388,1048859,"The quicker the-the better.","Wind River"
"183",1048871,1050711,"Yeah, it's gonna get a lot worse","Wind River"
"184",1050724,1052204,"if you go out theredressed like that.","Wind River"
"185",1052642,1054530,"The body's five mileson snowmobile.","Wind River"
"186",1054548,1056730,"I'm afraid you'd be deadby the time we got there.","Wind River"
"187",1057122,1060118,"I got the call when I was at aweapons course in Riverton.","Wind River"
"188",1060137,1062393,"So, this is-this is what I've got.","Wind River"
"189",1062411,1064529,"Well, you should have a winter gearbag in that truck.","Wind River"
"190",1064546,1068096,"Well, no, it's not a government vehicle,it's a rental. I flew in from Vegas.","Wind River"
"191",1068112,1069896,"So, I'm just the closestagent to the scene.","Wind River"
"192",1069924,1072819,"You don't-you don'tthink I can-I can make it?","Wind River"
"193",1072835,1074779,"Oh, you're from Vegas?","Wind River"
"194",1074791,1077165,"No, I'm not-I'm not from Vegas,I'm stationed there.","Wind River"
