"id","startTime","endTime","text","title"
"1",103650,105686,"This is J. T. L. Morning News.","World War Z"
"2",105770,107725,"This is Holly Chadwick.","World War Z"
"3",107810,108924,"Thanks for joining us.","World War Z"
"4",109009,111682,"We have a great showin store for you this morning.","World War Z"
"5",111770,114408,"Well, it's a great morningto be in the studio.","World War Z"
"6",114490,116685,"Authorities have confirmedan avian flu outbreak.","World War Z"
"7",116770,118122,"Forecast, cloudy skies...","World War Z"
"8",118210,120200,"Good morning.Reporting from Brighton.","World War Z"
"9",121609,123328,"This will be a different scenario","World War Z"
"10",123409,126766,"if the virus changes in a way that allowstransmission between humans.","World War Z"
"11",126849,128362,"So, let's get started.","World War Z"
"12",130090,131205,"Yet again today,","World War Z"
"13",131289,134326,"another group of dolphinsbecame stranded.","World War Z"
"14",134530,137328,"CO2 emissions havedramatically increased in...","World War Z"
"15",137530,139407,"Are there any real threatsthat you know of?","World War Z"
"16",139530,140723,"Not at all.","World War Z"
"17",141009,142489,"Environmentalists are trying","World War Z"
"18",142569,143968,"to determine the cause of death.","World War Z"
"19",144090,145762,"At alert level six,","World War Z"
"20",145849,147920,"W. H. O. guidelines forgovernments...","World War Z"
"21",148009,150318,"Your socks are so cute!I like them.","World War Z"
"22",150409,151842,"Police say they've seensimilar cases recently","World War Z"
"23",152409,153968,"of people behaving strangely.","World War Z"
"24",154050,156438,"The U. N. health agency is not likely","World War Z"
"25",156530,158918,"to recommend officialtravel restrictions.","World War Z"
"26",159050,160722,"It's a little bit unsettling.","World War Z"
"27",160810,163277,"They're not physicists.They're not engineers.","World War Z"
"28",163370,164644,"They think it's just gonna go away.","World War Z"
"29",164729,166209,"They live in a fantasyparallel universe.","World War Z"
"30",167569,169878,"Right on top of the man,beating him.","World War Z"
"31",169969,171118,"The man is bleeding.","World War Z"
"32",171210,172528,"Twenty-one confirmed cases.","World War Z"
"33",172610,175920,"All the talk about a doomsdayis a big hoax.","World War Z"
"34",176090,177408,"The subject growled at him","World War Z"
"35",177490,179526,"and continued to maul the victim.","World War Z"
"36",179610,182919,"The best estimate is about15, 000 in the U. K.","World War Z"
"37",183050,184277,"We don't know if this is spreading.","World War Z"
"38",184409,185729,"Rhythms of change...","World War Z"
"39",185810,187800,"So far there's no manifestation.","World War Z"
"40",190889,193801,"Monitors have arrived,even carrying them...","World War Z"
"41",193889,195163,"With that much public at risk,we cannot...","World War Z"
"42",195250,198241,"They're trying to move us on,trying to tell the journalists to get out.","World War Z"
"43",214409,215558,"Wake up!","World War Z"
"44",216409,218685,"Oh, creatures in our bed...","World War Z"
"45",220849,223045,"No sleeping!","World War Z"
"46",223289,224848,"Oh, you're getting very big.","World War Z"
"47",224930,227841,"- What do you want to eat?- Pancakes!","World War Z"
"48",228889,230288,"We got a lot more sunshine today.","World War Z"
"49",230449,232759,"You have to only say one word.","World War Z"
"50",233289,235439,"Hey, by the way, what do youwant for your birthday?","World War Z"
"51",235650,236685,"Say a puppy.","World War Z"
"52",236810,237844,"A puppy.","World War Z"
"53",237930,239682,"You mean a stuffedanimal puppy?","World War Z"
"54",239770,241282,"Because that we can do.","World War Z"
"55",242889,244209,"Scusi.","World War Z"
"56",244289,246439,"Good morning.That looks yummy.","World War Z"
"57",247330,249002,"She gets the bigger one?","World War Z"
"58",249129,250687,"- Yeah, sorry.- She's tiny.","World War Z"
"59",250810,252640,"Did you pack your, um, inhaler?","World War Z"
"60",253849,254965,"Bathroom sink.","World War Z"
"61",255050,257358,"- In a minute?- Scootch! Go.","World War Z"
"62",258009,260045,"The government has declaredmartial law.","World War Z"
"63",260129,261882,"Daddy, what's martial law?","World War Z"
"64",262209,263927,"Uh...","World War Z"
"65",264009,267480,"Martial law is like house rules,but for everybody.","World War Z"
"66",268290,271838,"Were you ever in places likethat with your old job?","World War Z"
"67",272009,273158,"Mmm-hmm.","World War Z"
"68",273689,275920,"But I quit my old jobso I could be with you.","World War Z"
"69",276209,277245,"Do you miss it?","World War Z"
"70",281490,282683,"No, I like my new job.","World War Z"
"71",282810,285483,"All you do is make pancakesin the morning!","World War Z"
"72",285610,286803,"Yeah, but I'm really good at it.","World War Z"
"73",287170,288682,"- Look who I found!- Oh!","World War Z"
"74",289290,290608,"Here comes the number 12 train!","World War Z"
"75",290689,292043,"It's not Subway Sam, is it?","World War Z"
"76",292610,294840,"You want more pancakes?","World War Z"
"77",295449,296802,"Good.","World War Z"
"78",296970,299245,"Go, go, go. Come on, scootch!","World War Z"
"79",299329,301081,"- At least...- Move it on out.","World War Z"
"80",301170,303047,"Hey! Plates in the sink!","World War Z"
"81",303129,304278,"- Later!- Do that when we get back!","World War Z"
"82",310769,313442,"Uh... Does it live in the jungle?","World War Z"
"83",315370,316519,"Oooh.","World War Z"
"84",316730,317718,"No.","World War Z"
"85",317810,319084,"Do you eat it on Sundays?","World War Z"
"86",319209,320245,"No.","World War Z"
"87",320370,323202,"Does it live on theGreat Plains of Africa?","World War Z"
"88",323689,325805,"- Yeah.- Oh, well, I guess, yeah.","World War Z"
"89",325889,329199,"Do people keep it in pens all itslife and harvest it for meat?","World War Z"
"90",329290,330882,"- That's really gross!- Gross!","World War Z"
"91",330970,332004,"Dad!","World War Z"
"92",332090,334240,"Is it an animal you'd have for a pet?","World War Z"
"93",334370,335882,"- Yes.- Is it a cat?","World War Z"
"94",336009,337237,"- Yes.- Ha ha ha.","World War Z"
"95",337529,339168,"- Okay, now we have another one.- Do another one.","World War Z"
"96",339529,341360,"You totally got one!","World War Z"
"97",341490,342639,"Why are there so many?","World War Z"
"98",342730,344367,"It's like, three in thelast five minutes.","World War Z"
"99",345889,347117,"What is going on?","World War Z"
"100",352050,353562,"The World Health Organizationhas been","World War Z"
"101",353649,355447,"tracking the recentoutbreak of rabies","World War Z"
"102",355529,359283,"that began in Taiwan and has nowbeen reported in over 12 countries.","World War Z"
"103",359370,362406,"Responding to allegations he hasn'tdone enough to prevent the spread...","World War Z"
"104",362569,363889,"Can we try BBC?","World War Z"
"105",364769,366600,"You're not British anymore, baby.","World War Z"
"106",366689,368247,"You lost your accent a long time ago.","World War Z"
"107",368730,370685,"Except after two bottles of wine.","World War Z"
"108",370810,372004,"Am I British?","World War Z"
"109",372089,373283,"Yeah, your grandma is.","World War Z"
"110",375089,376238,"- Hey!- Yo!","World War Z"
"111",378250,379728,"He's just gonna keep going, Daddy?","World War Z"
"112",379810,380798,"Hold on, guys.","World War Z"
"113",380930,381964,"Daddy, be careful on the road.","World War Z"
"114",382089,383728,"It's okay, baby.","World War Z"
"115",388089,389728,"Can be transmitted between species","World War Z"
"116",389810,392119,"commonly from a bitefrom an infected animal.","World War Z"
"117",397490,400447,"Our best recommendation is to stayaway from densely populated areas.","World War Z"
"118",400730,402288,"Hey, yo! You all right?","World War Z"
"119",402370,403564,"Yeah, I'm okay. Thanks.","World War Z"
"120",403649,405879,"- You need anything?- No. You know what's going on?","World War Z"
"121",405970,407449,"No, man, I don't know anything.","World War Z"
"122",407569,408923,"It's crazy.","World War Z"
"123",413090,414238,"Gerry?","World War Z"
"124",420129,422439,"Get back in your car right now!","World War Z"
"125",423810,425447,"Remain with your ve...","World War Z"
"126",432449,433439,"What are we doing?","World War Z"
"127",433529,434678,"That's our way out of here.","World War Z"
"128",456329,458002,"I want my blanket!","World War Z"
"129",458090,459158,"Baby, it's packed right now.","World War Z"
"130",459250,460603,"Snuggle with Subway Sam, okay?","World War Z"
"131",465290,466723,"My blanket!","World War Z"
"132",474209,475199,"Rach?","World War Z"
"133",475290,477360,"Rachel, baby, you've gotto get back in your seat.","World War Z"
"134",478170,479887,"- Baby, we need you in your seat.- Put your belt on!","World War Z"
"135",479970,481197,"Rachel, right now!","World War Z"
"136",481370,483088,"- Gerry?- Rach, get your belt back on!","World War Z"
