"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Wrath of the Titans"
"2",44444,47435,"But it was the half-god Perseus,my son...","Wrath of the Titans"
"3",47613,51310,"...who defeated the Krakenand saved humanity.","Wrath of the Titans"
"4",53018,57250,"For his courage, I offered hima place to rule at my side.","Wrath of the Titans"
"5",58725,59749,"But Perseus...","Wrath of the Titans"
"6",59926,63692,"...was strong-willedand chose a different path.","Wrath of the Titans"
"7",63862,67025,"He vowed to live as a man.","Wrath of the Titans"
"8",68768,71066,"Even when fate took his wife...","Wrath of the Titans"
"9",71236,73899,"...he would not pray for help, from me...","Wrath of the Titans"
"10",74540,76099,"...or the other gods.","Wrath of the Titans"
"11",77710,80701,"And now the time of the gods is ending.","Wrath of the Titans"
"12",80947,85144,"But the son of Zeus cannot hidefrom his destiny forever.","Wrath of the Titans"
"13",88420,89888,"Now pull it in. Do it again.","Wrath of the Titans"
"14",90090,92990,"Throw in the other one real quick.Go on. I'll tie this off.","Wrath of the Titans"
"15",99299,100561,"Good catch today, Dad.","Wrath of the Titans"
"16",102968,106268,"- Where'd you get that?- I made it myself.","Wrath of the Titans"
"17",108942,111933,"You made it yourself? Heh.","Wrath of the Titans"
"18",112512,114673,"I want to be a good godand do good things.","Wrath of the Titans"
"19",114881,117816,"- There's no such thing as good gods.- Some of them are good.","Wrath of the Titans"
"20",117984,121510,"Ah. Helius, there's more to lifethan gods and Titans.","Wrath of the Titans"
"21",122489,125617,"Hey, Clea. I have a confession to make.","Wrath of the Titans"
"22",126126,128287,"I, uh, needed him for choresso he skipped studying.","Wrath of the Titans"
"23",129528,133259,"Now, you do a good job, make me proud.","Wrath of the Titans"
"24",156156,158180,"I know you're here.","Wrath of the Titans"
"25",165998,168159,"I visit him sometimes in his dreams.","Wrath of the Titans"
"26",168334,170927,"He's like his father. A strong-willed boy.","Wrath of the Titans"
"27",172305,173498,"You just passing through?","Wrath of the Titans"
"28",176475,177807,"No.","Wrath of the Titans"
"29",178978,179841,"I need your help...","Wrath of the Titans"
"30",180013,181070,"...Perseus.","Wrath of the Titans"
"31",181813,184373,"You're the great god Zeus.You don't need my help.","Wrath of the Titans"
"32",185251,187514,"There is a calamity coming.","Wrath of the Titans"
"33",187687,190679,"It will affect us all. Gods and men.","Wrath of the Titans"
"34",191456,194391,"- The humans may have stopped praying to us...- With good reason.","Wrath of the Titans"
"35",194561,196085,"...but there are consequences.","Wrath of the Titans"
"36",197163,199495,"Without prayer, we gods lose our power.","Wrath of the Titans"
"37",199665,204365,"When our power leaves us,all our work comes undone. All of it.","Wrath of the Titans"
"38",214379,216746,"The walls of Tartarus are falling.","Wrath of the Titans"
"39",217182,221745,"It is emptying all its demons onto the earth.The first are already here.","Wrath of the Titans"
"40",222688,227182,"If our power diminishes much further,we gods will become mortal.","Wrath of the Titans"
"41",227360,229920,"We will die and Kronos himself will escape.","Wrath of the Titans"
"42",230729,234131,"It will mean chaos. The end of the world.","Wrath of the Titans"
"43",234500,236228,"What am I meant to do?","Wrath of the Titans"
"44",238137,239399,"This is business for gods.","Wrath of the Titans"
"45",239639,241573,"We need all our children now.","Wrath of the Titans"
"46",242108,244098,"Perhaps, together...","Wrath of the Titans"
"47",244276,245743,"...we can remedy this.","Wrath of the Titans"
"48",245912,248641,"But we need every shred of power, Perseus.","Wrath of the Titans"
"49",251584,253609,"I will never leave my son.","Wrath of the Titans"
"50",256456,259619,"I know your heart betterthan you know it yourself.","Wrath of the Titans"
"51",260459,264327,"You believe your human halfmakes you unworthy to join us.","Wrath of the Titans"
"52",264663,266062,"You will learn someday that...","Wrath of the Titans"
"53",266231,267755,"...being half-human...","Wrath of the Titans"
"54",267934,271130,"...makes you stronger than a god,not weaker.","Wrath of the Titans"
"55",272471,274167,"I think you should go.","Wrath of the Titans"
"56",277442,279240,"Sleep well, Perseus.","Wrath of the Titans"
"57",328360,330454,"I will never leave my son.","Wrath of the Titans"
"58",391223,392781,"Zeus.","Wrath of the Titans"
"59",400800,402266,"Poseidon.","Wrath of the Titans"
"60",403269,404428,"Brother.","Wrath of the Titans"
"61",406773,408262,"It has been an age.","Wrath of the Titans"
"62",409574,411303,"Indeed, it has.","Wrath of the Titans"
"63",414180,415476,"Ares.","Wrath of the Titans"
"64",416249,417682,"My son.","Wrath of the Titans"
"65",419418,421216,"Where's my brother Perseus?","Wrath of the Titans"
"66",422922,424286,"Gone fishing?","Wrath of the Titans"
"67",425290,426689,"Yes.","Wrath of the Titans"
"68",427427,429690,"What a brave and noble decision.","Wrath of the Titans"
"69",436701,437634,"Let us go, then.","Wrath of the Titans"
"70",452284,456221,"Tartarus.The great prison of the underworld.","Wrath of the Titans"
"71",460326,461418,"Brother Hades!","Wrath of the Titans"
"72",464029,465588,"We have come to your domain...","Wrath of the Titans"
"73",466264,467754,"...as agreed!","Wrath of the Titans"
"74",468266,469757,"Show yourself to us!","Wrath of the Titans"
"75",478244,480541,"After so many years...","Wrath of the Titans"
"76",480745,484807,"...the sons of Kronos, together once more.","Wrath of the Titans"
"77",485016,486677,"Brothers in arms.","Wrath of the Titans"
"78",486853,488286,"Hades...","Wrath of the Titans"
"79",488553,492684,"...you are the greatruler of the underworld.","Wrath of the Titans"
"80",493259,496490,"Allow us to enter and help you rebuild...","Wrath of the Titans"
"81",496661,497889,"...the walls of Tartarus.","Wrath of the Titans"
"82",498798,502393,"My beloved brother,who banished me here for eternity...","Wrath of the Titans"
