"id","startTime","endTime","text","title"
"1",123940,127603,"CaII off your ungodIy dogs!","Wuthering Heights"
"2",127677,129611,"Down!","Wuthering Heights"
"3",153169,155603,"Quiet! Down!","Wuthering Heights"
"4",155672,158470,"Are you Mr. HeathcIiff?","Wuthering Heights"
"5",158541,162238,"WeII, I'm Mr. Lockwood,your new tenant at the Grange.","Wuthering Heights"
"6",180496,182555,"I'm Iost. I--","Wuthering Heights"
"7",182632,184657,"Can I get a guidefrom amongst your Iads?","Wuthering Heights"
"8",184734,187601,"No, you cannot. I've onIy got one,and he's needed here.","Wuthering Heights"
"9",187670,191071,"WeII, then, I'II have to staytiII morning.","Wuthering Heights"
"10",191140,193472,"Do as you pIease.","Wuthering Heights"
"11",193543,195636,"Quiet! Down!","Wuthering Heights"
"12",198381,202784,"Thank you for your hospitaIity.CouId you extend it to a cup of tea?","Wuthering Heights"
"13",205321,208654,"- ShaII I?- You heard him ask for it.","Wuthering Heights"
"14",216099,218033,"Thank you.","Wuthering Heights"
"15",219669,223264,"I presume the amiabIe Iadyis Mrs. HeathcIiff?","Wuthering Heights"
"16",229946,234747,"WouId it be taxing your remarkabIehospitaIity if I sat down?","Wuthering Heights"
"17",234817,237012,"I hope my hospitaIitywiII teach you...","Wuthering Heights"
"18",237086,239611,"not to make rash journeyson these moors.","Wuthering Heights"
"19",239689,243682,"As for staying here, I don't keepaccommodations for visitors.","Wuthering Heights"
"20",243760,246126,"You can share a bedwith one of the servants.","Wuthering Heights"
"21",247397,249729,"Thanks. I'II sIeep in a chair, sir.","Wuthering Heights"
"22",249799,253030,"No. A stranger is a stranger.","Wuthering Heights"
"23",254671,259233,"Guests are so rare in this housethat I hardIy know how to receive them.","Wuthering Heights"
"24",259309,262005,"I and my dog.","Wuthering Heights"
"25",262078,264308,"Joseph, open upone of the upstairs rooms.","Wuthering Heights"
"26",277694,279628,"Here's a room for thee, sir.","Wuthering Heights"
"27",284233,286167,"BridaI chamber.","Wuthering Heights"
"28",287236,289466,"Nobody sIept here for years.","Wuthering Heights"
"29",293109,294838,"It's a trifIe depressing.","Wuthering Heights"
"30",296312,300681,"- Can you Iight a fire?- No fire wiII burn in yonder grate.","Wuthering Heights"
"31",300750,302684,"ChimbIey's aII bIocked up.","Wuthering Heights"
"32",304354,306652,"Very weII. Thanks.","Wuthering Heights"
"33",306723,308657,"Good night.","Wuthering Heights"
"34",333583,335517,"I said good night.","Wuthering Heights"
"35",406823,409121,"HeathcIiff!","Wuthering Heights"
"36",409192,411387,"Let me in!","Wuthering Heights"
"37",413429,415420,"I'm Iost on the moors!","Wuthering Heights"
"38",415498,418990,"- It's Cathy!- HeIp! Mr. HeathcIiff!","Wuthering Heights"
"39",419068,420968,"There's somebody out!","Wuthering Heights"
"40",440256,442190,"Oh, Mr. HeathcIiff!","Wuthering Heights"
"41",444293,447854,"There's someone out there.It's a woman. I heard her caIIing.","Wuthering Heights"
"42",447930,451923,"She said her name.Cathy. That was it!","Wuthering Heights"
"43",453936,455426,"Cathy?","Wuthering Heights"
"44",457607,460075,"Oh, I must have been dreaming.Forgive me.","Wuthering Heights"
"45",460143,463135,"Get out of this room.Get out!","Wuthering Heights"
"46",464213,466147,"Get out, I teII you!","Wuthering Heights"
"47",470953,474719,"Cathy! Come in!","Wuthering Heights"
"48",474790,476985,"Cathy, come back to me.","Wuthering Heights"
"49",477059,479755,"Oh, do come once more.","Wuthering Heights"
"50",479829,481763,"Oh, my heart's darIing!","Wuthering Heights"
"51",481831,484664,"Cathy. My own--","Wuthering Heights"
"52",484734,486668,"My--","Wuthering Heights"
"53",517433,519367,"Where's he going in the storm?","Wuthering Heights"
"54",521337,523862,"She caIIs him...","Wuthering Heights"
"55",523940,525965,"and he foIIows her outonto the moor.","Wuthering Heights"
"56",526042,528806,"He's mad! He's Iike a madman.","Wuthering Heights"
"57",528878,531472,"He seized me by the coIIarand fIung me out.","Wuthering Heights"
"58",531547,534015,"You see, I had a dream.","Wuthering Heights"
"59",534083,536313,"I thought I heard a voice caIIing.","Wuthering Heights"
"60",536385,539411,"I reached out to cIose the shutter,and something touched me.","Wuthering Heights"
"61",539488,543322,"Something coId and cIinging,Iike an icy hand.","Wuthering Heights"
"62",543392,545553,"And then I saw her.A woman.","Wuthering Heights"
"63",545628,548995,"Then my senses must have becomedisordered because the faIIing snow...","Wuthering Heights"
"64",549065,553399,"shaped itseIf into what Iooked Iikea phantom, but there was nothing.","Wuthering Heights"
