"id","startTime","endTime","text","title"
"1",31946,33539,"No.","Yes Man"
"2",40488,42820,"No means no.","Yes Man"
"3",52767,54131,"Bonjour.","Yes Man"
"4",54301,55734,"Carl, I know it's you.","Yes Man"
"5",55904,57598,"Oh. Hey, man.","Yes Man"
"6",57805,60274,"I was just about to call you.That's so weird.","Yes Man"
"7",60442,62740,"Had your number dialed,was about to press ""send. ""","Yes Man"
"8",62911,64105,"Did you block your number?","Yes Man"
"9",64278,67611,"Yeah, I did. You never answerwhen I don't.","Yes Man"
"10",68849,70340,"So, what are you doing?","Yes Man"
"11",70519,72783,"Oh, just hanging out in my apartment.","Yes Man"
"12",72954,75421,"- You did get my text, right?- What? Text? What?","Yes Man"
"13",75590,77022,"We're all going out tonight.","Yes Man"
"14",77192,79786,"Man, that sounds great.I wish I could join you.","Yes Man"
"15",79960,80984,"I'm just so jammed up.","Yes Man"
"16",81162,83027,"I'm totally off the grid,you know?","Yes Man"
"17",83198,84460,"No, I don't at all.","Yes Man"
"18",84632,87795,"I got a bunch of stuff going on.There's this thing I gotta do.","Yes Man"
"19",87968,90698,"Any other night would've been great.Darn it to heck.","Yes Man"
"20",90871,92099,"Thing? What thing?","Yes Man"
"21",92274,93764,"Thing, you know, just a thing.","Yes Man"
"22",93942,96877,"If I had my thing in front of me,I could tell you what it is...","Yes Man"
"23",97045,99275,"...but I know there's a thing.- A thing.","Yes Man"
"24",99447,102540,"I don't think there's anythingwritten down in your fake calendar.","Yes Man"
"25",102716,104308,"No, it says specific things.","Yes Man"
"26",104485,107579,"Specific things.Like ""get in line at the video store""?","Yes Man"
"27",107756,109883,"What? What are you talking about?","Yes Man"
"28",110057,112549,"I'm not at the video store.I'm in my apartment.","Yes Man"
"29",112727,116162,"I can see you, Carl.I'm outside the video store.","Yes Man"
"30",118332,120129,"- That's not me.- It's not?","Yes Man"
"31",120302,123998,"Oh, I know what's happening.There is this guy who looks just like me...","Yes Man"
"32",124171,126230,"...who goes to a lot ofthe same stores I do.","Yes Man"
"33",126408,128000,"That's probably who you're seeing.","Yes Man"
"34",128175,129199,"Wow, that's amazing...","Yes Man"
"35",129377,132312,"...because his mouth is movingin sync with what you're saying.","Yes Man"
"36",134014,136006,"Carl, I know you're not saying anything.","Yes Man"
"37",137151,139449,"Carl, get outside.I know you're not talking.","Yes Man"
"38",139621,142283,"- What? All right.- Carl.","Yes Man"
"39",145159,148186,"- Look who's here.- Hey. You.","Yes Man"
"40",149330,150820,"Hi.","Yes Man"
"41",150998,153194,"- I don't believe it.- Rooney.","Yes Man"
"42",153367,156804,"Carl Allen.Never thought I'd see the day, my man.","Yes Man"
"43",156972,159770,"- Hey.- Thought you hung up the spurs, cowboy.","Yes Man"
"44",159974,161875,"No, I just got a lot of stuff going on...","Yes Man"
"45",162043,165638,"...some things I gotta do, issues pending,keep me pretty busy.","Yes Man"
"46",165813,167372,"Yeah? Oh, I hear you, player.","Yes Man"
"47",167549,170016,"So we are really excitedfor you to be here, Carl...","Yes Man"
"48",170185,172618,"...because we have an announcementto make.","Yes Man"
"49",172787,174687,"Honey, show him.","Yes Man"
"50",175689,177418,"There it is. Deal with it.","Yes Man"
"51",177591,178889,"We're engaged.","Yes Man"
"52",179060,181460,"- Oh, my God. Come on.- Right?","Yes Man"
"53",181629,185191,"- Big step, huh?- Yeah, it's a big step. It's a huge one.","Yes Man"
"54",185366,187231,"Man. Moving fast. That's okay.","Yes Man"
"55",187401,188766,"What has it been, six months?","Yes Man"
"56",188937,190768,"- No.- Two years.","Yes Man"
"57",190938,193407,"Oh, yeah. That's about right, then.","Yes Man"
"58",194241,198177,"So anyway, we're gonna havean engagement party on the 21 st. Open bar.","Yes Man"
"59",198346,200405,"Oh, you bastard.Always knows how to get me.","Yes Man"
"60",200581,202606,"Nice. Carl, does that work for you?","Yes Man"
"61",203050,206020,"- Yeah, we'll figure it out.- What's there to figure out?","Yes Man"
"62",206621,207781,"Oh, God, look who's here.","Yes Man"
"63",207955,210550,"I'm not falling for that, Carl.What's to figure out?","Yes Man"
"64",210724,213784,"- Open bar. What's the problem?- I'm serious. Stephanie's at the bar.","Yes Man"
"65",213961,217021,"- The Stephanie?- Yes, my ex-wife. She's at the bar.","Yes Man"
"66",219000,221127,"Oh, God, that is Stephanie.","Yes Man"
